"n","k","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,5,80,9000001,-0.061562180902295,0.786618520767824,0.824321481453909,-0.0765914145948778,1.15225670523154,1.12628167138669,0.0456248771746798,0.0384980674708795,0.0450074808019751,0.0564553897281741,0.0753030406837563,0.0840572903252216,0.0456742092060837,0.0385788182997785,0.0452365066736855,0.0565889720930936,0.0763566479332591,0.0852283430081881
800,10,80,9000001,-0.061562180902295,0.786618520767824,0.824321481453909,-0.0530555021840421,0.94175510682997,1.07839898147263,0.0456248771746798,0.0384980674708795,0.0450074808019751,0.0531197198049359,0.0517122093803634,0.0784708090625877,0.0456742092060837,0.0385788182997785,0.0452365066736855,0.053274152882459,0.0518809958795164,0.0796503043238859
800,15,80,9000001,-0.061562180902295,0.786618520767824,0.824321481453909,-0.0635757737875747,1.0810884352032,1.05197528826001,0.0456248771746798,0.0384980674708795,0.0450074808019751,0.0491949056096953,0.0580282009039081,0.0619465192204129,0.0456742092060837,0.0385788182997785,0.0452365066736855,0.0492599622365056,0.0583640448858835,0.0624165727869446
800,20,80,9000001,-0.061562180902295,0.786618520767824,0.824321481453909,-0.0600879021206082,0.968458944530274,1.00397331780756,0.0456248771746798,0.0384980674708795,0.0450074808019751,0.0485830624739806,0.0519280086093448,0.0628263887292808,0.0456742092060837,0.0385788182997785,0.0452365066736855,0.0486611697389817,0.052125509072902,0.0633732225977357
800,25,80,9000001,-0.061562180902295,0.786618520767824,0.824321481453909,-0.0611401115392038,1.0339771332822,1.03761631505506,0.0456248771746798,0.0384980674708795,0.0450074808019751,0.0491971480568444,0.0552806905700246,0.0633511882587872,0.0456742092060837,0.0385788182997785,0.0452365066736855,0.0492721943341982,0.0555567799592615,0.0638865309662894
800,5,80,9000002,0.0325461685413234,0.802921175898079,0.828600764512329,0.0275357303228691,0.898417627675435,0.879402263773772,0.0426448013028246,0.0364635832868628,0.0380997478937263,0.0423973180114454,0.0410456777613761,0.0391819433525216,0.0426821489517314,0.0365555854065775,0.038217790850848,0.0424333554752564,0.0411381955315076,0.0392689070924112
800,10,80,9000002,0.0325461685413234,0.802921175898079,0.828600764512329,0.0310829876003795,0.875284618168235,0.874431922545554,0.0426448013028246,0.0364635832868628,0.0380997478937263,0.0423958091490177,0.0419702392287015,0.04112239724027,0.0426821489517314,0.0365555854065775,0.038217790850848,0.0424321499315566,0.0420767794845531,0.0412333596307719
800,15,80,9000002,0.0325461685413234,0.802921175898079,0.828600764512329,0.0281093416061645,0.920836100297655,0.887451161984709,0.0426448013028246,0.0364635832868628,0.0380997478937263,0.0426821152233182,0.0440357134072977,0.0415501113044602,0.0426821489517314,0.0365555854065775,0.038217790850848,0.042719376550484,0.0441600253975365,0.0416658963188853
800,20,80,9000002,0.0325461685413234,0.802921175898079,0.828600764512329,0.0353291297040295,0.952476109226161,0.960738297153927,0.0426448013028246,0.0364635832868628,0.0380997478937263,0.043213587966492,0.0438420023979925,0.043757021410382,0.0426821489517314,0.0365555854065775,0.038217790850848,0.0432530848734609,0.0439532970037414,0.0438844749945931
800,25,80,9000002,0.0325461685413234,0.802921175898079,0.828600764512329,0.0359705264352246,0.920933188102938,0.93487908184733,0.0426448013028246,0.0364635832868628,0.0380997478937263,0.0429559131803885,0.0436228604916639,0.043915035363987,0.0426821489517314,0.0365555854065775,0.038217790850848,0.0429949224065999,0.0437414755644167,0.0440532025526883
800,5,80,9000003,0.03743894073009,0.870514458350537,0.816563390374192,0.032129333426843,1.13519245558981,0.979451454281218,0.0430526244945078,0.0379151336347237,0.0376801030716509,0.0449269463792138,0.0518225080539275,0.0467570253696507,0.0430696741642585,0.0379903268812141,0.0377713934890959,0.0449554293580975,0.0519674189340253,0.0468931685116484
800,10,80,9000003,0.03743894073009,0.870514458350537,0.816563390374192,0.0510123536310492,0.940326388301438,0.960656832540292,0.0430526244945078,0.0379151336347237,0.0376801030716509,0.043533978531694,0.0441312792716495,0.0477823077200242,0.0430696741642585,0.0379903268812141,0.0377713934890959,0.0435504708394037,0.0442103161572988,0.0479823885950928
800,15,80,9000003,0.03743894073009,0.870514458350537,0.816563390374192,0.0388383476543236,1.02780801620548,0.953893131625999,0.0430526244945078,0.0379151336347237,0.0376801030716509,0.0438645525064268,0.046765263207926,0.0456220417001963,0.0430696741642585,0.0379903268812141,0.0377713934890959,0.0438866172259057,0.0468621581693466,0.045759898650276
800,20,80,9000003,0.03743894073009,0.870514458350537,0.816563390374192,0.0428140333362866,1.02740259430366,0.975491365089728,0.0430526244945078,0.0379151336347237,0.0376801030716509,0.043956895894305,0.0468008010731074,0.0469494573549965,0.0430696741642585,0.0379903268812141,0.0377713934890959,0.0439783515366014,0.0468955945463787,0.047115196788222
800,25,80,9000003,0.03743894073009,0.870514458350537,0.816563390374192,0.0429021515265876,1.04183485932719,0.991225140690961,0.0430526244945078,0.0379151336347237,0.0376801030716509,0.0441683916234269,0.0471381899039752,0.0475035672340187,0.0430696741642585,0.0379903268812141,0.0377713934890959,0.0441897919180927,0.0472346545781954,0.0476781973881131
