"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.RI.1","ghat.RI.2","ghat.RI.3","ghat.RI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.RI.1","stde.RI.2","stde.RI.3","stde.RI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.OI.1","bste.OI.2","bste.OI.3","bste.OI.4","bste.NI.1","bste.NI.2","bste.NI.3","bste.NI.4","bste.RI.1","bste.RI.2","bste.RI.3","bste.RI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
400,0.05,80,9000001,0.411450656345767,0.149769370394155,0.0793205196490784,0.236699155758207,0.460807423165007,0.0602897754160448,0.0502945582348149,0.134202048497236,0.444542921978009,-0.0314071957277177,0.0797743493680459,0.262033347031406,0.452496379934043,0.151109795148803,0.0873450297032505,0.158721786858638,0.0556876522100705,0.13541073740375,0.112705271850123,0.128648431377091,0.0406907296583387,0.0842322485495081,0.079410559479729,0.108351066845395,0.0350274973740593,0.109069253765517,0.10546882626692,0.101076464182447,0.0558003937663365,0.158681016462075,0.133403066520406,0.126871812702833,0.0562284321334715,0.137422276854362,0.114477604898673,0.137508877009059,0.0412213433739381,0.0876897937501911,0.0800870174036088,0.110296206641137,0.0352771766055565,0.111768406481889,0.107135448129399,0.103416700809121,0.0592764128334307,0.182156951673374,0.135216350626067,0.131368658536236
800,0.05,80,9000001,0.401080354677816,0.315960646717061,0.0821323846042543,0.0887344901691322,0.436242913094018,0.172357818621645,0.063126884036072,0.0743379957050942,0.472878529524428,0.183630295277074,0.144266884014276,0.134494105841293,0.417090163256949,0.259400369523016,0.0893245324611712,0.0598294960451525,0.0273866444855794,0.0624125673200522,0.0643702159718276,0.0653475124842132,0.0253266211499164,0.05005842327005,0.0541614160301062,0.0616074187669436,0.0246605613142986,0.0819271889214599,0.0956484704548507,0.0680154049834002,0.0385172110306584,0.091234415613085,0.112320670424342,0.0709725963298834,0.0274729267058269,0.0626920372936752,0.0646292569581747,0.0657508408125955,0.0254036156761148,0.0502236381038314,0.0546411866844299,0.0618352069221514,0.0248336854795945,0.0830627972941451,0.0990542164649531,0.0692025252285131,0.0390024836825452,0.091843566884782,0.11609508899551,0.0713467127572364
8000,0.05,80,9000001,0.442858362786939,0.207169699145449,0.122419268336257,0.144005140713612,0.447142496829731,0.128583115665425,0.0846192614215944,0.144126176727364,0.457757269114435,0.207564937137099,0.106183240597565,0.166614017370933,0.44122535192753,0.213993030927058,0.121844344965782,0.150033196407564,0.0103591257993997,0.0252026902972616,0.0244423754938355,0.0234477843840544,0.00878835837174326,0.0188455912215125,0.0183861322394893,0.0220144167389449,0.00834639113779204,0.0312475821182051,0.0290628184986982,0.0222420224790353,0.0145961656859787,0.0410265526817806,0.0406603592769558,0.0310182034877315,0.0103705567892389,0.0252691126143787,0.0244837311607602,0.023472678877834,0.00879262304624381,0.0188734074362435,0.0184088023938729,0.022037314506515,0.00835646750331691,0.0313665515544733,0.029151298602459,0.0222646262355972,0.0146573979192328,0.0413129220853296,0.0409581198987578,0.0311631595107623
400,0.05,80,9000002,0.418279715419384,0.212093701318707,0.107423863847461,0.0968359272738002,0.456628964621978,0.0763988467523436,0.08522083763819,0.0904386721527629,0.455594979278013,0.266679873748768,0.0692733310300997,0.0809053679218972,0.451575147348378,0.105722690556657,0.138257783047656,0.070872124787392,0.0447936183714714,0.095320935761879,0.0928515709276501,0.0989949095417704,0.0392425640070332,0.0709648839471677,0.0705981263240437,0.0950696297690772,0.0347901232656962,0.11136228487362,0.0998994210023591,0.0928173207460216,0.0495745726036458,0.121456445022963,0.110561781152733,0.104752927675395,0.0453227744834135,0.0960153412589267,0.0943158221073943,0.0997574966865213,0.0394759000050614,0.0715493791135648,0.071353952253658,0.0956284121092144,0.0350017629000909,0.112835475077094,0.101246814228558,0.0934361012669083,0.0501189541853891,0.123141741294363,0.111857423830907,0.10550134663296
800,0.05,80,9000002,0.441571286030736,0.183477049432704,0.0296910135279684,0.245527732519014,0.447865086874418,0.160007244356041,0.0642711255606674,0.199603643943136,0.471218284472906,0.200933247794068,0.137993873118399,0.130317818852438,0.434126781104697,0.241130487129278,0.10860786761306,0.221163698413786,0.0327615593655124,0.0773424451069114,0.0724857722448862,0.0683264482470046,0.0271328021895252,0.0525742595604548,0.0521297366339774,0.0629856215061331,0.0245528143066729,0.0878429483627268,0.0736850149674595,0.0648091193681996,0.0410771231642079,0.0954672978600496,0.0947021703155276,0.0699652562842346,0.0329826721584433,0.0780304918000785,0.0730454387697602,0.0686863334608055,0.0272258700225396,0.0528101061188712,0.0524345620387753,0.0631431529550527,0.0246639487369084,0.0888218756816521,0.074104604135175,0.0650027859969472,0.0414990763618938,0.0964613600376655,0.0963974305289811,0.0701450761934972
8000,0.05,80,9000002,0.46116332076826,0.176512517669976,0.154313837521097,0.181255445510601,0.454853764241728,0.117735098424455,0.0590191182431652,0.167141969995518,0.4692465942921,0.171055046625797,0.114090751716687,0.184221472611318,0.437383712733354,0.178528043866468,0.0472650046473027,0.185982011116365,0.0102559785869773,0.0237314271724907,0.0250316143996282,0.0228235787540151,0.00856600236643018,0.0176378278040885,0.0175666979327823,0.0210351191174608,0.00828344945526281,0.030049813980292,0.0266728439129834,0.0222398101285997,0.0129996258731572,0.0347036996345939,0.035429159523195,0.0271727438348075,0.0102699795494315,0.0237585816730734,0.0251424937715926,0.0228471873559181,0.00856925393339805,0.0176529686257802,0.017582335978975,0.0210480224464843,0.00829170274070226,0.0301704564173867,0.0266960242523229,0.0222753346885907,0.0130304358234353,0.0348157735570387,0.0355894552624068,0.0272279830333104
400,0.05,80,9000003,0.414010447270103,0.448382229013016,0.245185719140427,0.115194093883514,0.409891860001642,0.295284265517248,0.0783906775495121,0.140793727966597,0.432848917965207,0.385736650530393,0.224074800589606,0.307510450673677,0.362564827988207,0.536772127765131,0.0593895726167151,0.105576221060794,0.0426090743657893,0.090264536718785,0.0867132047522967,0.0873676182042801,0.0383617859607933,0.0684917454364098,0.0736856655977672,0.0874719579612665,0.0326221544911482,0.0960437164476284,0.0994753460324992,0.0847223827147193,0.0513468045540372,0.106375730693436,0.131391264521959,0.0940694246910557,0.042960399500573,0.0909734601915915,0.0873238765439262,0.0885276210516217,0.0385903332644106,0.0689936598964858,0.0742595563252409,0.0884366518160423,0.0327194589610858,0.0968384965692804,0.100748098973014,0.0868379844216424,0.0519468675371731,0.107610211066435,0.132802327850761,0.0951308649860529
800,0.05,80,9000003,0.414017393039492,0.256318737355876,0.0201291967827065,0.138270881318793,0.453000001210919,0.17805104150648,0.051858127448902,0.128545276123339,0.489973517297132,0.256524655693434,0.0692539949233619,0.219357415463445,0.44813917956284,0.36181726356843,0.0644237576615822,0.0871675462596396,0.0324330959921774,0.0682428999721109,0.0715247059751251,0.0689433624622503,0.0258103475577439,0.0522769013538839,0.0536041044551567,0.0667545717441262,0.0247967293524204,0.0774454892107607,0.0926545106771271,0.0655077854781403,0.0356300120494643,0.0943537213983623,0.0919134950966009,0.0788323726359048,0.0328271078866427,0.0689283165522631,0.0723380460354652,0.0691836816631801,0.0258889123693263,0.0526936503302234,0.0539450419792542,0.0670607666357679,0.0249045180317052,0.078253199308751,0.0941898732322294,0.0658711889190144,0.0362383918928856,0.0962209966309449,0.0934450069041146,0.079439839182409
8000,0.05,80,9000003,0.442552583373864,0.189441076516562,0.136367842372492,0.120845187903712,0.448318214812507,0.121509995710299,0.0734003955309214,0.117810475462004,0.456498505331454,0.170137497343678,0.104917103957658,0.121996066773057,0.437813314426281,0.18263991003121,0.0916253778468412,0.114004545700693,0.0106077973712709,0.0255224160882016,0.0234507391665435,0.0236976867099858,0.00884673585712222,0.0176691014299379,0.0170651984830887,0.0210677888286314,0.00773661094392153,0.0277931414839934,0.0266524296777041,0.022653360457079,0.0145213856912457,0.0361517379750271,0.0339183722408363,0.0268071025344173,0.0106277382010396,0.0255828003044587,0.023501348482671,0.0237314264733466,0.00885120263516408,0.0176851989562464,0.0170778563373421,0.0210794325664924,0.00774210838080163,0.0278373244348855,0.0267369079494026,0.0226790758654864,0.0145659719994823,0.0362915677488346,0.0340420596162732,0.0268513321359596
400,0.05,80,9000004,0.39643540075599,0.409657646291414,0.0408048188247732,0.080140171121273,0.422212865418929,0.274928448786832,0.0182314354315036,0.0923423160190237,0.443208597114101,0.538468878317553,0.00460498856799111,0.022445657563006,0.356042761846397,0.537634628526805,0.00683109495192798,0.12858586834891,0.0430497432645233,0.08432013643924,0.0977833722109656,0.0856429265142947,0.037615677027413,0.0642962381892889,0.076626646491074,0.0856274092189757,0.0379399542244864,0.104860466393696,0.123891553354967,0.0904611164488126,0.0515672441907497,0.100120857274092,0.145338367374721,0.0907831710975496,0.0436291912045343,0.0851041503011059,0.098754934216985,0.0865114010342268,0.0378701657013378,0.0654010788852586,0.0771987002963234,0.0861660179916489,0.039124272092615,0.11119425818958,0.125285480653417,0.0905509041541845,0.0522658464065525,0.102633774804507,0.147223354859333,0.0916010273501533
