"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.RI.1","ghat.RI.2","ghat.RI.3","ghat.SI.1","ghat.SI.2","ghat.SI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.OI.1","stde.OI.2","stde.OI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.RI.1","stde.RI.2","stde.RI.3","stde.SI.1","stde.SI.2","stde.SI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.OI.1","bste.OI.2","bste.OI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.RI.1","bste.RI.2","bste.RI.3","bste.SI.1","bste.SI.2","bste.SI.3","bste.CI.1","bste.CI.2","bste.CI.3"
400,0.09,80,1000001,1.9878254407823,1.57131195126552,-1.34560016675234,2.12487461042745,0.913332586106629,-0.788578074722313,2.2738964821391,0.97369812910723,-0.97741360499402,2.21237938453313,0.895360472503759,-0.723967601361241,2.02866214726998,0.923530635610377,-0.707075839486344,0.0615489742281646,0.103765880015376,0.111847537009693,0.0724335320165603,0.181389015412444,0.179064535522823,0.0843059745345659,0.238188216420827,0.210012488170551,NA,NA,NA,0.0762596592091514,0.201432902813217,0.250277739353982,0.0616132645801173,0.104503934411007,0.113034045766657,0.0713587210764928,0.203782454181824,0.20199127317394,0.0805188046354501,0.297494205657234,0.21344717875463,NA,NA,NA,0.07931156496908,0.20207979428539,0.320215909050822
800,0.09,80,1000001,1.84178338598856,1.66577109177084,-1.50527858790688,1.99991036020262,1.28939941107348,-1.1974541353994,2.27745406411617,1.61385888254809,-1.61754459352926,2.01805095814143,0.946896949448541,-0.963107436553951,1.88218454866958,1.83683680761868,-1.62941366745095,0.0567087442103931,0.0895336881396642,0.115699737716014,0.0590378910570631,0.0733449497393965,0.10638195027164,0.0710100979713956,0.103082819516932,0.175676613565247,NA,NA,NA,0.0533275846755973,0.112527489859808,0.129212258281133,0.0568402702130978,0.0919600886290114,0.116404445233925,0.0591484347348045,0.0736775847845969,0.106951782403825,0.0713022181684466,0.103587564458292,0.177212331148122,NA,NA,NA,0.0533659151072661,0.118210116057169,0.129933584636323
8000,0.09,80,1000001,1.97040410466395,1.53765663175277,-1.47936495230431,2.07804372547464,1.14867328022604,-1.09180497246148,2.3754813855695,1.46509809391735,-1.41171994601162,2.11012396284628,0.874267398399353,-0.89307534408538,1.97525988764928,1.55949435543949,-1.44799085516095,0.0186857037807999,0.0326242750718278,0.0330280906869069,0.0171603978915815,0.0278014051394837,0.0292264320233514,0.016832096230641,0.034140039965672,0.0346901971941812,NA,NA,NA,0.0188523119320918,0.0487301717240824,0.0608951135205882,0.0186986596317344,0.0326473933688356,0.033084338790772,0.0171630142719995,0.0278220086051142,0.0292974795556423,0.0168339704193349,0.0341612034832551,0.0347295260393539,NA,NA,NA,0.0188689979192325,0.0489181167427582,0.0618405576355829
400,0.09,80,1000002,1.90588635689215,1.38146334685815,-1.50349967415221,2.0086101141598,1.19999656105689,-1.19438472437711,2.32935355152477,1.48171087986497,-1.56294703555599,2.00534074548599,0.820116330082857,-1.03926918677704,1.86272277340308,1.53191073501312,-1.64633616781012,0.0783640963948145,0.213835990399324,0.13842706490374,0.0937995914141345,0.150186690381223,0.122559957278458,0.0835139285011778,0.21879454189371,0.163023987224526,NA,NA,NA,0.139172010304211,0.321362389269644,0.265699953647467,0.0786162750954605,0.228981490803389,0.145052518672887,0.094307965147428,0.152049386916396,0.126516049775017,0.0839420142718969,0.222756865907439,0.168153539902629,NA,NA,NA,0.140480610428463,0.329669774216849,0.282954343083236
800,0.09,80,1000002,2.04071457443445,1.41641554088839,-1.51774529002668,2.14022335481058,0.974067428712341,-1.1447828162571,2.38971190910863,1.29848623936149,-1.48438062124761,2.13845534012647,0.709089493860775,-0.945216264382764,2.05494696532715,1.34026856356445,-1.61333705389761,0.0505141819473906,0.102143306863382,0.082721926588057,0.0534704240854141,0.107623558571594,0.0738538798816673,0.0503096310788241,0.133359828061322,0.0878559148239387,NA,NA,NA,0.0614964153922719,0.177148771256447,0.124150273797664,0.0505971971757158,0.102516920493804,0.0829838927470747,0.0535491161619034,0.108242195352927,0.0740705989093278,0.0503561527884364,0.134101070350899,0.0881578496380113,NA,NA,NA,0.0616481708134531,0.179171881941575,0.124921167107204
8000,0.09,80,1000002,1.92887106806344,1.69928856989403,-1.52685390187501,2.07129282882764,1.18634372854722,-1.13066377928002,2.36148269033241,1.51583564404359,-1.45406572225427,2.12375456360847,0.897778810437322,-0.905361798599144,1.95146034125778,1.68947400955109,-1.52603163206816,0.0630692598511328,0.182294682451999,0.0296444135603009,0.0291811077405501,0.0647976355053655,0.0280276020860697,0.0220193203104379,0.0677214252602239,0.0377238105473138,NA,NA,NA,0.052019481168933,0.145315408183464,0.052894780140903,0.0639746199691112,0.187953751362816,0.0297927584516602,0.0292660956079604,0.0652995750924774,0.0280460754875973,0.022035437440058,0.0680968454142821,0.0377461564067754,NA,NA,NA,0.0523719608219034,0.14722708107952,0.0529884143829569
400,0.09,80,1000003,2.05635261906708,1.49515731521551,-1.40780131818586,2.08013351328029,1.1299395829328,-1.11026259944679,2.43807769380652,1.45929565093241,-1.38154771988668,2.11127155485736,0.872825426983546,-0.953309952970793,1.97666738196334,1.52760192600457,-1.41216921162,0.0941028664052919,0.123668060251044,0.191521203622206,0.0799135004252293,0.106799638101807,0.11664308954965,0.074064637082764,0.138238385922994,0.137270576600978,NA,NA,NA,0.0930794827193084,0.168896501166964,0.157595207729605,0.0950932053159791,0.12495549298502,0.200942023166006,0.0802384792905783,0.10723745914232,0.118570152649195,0.0741983537671855,0.138757406325558,0.138563288252249,NA,NA,NA,0.0938410132271862,0.170165194874079,0.162576780918475
800,0.09,80,1000003,1.99093019905106,1.56340516099039,-1.49405063070861,2.08995215757753,1.15375213641949,-1.14534404765941,2.43403303211923,1.43908668632499,-1.46544412396216,2.11469202758592,0.848109249214465,-0.966009492250077,1.95980047643252,1.56337467553866,-1.54472955028768,0.0592175654725194,0.118490273825097,0.0817247041459378,0.0551770961440492,0.0784125763294794,0.0787924352890158,0.0518865455378576,0.0954531469060311,0.0956726793108,NA,NA,NA,0.0626733393358546,0.113543539059751,0.119076682659173,0.0595279464218217,0.119885394570749,0.0822130775046054,0.055279921923379,0.0785746378266036,0.0794918933517061,0.0519334927410427,0.0956237552349821,0.0962161584787142,NA,NA,NA,0.0629083517624383,0.113851349042998,0.121578136107118
8000,0.09,80,1000003,2.04163904971898,1.44569362091404,-1.49624805071838,2.11193346392023,1.10617576786853,-1.10929992397435,2.41062811037561,1.42290101297851,-1.441497954239,2.14135717442342,0.832091614236851,-0.899124823646784,2.01042185454727,1.49727107515256,-1.53175084006711,0.0185811803060266,0.0345162155847752,0.0307345386750995,0.0189169453519758,0.0335538576326592,0.0285585466029499,0.0172863876095248,0.0387765303663539,0.0346043762868964,NA,NA,NA,0.0232033968955449,0.0531946499671911,0.0492046603194587,0.0185930904219049,0.0345457032826779,0.0307748804017788,0.0189241476555945,0.0335954956188307,0.0285748574612514,0.0172892541162968,0.0388124216884752,0.0346198401655354,NA,NA,NA,0.0232232204235251,0.0533113200082419,0.0492768348625931
400,0.09,80,1000004,2.02013820139502,1.22743556812455,-1.69498403820099,2.11514231332918,0.955475049966458,-1.26821721875653,2.39202215720141,1.24536535172353,-1.59958974092052,2.04517823354042,0.641205218481849,-1.10273395713351,2.0098040678664,1.219257538596,-1.79572361502498,0.0635811898334114,0.0974386014859921,0.103562142271983,0.0661508621799016,0.0881694500113288,0.105850637924858,0.0660413715550907,0.106809579520716,0.136086967014997,NA,NA,NA,0.0778392413873453,0.155062415158986,0.186938551811033,0.0637975714522308,0.0983089245007731,0.104578954842271,0.0663974362016008,0.0887767057045812,0.10691845627928,0.066314704165851,0.107499006588773,0.137529643414642,NA,NA,NA,0.0786713162700809,0.158616473334635,0.192330214444348
800,0.09,80,1000004,2.01497720551356,1.57222023677539,-1.48161588901165,2.09781597678387,1.17826837359877,-1.1293650135128,2.37486862799994,1.50625869145802,-1.41587887472845,2.12583914320484,0.870210624304357,-0.935609952097092,1.99120111642664,1.61199424296943,-1.45755879984278,0.0462305783584437,0.087569944328763,0.07612730712721,0.0486299724091681,0.0777560119542251,0.071027219863746,0.0487342707130194,0.103630097692375,0.091208441147898,NA,NA,NA,0.054291999383101,0.120197466484622,0.113152737493876,0.0463015215186728,0.0879934124612068,0.076393731639785,0.0486777282635986,0.078017502087528,0.0714874635379821,0.0487818544449149,0.104016721861587,0.091798463153596,NA,NA,NA,0.0543826124265935,0.12257088992271,0.117210904434379
8000,0.09,80,1000004,1.98614521235996,1.46067355288489,-1.52366839710263,2.06931999046532,1.08274897816859,-1.09458592612322,2.33336659986323,1.37793303852299,-1.40720049497578,2.09462013987412,0.819107943496786,-0.908471465574851,1.98561593150294,1.43141977359761,-1.47193736130726,0.0206167878204055,0.0355993904049191,0.0375710225917277,0.0220677252253904,0.0369326013148057,0.0316712226544857,0.0197085181538626,0.0430233904133235,0.0378243679812984,NA,NA,NA,0.0247872365889475,0.0547883132170687,0.052557678263859,0.0206296981314679,0.0356275726321259,0.037631360662094,0.0220879491461801,0.0369787133425536,0.0316925763028575,0.0197190545197437,0.0430828926527177,0.0378484211747619,NA,NA,NA,0.0248114793660298,0.0549456515899366,0.052642629640771
400,0.09,80,1000005,2.14768933917185,1.34804852561218,-1.38672315394499,2.22504730230465,1.08837293089069,-1.05044754630269,2.41682291567214,1.42060327208784,-1.3001388885776,2.24563954001026,0.850734383887242,-0.843358107892202,2.16382742641267,1.38632223517519,-1.46524744899982,0.0909313648479922,0.222171773946899,0.112541907966665,0.0732193568221695,0.11537434690647,0.10877810829504,0.0755325802742011,0.156010998052295,0.149544448436356,NA,NA,NA,0.0921709405211458,0.181850528237236,0.179520632583044,0.0922627318208192,0.231606574446372,0.112839715355912,0.073470486194154,0.116489737443511,0.109426113857247,0.075803585567355,0.157908633353536,0.150666551094012,NA,NA,NA,0.0928196469357164,0.192569846057243,0.182299058171636
800,0.09,80,1000005,1.96883602715683,1.47751214665788,-1.58464444766485,2.05891232401075,1.19293796503452,-1.1868783980993,2.30422010785461,1.48850046646182,-1.51654048570065,2.08982061417057,0.922579270890724,-0.928122145482142,1.9879566565319,1.74099876425295,-1.64625431075846,0.048807138690274,0.086547410473922,0.100120323894368,0.0547854670714868,0.0798121291148724,0.0829970253877605,0.0549497456056189,0.109929497309529,0.106508665042535,NA,NA,NA,0.0593148919451155,0.122490530167369,0.13799491589568,0.0488907106067617,0.0870417953575721,0.100732928282219,0.0548782024337667,0.0800724182412038,0.0832931888966334,0.0550433577576578,0.110313387202319,0.106971102346501,NA,NA,NA,0.0594167025717448,0.122992496154512,0.140419058293654
8000,0.09,80,1000005,1.98998269780995,1.48544923762104,-1.49731414776426,2.09222240021912,1.11870203957288,-1.12382856653573,2.37114866278821,1.40882667503049,-1.46026667270408,2.10829699039031,0.828163362597954,-0.928251637880736,1.97751399270858,1.5821724250797,-1.51940495767237,0.0212741090066835,0.0412950162043421,0.0304541103883194,0.027231439996671,0.0459193240108009,0.0422835714681885,0.0222029065375088,0.0567238216686895,0.0548708253802722,NA,NA,NA,0.0450938986404727,0.0936135129138744,0.0738793910030754,0.0213012495361358,0.0414010792803725,0.0304848158359601,0.0272938631804943,0.0460917376624537,0.0424029525303274,0.0222232784730106,0.0568823748029616,0.0550079599912955,NA,NA,NA,0.0453683285955571,0.0943892947995431,0.0743789951291834
