"n","vare","B","seed","pi.cc","ghat.N.1","ghat.N.2","ghat.N.3","ghat.O.1","ghat.O.2","ghat.O.3","ghat.C.1","ghat.C.2","ghat.C.3","stde.N.1","stde.N.2","stde.N.3","stde.O.1","stde.O.2","stde.O.3","stde.C.1","stde.C.2","stde.C.3"
2000,0.05,30,3000001,0.05,0.364898490708359,0.505189147904645,0.645612011455111,0.368112985396065,0.524103313185411,0.680270816601269,0.328137082845731,0.554407399025204,0.780768019650777,0.0576217059902661,0.0403153029235487,0.05537955875101,0.0693336573429656,0.0426414139830767,0.051453596325012,0.0849337265428382,0.0471201666902741,0.0720176242396587
2000,0.05,30,3000001,0.25,0.410772310560305,0.492527396272371,0.574343419932167,0.35158240888728,0.490729607121054,0.629925359599699,0.396552225177608,0.508048454228672,0.619601943954817,0.0271433908979576,0.0192342549962846,0.0297170723997417,0.0314283703979202,0.0199751620496951,0.0324542083014473,0.0372483271880221,0.0231232572569445,0.0404377888939437
2000,0.05,30,3000001,0.5,0.41211846649659,0.48833639230975,0.564631473127269,0.362056554334344,0.48497141337708,0.607968057029547,0.404302938542972,0.495116684050595,0.586002268048392,0.0220061790084185,0.0151843448544761,0.0220784712259827,0.0240431469893016,0.0159697514107651,0.0248452377733944,0.0353250777291753,0.0196390927214729,0.0316078203419524
2000,0.05,30,3000002,0.05,0.42175456004233,0.516182463939783,0.610650316616221,0.412831738208834,0.528612659101428,0.644361876256193,0.413793628245402,0.541353192024101,0.668865446606547,0.0516114701052515,0.0390977629141977,0.0549843251868143,0.0613069444601431,0.0411186958478551,0.0610315498690178,0.0737483879217438,0.0443666742165713,0.0723928127381366
2000,0.05,30,3000002,0.25,0.444025384556563,0.509070849460654,0.574086264345152,0.433994453342425,0.509380114218623,0.58469312071086,0.427378144079563,0.518563260000179,0.609647586669775,0.0272709120028824,0.0199863828373994,0.0293808378929567,0.0313840675638784,0.0216520216120039,0.0352079359991371,0.0389716912000918,0.0235299524377308,0.0380754043092056
2000,0.05,30,3000002,0.5,0.451483990847202,0.504404751809554,0.557406961536617,0.420779790929135,0.495498603574445,0.570286566030247,0.449882089557424,0.504565127452633,0.559349119101659,0.0218906572226316,0.0153913772431487,0.0222514022914702,0.0252877174105106,0.0164438589881788,0.0255187671750028,0.0341224834873086,0.018934129523645,0.0305693906316537
2000,0.05,30,3000003,0.05,0.38441681197377,0.49455320452184,0.604870161273306,0.370592746232562,0.519371036324807,0.668264072886123,0.371899060338658,0.513020300484175,0.654177599335937,0.0533722773480334,0.0414439461018576,0.0586891054503901,0.0634308309825761,0.0421984498355681,0.0636803464035749,0.0775297225425924,0.0523723791061124,0.0780373392747487
2000,0.05,30,3000003,0.25,0.418576756029302,0.490806602931967,0.563131098253194,0.412501883271778,0.501927044871504,0.591343037959345,0.424664512264005,0.505494229385077,0.586455609970352,0.0320894858120698,0.0221137472580957,0.0344728304732443,0.0393734665609026,0.0227337642242172,0.0425082429443194,0.0528692523654821,0.0322134551305165,0.0574088913453716
2000,0.05,30,3000003,0.5,0.426708362890357,0.488153645788982,0.549647551184265,0.406667143424309,0.493719395547297,0.580731156342857,0.433585669038783,0.49356860074674,0.553566609376134,0.0255091844630293,0.0165425528081475,0.0252598274629765,0.0285476119848003,0.0179786742705701,0.030240306324626,0.0421121560111469,0.023219789849631,0.0414199017293524
2000,0.05,30,3000004,0.05,0.49917468992196,0.494880232442141,0.490508984226815,0.523368754794496,0.517388452425541,0.511367042505253,0.471571616077758,0.482826773967926,0.494065829869017,0.0583830574335613,0.0390957085922738,0.0545778661249371,0.0696172209994923,0.0430001732393328,0.0683113029010416,0.0926411888744063,0.0418247056516282,0.0925223092557742
