"n","vare","B","seed","a1","a2","a3","a4","a5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.RG.1","est.RG.2","est.RG.3","est.RG.4","est.RG.5","est.SG.1","est.SG.2","est.SG.3","est.SG.4","est.SG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.RG.1","ste.RG.2","ste.RG.3","ste.RG.4","ste.RG.5","ste.SG.1","ste.SG.2","ste.SG.3","ste.SG.4","ste.SG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.OG.5","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.NG.5","bcs.RG.1","bcs.RG.2","bcs.RG.3","bcs.RG.4","bcs.RG.5","bcs.SG.1","bcs.SG.2","bcs.SG.3","bcs.SG.4","bcs.SG.5","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4","bcs.CG.5"
400,0.25,80,1000001,0,1,2,3,4,0.152770119536704,0.189456252988094,0.235900502549784,0.293902398663032,0.363924693524913,0.143247431629373,0.179023606949604,0.225473123998147,0.286136185139825,0.363810984524803,0.118003709643981,0.161913277533802,0.22372389476013,0.31140605947037,0.429957583071601,0.122587942871506,0.163314988769,0.220836521436827,0.304366790227279,0.420859487773634,0.113536243193509,0.15595953785846,0.217460430898109,0.308610616889916,0.437087043667907,0.0477185036307665,0.0327396243066521,0.0231979379028638,0.0423994976069732,0.0790133596105285,0.0396210011647417,0.0291904246149825,0.0233124755377256,0.0338102190788877,0.0616912735494906,0.0473153778090785,0.0337935365496142,0.0241739275761328,0.0441963851711021,0.0913519035630482,NA,NA,NA,NA,NA,0.0495324140894309,0.0357397779691252,0.0283704338381521,0.0460314768030499,0.0971524755729037,0.0492286174444192,0.0332817164303005,0.023174986818552,0.043697327380222,0.0816555553979796,0.0404656023603762,0.0293459946352225,0.0230436899883069,0.0343120399350899,0.0631916874692326,0.0495967600935411,0.034635624878196,0.0237212414352967,0.0459605640894626,0.0948381456271409,NA,NA,NA,NA,NA,0.0515363241887457,0.0372701856639474,0.0326296233215096,0.0478754098444524,0.106991771944585
800,0.25,80,1000001,0,1,2,3,4,0.0803642861100498,0.139058385977783,0.239420912192363,0.373184107207004,0.504728166208022,0.103662310101949,0.158068853979013,0.240524319884235,0.343756975698752,0.445328404221621,0.0731374254635247,0.129457921230056,0.236221102267161,0.382524865299875,0.513449509986559,0.0824899221192056,0.138021218648789,0.240495466135586,0.377324932607228,0.496347133858507,0.0710829777193249,0.124745643841151,0.230469493502916,0.379005762280885,0.51033222716144,0.0168332670762885,0.0175637346738656,0.0165665031364588,0.0249242079702464,0.0385618266436661,0.0212241966885233,0.0204463639763409,0.0171814417201117,0.0221840186517268,0.0336868424148615,0.0192650582887469,0.0207314920971544,0.0175744416669273,0.0264726447762115,0.0410385464794922,NA,NA,NA,NA,NA,0.0195358705304221,0.0222962030073673,0.0197485746358577,0.0252699436070002,0.0389550805203651,0.0169577541125224,0.0176120273784303,0.0165530618182547,0.0251660818877515,0.0390739195334711,0.0211449360613947,0.0203976179941614,0.0171326441398671,0.022395068253682,0.0340116297978744,0.0191724102611544,0.0206846684658478,0.017485180974778,0.0269990506619436,0.0414525535290095,NA,NA,NA,NA,NA,0.0195626033339623,0.0223930273270838,0.0197560334650733,0.0255646302032381,0.0393459143769441
8000,0.25,80,1000001,0,1,2,3,4,0.101217279743516,0.156432633148382,0.234694445380302,0.328856366169772,0.422481839396315,0.132513515204696,0.178304872398908,0.235319198647107,0.300361748978459,0.367612116684158,0.102940741786272,0.157661679036509,0.235231536519323,0.32846647316519,0.420926742949376,0.108474308498282,0.161545097877529,0.234605771829364,0.321604632540566,0.409094817844425,0.101130661335903,0.155522303539627,0.233345729174706,0.327484087491349,0.421011212268741,0.00750213295417742,0.00647219444223021,0.00514417589053956,0.00843974872357275,0.0137933017564391,0.00815283903556027,0.00642250807109832,0.00502593938431528,0.00749028255825685,0.0122904375590898,0.00889120002715884,0.0072591170693495,0.00518041431755494,0.00949206894143955,0.016217917413711,NA,NA,NA,NA,NA,0.00922418498761138,0.00768727823699954,0.00533133208417639,0.00958057098601988,0.0165236667109786,0.00749323071315799,0.00646741673812419,0.00514464306830877,0.00845312885891784,0.0138014554546134,0.00814415943213099,0.00641735654450562,0.00502586581649979,0.00749796543890054,0.0122967922715899,0.00887021282487882,0.00724875755118167,0.00518092302931602,0.00950966996711581,0.0162174606053115,NA,NA,NA,NA,NA,0.00920978227410682,0.00767981667536134,0.00533314555363771,0.0095962287293829,0.016527691023501
400,0.25,80,1000002,0,1,2,3,4,0.119240752930368,0.182190245482372,0.269916870481568,0.373251100053348,0.47463567358653,0.155655821912529,0.206835375138254,0.269369509774907,0.342937421353062,0.425846830034277,0.124181784911,0.186831447470004,0.270446718214121,0.374111088243054,0.492244143630535,0.132238021427842,0.192562283450156,0.271121281463687,0.36708433513839,0.476085107472999,0.110001955306091,0.175434768507321,0.266020398529885,0.379170174381223,0.505733628355969,0.0426060681998841,0.0319965625596248,0.0235829704397427,0.0455542110457452,0.0769034633851296,0.0432615944509678,0.0326868850815973,0.0242627840367854,0.0373643242840987,0.0677043564212947,0.0480690144513489,0.037101436103378,0.0249327460370993,0.0488550380447743,0.0954265800547708,NA,NA,NA,NA,NA,0.0600440012087401,0.0470270964174214,0.0261587992540829,0.0565283499399762,0.104648451657667,0.0435192606801357,0.0321532977789494,0.0242465387052016,0.0475900867317166,0.0796589663074955,0.0439658967813445,0.0329539788694575,0.0242188171559189,0.0380765375725639,0.0695529198282959,0.0496952229026115,0.0378509310055788,0.0249746522636677,0.0508482136078001,0.0995635150043682,NA,NA,NA,NA,NA,0.0624638049450495,0.0487577080638464,0.0271393765006301,0.0585868878048586,0.110193608410222
800,0.25,80,1000002,0,1,2,3,4,0.0930375060954548,0.146810361543606,0.223995213414105,0.318422265727176,0.414156839058844,0.111067530711215,0.159322071200101,0.222322598311051,0.296385678852147,0.37374117476656,0.0814218876897623,0.136578431050836,0.221036963232001,0.327212491317509,0.433024361680981,0.0824079499313224,0.137100031480134,0.222099644134248,0.330164762581693,0.437602804197284,0.0709980823454202,0.124611337838185,0.215203000608114,0.334339811625708,0.449050649447316,0.0248954264186728,0.0219683184707925,0.0160186115439523,0.0279500144794851,0.0484418159505648,0.0247879327054475,0.0205099119006541,0.0156242027525062,0.0236003880737576,0.0407271309590826,0.025848237802199,0.0228209453533681,0.0159830194797038,0.0306669700791512,0.0554835000767735,NA,NA,NA,NA,NA,0.0277762818946882,0.0278927432972075,0.018267562124418,0.0327189272082529,0.0589006977240147,0.0247286069915711,0.0219613524055945,0.0159977927573848,0.0285088234769195,0.049098944301957,0.0246109184161785,0.0204134519204845,0.0155615405062281,0.0238392542209375,0.0409928691700373,0.0252328802182098,0.0226431005248148,0.0159183104662329,0.0312762930179534,0.0555109358082304,NA,NA,NA,NA,NA,0.0278800178264456,0.0281444737462363,0.018467488315416,0.0339165333501764,0.0607544807713653
8000,0.25,80,1000002,0,1,2,3,4,0.119240917905455,0.172410187741785,0.243112847613639,0.325873538097753,0.409505716714814,0.148701165096132,0.192082883974715,0.243992720027293,0.302065365453252,0.362366168723188,0.119715317062487,0.173219287174107,0.244207106487573,0.327177597605786,0.411091439997838,0.125300362081483,0.177039151190074,0.24364922390357,0.320701075704662,0.399690822734076,0.118536781155101,0.17190774760866,0.243234407208074,0.326863004398076,0.411208652204848,0.00820236124581406,0.00667987472005088,0.00511389408976408,0.00841001223883085,0.0137618569428175,0.00833637822152921,0.00637466533577731,0.00503965267329967,0.00753940398358481,0.0122052440539874,0.00929433862907676,0.00724859116658024,0.00518617875626918,0.00951385174712432,0.0160865642316642,NA,NA,NA,NA,NA,0.00961946348403817,0.00758683708463588,0.0052780927291028,0.00967292956245726,0.0163757881473611,0.00819805547429617,0.0066773235655613,0.00511436969102362,0.00842306356435578,0.0137767208691476,0.00833427525958067,0.0063726428099235,0.00503989361036359,0.00754754309986895,0.0122170068164986,0.00928847979685522,0.00724519022270982,0.00518701466123865,0.00953285628940445,0.0161049199821289,NA,NA,NA,NA,NA,0.00961658680190875,0.00758533714048689,0.00528032338464897,0.00968994463667253,0.0163945903633621
400,0.25,80,1000003,0,1,2,3,4,0.0825588547829451,0.133277267307786,0.2044044263941,0.292382396097329,0.388941227372405,0.100019289487057,0.141626862197362,0.197844047642274,0.271913447117808,0.365717613720269,0.0777625904930286,0.127290832689065,0.202262745109834,0.310002059728321,0.452094647430838,0.0761058001647586,0.126188673288639,0.200529826836063,0.302854225905063,0.431506078618236,0.0759107780542323,0.124558987770383,0.19825641712881,0.304860964651966,0.447334139541759,0.0382992779493251,0.0341260978869126,0.0246862397120954,0.0421546890741644,0.0971578377200703,0.0265641029143367,0.0243861312871678,0.0242086667472489,0.03460821343604,0.0646297504286994,0.027083734109944,0.0250860319316226,0.0251243488269238,0.0449359844725121,0.09968332989588,NA,NA,NA,NA,NA,0.0292169696961171,0.026034467715654,0.0266153832461614,0.0450262320987364,0.0884450462808784,0.0302094531565248,0.0261426318047256,0.0219035802405594,0.0412563014964477,0.0763701393356694,0.0272536360485028,0.0247501976955723,0.0241926181955677,0.0349574274575765,0.0672486561584145,0.0283748919954104,0.0257140566077541,0.0250652259688131,0.0465599469721476,0.106622474672073,NA,NA,NA,NA,NA,0.0305657700703008,0.03085458904937,0.0387908244575151,0.0475909339566251,0.10825942545992
800,0.25,80,1000003,0,1,2,3,4,0.12825283314525,0.18717801208168,0.263671414286457,0.350014199805779,0.433911784324937,0.129081488455505,0.186893392328271,0.259793774318396,0.343000662798457,0.428601900479114,0.0952121683094071,0.163533094027553,0.261624341530326,0.378676693881769,0.494127819475508,0.100009037309855,0.165650042273361,0.257941333181567,0.368299721166138,0.479489160844561,0.0917454733038476,0.159902804264887,0.259060728782049,0.378550633269234,0.497043542302054,0.0296297329064979,0.0226335683102681,0.0165992215187195,0.0286674097999093,0.0465900247941701,0.0253742773172274,0.0207922232840808,0.016573928866904,0.0250964168043189,0.0421226918339345,0.0262393236761558,0.0231512771557321,0.0169898399044773,0.0312254808214835,0.0567642832926445,NA,NA,NA,NA,NA,0.028980800303281,0.0261879878789619,0.0179278813293073,0.0320958312000606,0.0593812550451724,0.0290920199413393,0.0223200001518871,0.0165297521629697,0.0288437509330055,0.0463234548444858,0.0251114523018427,0.0205305100207478,0.0164568475521292,0.0252534167981148,0.0419752149197836,0.025779505389285,0.022701215970756,0.0167639567581968,0.0315070012088904,0.0554532267336616,NA,NA,NA,NA,NA,0.0289841922670412,0.0261371144586966,0.0177921967092901,0.0323528603517525,0.0594701028197304
8000,0.25,80,1000003,0,1,2,3,4,0.0975686038891518,0.156369078999571,0.239843123310568,0.341178916438701,0.443752486176453,0.126853109811854,0.177404400464449,0.241182674398431,0.314730783722966,0.391356881935395,0.0936319151483098,0.154477607037991,0.24256218595915,0.349795121361249,0.456723327339187,0.102029263259784,0.160155957889445,0.24131175589823,0.338769960416225,0.437024955885808,0.0905054643999594,0.151521258452161,0.241463817726848,0.351607884991263,0.460385121059183,0.00737811939407466,0.0064889064752305,0.005113703312433,0.00865562144530399,0.014304356325236,0.00795000532008927,0.00637772534720056,0.00504985635622952,0.00781487828535834,0.0128629439813904,0.00836914120185558,0.00717403483411738,0.00520213064405879,0.0100283155030023,0.0170288000891428,NA,NA,NA,NA,NA,0.00914151693264417,0.0079093754577819,0.00540838777596772,0.0108905827060917,0.0182546263242718,0.00736933681632603,0.0064823048736061,0.00511147376932775,0.00866926374138064,0.014309618003464,0.0079421393681121,0.00637167504505361,0.00504827735944208,0.00782356552157053,0.0128703338920835,0.00835228413748208,0.00716267293498277,0.00519881200018499,0.0100476661003495,0.0170206872853433,NA,NA,NA,NA,NA,0.00913023826398948,0.00790237127202994,0.0054047170771084,0.0109082383271391,0.0182565517705237
400,0.25,80,1000004,0,1,2,3,4,0.109796514413137,0.16954149892563,0.254320069639506,0.36277037262361,0.485674681623438,0.13780481327082,0.192056181546242,0.259287972269199,0.336763559040256,0.419380842070407,0.101049635415274,0.166582641962473,0.259003648180317,0.372028123834733,0.490483038009606,0.0940355497116915,0.160575923714892,0.256376866657849,0.375573361319518,0.502986705282644,0.10029708060323,0.165678049677919,0.258604948991507,0.372475001107043,0.490921638245911,0.0307578533901406,0.0281408745978924,0.0245568176885352,0.0399005107197577,0.071819438812103,0.0338313101863838,0.0279322517431741,0.0239663182299545,0.036029547445535,0.0581708402193918,0.0351713111788332,0.0312880721627908,0.025037482767798,0.0452139131341759,0.077830176754255,NA,NA,NA,NA,NA,0.0375887041300519,0.0335260006849978,0.0263157498820732,0.0484905734870731,0.0819978388496792,0.0313323266118302,0.0283379438266589,0.0245012992524472,0.0407482360404591,0.0732052422054314,0.0342961317046188,0.0280862369189732,0.0239329699572137,0.0366032816543819,0.0591705108071258,0.0361955772221219,0.0319469430429894,0.0251095030107402,0.0466816549208166,0.0793991740922892,NA,NA,NA,NA,NA,0.0383010583967561,0.0340421093788565,0.0262523160614565,0.0493888156375565,0.0833707744976425
800,0.25,80,1000004,0,1,2,3,4,0.0939745328936438,0.154076535998874,0.2430031481797,0.351404666169169,0.456327299790279,0.133307609068412,0.183775031475397,0.247084875900606,0.31933333930331,0.393360087562755,0.103259600447143,0.162767240127435,0.246871701110723,0.34720572381799,0.445440629666522,0.110013145807571,0.166642574899753,0.246035194509181,0.340345914281089,0.432297204685575,0.0587090884542268,0.108214459718201,0.246573011643177,0.443174722373048,0.541296016474912,0.0309915568668446,0.0247542483465141,0.0159388468979031,0.0316598755852393,0.0555497367617266,0.0274696793183509,0.0213870212695815,0.0158179110759765,0.0260053937304989,0.043724406145322,0.0294603730512684,0.0240263334479567,0.0161177284946266,0.0328387887899222,0.0554645181756972,NA,NA,NA,NA,NA,0.0220691518437587,0.0218075481740424,0.0160786759643512,0.0258053611955358,0.0437985891883595,0.0301236078187606,0.0243511604351038,0.0159193364027557,0.0321468902620418,0.0552292353180023,0.0274341260377248,0.0213315983602409,0.0158101040880232,0.0264133223812248,0.0442930800553326,0.0292304075324527,0.023925751512134,0.0161542720479349,0.0336096642644178,0.0560124616364353,NA,NA,NA,NA,NA,6.80637373159453,6.37385331394802,2.36438235159456,4.60227628224708,11.4180580831418
