"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.RI.1","ghat.RI.2","ghat.RI.3","ghat.RI.4","ghat.SI.1","ghat.SI.2","ghat.SI.3","ghat.SI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.RI.1","stde.RI.2","stde.RI.3","stde.RI.4","stde.SI.1","stde.SI.2","stde.SI.3","stde.SI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.OI.1","bste.OI.2","bste.OI.3","bste.OI.4","bste.NI.1","bste.NI.2","bste.NI.3","bste.NI.4","bste.RI.1","bste.RI.2","bste.RI.3","bste.RI.4","bste.SI.1","bste.SI.2","bste.SI.3","bste.SI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,8000065,0.421273022426446,0.196426374198735,0.160166184161201,0.243245705805424,0.437429741289932,0.157343218654342,0.122246725027629,0.189182123102578,0.428342721798919,0.215201786598529,0.336207321055484,0.224599770476473,0.486608703322027,0.173140903229096,0.132252920514834,0.235320489151612,0.45037119857866,0.217088749368329,0.260958963322919,0.187137861714067,0.0302379238609435,0.0714477198534172,0.0671481356686301,0.0648822454480753,0.0273223372965534,0.0530205047675531,0.0553412996205024,0.0636478581414564,0.0233223911556341,0.0731853778191772,0.0829300498799827,0.0625271590801208,NA,NA,NA,NA,0.041124469238646,0.102591023099901,0.104401815534571,0.0785286361338356,0.0303750152235963,0.0720282222504436,0.06747564008191,0.0651927282805425,0.0274357909940578,0.0533637285735507,0.0562482660371691,0.0638335801388405,0.0235870399181599,0.0740229222347702,0.0861180429601308,0.0630001462554042,NA,NA,NA,NA,0.0418910867379254,0.105411248878601,0.111473990173887,0.078981653181309
800,0.05,80,8000066,0.440658845842068,0.0729704458409817,0.048738813993374,0.356650779526244,0.447393518225766,0.0410147148944726,0.0384817527488049,0.2874910707608,0.458711633843739,0.0165737673925241,0.130532858492354,0.292212120689839,0.461136377086138,0.0623893069060695,0.0437820124657863,0.289445829249956,0.460021583709374,-0.0385815024777904,0.0442815642171033,0.318430724456588,0.0319683454308363,0.0873724780291418,0.0671003567115486,0.0663756578222064,0.0257215123779833,0.0585525270888592,0.0543015580819132,0.062589562978264,0.0304266354386685,0.127483270527334,0.108845133886249,0.0637478644546222,NA,NA,NA,NA,0.0388595487696719,0.119116809215658,0.108378389305799,0.0704209854619844,0.0325776907889014,0.089979252418864,0.0676758098861065,0.0673294831942148,0.0258694903816225,0.0592602720137937,0.0548274011517645,0.0629202581767752,0.0310451657432304,0.13570889034022,0.114192153384155,0.0645189652234238,NA,NA,NA,NA,0.0403087480398104,0.123237886873704,0.11283654102838,0.0709857575921638
800,0.05,80,8000067,0.444628787467901,0.15734428657694,0.289350788865425,0.296696749021141,0.443995902649307,0.0989759793899578,0.205339981939189,0.272562454647433,0.442059149313121,0.14784023044144,0.247981112768826,0.248347777956595,0.48036281230203,0.127262513979634,0.201526600690813,0.317316888377398,0.469286995926075,0.10216668787218,0.294226223108436,0.277633536975894,0.0278988665910413,0.0745840296200818,0.0634348343284945,0.0630958896471705,0.0240047085262568,0.052318320851383,0.0471192772692885,0.0589644299053258,0.022404422313305,0.0790451783807013,0.0731323496983977,0.0618672026980398,NA,NA,NA,NA,0.0340801394176925,0.101513443735787,0.0866719719708229,0.06670661853841,0.0280232844849124,0.0752754367956954,0.0637290586965996,0.0634884676981068,0.0240762012002881,0.0527361072802189,0.04742176687868,0.0592155251983055,0.0224868173652986,0.0799636510659529,0.0738667149134132,0.062248709577433,NA,NA,NA,NA,0.0346464110647363,0.104335146484871,0.0885686847596549,0.0669906085571156
800,0.05,80,8000068,0.360313743291185,0.33683272414933,0.0850107110312173,0.252135316542113,0.378606463507468,0.241855527830929,0.0852961120965,0.239297466412688,0.431058903084835,0.346790608043074,0.166890245342979,0.301032497086645,0.449677248719874,0.231971629978472,0.120267363076011,0.282301533029106,0.342717104626191,0.431255572000579,0.133840743720656,0.236750091187917,0.0256199862178962,0.0597540507555263,0.0600185096354904,0.0611375625972633,0.0220190624595128,0.0436075017002275,0.0478885220532486,0.0638566194596082,0.0228955573701587,0.0739493975591423,0.0711038661495387,0.0684394853478914,NA,NA,NA,NA,0.0212616574015629,0.0706490725097876,0.0804048950367324,0.0715566053852331,0.0259911953750027,0.06085809601674,0.0603369411480525,0.0614883756793363,0.0221124232311698,0.0438125342213838,0.0482635910083768,0.0642575818659537,0.0229733615770313,0.0744553080894893,0.0717816466730147,0.069093320799377,NA,NA,NA,NA,0.0213370588499266,0.0710204754291976,0.0818892024413753,0.0725848546070668
800,0.05,80,8000069,0.453441123674083,0.227779089217972,0.209903944537475,0.171088269748105,0.474399299816792,0.150549116716738,0.187277989081084,0.14162467762241,0.452006704058679,0.295472069791158,0.275909869104786,0.142088140113503,0.518182122205977,0.173895874261813,0.180702277042325,0.209608468640355,0.511397299406849,0.166323744888579,0.392486580824135,0.112554808416195,0.0304391633024201,0.0689605207677786,0.070331856029287,0.0656332393716662,0.0270904131099225,0.0557144859617921,0.0543052196203528,0.065996624083588,0.0254826508858939,0.0801059081643801,0.100461495264746,0.0683865375845454,NA,NA,NA,NA,0.037485787585994,0.109054341570137,0.0956543988673736,0.0758572511356252,0.0306193206120429,0.0694510397957354,0.0711142216055191,0.0659131359843225,0.0272305658410159,0.0563531720206487,0.0551215434092986,0.0662719473618375,0.0260134273898559,0.0814211870299596,0.108240059567549,0.0684409458168811,NA,NA,NA,NA,0.038295403791375,0.114817045136277,0.100271218418031,0.0759954232936839
800,0.05,80,8000070,0.437478631490817,0.179544551820646,0.0207678482618973,0.0377772777400773,0.442929108598215,0.163703291783378,0.0190132506540531,0.0658994641357228,0.46751760613218,0.3493276877217,0.0515991319116495,0.0942152555679065,0.4801096212938,0.142226018969321,0.0523947417201828,0.0991696777031145,0.422089052258855,0.35039525726414,0.0159076318180636,0.0419583232883343,0.028505873624169,0.0800311030073015,0.0777091629316975,0.0721683108668916,0.025011514685052,0.0647043108005366,0.0581991929385678,0.0690199013195665,0.0291072020651436,0.115538835100978,0.109582280362936,0.083196283953401,NA,NA,NA,NA,0.0349262599172572,0.118885205160638,0.109534620616955,0.0845531963922323,0.0287316828149092,0.0823328391711747,0.0786417681892311,0.0725675479713122,0.0252284374016095,0.0675815254541801,0.0587999692583443,0.0694739697704126,0.0288689322253884,0.126366984470312,0.110808560413825,0.0857321960459954,NA,NA,NA,NA,0.0389535423125104,0.144566056346755,0.111511706497535,0.0851324803280875
800,0.05,80,8000071,0.472330719710903,0.106658216025431,0.154123609056337,0.148498177947556,0.475901256149913,0.0828810731856358,0.0852315284969332,0.11210922681529,0.476805012802667,0.063350361036776,0.243507764306036,0.0841514787248584,0.494107363435667,0.0860512637562898,0.087819916823962,0.138743072905934,0.476127570255593,0.123909371547649,0.109258585834892,0.106983480845091,0.0328753219781886,0.0666528495581044,0.0714079626271019,0.0662456500358788,0.0278245942764536,0.0501848505057671,0.0568002386403709,0.0676145010996494,0.0222448774874838,0.0709687445069872,0.0751491130118351,0.0626495210095282,NA,NA,NA,NA,0.0443480083019109,0.0875596443495512,0.119518409597371,0.0756231105420744,0.033122262504786,0.0671682111763374,0.0720352429795723,0.0664990737749078,0.0279745011749204,0.050410878831128,0.0572538513270255,0.0680609640458976,0.0222853962911897,0.0713191532748643,0.076011089769798,0.0630299239552849,NA,NA,NA,NA,0.0454167407170534,0.0888348353024671,0.123024766516111,0.0763064395224723
800,0.05,80,8000072,0.487683173869917,0.149001939152269,0.242720972545544,0.175786468787357,0.462685712210787,0.160484863321256,0.0915875025982082,0.209745100803577,0.47594506528161,0.269720836664896,0.162635288263427,0.100560004176628,0.500474646005364,0.163178929391649,0.103716518785865,0.246038724393167,0.461902500445002,0.254077238001592,0.16082244595417,0.211933882665114,0.033992243243058,0.0800699068932933,0.083079943745543,0.0630617404663607,0.0256507890709941,0.0496638918670771,0.0504635170304528,0.0589316626442933,0.022937020484581,0.0713234707477303,0.0770718219768956,0.0637220526646451,NA,NA,NA,NA,0.0356461675811105,0.0850449111682068,0.0917827957775774,0.0630900637106395,0.0347235738284176,0.0814536907157481,0.0867081217969066,0.063286982034143,0.0257167104547914,0.0498279762325626,0.0506219013156619,0.0591339304219605,0.0230008988936166,0.0715035065597931,0.0776320015785306,0.0644463299234572,NA,NA,NA,NA,0.0358691312502619,0.0855466327216104,0.0923601639794824,0.0633447460559369
800,0.05,80,8000073,0.402691177493371,0.355049412349722,0.0495259702190086,0.0869785561996511,0.442874758495759,0.169775583400297,0.109612102488368,0.136239143316728,0.463709998942901,0.11445689338493,0.262252753597899,0.120336886422913,0.490413119079886,0.180224592343747,0.122154335771818,0.18971946368811,0.44216663892493,0.283577270140282,0.210611202869843,0.148697899829263,0.0275531737319932,0.058650028585918,0.0632935332268399,0.0690541514293813,0.0250111293256718,0.0433191549796536,0.0497072506779407,0.0647330156521382,0.0248605103555875,0.0702491602421689,0.0839901302992335,0.0777071897954955,NA,NA,NA,NA,0.0301184735005117,0.0590913333557881,0.0884623514090901,0.0739178731870494,0.0276512418342251,0.058952240691829,0.0635247844067033,0.0693789884578003,0.0250861488404698,0.0435071327383977,0.0498966832881736,0.0649669324573989,0.0249631163315371,0.0705112168100586,0.0849404019260516,0.0787297237937531,NA,NA,NA,NA,0.0302646641792005,0.0594079847371327,0.0890794573870928,0.0743510081084103
800,0.05,80,8000074,0.464373401720303,0.22266753217669,0.135039248659036,0.153216880939093,0.479183571650471,0.104431312014109,0.124642806409315,0.192789776470424,0.477602179610105,0.161645600400677,0.266125946398072,0.242865838296485,0.51715599912513,0.121967419592209,0.135133707983385,0.228007734817458,0.48886056653844,0.152473812110772,0.186343492423164,0.193253363973765,0.0286817681733015,0.0642255936101856,0.0762313094071169,0.0684620759859575,0.0245391860011542,0.0509040742479148,0.0538443951333512,0.0637736909478548,0.0225972327532793,0.0776948692579721,0.0766985365507549,0.062820604591756,NA,NA,NA,NA,0.0331674338083863,0.0907420157683498,0.101634737169912,0.074266064588188,0.0288308707132496,0.0646304154383074,0.0767933351991021,0.0692453394746941,0.0245894839920234,0.0511491926039001,0.0540634105831464,0.0643044415446598,0.0226512867173196,0.0783706724746777,0.07727102888902,0.0637052847240622,NA,NA,NA,NA,0.0334435000455889,0.0917647381923433,0.102951397057551,0.0753233241286056
