"n","vare","B","seed","pi.cc","ghat.N.1","ghat.O.1","ghat.C.1","stde.N.1","stde.O.1","stde.C.1","bste.N.1","bste.O.1","bste.C.1"
2000,0.02,80,3000001,0.05,0.305681597099711,0.368100041142894,0.444248658979209,0.128856195463977,0.161507369124458,0.170857989544548,0.130241721250486,0.163417712388745,0.171580757098644
2000,0.02,80,3000001,0.1,0.210508534805664,0.348406845866634,0.307002573042971,0.104541071238704,0.124429717653113,0.142027939628246,0.105342929309676,0.125101489347048,0.142795112721318
2000,0.02,80,3000001,0.25,0.115725409725039,0.196156159653848,0.153429197147691,0.0756765397727654,0.101878229312608,0.105830855884875,0.0759941459082321,0.10254360424705,0.106497992908801
2000,0.02,80,3000001,0.5,0.0941776179474925,0.161545210455859,0.114009676455271,0.0577651871110725,0.076684754955595,0.086356111720512,0.0578356379089618,0.0768165138354224,0.0864113333040742
2000,0.02,80,3000001,1,0.127836842458419,0.144940733486542,0.188034128777465,0.0443676813150155,0.0577535512170958,0.068026684857619,0.0444003586346216,0.0578735374495898,0.0680806518366727
2000,0.02,80,3000002,0.05,0.146563234046588,0.216506951364462,0.237622904507679,0.153917248788115,0.199287471504139,0.276463706207519,0.154408965447986,0.198370190935547,0.274930369479315
2000,0.02,80,3000002,0.1,0.149959875173941,0.313598155586016,0.257558446368553,0.106942504575736,0.134635182687049,0.188224539516457,0.10744988157529,0.135552441838384,0.189432275305473
2000,0.02,80,3000002,0.25,0.0584977390375764,0.175489072591622,0.0711660108487517,0.0741781082980883,0.0955228003770737,0.123871213273466,0.0744356007494895,0.0958884307341206,0.125170359332665
2000,0.02,80,3000002,0.5,0.0880537401410676,0.180518209507214,0.117102419732709,0.0585630954756067,0.0737903369841981,0.0969229165030576,0.0586278827521754,0.073872459000323,0.0970493975750415
2000,0.02,80,3000002,1,0.0967159888438782,0.187718073120993,0.147957603306049,0.0457441227144718,0.0577661337143077,0.0730868933386068,0.0457931647566467,0.0577852369781711,0.0732622658486769
2000,0.02,80,3000003,0.05,-0.132218398679463,-0.00639296207731677,-0.189069427171441,0.167519069454252,0.213986122464078,0.290757605947266,0.169684826732057,0.217351973248006,0.295351109168601
2000,0.02,80,3000003,0.1,-0.0435370244658127,0.0906575212569223,-0.0973331369846413,0.11970944791178,0.144607189274408,0.195889658568691,0.120520706861119,0.14593735405492,0.197654110968693
2000,0.02,80,3000003,0.25,0.0625794613008565,0.0524413710787361,0.0947283677315832,0.0762629120216642,0.0975180809231589,0.121421314592764,0.0764965974692227,0.0979484091454538,0.122029229833858
2000,0.02,80,3000003,0.5,0.101729718206387,0.108125537599499,0.150900506400217,0.0577604851627373,0.0726798564956651,0.0947042598648615,0.0578576427630626,0.0728150962796393,0.0950695787111943
2000,0.02,80,3000003,1,0.0939143307482372,0.102479206649338,0.130133506085783,0.0477810722522224,0.0593117883673479,0.0804329979154043,0.0478589709795088,0.0593897120552499,0.0808090036081319
2000,0.02,80,3000004,0.05,-0.0753630106681831,0.175684391532401,-0.136451993344577,0.160778362528868,0.179196656880724,0.29960655769152,0.162528564835101,0.181753487255254,0.303363588205318
2000,0.02,80,3000004,0.1,-0.0607228123224477,0.121424941458712,-0.12049020608091,0.112114690817204,0.129090126887355,0.204350851744421,0.112721385441684,0.129788635628688,0.205877537912585
2000,0.02,80,3000004,0.25,0.00277630381981719,0.0678521296523901,-0.00396285622964787,0.0744030969814894,0.0921436799541785,0.128388535038883,0.0746506346142179,0.0924120548440911,0.129141292506333
2000,0.02,80,3000004,0.5,0.029967142050928,0.061532656955702,0.05873178782661,0.0587250884513621,0.0725722604841419,0.102595841426872,0.0588980977586061,0.0727250642476734,0.1034847797196
2000,0.02,80,3000004,1,0.0489006325544784,0.0641881870082862,0.0793908905006639,0.0474565870111549,0.0595226303414432,0.078546767891406,0.0475392672084312,0.0595947770069995,0.0789264266709621
2000,0.02,80,3000005,0.05,0.210797340506126,0.12695798469928,0.323859462473397,0.129834125770466,0.168083053981381,0.192348718583782,0.13189367525074,0.169732889100199,0.196036212078858
2000,0.02,80,3000005,0.1,0.112477041921408,0.148260138552618,0.187047397890756,0.10122344348947,0.118599753939555,0.154339011565792,0.101886131206954,0.118637175824526,0.155169508733572
2000,0.02,80,3000005,0.25,0.0922537858194251,0.201399479161587,0.15698412297987,0.0714046067204537,0.0871235548001628,0.110880703456485,0.0715609382326683,0.0875530411984691,0.111145967141022
2000,0.02,80,3000005,0.5,0.141476708901818,0.250078190979243,0.232855547242006,0.0547084627010059,0.0673642306705713,0.0838936388844375,0.0547860721401481,0.0675239748469734,0.0840640215104667
2000,0.02,80,3000005,1,0.15799344062754,0.235872729368765,0.252848066078831,0.0440126232538866,0.0565301668171793,0.0668868713376594,0.0440483131786671,0.0565544915120251,0.0669588820788487
2000,0.02,80,3000006,0.05,0.0887059225138418,0.169196357122586,0.113887421474665,0.155234553822007,0.155481894721231,0.23230242762998,0.159022041231415,0.15741808106991,0.240708218389021
2000,0.02,80,3000006,0.1,0.0930188616098944,0.184853419733266,0.143837904540722,0.109788044555847,0.116689861211088,0.177121795361481,0.110601039730683,0.117450372507703,0.178804411469784
2000,0.02,80,3000006,0.25,0.217840739475827,0.190152591511949,0.34252432373415,0.0744638464685011,0.0873586778831056,0.124520953574332,0.0747482347951548,0.087784646800958,0.12549545108346
2000,0.02,80,3000006,0.5,0.170102590421003,0.187337067739631,0.273177118268687,0.0595102664446302,0.0716393593004702,0.100993119544396,0.0596369294959744,0.0718163638631494,0.101434956345653
