"n","vare","B","seed","a1","a2","a3","a4","a5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.RG.1","est.RG.2","est.RG.3","est.RG.4","est.RG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.RG.1","ste.RG.2","ste.RG.3","ste.RG.4","ste.RG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.OG.5","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.NG.5","bcs.RG.1","bcs.RG.2","bcs.RG.3","bcs.RG.4","bcs.RG.5","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4","bcs.CG.5"
400,0.25,80,5000001,0,1,2,3,4,0.0819096741835467,0.132589844588533,0.205776993206321,0.299984287249723,0.406493168247953,0.124680550157954,0.162656942749528,0.210565273463187,0.268353738211735,0.334747438328078,0.101015814762527,0.14543254202456,0.207704854432578,0.288160855581928,0.383032788840615,0.102173347491369,0.145528134996188,0.206077051323192,0.285405063929491,0.381792960035342,0.0240763628248802,0.0235865862442704,0.0211775125623511,0.0312169450383313,0.0538366550638941,0.02986775655751,0.024786704683647,0.0210361772890596,0.028753952816905,0.0494913561101063,0.0321642881230074,0.0269114179663685,0.021171571862605,0.0343981942870451,0.0682472005641598,0.033964291523948,0.0294847513457092,0.0228734060759497,0.0342910702271674,0.0779914207031896,0.0241998522171433,0.0234516020250036,0.0208995400056948,0.0318170346855982,0.0542520398509375,0.0297162891369044,0.024337350510825,0.0207756652217086,0.0291140537765899,0.0491970275308437,0.0323447933596795,0.0263799438735295,0.0207908635290954,0.035081905772392,0.0658762267544073,0.0335378678867198,0.0283941766479296,0.0223766256439557,0.0346868552689061,0.0740322919202159
800,0.25,80,5000001,0,1,2,3,4,0.105472846444223,0.164350671762616,0.24736261454954,0.346637495335379,0.445469252903794,0.135744375121409,0.185151741545749,0.249435462795323,0.323255561461888,0.396785466426251,0.102416404005788,0.160727849125815,0.250183640202737,0.358677221596304,0.458145184386483,0.0985171168860693,0.156380906753507,0.248155679047554,0.360965010134485,0.462951465238005,0.0246831750103851,0.0208117172392206,0.0167975767960028,0.0284470317554629,0.0486705648577113,0.0268489652220591,0.0208980900828122,0.016281622964504,0.0254396596519757,0.0401603287096498,0.0292560357714282,0.0239004375631211,0.0171337440342108,0.0331195357033766,0.0513772587426234,0.0321147753783989,0.0269004726442636,0.0176256647531122,0.0361829739285684,0.0560148008032509,0.024063994464853,0.0204269204931072,0.0167763542589922,0.0287143256073988,0.0482984566068496,0.0265490756279848,0.0207914686595322,0.0163454526545978,0.0257993967590032,0.0406524529057916,0.0284605127921685,0.0236621346526359,0.0173379683912199,0.0340350201558031,0.0521593269729207,0.0313798123242831,0.0266782423484034,0.017956354156343,0.0372931019254884,0.057144649625822
8000,0.25,80,5000001,0,1,2,3,4,0.0833257031082055,0.14172168821629,0.22874829970597,0.339507202861544,0.456822139429013,0.128272384592187,0.174744193897022,0.232180602961164,0.298874337333841,0.371145542305404,0.0990830001267376,0.155156441360367,0.232593387921477,0.32758106434222,0.429427091416893,0.0976561665080792,0.153600374317019,0.231051803671665,0.326480565776375,0.429548392484899,0.0069355771179285,0.00648116353634197,0.00517843995438191,0.0089066697915004,0.0159355397721263,0.00799894566996608,0.00638558200488719,0.00498415402378031,0.00757174003637634,0.0131828475820209,0.00857770796892094,0.00718696772887066,0.0051236390264411,0.00967338632528066,0.0180482306585434,0.00894589242982146,0.00757893108686909,0.00527502309228414,0.00967753848669987,0.0184737064364307,0.00693140173974475,0.00647643954184045,0.0051752738501977,0.008920832609599,0.0159423993118302,0.00799354910846726,0.00637962438852778,0.00498187489468114,0.00757956965640615,0.0131891380834298,0.00856702899338461,0.00717641969417631,0.00511962862414228,0.00969001947240437,0.0180415075255342,0.00894081041858001,0.00757204707751276,0.00527086482642813,0.00969308730572639,0.0184785306706471
400,0.25,80,5000002,0,1,2,3,4,0.190534898798156,0.203616426736035,0.222501854202231,0.246261250396941,0.273562298124395,0.233501118839676,0.214997185391843,0.213583227679361,0.226027768457109,0.247720421049742,0.255661476962544,0.218992185275451,0.213854406601192,0.234812962277547,0.270124509674511,0.258587874806927,0.217629576500086,0.210703977314202,0.231480092724156,0.267018490354704,0.0472988855630365,0.029671503862541,0.0214511675990976,0.0348445776266141,0.0572453458081979,0.0537997914418298,0.0301513772363165,0.0212734985328877,0.0294507623495939,0.0460857823616844,0.082640954675683,0.0399433344962151,0.0216017953775538,0.0366265217212402,0.0621703682355909,0.0759524868516229,0.0377087966681973,0.0231918458794161,0.0366426389284294,0.0612419706252856,0.0468428812615236,0.0296766476955988,0.0216249089766881,0.0359351139451526,0.0593894273333027,0.0539843202673174,0.0303071840520952,0.0211928752073543,0.0299055645403574,0.0473787882171636,0.0830056242541161,0.0404676522200835,0.021538094173342,0.0380202752242949,0.0654724283242758,0.0782123768891464,0.0384504975735842,0.023289029692359,0.0377534670087162,0.0640171933770805
800,0.25,80,5000002,0,1,2,3,4,0.117783036651941,0.164073276431063,0.248866722311534,0.357821770821192,0.451883229106037,0.165858809959495,0.20097361041109,0.249924720309562,0.308039041260503,0.366811579293963,0.146380325095226,0.184820203906462,0.25031703302092,0.332755999453694,0.409618591495086,0.145273190764568,0.182392421600145,0.249897875346138,0.33656988157148,0.416037298866232,0.0307296938323241,0.0235362126334813,0.0168013863346885,0.027620123184668,0.0384694618404448,0.0323272669032741,0.0212689125321899,0.0160679663722331,0.0251176695614169,0.0384767419322614,0.0425499573861372,0.0255262937115967,0.0164382288237492,0.0309593873686939,0.0469958138932287,0.0450770318546175,0.0281079582536916,0.0174345436270431,0.0374344832982376,0.0566317358913503,0.0300199932276351,0.0234121042247682,0.0168871056788245,0.0280147072561295,0.0388976833330749,0.0320227215982306,0.0212264529187097,0.016138942814668,0.0253519816952383,0.0388708983997362,0.0414196129904875,0.0253212367302924,0.0166152283553142,0.0314881626801274,0.047730651669121,0.0446428411887891,0.0279840173552151,0.0178430498652067,0.0379720804694957,0.0573494719930373
8000,0.25,80,5000002,0,1,2,3,4,0.106241630691588,0.165943135049466,0.251818743780589,0.354275917508411,0.452294490135873,0.13877910446728,0.189039458733777,0.251647554291973,0.322650479557887,0.395076216083676,0.108013798825749,0.168189346840832,0.253084813857282,0.353720333303833,0.451137880218466,0.105054303741199,0.165270693835724,0.251451030191694,0.354372759776947,0.45375364866217,0.00801337872415528,0.00674502357222585,0.00523677916290457,0.00884575729622748,0.0139141203466816,0.00851057194790077,0.00660394582764865,0.00515416692363795,0.00788869892023126,0.012796992836743,0.00933520553377353,0.00748614717585102,0.00531963264710191,0.00991948065829434,0.0165257605737602,0.0098142116951862,0.00804152272443231,0.00552379139905861,0.0103053683014984,0.0171927351915708,0.00800035360547944,0.00673932410336858,0.00523671152244238,0.00885801131776191,0.0139194157810371,0.00850107582804022,0.00659858327644266,0.00515408092820244,0.00789631750902959,0.0128029225489164,0.00931173816278396,0.00747495425126345,0.00531974272134729,0.00993528185183519,0.016520818792686,0.00979719636195996,0.00803399202979891,0.00552418337692083,0.010318990278325,0.0171924287200774
400,0.25,80,5000003,0,1,2,3,4,0.117386049586671,0.176051335736981,0.25289302819002,0.342116978263309,0.43556515410002,0.121990653916331,0.177196421518526,0.250856957609361,0.334599625665655,0.417818040579166,0.0896198586840248,0.153657788528845,0.253114427082931,0.371043285780343,0.483291925587096,0.090309421963651,0.153257128785461,0.25286139856214,0.369106514904228,0.475653567044186,0.0345139870880256,0.0277980155921911,0.0225237183707161,0.0368924710703137,0.0574533057910835,0.0339199056428457,0.028227909973008,0.0229392896262072,0.0324466953095754,0.0481806144544569,0.0356322990066797,0.0312896437512899,0.0235845485193882,0.0382947680482733,0.0591035152543847,0.0362703609948948,0.0346559111907276,0.0241386370561763,0.0362055649715471,0.054638996864138,0.0356594915908574,0.0281996331622778,0.0224652184679243,0.0377505448774833,0.0589067690624901,0.0345545727760122,0.0284358011005795,0.0228446980003959,0.0333588060803169,0.0497985206724729,0.0373104118990267,0.032125457728752,0.0237041003969546,0.0405663051430218,0.0617591654086596,0.0379169478468892,0.0354898512694182,0.0243104096687866,0.0377190331072786,0.0564484519041397
800,0.25,80,5000003,0,1,2,3,4,0.0844558595827472,0.141625205985001,0.248961165917135,0.387872211344432,0.499716164987022,0.104986705947817,0.160414901385633,0.246230803823109,0.351997749880149,0.450631989712823,0.0799581883595478,0.136528698604707,0.245597371453658,0.389067566543758,0.505287718046039,0.0777658952761338,0.134206457989835,0.245172245971977,0.391517218608799,0.508776165532424,0.0240406323370313,0.0229651727068876,0.0166758601937572,0.0289156336755021,0.0402388085923613,0.0198793468602589,0.0184955007987159,0.016125889403614,0.0242528457124478,0.0341119187804079,0.02001123160336,0.0194746604950402,0.0164006313729356,0.0284123942730298,0.0375256777150613,0.019092263335504,0.0188106406592543,0.0172021076344939,0.0303559950884931,0.0380559611381494,0.0235948685509855,0.0228017600290313,0.0166166776646036,0.0291741479232526,0.040232245093776,0.0197899165740337,0.0184733005641845,0.0161461136508678,0.0244159231231929,0.0342909444515075,0.0197368996197271,0.019425483251191,0.0164469845864988,0.0287942685076005,0.0376606619632082,0.0189551866074723,0.0188564865280796,0.0172652431885899,0.0305952004043464,0.0381610765477954
8000,0.25,80,5000003,0,1,2,3,4,0.111298209026576,0.166406819427795,0.240279281920684,0.3273550308706,0.416044031922246,0.143791718951358,0.187740180618323,0.240045896341274,0.29880573983804,0.36081619477389,0.114034320125528,0.168512105569317,0.240066357496161,0.324296789024181,0.412149519315678,0.113898332379839,0.16820462057206,0.239612679161136,0.323576709473398,0.41074866785066,0.00807059053520368,0.00661867587026413,0.0050949236360452,0.00863173138390939,0.0144021002001038,0.00799562128699273,0.00619967397617377,0.00498758252864883,0.00740876623284916,0.0121552245844368,0.0087970346674594,0.00699738078220901,0.00511227955588609,0.00933060726586463,0.0163591023338914,0.00915210565372576,0.00727217073619251,0.00520501028721304,0.00947176651399288,0.0165244238146191,0.00806214970751257,0.00661218390796482,0.00509405209794472,0.00864545369917998,0.014411066942745,0.00799247594889206,0.0061957530048487,0.00498681169111195,0.00741663706364357,0.0121643927483585,0.00879249912878172,0.00699150698754741,0.00511115140769743,0.00934861543753586,0.0163678973739939,0.00914993936821684,0.00726853264531962,0.00520453260667619,0.00948814213759296,0.0165385266932954
400,0.25,80,5000004,0,1,2,3,4,0.0971552001187083,0.146480363537706,0.213024888593249,0.296804260228999,0.394974076706746,0.128527386670294,0.168813190170561,0.21726895243045,0.272936868844551,0.333891707597897,0.100796306014068,0.150589185608305,0.216681751804578,0.296675481986309,0.384394132107509,0.09956163683665,0.148951988537474,0.214931728817974,0.295006231351979,0.382564663281179,0.0346933301435606,0.0292063328692205,0.0219687379533368,0.0348487656700398,0.0662580263409241,0.0361508005113312,0.0286010354262724,0.0219017517140791,0.0306535152307071,0.0525586742794471,0.0393921751032544,0.0326218870893002,0.0226232586282224,0.0388679431988116,0.0732411141009336,0.0403907920158107,0.0340464668425247,0.0230632968117501,0.0377780960571535,0.070530726996599,0.0354850505028603,0.0293385116544475,0.0219100760818801,0.0363728493800497,0.0679756692989159,0.0362272415157557,0.0282264482673837,0.0215933005006538,0.0314992779730593,0.0534937283741772,0.0397005665420593,0.0321593642307779,0.0222166488924993,0.040998256106674,0.0734312778117234,0.0412837583877835,0.0344166469727205,0.023189471231637,0.0396092762707978,0.0729384425780743
