"n","B","vare","seed","ps","out","method","type","est","se"
2000,30,0.16,2000002,1,1,"gfmla","mccs",0.651834413633583,0.0179967907909876
2000,30,0.16,2000002,1,1,"ipw","naive",0.593647502949871,0.015467596820481
2000,30,0.16,2000002,1,1,"ipw","oracle",0.668403460693106,0.0159597400167555
2000,30,0.16,2000002,1,1,"ipw","mccs",0.671047313311891,0.0176548512193058
2000,30,0.16,2000002,1,1,"dr","naive",0.582675480420196,0.0157647326445725
2000,30,0.16,2000002,1,1,"dr","oracle",0.65489871125593,0.0163940639891244
2000,30,0.16,2000002,1,1,"dr","mccs",0.660264335739059,0.0184619689800779
2000,30,0.16,2000003,0,0,"gfmla","naive",0.63626055483876,0.0134364747865347
2000,30,0.16,2000003,0,0,"gfmla","oracle",0.735922377527301,0.013070659918172
2000,30,0.16,2000003,0,0,"gfmla","mccs",0.734500269287919,0.0159166018125667
2000,30,0.16,2000003,0,0,"ipw","naive",0.632142617829616,0.0305299317490539
2000,30,0.16,2000003,0,0,"ipw","oracle",0.742980317028545,0.03102381284416
2000,30,0.16,2000003,0,0,"ipw","mccs",0.723540439573239,0.0397957807619496
2000,30,0.16,2000003,0,0,"dr","naive",0.643021705610414,0.0137481542873286
2000,30,0.16,2000003,0,0,"dr","oracle",0.73885617483692,0.0140447841092169
2000,30,0.16,2000003,0,0,"dr","mccs",0.754286903564617,0.0170758348945184
2000,30,0.16,2000003,1,0,"gfmla","naive",0.63626055483876,0.0134364747865347
2000,30,0.16,2000003,1,0,"gfmla","oracle",0.735922377527301,0.013070659918172
2000,30,0.16,2000003,1,0,"gfmla","mccs",0.734500269287919,0.0159166018125667
2000,30,0.16,2000003,1,0,"ipw","naive",0.603914030745535,0.0168127173660123
2000,30,0.16,2000003,1,0,"ipw","oracle",0.689084587534475,0.0174452625531568
2000,30,0.16,2000003,1,0,"ipw","mccs",0.683845956704704,0.0195159584133944
2000,30,0.16,2000003,1,0,"dr","naive",0.640540434409729,0.0139055245932229
2000,30,0.16,2000003,1,0,"dr","oracle",0.738573801448669,0.0134838911234899
2000,30,0.16,2000003,1,0,"dr","mccs",0.744081884312444,0.0169539849216954
2000,30,0.16,2000003,0,1,"gfmla","naive",0.598363317830075,0.015992380603043
2000,30,0.16,2000003,0,1,"gfmla","oracle",0.679248867278488,0.0161037434928122
2000,30,0.16,2000003,0,1,"gfmla","mccs",0.676403406886396,0.0183235360797371
2000,30,0.16,2000003,0,1,"ipw","naive",0.632142617829616,0.0305299317490603
2000,30,0.16,2000003,0,1,"ipw","oracle",0.742980317028545,0.03102381284416
2000,30,0.16,2000003,0,1,"ipw","mccs",0.723540439573239,0.0397957807619496
2000,30,0.16,2000003,0,1,"dr","naive",0.627676314479688,0.0237559925402425
2000,30,0.16,2000003,0,1,"dr","oracle",0.734617885015578,0.0237589463717158
2000,30,0.16,2000003,0,1,"dr","mccs",0.722272351574729,0.0319549260933135
2000,30,0.16,2000003,1,1,"gfmla","naive",0.598363317830075,0.015992380603043
2000,30,0.16,2000003,1,1,"gfmla","oracle",0.679248867278488,0.0161037434928122
2000,30,0.16,2000003,1,1,"gfmla","mccs",0.676403406886396,0.0183235360797371
2000,30,0.16,2000003,1,1,"ipw","naive",0.603914030745535,0.0168127173660123
2000,30,0.16,2000003,1,1,"ipw","oracle",0.689084587534475,0.0174452625531568
2000,30,0.16,2000003,1,1,"ipw","mccs",0.683845956704704,0.0195159584133944
2000,30,0.16,2000003,1,1,"dr","naive",0.609478118879924,0.016193971013099
2000,30,0.16,2000003,1,1,"dr","oracle",0.691293750879453,0.0164276315220182
2000,30,0.16,2000003,1,1,"dr","mccs",0.69398682393554,0.0196734184539487
2000,30,0.16,2000004,0,0,"gfmla","naive",0.650875382852701,0.0134595739302595
2000,30,0.16,2000004,0,0,"gfmla","oracle",0.730153906823564,0.0132107310087218
2000,30,0.16,2000004,0,0,"gfmla","mccs",0.744216112192273,0.0157247998644271
2000,30,0.16,2000004,0,0,"ipw","naive",0.657699550780475,0.0233641360766326
2000,30,0.16,2000004,0,0,"ipw","oracle",0.749259067619354,0.0272779328332421
