"n","a","vare","B","seed","est.OL","est.NL","est.CL","est.OG","est.NG","est.CG","ste.OL","ste.NL","ste.CL","ste.OG","ste.NG","ste.CG"
800,3,0.25,80,1000001,0.357695315594565,0.172950057986817,0.462543013523296,0.373184107207004,0.343756975698752,0.379236471652804,0.167394955265614,0.151763218942144,0.183022833363462,0.0249242079702464,0.0221840186517268,0.0258541237002477
800,3,0.25,80,1000002,0.137717406094218,0.000899344261109158,0.297896909784866,0.318422265727176,0.296385678852147,0.334921510767381,0.192843650925727,0.162131421928384,0.241832066093822,0.027950014479485,0.0236003880737576,0.0333317812073483
800,3,0.25,80,1000003,0.114352666517229,0.0477139544799963,0.278021223905359,0.350014199805779,0.343000662798457,0.378909683909989,0.189401895055711,0.168099143576051,0.226663905595581,0.0286674097999093,0.0250964168043189,0.0326459337624047
800,3,0.25,80,1000004,0.217816686453714,-0.0382590736106281,0.154546890686673,0.351404666169169,0.31933333930331,0.369987720865806,0.209428359757951,0.157434530467663,0.205930896187416,0.0316598755852393,0.0260053937304989,0.0430181063360745
800,3,0.25,80,1000005,0.121367233696625,-0.129402507807938,0.0590896033712691,0.358551101066254,0.315595692373538,0.342690480498042,0.196099488474783,0.156081022110387,0.193764264290135,0.0285857684455474,0.0230403405859473,0.0280597948370369
800,3,0.25,80,1000006,0.270027198681305,-0.0234295401116724,0.227733492497195,0.363518887691352,0.324786004370154,0.364752383711713,0.203056559838791,0.162737351586266,0.214063345162922,0.0286359222592433,0.0239963415617242,0.031512621586405
800,3,0.25,80,1000007,0.252444014892966,-0.0635449739244569,0.113126949479906,0.31893356666173,0.289733837803811,0.310120197305461,0.211477429237915,0.182518182268629,0.250197217586745,0.0271836460922067,0.0274621358128133,0.0396295339232961
800,3,0.25,80,1000008,0.231284718323759,-0.0870249391011484,0.12334660438764,0.350213287855064,0.314627634890576,0.349773905484527,0.194808485884835,0.162722241631806,0.201563765725133,0.0275000611658433,0.0237093767749659,0.0294094076810088
800,3,0.25,80,1000009,0.0967282321292546,0.00972647784946323,0.384704391923412,0.319383692791525,0.310258965557429,0.359943797344864,0.167603330725746,0.171450192695805,0.246152352839038,0.0248653342789891,0.0240817768404663,0.0325811935508585
800,3,0.25,80,1000010,0.267895071783542,-0.0231595779165421,0.253319024413487,0.372272479633002,0.324705072581717,0.364045035975246,0.218274581974631,0.198720013200866,0.337298363009272,0.0349110246755002,0.0280701932277194,0.0433349033510756
800,3,0.25,80,1000011,0.212101307596223,0.106768832562617,0.383746895690297,0.312350044356923,0.304130509771163,0.321554814717459,0.201808746960524,0.182020450213936,0.272184463797395,0.0261796957067263,0.0238050080056326,0.0321715410203537
800,3,0.25,80,1000012,0.288617746458224,0.116326838807142,0.36821664130789,0.349248164693831,0.325444719627704,0.24527663925504,0.20030313860337,0.17440277280725,0.228151444489732,0.0282021273907374,0.0248327744770762,0.0250943323456963
800,3,0.25,80,1000013,0.0294755476120527,-0.0416346521045952,0.145117560119507,0.347615940597513,0.327732730597744,0.357627494876473,0.178809191349718,0.154454920310611,0.196779598543901,0.0290868172667633,0.0226383188882521,0.0277416512411173
800,3,0.25,80,1000014,0.0161797837085733,-0.102409115977973,0.0457618727462665,0.315264068667782,0.279783036259476,0.303814202645532,0.177956506375397,0.163812372866865,0.191593974608362,0.0279424332028875,0.0233084019202563,0.0294132297448777
800,3,0.25,80,1000015,0.0473056662096947,-0.011306804408072,0.238834807035913,0.358385180988445,0.338988163672398,0.392508283621624,0.1779879088253,0.177618521942997,0.230476957265076,0.0292195541596305,0.0275979213472139,0.0358263526436453
800,3,0.25,80,1000016,0.378032546791046,0.0890257362128912,0.329519003118564,0.326266225773226,0.307854608477301,0.343540787960789,0.19518971746256,0.184314776806665,0.254057237235034,0.0349684629007803,0.0272080002993357,0.0373922819268613
800,3,0.25,80,1000017,-0.209604237975864,-0.425464543189764,-0.352183651230025,0.280161758360516,0.251422115465843,0.260298123298216,0.190678025690682,0.170666006809667,0.212457891740492,0.0271829793064347,0.0223264002588168,0.0274838729219334
800,3,0.25,80,1000018,0.139034252556267,-0.0818007586607539,0.148142818659453,0.359105228720541,0.327554267181683,0.362017022640794,0.179760139526928,0.162678141906894,0.218882730940494,0.0280207115776018,0.0244532881532168,0.0317306228742681
