"n","a","vare","B","seed","est.OL","est.NL","est.CL","est.OG","est.NG","est.CG","ste.OL","ste.NL","ste.CL","ste.OG","ste.NG","ste.CG"
800,3,0.25,80,6000001,0.257960860181627,0.0443918052527019,0.280448414254945,0.335888233833514,0.306937615314618,0.336429952028511,0.207273440214675,0.17219831530839,0.226581595868599,0.0281060012514592,0.023853626355328,0.0304342656938379
800,3,0.25,80,6000002,0.0313816698328124,-0.094637278377361,0.159333557334338,0.319838415135181,0.290635642592259,0.316167125285839,0.189067858743958,0.166452673773788,0.224850272080366,0.0272151221170882,0.0241126250532884,0.031901891559712
800,3,0.25,80,6000003,0.0316259640901917,-0.11833218758408,0.059581050476905,0.35979926890514,0.338402033229022,0.421339212617979,0.182324530031165,0.162973951375395,0.150162826990713,0.0280086997020591,0.0244786585948174,0.0242237583310162
800,3,0.25,80,6000004,0.231753058381743,-0.0619169358513474,0.0930784574216246,0.329533076376967,0.297424605238903,0.326111958680934,0.194673143106939,0.161185196444851,0.196370249884459,0.0268098415558161,0.0247555730218185,0.0359822116460283
800,3,0.25,80,6000005,-0.0999482458766785,-0.213149813324901,0.0285773191445018,0.308191957712518,0.283040068671701,0.318324347620577,0.210166768589509,0.184633777432283,0.247231295930965,0.028726559059958,0.0241264155213388,0.0322131481117109
800,3,0.25,80,6000006,-0.229898356810606,-0.502208662619453,-0.417166747734567,0.289963242989446,0.261434075422341,0.278258457364349,0.174911276918857,0.157527868932362,0.185120847998723,0.0259612123384505,0.0222499672549232,0.0271666016073134
800,3,0.25,80,6000007,0.236887520897646,-0.0538598769465659,0.159929111725033,0.330670879933596,0.307876310528956,0.342418623288822,0.170161255589291,0.159777325214813,0.189786674630955,0.0256423915101362,0.0241312439530126,0.0303984374144405
800,3,0.25,80,6000008,0.00619265481253395,-0.168425875826433,0.0112089887807356,0.315531481742313,0.298519543332097,0.325132249968284,0.189506298004618,0.169620182630023,0.224772366000075,0.0273902525449002,0.0238826947487071,0.0300586207582545
800,3,0.25,80,6000009,0.201164962590587,-0.083962302277655,0.0959348468936256,0.319674384607928,0.291291741041885,0.323961010427312,0.180183203775237,0.162291155942181,0.202669830905211,0.0270855368594341,0.0231853444062735,0.0296794130437202
800,3,0.25,80,6000010,0.180634670013937,-0.109688777727319,0.0943030611044575,0.322991433304505,0.298984630765305,0.328330910289722,0.199386838857739,0.170319850833844,0.251001144771932,0.0272459724057127,0.0244219009628238,0.0348988340762888
800,3,0.25,80,6000011,0.00826732867099889,-0.291467765292647,-0.0829397253884858,0.350601794795831,0.30708308084274,0.343492312383686,0.199296967583887,0.170625418004473,0.23055879356377,0.0288985184288412,0.024706799057448,0.0336566686089088
800,3,0.25,80,6000012,-0.0808035608764051,-0.207933109096377,0.00478640367832517,0.292577892917891,0.276302363095227,0.299038190057289,0.194722801728233,0.180214490815692,0.224863431970633,0.0281464333477639,0.0250472117871369,0.0323942136337784
800,3,0.25,80,6000013,0.34656295776054,0.163786899830607,0.384766063299109,0.314394805496194,0.302536734066676,0.325267992161035,0.188150062891078,0.172376998521928,0.223113674481925,0.0255484181695251,0.0229888899960228,0.0281393532921793
800,3,0.25,80,6000014,0.198570497222792,-0.223379983286734,-0.0335255526926839,0.332457373385812,0.27314090243818,0.289690687155409,0.200986524227385,0.164951469090873,0.222126238895453,0.0267493913974917,0.0217977406491767,0.0276116927682568
800,3,0.25,80,6000015,0.179271783066211,0.0111640064575131,0.302966026900319,0.321723335851033,0.305587482762157,0.337229334085191,0.180265148552468,0.168630204309256,0.242302374609373,0.0256748323305007,0.023130886762235,0.0304601212179795
800,3,0.25,80,6000016,0.444723961411518,0.12761850336373,0.322253816853347,0.366105277921556,0.322997831616756,0.343469146764541,0.207433650731438,0.177505659681419,0.234657378112053,0.0266417582368438,0.0231302905345014,0.0285521364367883
800,3,0.25,80,6000017,0.0319066174721092,-0.25244697696495,-0.0606703962190547,0.317964531778634,0.283604541942282,0.310569827562306,0.20855677066163,0.1695504339568,0.222682182628786,0.02706491423272,0.0234239468248348,0.0308150654718298
800,3,0.25,80,6000018,-0.28332739224165,-0.474507114625385,-0.353107816522513,0.302909779538331,0.270521904203523,0.289761316830285,0.170772837177137,0.150913963613673,0.194139255490137,0.0257883951621471,0.022724321588448,0.0296014941370416
