"n","vare","B","seed","ghat.OL.1","ghat.OL.2","ghat.OL.3","ghat.OL.4","ghat.NL.1","ghat.NL.2","ghat.NL.3","ghat.NL.4","ghat.CL.1","ghat.CL.2","ghat.CL.3","ghat.CL.4","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OL.1","stde.OL.2","stde.OL.3","stde.OL.4","stde.NL.1","stde.NL.2","stde.NL.3","stde.NL.4","stde.CL.1","stde.CL.2","stde.CL.3","stde.CL.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4"
800,0.05,75,3000001,0.464494658019192,0.0766708395202031,0.0697155684547193,0.302394339467506,0.436385355273215,0.0778364259478954,0.00964831998484985,0.329748741136977,0.452584289563638,0.217426017618826,0.152273502735528,0.279870240669667,0.371766503619046,-0.0661353847735207,-0.0274260512228072,0.403091595503714,0.369808026328325,-0.107369171277929,-0.0651909481304608,0.414187698937715,0.373795092394855,-0.166763487500594,-0.113821657454336,0.419623768959485,0.0357215072960251,0.0750738264148662,0.0790122250348603,0.0652245256679828,0.0319458496833369,0.063988734405955,0.0669079774396758,0.065098233304843,0.058321795563226,0.188381753446236,0.189228643328364,0.126626215963153,0.0438605284806165,0.112552903721531,0.110968885534511,0.105103649639885,0.0428071363278766,0.0899785028586489,0.0959819646960868,0.105461964914728,0.0452379915025598,0.139205933022817,0.153812962307131,0.107015801425496
2000,0.05,75,3000001,0.443214454108215,0.203215591632018,0.125331136322613,0.186531516354011,0.460081329234532,0.118436368355708,0.0541052970005387,0.124267492381838,0.454282771575001,0.180162978624176,0.119128381353599,0.183110053082148,0.402616290939458,0.211493007178326,0.089728161210943,0.269988689193732,0.396959356414464,0.157258147080097,0.0712522881535247,0.267959736046257,0.394713875871801,0.225102411245441,0.10899116307221,0.264716605725851,0.0191991583233001,0.0478712395266763,0.0453445353957389,0.0524065848382151,0.0169814365917266,0.0348029805503331,0.036277092382449,0.0418650347870404,0.0263629748237761,0.0843367219606796,0.0874108850164882,0.0643498170785986,0.0274521447283032,0.068788881970735,0.0712233115265549,0.0722495808489383,0.0268171028677706,0.055560703966839,0.0564620222544434,0.0724825282023475,0.0284987120665182,0.0818539365233505,0.085337535830772,0.0730470077077837
800,0.05,75,3000002,0.522411537946209,0.105239428013953,0.319208981521053,0.10964398192357,0.503041192002121,0.148322131584204,0.192798836002213,0.0225248073825553,0.608587712501872,-0.200361736297573,0.339639410129075,0.00318374059675084,0.485387771590789,0.163971432407628,0.285110927104432,-0.0922077795476556,0.476403083616267,0.183421915329018,0.111435746001297,-0.088092244924003,0.483084678791259,0.29687460038611,0.171677390162979,-0.102569352316194,0.0339154645125395,0.0691262536047074,0.068135096705922,0.0717676465448849,0.0284035858463311,0.0589358569710753,0.0577656461724206,0.0674548625417459,0.0390580472189165,0.160794291544972,0.160916373959157,0.146332891286815,0.0439041690668578,0.10663329034227,0.109522232229453,0.115956167731573,0.0422947186754407,0.0895610909106271,0.0857512010924142,0.115041606063722,0.0447160891619924,0.1396225846773,0.126194200021935,0.115514113199335
2000,0.05,75,3000002,0.481920736699805,0.136934154203911,0.138695874621307,0.101045850350166,0.477439245164607,0.137220770212919,0.0893249986023395,0.08932176664529,0.411668427520805,0.409426492404666,-0.220244504820832,0.133203063139489,0.43227653552722,0.117318152968827,0.179321456746722,0.164875793022941,0.423475292046318,0.146044691126779,0.118311350277787,0.168291545996928,0.428769965371267,0.223119484498358,0.183738399539577,0.168716774479241,0.0205941405441047,0.0594563514909707,0.044000441555315,0.0454818892749368,0.0175289867869511,0.0367035570041788,0.0356977670582906,0.0415415355520126,0.0307085363185683,0.105877897370192,0.153855740284863,0.113497088268065,0.0276578946731998,0.0680595591913247,0.0708485166473706,0.0722850076111474,0.026868058389334,0.0553245006677228,0.0585474339739103,0.0722307014992177,0.0285928481593636,0.0823325093774992,0.0915083118390198,0.0723758628682421
800,0.05,75,3000003,0.459735418001958,0.132429539604991,0.200749446570701,0.173948568176885,0.479813903257115,0.054536426177832,0.167718536442968,0.219661439592252,0.493713356106299,0.223545718932087,0.410426848322809,0.187889315837233,0.434047204606163,0.0454618919850392,-0.016964968314658,0.155081333990823,0.443495358906233,0.0218861815657974,0.0222946992631732,0.147948464210978,0.437154735725174,0.0338911855855274,0.0548069901782335,0.153236016665274,0.0380952141176309,0.0715260796801722,0.105449654868393,0.0733949055481263,0.0272300488643245,0.0561885672143946,0.0618393166963757,0.071306467010789,0.0471308822767721,0.165748334059741,0.25418763945916,0.177406775122814,0.0451203846658211,0.109935532389614,0.115752277578193,0.123012693259912,0.0440729334340774,0.0884466520872475,0.0952902408683423,0.123479634317181,0.0465653244745323,0.134228767762209,0.160839459808291,0.12434270195974
2000,0.05,75,3000003,0.474803160965192,0.112641087410077,0.210697293309555,0.120008875140965,0.447009651220307,0.094880274834878,0.0758095119079116,0.135128358387559,0.46048284821397,-0.00623449851343299,0.147305684829181,0.183254670875562,0.422064033211184,0.055499961995878,0.295857612866266,0.24056166009708,0.414724073145799,-0.00977959273924921,0.157442302110348,0.229789208129861,0.426504847471754,-0.00184743442958559,0.233089794510464,0.222593693430123,0.0342515311470178,0.0745324431660354,0.0688834942442996,0.0519354631369584,0.0186827595128775,0.0390373575488702,0.0390838761139892,0.0472292502126305,0.0328471560203055,0.127080441774168,0.120881162442072,0.0787570444512065,0.0278683016230083,0.0697512520366734,0.0699764482263249,0.0747762423309527,0.0273650351768661,0.0584017933230076,0.0580921124862154,0.0750962934438208,0.0293325510709772,0.0920855837543291,0.0895392868258135,0.0752968085647726
800,0.05,75,3000004,0.472864418464518,0.293665075495073,0.241904703970432,0.209394510894314,0.471163076877064,0.206358570152555,0.169352283994392,0.167868517976424,0.535031665299633,-0.0404860233704084,0.326412044554253,0.0793463899736371,0.447501555190021,0.266306772162249,0.167280042152893,0.233641594960376,0.455662285966771,0.181746328859221,0.154099226441197,0.218888406395635,0.45614044733545,0.283251356533417,0.231064090351746,0.214650973497711,0.0292338086765227,0.0629323542281915,0.0630662699548086,0.0599957744032003,0.0276244894285889,0.0547746996463296,0.0548502677131008,0.0631452133478304,0.043742093863678,0.158280085504418,0.148584781273707,0.0990571466866883,0.0410521530014759,0.100871053866666,0.10807560230959,0.109301352952268,0.0403907379609246,0.0854223011386828,0.0883198253585548,0.110514266501469,0.0428751462250243,0.131122786064356,0.136193856157997,0.111227456772977
2000,0.05,75,3000004,0.427712276304298,0.231515944683131,-0.00853947085904239,0.0789983422783396,0.450755197087622,0.118154520860541,0.0102559853603898,0.152180067628679,0.429232118489133,0.200876893953398,-0.16367520701964,0.026852550630511,0.376437073327402,0.2250156599218,0.0440155798655923,0.139737641913392,0.368830160421798,0.149427746371324,0.00482822121769562,0.139106188122808,0.367376890906045,0.219758820755052,0.0035384776431972,0.13721717480602,0.0209467069864965,0.0483052498296362,0.0508315910750384,0.0465776385745426,0.0176157614407504,0.0369864427151306,0.0366823300662675,0.0426170481934993,0.0346801148959932,0.117307332501552,0.124276356828153,0.120463142761267,0.0269437037476427,0.0643431046227618,0.0698870226433261,0.0710163166151589,0.0266074959123787,0.0537434454725371,0.056901980760853,0.0714779085297935,0.0282900202773409,0.0788838231195926,0.086471605196503,0.0720102042705608
800,0.05,75,3000005,0.49447782099664,0.261111998837751,0.161187827153611,0.0145249869521248,0.484668932675354,0.195257461425926,0.0751409037849795,0.041720901431007,0.566119806294087,-0.0820307255623533,0.101594673583917,-0.0445654237197825,0.400961756326454,0.0768993883969347,0.0718261699356049,0.308049403502119,0.378656325800404,0.107148649720183,-0.0291247118356326,0.300613659661565,0.372026857433512,0.172634966932388,-0.0496369454101024,0.301169188202987,0.0321707879764185,0.0740223946367093,0.064404088409482,0.0709011971073633,0.0279110812580141,0.0582255688662365,0.0557069344087987,0.0680776315811971,0.059750012884471,0.279809830945617,0.165021566700235,0.157917781155084,0.0440322082062551,0.11047772533789,0.110266713329776,0.116647286056036,0.0434830156321858,0.0932183727982097,0.0880958335971422,0.116801946386841,0.0471924360209086,0.150848104887604,0.131104531848385,0.117714208566865
2000,0.05,75,3000005,0.474797337518703,0.113868172428481,0.255924299518558,0.218670395833455,0.458713686674619,0.11040014121988,0.153842058357237,0.212084021959003,0.503450049436437,0.0306147824579346,0.364547713454782,0.217169336973168,0.390162540945519,0.0203798551418376,0.301536329174337,0.316119923200284,0.374380658000751,0.0146775093675238,0.182006133788889,0.312204154748362,0.383354101086461,0.0270935692384015,0.267489288340873,0.31118996668497,0.0196549558369334,0.0443371462939362,0.0418156640983636,0.041688477409761,0.0170947716336209,0.0360572764281647,0.0338388028001135,0.0402368191965267,0.0318584062148046,0.130185280388136,0.0994060341936816,0.111997204568172,0.0271748648216369,0.0705460042543782,0.0663174338673436,0.071213506724545,0.0268024748597199,0.0594748139266439,0.0556081507857106,0.0713253855285497,0.029304401750655,0.0951035138941821,0.0824619593062911,0.0719481655963428
