"n","vare","B","seed","a1","a2","a3","a4","a5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.OG.5","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.NG.5","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4","bcs.CG.5"
400,0.25,80,2000001,0,1,2,3,4,0.200393427340779,0.193617371214651,0.22440932044946,0.290330963660303,0.363070736666766,0.180006070801662,0.194919596259193,0.225916650422827,0.271104190672722,0.32396590234277,0.188302073139466,0.184052056509477,0.215619850970568,0.280830323982614,0.356163464113228,0.0628116787821163,0.0346981952771906,0.0226672332273052,0.0428690694996545,0.0658723726427805,0.0506730416566668,0.0320765289280018,0.0231706575237445,0.0359700286107151,0.059817195316787,0.117097053587754,0.0449425675990695,0.0372421951384887,0.0636258290356561,0.0962618365356934,0.0614925698840443,0.0343428903305449,0.0222459472064256,0.0437025610800844,0.0676468055053915,0.0499347187793511,0.0320179560377017,0.0229400388234853,0.0362210547084334,0.0609562128402747,0.11463289457891,0.0438797114946977,0.0373464044038192,0.0624389818177751,0.0945989361945634
800,0.25,80,2000001,0,1,2,3,4,0.124137262932587,0.183567089672927,0.282226146965373,0.401133725379648,0.499611175104111,0.191692293625903,0.228346411506149,0.285794379601518,0.355124600512285,0.421369554004126,0.173324377415257,0.208531008437899,0.288001881979277,0.390331588790596,0.474049311369883,0.027378267332345,0.0219843883552936,0.0169001381206621,0.028027595669604,0.036843285931458,0.0332006698977547,0.0229010572251561,0.0166988170871842,0.0250270218615902,0.0357668990058169,0.0466663173147267,0.0309448773173548,0.0176858468576349,0.0330889313743959,0.0437246968799644,0.0270386474383523,0.0219940489193189,0.0169064437966595,0.0283322529753121,0.0371540714633859,0.0330560040316182,0.0229026348974337,0.0166924259827105,0.0251857826994967,0.0360597130756868,0.0461924466633671,0.0310125869772561,0.0176753211357854,0.0334143804955148,0.0441911034053676
8000,0.25,80,2000001,0,1,2,3,4,0.107714021208528,0.161620480293686,0.237955319258709,0.330361274926681,0.422736177400288,0.133484766988108,0.180116834031577,0.237947523784855,0.304321593649198,0.374044973666794,0.102890599178978,0.159060879448474,0.237623131404178,0.332738899604484,0.429757828637656,0.00794834089267824,0.00654875432733936,0.00510894366500947,0.0086721732955391,0.0140212768383172,0.00794265923084618,0.00623347492174053,0.00498462612264349,0.00759841365449708,0.012547117480876,0.00911474897756708,0.00740552574285154,0.00521781284267538,0.00989060687255676,0.0172702232380809,0.00793619735180027,0.00654324928430183,0.00510905881542387,0.00868546182955988,0.0140328706487149,0.00793645152948636,0.00622930370658907,0.00498435321970216,0.00760623441862798,0.0125558393715183,0.00910470213717385,0.00739957076167528,0.00521853449468212,0.00990713102251261,0.0172797462474063
400,0.25,80,2000002,0,1,2,3,4,0.0996219711671364,0.158227020212806,0.245128288208957,0.35522053294246,0.466239990703357,0.135600680490415,0.18205473566712,0.242410802630035,0.314563482779436,0.390908361765127,0.105318651702966,0.154651337854088,0.249979767115097,0.4302958299091,0.54499686424208,0.0289363860623722,0.0250346204305213,0.022984926293176,0.0445140278672531,0.0658312120188184,0.031765858149481,0.0254663718737109,0.0224790454176457,0.0375107257749776,0.0601786163653006,0.0313701688367525,0.0255669580872066,0.0205247898641068,0.0348239643132785,0.0573082882644248,0.0291052091007911,0.0250938103821313,0.0228333755962403,0.0476890442447565,0.071298052208473,0.0315772320284055,0.0252602026650808,0.0222465953890437,0.0390941551605658,0.0636400878280084,0.254398478795903,0.191037576771812,0.0604113427442348,0.142027997315035,0.344532063018336
800,0.25,80,2000002,0,1,2,3,4,0.120114338917837,0.160125829075891,0.223653436797484,0.303033348083015,0.381770064942165,0.14050960491451,0.175632695898923,0.22585912732263,0.286321221918912,0.34822797545511,0.118514784126148,0.153055092254701,0.22351843339017,0.316884932827063,0.402452442145544,0.0286787348935446,0.0200919716425393,0.015250830633688,0.0262184886255587,0.0415810984290077,0.0278484080376137,0.0199827476898663,0.0151597400551112,0.0238554185059103,0.0381479915350405,0.0367754455393097,0.0269395522381591,0.0158641184388008,0.0339342971739151,0.0537978817342457,0.028176984511015,0.0199915949854546,0.0152046179091187,0.026564027571593,0.041927717865045,0.0273866473317992,0.019824502771732,0.0151150576556127,0.0240106622745263,0.0382963126270565,0.0359580401664901,0.0268558501244887,0.0157898681622779,0.0343620804301356,0.0539937791984322
8000,0.25,80,2000002,0,1,2,3,4,0.112661964215787,0.162479131722071,0.233737466668424,0.321281741565921,0.410397256033202,0.142057621257795,0.182999408247745,0.233730895667935,0.29229295745994,0.354621017410981,0.115950324425245,0.164637244168588,0.232156215868732,0.314555974123767,0.400874455694793,0.00812466611695906,0.00655590241723937,0.00513434657058686,0.00837385991721682,0.0137615768008662,0.00816559950397303,0.00631169248542341,0.00503179118542928,0.00741075089354071,0.0122458369290419,0.00941985016440187,0.00734947815578915,0.00530497626670283,0.00931998989231033,0.016476743990749,0.00811147354508914,0.00655026478192853,0.00513430443173312,0.00838536870961121,0.0137722568825519,0.00815975810345221,0.00630783264931022,0.00503130102941639,0.00741735558224163,0.0122543325424336,0.00941003406034644,0.00734383839899572,0.00530588346379226,0.00933276177644944,0.016485900452414
400,0.25,80,2000003,0,1,2,3,4,0.161648105537182,0.196224037739905,0.238666799499575,0.286403403240939,0.335763131342421,0.170662103890402,0.199696261040434,0.237048233853078,0.279923532707004,0.32453182679327,0.144228945207987,0.179534268536096,0.234648610140184,0.301386412632919,0.36691920851091,0.0475463227151848,0.0332748617855559,0.0229018858208958,0.035134916879479,0.0604881689142531,0.0391400378025568,0.028904731103283,0.0222583271949742,0.0312035639044848,0.048514706923831,0.0441042542203389,0.0339262509163479,0.0231589873552184,0.0383765050159174,0.0608086886525295,0.0458700320309322,0.0322788294395177,0.0226060212544128,0.0356112343264868,0.0603363997708022,0.0393850526359346,0.0289801933771972,0.0221107303284276,0.0318405685752167,0.0499307165509098,0.0444670853371965,0.0343908162752763,0.0229374853141805,0.0396838796474204,0.0631257376560013
800,0.25,80,2000003,0,1,2,3,4,0.0873750894368935,0.14594907823548,0.231346037109771,0.33752685509765,0.448111854071321,0.136767476715563,0.178960697707592,0.230501695558139,0.289568440230924,0.352706867103255,0.110871215799476,0.161187367312237,0.228993063063859,0.310664296117181,0.397447706947203,0.0220673117628927,0.0202138958569588,0.0164881273450659,0.0281915344756515,0.049265722634373,0.023915401366218,0.0192490444707317,0.0158545083875147,0.0226545533838072,0.0371821338160342,0.0262805958046557,0.021829128692438,0.0167417548989206,0.0278947326177033,0.0493078731565904,0.0217339723019542,0.0198122566998857,0.0162759380907516,0.0286478050583489,0.0490046320353374,0.0237574254781666,0.0190698268600727,0.015784499210236,0.0228571709162552,0.0373543307603811,0.0261336786359769,0.0216183474397836,0.0166516641833913,0.0282739455614179,0.0494579559965026
8000,0.25,80,2000003,0,1,2,3,4,0.0992915959149978,0.15564020325826,0.234271169402403,0.33048560027339,0.431681733964172,0.126110044298764,0.173751678272582,0.234279763923698,0.304894959961536,0.379602437075716,0.0924129663457014,0.148512286389466,0.232485436186952,0.33793770201763,0.444981446481166,0.00782475022605465,0.00674742106988888,0.00517838472075784,0.0087677603140973,0.0155850174168123,0.00801880409821002,0.00644847963875293,0.00504798412925727,0.00768853722292698,0.0129991997145064,0.00897445106037523,0.00790225344058793,0.0054238687297433,0.0101576358642203,0.0179965142267166,0.00781387486908689,0.00673826971605314,0.00517463083094052,0.00878121127552048,0.0155879082701176,0.00801177904283324,0.00644329305748005,0.005046320755931,0.00769687355734776,0.0130084885988656,0.0089683540768419,0.00790021706913996,0.0054227793662066,0.0101741536557705,0.0180104357939808
400,0.25,80,2000004,0,1,2,3,4,0.213915083175098,0.22957640268283,0.250027927587361,0.273931695130452,0.299625730163751,0.237696128488018,0.242868227455958,0.2490769358334,0.256302555956588,0.264507934949536,0.23508467498971,0.239916325278761,0.2470608722142,0.256438478254185,0.267880328613241,0.0495313777850334,0.0310213885409979,0.0231917686413299,0.035947236646661,0.0564135758168737,0.0452494350691972,0.028869812553206,0.0229525744316769,0.0328849581153605,0.0498543863390493,0.0609317803659811,0.0341714192809522,0.0243947644111252,0.0408591248744079,0.0655152204835399,0.0497066368287156,0.0312427556002531,0.0230594928104039,0.0365422451042259,0.0580876797222377,0.0456587174438594,0.0289696273768007,0.0228381002805402,0.0330720518988939,0.0504858906862822,0.0618175314136931,0.0345385649496128,0.0241988829824563,0.0413376015680163,0.0669663293117778
800,0.25,80,2000004,0,1,2,3,4,0.0837913445174585,0.142904489397286,0.237208204680357,0.358531849030619,0.477413562780178,0.133445752437573,0.18206089014036,0.246160077457167,0.321551895101971,0.398700730008191,0.0758437549682257,0.128263412113595,0.236098734511192,0.399354036677586,0.535305351980856,0.0249864855866916,0.0233774717348163,0.0174347921281434,0.0287658468072364,0.0488450398146539,0.0323612876442186,0.0251666281418798,0.0163883945634375,0.025056384180632,0.0441712809341271,0.03785987070403,0.0328467145408106,0.0186869939116548,0.0292771813159016,0.0583054119606551,0.0248767128119998,0.0233367914269726,0.0175019330584554,0.0294296035308397,0.0494208102772738,0.0321349858395397,0.0251223477788684,0.0164039638216654,0.0256640756157121,0.0450417243163517,0.0446277154787028,0.0451218817934911,0.0243350764999504,0.0327283752592,0.0656919597960255
