"n","vare","B","seed","a1","a2","a3","a4","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.RG.1","est.RG.2","est.RG.3","est.RG.4","est.SG.1","est.SG.2","est.SG.3","est.SG.4","est.CG.1","est.CG.2","est.CG.3","est.CG.4","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.RG.1","ste.RG.2","ste.RG.3","ste.RG.4","ste.SG.1","ste.SG.2","ste.SG.3","ste.SG.4","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.RG.1","bcs.RG.2","bcs.RG.3","bcs.RG.4","bcs.SG.1","bcs.SG.2","bcs.SG.3","bcs.SG.4","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4"
400,0.09,80,7000001,-1,0,1,2,1.23346810538785,0.510727810446224,0.752543222013162,-0.97279150522544,0.738710330984363,0.57599157485539,0.706226905414842,0.0519476926399353,1.21632161851357,0.546110278804505,0.694790123773614,-0.859687784205098,0.946456518441076,0.540418018540183,0.729549880013646,-0.30657250716808,1.55926670811526,0.494417171449926,0.769696924853701,-0.632313279597897,0.079904164679799,0.0204083067124546,0.0200347043805153,0.07104125183636,0.0945250793423103,0.0227599064278402,0.0224604364191157,0.0893641944880956,0.181022397019944,0.0224257905060648,0.0249554570640057,0.148741081403311,NA,NA,NA,NA,0.493172058835331,0.0543840918545523,0.0508388979931027,0.39385280538025,0.0868215443380711,0.0209517353072349,0.0206961030202081,0.0840400549783611,0.132494346307386,0.0305587356303828,0.0300109456100082,0.109614321530135,0.196371989211796,0.0230426299098826,0.0256272855055714,0.163365214458843,NA,NA,NA,NA,2.38035925664761,0.259740752906059,0.228123469805952,1.14626091584642
800,0.09,80,7000001,-1,0,1,2,1.22973298357179,0.505970856642735,0.75152323734389,-1.03585111515911,0.741567754472491,0.56328713963585,0.71985819938672,-0.309765539655998,1.28183624564415,0.535184364634515,0.688707115739124,-1.35109536431071,0.945753034244897,0.521994390033674,0.752227031735523,-0.864071599446721,1.1676840800259,0.508337432718733,0.761868129922309,-1.21480994999966,0.0359679331332196,0.0137114571021625,0.0141005374053798,0.0282585115835293,0.0707991322027651,0.0166330819059905,0.01723165957543,0.100083067216935,0.119856858949668,0.0162351625852266,0.0189984478728698,0.186496954419296,NA,NA,NA,NA,0.270769392587964,0.0295250560151149,0.033008346283554,0.269305773201459,0.0373622747606371,0.0138139390464881,0.0142284780603467,0.0302206261651999,0.0761243989306578,0.018368235846233,0.0193353329719861,0.106823016368572,0.154922931435096,0.0198201109308041,0.0217436807554347,0.220883705500009,NA,NA,NA,NA,0.48041943405341,0.0793025400617325,0.0787844494215799,0.492619757070096
8000,0.09,80,7000001,-1,0,1,2,1.25978096488443,0.498667699900032,0.752217986619252,-0.98792107261817,0.84664211795784,0.551085652420506,0.714721023579732,-0.185927907420933,1.4497514174446,0.528540890183047,0.694529202878288,-1.19505595575987,1.10614004300479,0.504585376698239,0.759317125146559,-0.729143766858711,1.412266452484,0.480478676124905,0.778431572525988,-1.16257404823129,0.011258254181484,0.00429681294786417,0.00438727007081085,0.0119461308525031,0.028166580259145,0.00643568275126483,0.00758232995459373,0.0481843308755645,0.0666756189240596,0.00735427582301107,0.00757243859201885,0.104800735808904,NA,NA,NA,NA,0.0898162777951526,0.0127765566031112,0.0145875141478976,0.137511575072511,0.0113054092596518,0.00430309718644302,0.00439252092148723,0.0120680749884747,0.0286496702890496,0.00673119025940834,0.00792329306176416,0.0491795933404944,0.0703879262423388,0.00793422837799846,0.00806747122294699,0.109597324204012,NA,NA,NA,NA,0.0959881468818611,0.0144549270892506,0.0162075153288931,0.146673590149308
400,0.09,80,7000002,-1,0,1,2,1.33406112418374,0.524284153843443,0.763906558293633,-1.0268779023296,0.961232412535232,0.573299501320438,0.731938770778858,-0.291064331219161,1.86324963189555,0.54309314494529,0.705796858025523,-1.72587806650572,1.36490635423292,0.507072795728556,0.78302025500585,-0.953138229864539,2.83571000904648,0.371971388759982,0.898885665132745,-2.28473570206721,0.0386579478871666,0.0199446095532938,0.0181019743583048,0.0557675045204405,0.168515325056757,0.0249719411345323,0.0244898478551544,0.130958034395492,0.381209547122814,0.0246028882184848,0.0284769950559854,0.279627493172193,NA,NA,NA,NA,0.708616628150144,0.0969226990655654,0.0896460230014484,0.849466312664324,0.0424569020970114,0.0205216896700269,0.018238187435592,0.0638864687770199,0.193024416855312,0.0323544367701525,0.0305239787555353,0.162300297310665,0.484494208490289,0.0345237881501406,0.0345633308279521,0.413905537513948,NA,NA,NA,NA,3.6647323216795,0.450892670229383,0.3999922807509,3.07996917542646
800,0.09,80,7000002,-1,0,1,2,1.24241322932654,0.532780620089765,0.766571839204834,-0.957736567460735,1.00576064419243,0.571354691603761,0.728959798244493,-0.0987888606561045,1.84567903633659,0.552150165940647,0.718430601354493,-1.21508362346569,1.28642062688188,0.53638567103656,0.762293453942008,-0.605764199716872,1.5316229205737,0.526120423879792,0.766704861036221,-0.993659958815059,0.0272671107358301,0.0135480986332406,0.0138188946419388,0.0400494092501291,0.192239447583955,0.0228280060105236,0.0196148464866868,0.101853315932419,0.425577203331734,0.0199914546467534,0.0231913264380616,0.25364193067004,NA,NA,NA,NA,0.401618970631725,0.0352291247460685,0.0348722683677539,0.397843589555061,0.0278019674311162,0.0135862426392856,0.0138795548534342,0.0417729582391863,0.20020768770753,0.0257031217901279,0.0224599989759296,0.114760980898849,0.463806038772255,0.0267219887953926,0.0276123647768149,0.323835050847682,NA,NA,NA,NA,0.495436635181421,0.0620628449412701,0.0597241610654895,0.580439877850075
8000,0.09,80,7000002,-1,0,1,2,1.2479697874297,0.503673542879908,0.755865547032267,-1.00781429439939,0.794658511059732,0.569399986298424,0.70201636614096,-0.124069134691774,1.32078785210436,0.547580728520858,0.680768379333556,-1.06990843497893,1.00615514347187,0.535421643787726,0.724923020070562,-0.5978021618511,1.20829516501242,0.525374492572489,0.726152616037102,-0.865420602408575,0.0117332912572824,0.00445363928734319,0.00435094063280583,0.0125204213248845,0.0232668141277819,0.00582411668732522,0.0061954510716713,0.0365046811020643,0.0538693423817956,0.00624181795789997,0.00651690169185703,0.073856794625068,NA,NA,NA,NA,0.0781857428833723,0.0125381596152857,0.0126982040370418,0.140953295124703,0.0117877118646968,0.00445919304874688,0.0043562083747771,0.0126438198544755,0.0238758282626163,0.00612154337826035,0.00648876123589204,0.03741698638708,0.0572610849369171,0.00667481622329327,0.00683708953728294,0.0778123141543528,NA,NA,NA,NA,0.0947782599032836,0.0160236799110361,0.0156061627993462,0.155465742908782
400,0.09,80,7000003,-1,0,1,2,1.16654992502922,0.492431055563685,0.73651848616241,-1.10981828935545,0.730232034269143,0.555137025081017,0.693754909745482,-0.203004028696148,1.19763110686115,0.529268228527536,0.666288057319835,-1.15152285784296,0.898453637204949,0.506822136880946,0.739527876813093,-0.839696711735172,1.57909234015256,0.383406634925509,0.826839035670501,-2.19244717156785,0.048018002501527,0.0191513292107343,0.0192657656949088,0.0894267038115382,0.0695488387253656,0.0213922701802238,0.0216312552358212,0.184420764184195,0.156962460246043,0.0238912031046843,0.0248585156222387,0.383805771660088,NA,NA,NA,NA,0.396822705380046,0.0738859703760052,0.0682077143763472,0.912238938259546,0.0680897476920991,0.021973580087256,0.0219828974374635,0.130538794382036,0.0745987368950406,0.0255156696553519,0.0250455340646141,0.210375703323113,0.224756464394181,0.0347659312040759,0.0282223143244996,0.504553985310991,NA,NA,NA,NA,1.12517388990453,0.262955650158789,0.225921464040215,2.36432427862155
800,0.09,80,7000003,-1,0,1,2,1.22635321794517,0.474801144688341,0.739470134976501,-1.08147167185272,0.892109686284181,0.557390804349708,0.673019163167737,-0.00960759634624559,1.53544974232271,0.544710918778776,0.658362181158737,-0.934734426501552,1.14199755252395,0.526923564676,0.687086909415516,-0.418825994130009,1.43260288930709,0.502737060935389,0.7009334711767,-0.774764281303432,0.0296987301475163,0.0138460800219636,0.0136607766710295,0.0395575720117658,0.113534331581091,0.02005365243047,0.0192836326803159,0.117915657691408,0.264518042846072,0.0217550550482394,0.0237676065150096,0.25889588243632,NA,NA,NA,NA,0.3326142114511,0.0447799910516759,0.0371096668658107,0.544858098702835,0.0301559185453973,0.0139128580152756,0.0137391342473749,0.04198046922577,0.129584305082488,0.0298656108899172,0.0280524766547705,0.159095156634241,0.402715012523615,0.042365861169305,0.0377735415435994,0.467023836702563,NA,NA,NA,NA,0.868175118490472,0.162949915868266,0.133049024326551,1.16548887402356
8000,0.09,80,7000003,-1,0,1,2,1.24488730601886,0.497271620867978,0.748753898641937,-1.01367815829109,0.825722871211269,0.551813971111254,0.705531102747774,-0.153103801832098,1.40031046949521,0.529883301369616,0.685654332904476,-1.14035245211977,1.06333294963834,0.508953264556961,0.745212665147758,-0.676558303934008,1.29859394481495,0.488572619035499,0.759049014694964,-1.07158062842544,0.0114277334074134,0.00435475327353039,0.00436632345581884,0.0122650290258709,0.033057359344498,0.00662151351580621,0.00661469535397623,0.0406028522536897,0.0748522508145036,0.0067439955463869,0.00723484356359405,0.0853301718407991,NA,NA,NA,NA,0.0866230268990471,0.0114215528913101,0.0121673048810654,0.121098970276305,0.0114681582403831,0.0043584802416613,0.00436955538698535,0.0123487290788463,0.033292314823444,0.00672434289339548,0.00673771640221709,0.0410626242309711,0.0760169684098096,0.00692374037528718,0.00735611380100147,0.0873434787815223,NA,NA,NA,NA,0.0888867123074828,0.0120456429290005,0.0127445509089245,0.125423268018684
400,0.09,80,7000004,-1,0,1,2,1.3012820802424,0.495581179749725,0.741760391726669,-0.940469510545306,1.02030258408861,0.54005767309947,0.706876975686213,-0.429558497329953,1.8743949278969,0.526837328389219,0.678571763169458,-1.6179266295938,1.48898535571674,0.460578534769402,0.773882692641183,-1.31194622661395,3.46923572870312,0.238267023923974,0.940219937634542,-3.43100265321274,0.0521195982409691,0.0198394785228369,0.0201324426980881,0.0477352069839298,0.0535580585218,0.0219081018259233,0.0239562181753255,0.120242712298242,0.113406582256425,0.0238525478405272,0.0277077094096425,0.23404630575894,NA,NA,NA,NA,0.934229164663194,0.144849307066149,0.120516876722424,1.18798342762295,0.0734633333691829,0.0232137894747588,0.0222427283551159,0.0725410716733414,0.0581095337869331,0.0225559067165415,0.0247574997913968,0.129014934413979,0.158604473867549,0.0260420314465541,0.0285561822790047,0.28371401993199,NA,NA,NA,NA,3.87542548200129,0.581525651125518,0.463869734317913,4.24232325706405
