"n","vare","B","seed","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","OG. 1","OG. 2","OG. 3","OG. 4","OG. 5","OG. 6","OG. 7","OG. 8","OG. 9","OG.10","OG.11","OG.12","OG.13","OG.14","OG.15","OG.16","OG.17","OG.18","OG.19","OG.20","NG. 1","NG. 2","NG. 3","NG. 4","NG. 5","NG. 6","NG. 7","NG. 8","NG. 9","NG.10","NG.11","NG.12","NG.13","NG.14","NG.15","NG.16","NG.17","NG.18","NG.19","NG.20","RG. 1","RG. 2","RG. 3","RG. 4","RG. 5","RG. 6","RG. 7","RG. 8","RG. 9","RG.10","RG.11","RG.12","RG.13","RG.14","RG.15","RG.16","RG.17","RG.18","RG.19","RG.20","SG. 1","SG. 2","SG. 3","SG. 4","SG. 5","SG. 6","SG. 7","SG. 8","SG. 9","SG.10","SG.11","SG.12","SG.13","SG.14","SG.15","SG.16","SG.17","SG.18","SG.19","SG.20","CG. 1","CG. 2","CG. 3","CG. 4","CG. 5","CG. 6","CG. 7","CG. 8","CG. 9","CG.10","CG.11","CG.12","CG.13","CG.14","CG.15","CG.16","CG.17","CG.18","CG.19","CG.20"
800,0.25,80,8000001,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.134264097862471,0.146159334450501,0.159701943342373,0.174946347231127,0.191893492392815,0.210478064810167,0.230559027456703,0.251915793350271,0.274251972032795,0.297207664209052,0.320379840897241,0.343348739239507,0.365706872388992,0.387086599185078,0.407182459177367,0.425765590255294,0.442689174394895,0.457885521765844,0.471356668087735,0.483160983784862,0.177673624503524,0.18562744563126,0.194297297119717,0.20367961637421,0.213760699593273,0.224515359980747,0.235905737479779,0.247880380418453,0.260373744122334,0.273306265703702,0.286585167781619,0.300106107083421,0.313755711426186,0.32741494401358,0.340963112256863,0.354282224335358,0.367261318992285,0.379800375356557,0.391813458151413,0.403230859565957,0.163859218822534,0.172967801589964,0.183531802255361,0.19559427260113,0.209164268812889,0.22420610450093,0.24062861836524,0.25827634578222,0.276925269825907,0.296286094297104,0.316017167264085,0.335747050769721,0.355103794437982,0.373745487732009,0.391385962793919,0.407811049711319,0.422883764466663,0.436539785134687,0.448776392935919,0.459638420810462,0.170809692070771,0.179567939283806,0.189369682422206,0.200230557758316,0.212145878655036,0.22508544267923,0.238988587982447,0.2537603275209,0.269269596705354,0.285350652885823,0.301808343723643,0.318427290274698,0.334984145114371,0.351261272159712,0.367059772551769,0.38220993380961,0.396577847319971,0.410067852328717,0.422621294506939,0.434212605615803,0.153639776624136,0.16226308799416,0.172770466170145,0.185324328783293,0.20006378067038,0.217073778313335,0.236338844164867,0.257686672213766,0.280740675983796,0.304912544238203,0.329460547705772,0.353608163706551,0.376678668774545,0.398189680697427,0.417879016453301,0.4356730283001,0.451629053791005,0.465879394906271,0.478589744765644,0.489933320011426
8000,0.25,80,8000001,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.15859699521494,0.17047752123237,0.183026054915388,0.196230451626159,0.210069478957971,0.224512351171439,0.239518551052277,0.255037988907766,0.271011532353189,0.287371918758533,0.304045036268042,0.320951531569648,0.338008676078695,0.355132400088267,0.372239389562355,0.38924913459765,0.406085822926688,0.422679985585678,0.438969823179743,0.454902167296256,0.183056800320394,0.192229010616724,0.20171456807842,0.211504607011219,0.221587999367655,0.231951338374385,0.242578960360079,0.253453007471622,0.264553532860658,0.275858648637731,0.287344715477753,0.298986571282832,0.310757794841698,0.32263099904982,0.334578147051249,0.34657088370568,0.358580874132807,0.370580140782664,0.382541390545136,0.394438323839869,0.161590522324851,0.173487559027567,0.186024656829895,0.199187946657402,0.212955167741821,0.227295331712309,0.242168644671389,0.257526724805772,0.273313139043997,0.289464264094213,0.305910456167857,0.322577491694205,0.339388220615153,0.356264356755265,0.373128318343813,0.38990502745451,0.406523580482735,0.422918712382883,0.439031993922235,0.454812721682896,0.164192749366103,0.175599752642883,0.187584253415219,0.200133188380385,0.213226514460713,0.226836960742897,0.240929975857658,0.255463897123355,0.270390358195318,0.285654939729384,0.301198053465234,0.3169560352844,0.332862408554709,0.348849266864737,0.364848716383295,0.380794313539927,0.396622434033831,0.412273514309061,0.427693116003982,0.442832776457009,0.16057532397513,0.172418005378616,0.184900878457406,0.198010801532551,0.211726313414307,0.226017280385968,0.240844796563788,0.256161375966449,0.27191146100544,0.288032254277657,0.304454859741128,0.321105697417022,0.337908134922094,0.354784261735949,0.371656720233715,0.388450502653758,0.405094625949193,0.421523606545653,0.437678673138827,0.453508675864276
800,0.25,80,8000002,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.152131099045576,0.162958612509699,0.174899364125716,0.187969320201532,0.202152888194758,0.217395074768929,0.233595806188841,0.250608381521389,0.268243663598044,0.286280492481674,0.304481168483579,0.32260931679046,0.340446721455623,0.357806157195198,0.374538613067716,0.390534927786993,0.405723081914769,0.420062902927708,0.433539812387602,0.446158769084208,0.19033305967788,0.196992258751908,0.204069571719723,0.211559836671675,0.219451848697926,0.227727626444502,0.23636191901644,0.245322054602329,0.254568214382703,0.26405417896738,0.273728542527424,0.28353632946968,0.293420891163095,0.303325918090799,0.313197385563668,0.322985262870303,0.332644853569949,0.342137689674826,0.351431962695414,0.360502528336923,0.175732240095149,0.184281094941666,0.193599862176641,0.203688425189564,0.214528151803912,0.226078323081418,0.238273871650824,0.251025224735345,0.264220824299895,0.277732426679095,0.291422664992754,0.305153785916091,0.318796163391902,0.332235270928099,0.345376226756361,0.35814563786844,0.370491039972858,0.382378599642772,0.393789862383311,0.404718243406964,0.17627783008285,0.184117413076903,0.192766266861838,0.202246784975667,0.212564156628037,0.223699959736829,0.235606368285854,0.248202436396607,0.261373989657816,0.274978185320142,0.28885277104956,0.302828755692182,0.316744127532353,0.330455915658784,0.343848454894906,0.356836907049483,0.369366372584664,0.381407820769883,0.392952378675895,0.404005341317422,0.176821901685143,0.185145181012754,0.194246485682667,0.204127494257439,0.214771595051177,0.226140090956484,0.238169636618001,0.250771749353176,0.26383503912663,0.277230340841732,0.29081829216822,0.304458280706126,0.318017318221225,0.331377436557847,0.344440622595022,0.357130944556698,0.369394134811133,0.381195304474931,0.39251560897389,0.403348604985624
8000,0.25,80,8000002,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.155482893114435,0.166960479759785,0.179053984874391,0.191747966026659,0.205018539058028,0.218833098811433,0.233150314680589,0.247920436381766,0.263085929177741,0.278582437548799,0.29434005364108,0.310284843941433,0.326340567049186,0.342430499590327,0.358479278228395,0.374414664531471,0.390169146291635,0.405681302848834,0.420896881253377,0.435769552359708,0.173378321671781,0.182560951809375,0.192066453607692,0.201885620514174,0.212006896908633,0.222416373606797,0.233097825503796,0.244032793819372,0.25520071408244,0.266579089489853,0.278143707659598,0.289868897153496,0.301727818559694,0.313692783494513,0.325735593695406,0.337827891508334,0.349941512580735,0.362048831487894,0.374123091350534,0.386138709221561,0.15141646040913,0.163317647238456,0.175887677934112,0.189112319312247,0.202968282774165,0.217422892202185,0.232434052870198,0.247950561978979,0.263912783314909,0.280253685680836,0.296900219026201,0.313774976167765,0.330798064569747,0.34788909469787,0.364969181279422,0.3819628527313,0.398799772190734,0.415416189897176,0.431756069003527,0.447771852476987,0.156828801834012,0.167999204453613,0.179733248599163,0.192017412643673,0.204831439615944,0.218148146654367,0.231933428219305,0.246146475814739,0.26074022704794,0.275662044590719,0.290854611850404,0.306257018065578,0.321805992442692,0.337437236187851,0.353086794028198,0.368692403871347,0.384194764950315,0.399538670944394,0.414673964452839,0.429556281740433,0.147362289628434,0.159407555379735,0.172164661231407,0.185620928388541,0.199753744710062,0.214530113487195,0.229906543861846,0.245829335545111,0.262235289184176,0.279052846041696,0.29620362889519,0.31360432351597,0.331168810587838,0.348810435268102,0.36644428885313,0.383989375964526,0.40137055145203,0.418520132279432,0.435379118123148,0.451897986566523
800,0.25,80,8000003,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.166415929097285,0.177630099177506,0.189427756335392,0.201800762905242,0.214734262802632,0.228206319978183,0.242187745895479,0.256642149954818,0.271526237381086,0.2867903661016,0.3023793583428,0.318233545361498,0.334290006572968,0.350483949200366,0.366750163212566,0.383024480130942,0.399245164048791,0.4153541689504,0.431298207416739,0.447029590711767,0.194298375579222,0.202612449652759,0.211184760140641,0.220008589908276,0.229075619079111,0.238375920373488,0.247897979952343,0.257628745265513,0.267553700688231,0.277656970914132,0.28792145119046,0.298328962570282,0.308860429462203,0.31949607592711,0.330215636450454,0.34099857634902,0.351824316587367,0.362672457604441,0.373522996796159,0.384356534562302,0.175408289506583,0.186310375102682,0.197742081541399,0.20969189795758,0.22214211993269,0.235068652091621,0.24844099505813,0.262222439765757,0.276370482114212,0.290837458474221,0.305571388494404,0.320516997303394,0.335616875975972,0.350812728491021,0.366046646583537,0.381262351700921,0.396406345983312,0.411428921470749,0.426284987728077,0.440934691507896,0.177703336015041,0.188140403964025,0.199064766715823,0.21046565254811,0.222326809162136,0.234626320372569,0.24733657475638,0.260424406050511,0.273851417543512,0.287574493154973,0.301546486966027,0.315717071540178,0.330033714512609,0.344442743726758,0.358890454648653,0.373324210625158,0.387693487133907,0.401950815433203,0.416052588474448,0.429959701761867,0.1755907577087,0.186453456624853,0.197822682976255,0.209687454317684,0.222031355164631,0.234832391455244,0.248062996159571,0.261690203011006,0.27567599763191,0.289977845882738,0.304549388738906,0.319341282269985,0.334302151368489,0.349379617760439,0.364521357399764,0.379676140208559,0.394794806519024,0.409831139344346,0.424742599222937,0.439490898019407
8000,0.25,80,8000003,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.163283176370101,0.173715052692784,0.184663997935946,0.196118934467378,0.208062597149512,0.220471272889414,0.233314708247906,0.246556210735963,0.260152961464338,0.274056546290092,0.288213700151643,0.302567245865246,0.317057195481322,0.331621970685334,0.346199689919074,0.360729464881428,0.375152648418771,0.389413979605061,0.403462579596238,0.417252762734827,0.183478839480601,0.191516905881164,0.199806598295862,0.208340524923629,0.217109600659519,0.226103034189146,0.235308340430102,0.244711380109922,0.254296427626264,0.264046267584674,0.273942319577927,0.283964789891683,0.294092847933072,0.304304824324805,0.314578426831442,0.324890969628427,0.335219610925072,0.345541593638481,0.355834483704535,0.36607640071085,0.16410696844057,0.174743767877215,0.185913963090949,0.197604833376189,0.209796926178181,0.222463790376437,0.235571898767925,0.249080787545411,0.262943431260475,0.277106859604545,0.291513008104588,0.306099779660386,0.32080227916433,0.335554170755369,0.3502890979628,0.364942102160532,0.379450974944791,0.393757485240148,0.407808431513117,0.421556482325966,0.166310138727251,0.176460568361654,0.187096585847351,0.198206610235854,0.209773341752391,0.221773544143008,0.234177975197008,0.246951486704208,0.260053308460496,0.27343752225963,0.287053721597707,0.300847841813898,0.314763134530746,0.328741250559682,0.342723387879391,0.356651456673481,0.370469212229984,0.384123308885281,0.397564233873426,0.410747088301528,0.162432590075286,0.173064724278806,0.184243577042193,0.195957144412617,0.208186411513743,0.220905038375423,0.234079245401714,0.24766793027472,0.261623038170954,0.275890193932016,0.29040958911306,0.305117099912667,0.319945595478975,0.334826381732799,0.349690715273218,0.364471316384852,0.379103810318541,0.393528031843123,0.407689138851188,0.421538495264241
800,0.25,80,8000004,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.165065178235473,0.174498717641922,0.18437243122369,0.19467462815869,0.205388470698342,0.216491799265345,0.22795708493702,0.239751526363862,0.251837302743923,0.264171987489085,0.276709119059184,0.289398916667133,0.302189119873946,0.315025923263772,0.327854971156819,0.340622373300575,0.353275701086351,0.365764925210946,0.378043259696221,0.390067883380435,0.164719464897658,0.173252021949601,0.182157390536512,0.191428041687599,0.201052984179324,0.211017654709519,0.221303884244749,0.231889950080215,0.242750720298715,0.253857893687386,0.265180333938444,0.276684492373678,0.288334908806865,0.3000947758451,0.311926548281608,0.32379257656273,0.335655741858348,0.347480070160235,0.35923130408654,0.370877413568875,0.142975107796822,0.15404605254139,0.165909870730536,0.178562713364804,0.191986733053512,0.206148696229921,0.220999158200358,0.236472365280666,0.252487008248531,0.26894788683654,0.285748461248045,0.302774173913505,0.31990633674138,0.337026310712279,0.35401966815295,0.370780030253805,0.3872123129347,0.403235185434529,0.418782635226202,0.433804625226963,0.143153247904605,0.154301398747416,0.166155507496048,0.17871148850597,0.191955162733074,0.205861377458091,0.220393457430324,0.235503076701687,0.251130622072101,0.26720608948238,0.283650515592839,0.300377901839892,0.317297542748611,0.334316630315555,0.351342977719392,0.368287692883262,0.385067637530817,0.401607529539267,0.41784158213216,0.433714617405751,0.140726265620009,0.15187948720017,0.163808747474143,0.176510811616232,0.189969544563863,0.204154658662409,0.2190209539655,0.234508193192963,0.250541720435827,0.267033879481134,0.283886218087392,0.300992386628699,0.318241564199962,0.335522184516309,0.352725698170938,0.36975010344205,0.386503005654798,0.402904020089536,0.418886406010963,0.434397897749905
8000,0.25,80,8000004,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.157027890104123,0.16764875533669,0.178886216975336,0.190731192144211,0.203165831021293,0.216162950652061,0.229685754012437,0.243687892988836,0.258113917650392,0.272900130914904,0.287975839062648,0.303264957245132,0.318687898702984,0.33416365068558,0.349611922540394,0.364955244594353,0.380120901271412,0.395042597675702,0.409661783363448,0.423928586872996,0.180303273120222,0.188312767697234,0.196603960346475,0.205169165444024,0.213998521580718,0.223079960341794,0.232399213783026,0.241939863950079,0.251683436611855,0.261609539973979,0.271696047561584,0.281919322786665,0.292254481034676,0.30267568351695,0.313156455739679,0.323670022328799,0.334189649199177,0.344688983718417,0.355142383614328,0.365525225903526,0.159983001708419,0.170420238275267,0.181453981732001,0.193074033850936,0.205261679452074,0.217989181907714,0.231219556992226,0.244906678480694,0.25899575283585,0.273424177945218,0.288122773780574,0.303017343636935,0.318030496556206,0.333083638158684,0.348099021524748,0.363001744164842,0.377721582284933,0.39219456875648,0.406364244304212,0.420182539327391,0.161605850164393,0.171625511538675,0.182193199621176,0.193299466683402,0.204927612388841,0.217053277982301,0.229644259411567,0.242660579763349,0.256054849882828,0.269772930092847,0.283754886559877,0.297936214740391,0.312249281638086,0.326624920665242,0.340994099924239,0.35528957837008,0.369447465416042,0.383408607955116,0.397119743388809,0.410534376228262,0.158563299668115,0.168991560022521,0.180032031782694,0.191675301633786,0.203903051744415,0.21668748494186,0.229991044641726,0.243766489984876,0.257957369479529,0.272498912016892,0.287319324153827,0.302341449929944,0.317484717952166,0.33266727407246,0.347808180331308,0.362829554472673,0.377658530186121,0.392228935437718,0.406482612337129,0.420370333358664
800,0.25,80,8000005,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.171218826586982,0.180640600602453,0.190745389707889,0.201522662113708,0.212951401320942,0.224999358369258,0.237622628937154,0.250765628809923,0.264361524442122,0.278333150070572,0.292594410504879,0.30705213208907,0.321608287250056,0.336162484988035,0.350614594968231,0.364867359991489,0.378828852433346,0.392414644673754,0.40554958957207,0.418169141102372,0.196228935791505,0.202465534902866,0.208922236658802,0.215592406823311,0.222468081101124,0.229539958231272,0.236797410131199,0.244228510127064,0.25182007993432,0.259557755628135,0.267426072378411,0.275408567234848,0.283487898752225,0.291645981764842,0.299864135172514,0.308123240208731,0.31640390634243,0.324686641733472,0.332952025028976,0.341180875259382,0.18442335287201,0.192717253537383,0.20147408672316,0.210680856436495,0.220319272998337,0.230365598591371,0.240790620547186,0.251559767587044,0.262633378877687,0.273967129084762,0.285512604972712,0.297218021028754,0.30902905370134,0.320889766802567,0.332743595056393,0.344534349194465,0.356207204743755,0.367709637826067,0.378992274772866,0.390009627804776,0.184107949021694,0.192729504019644,0.201761358800866,0.211192529869702,0.221007504147553,0.231186068403404,0.241703243773584,0.252529341689047,0.263630153328248,0.274967278946043,0.286498596369681,0.29817886008283,0.309960414291043,0.32179399593295,0.333629597530791,0.34541735571424,0.357108429646281,0.368655834591669,0.380015199354902,0.391145421854518,0.183952223666236,0.192161284205558,0.200808076811119,0.2098803951626,0.219361235189848,0.229228660377231,0.239455777429545,0.250010835127294,0.260857454804085,0.271954995412028,0.283259049890437,0.294722062920292,0.306294053616188,0.317923420798895,0.329557803704901,0.341144967744551,0.352633683506689,0.363974567746669,0.375120857525393,0.386029092755867
8000,0.25,80,8000005,1,1.15789473684211,1.31578947368421,1.47368421052632,1.63157894736842,1.78947368421053,1.94736842105263,2.10526315789474,2.26315789473684,2.42105263157895,2.57894736842105,2.73684210526316,2.89473684210526,3.05263157894737,3.21052631578947,3.36842105263158,3.52631578947368,3.68421052631579,3.84210526315789,4,0.165004704887096,0.175495674714085,0.186545148208795,0.198145673867138,0.210283301382761,0.222937247107418,0.236079746611187,0.2496761259067,0.263685113359111,0.278059401437727,0.292746452090054,0.307689522907227,0.322828875012937,0.33810310949445,0.353450568835285,0.368810734459432,0.384125551823843,0.399340620463933,0.414406197273204,0.429277975779728,0.1896463524308,0.197246172352827,0.205079442716816,0.21314142512321,0.221426167135876,0.229926493109536,0.238634011301106,0.247539138293982,0.256631141382816,0.265898199128102,0.275327479808718,0.284905236993665,0.294616920942084,0.304447304045305,0.314380618069192,0.324400700561385,0.334491147476047,0.344635468854587,0.354817244295873,0.365020274959366,0.170857345605408,0.180661661727384,0.190933649403156,0.201666738566177,0.212849940069946,0.224467678146972,0.236499729722329,0.248921284819275,0.261703137685661,0.274812012380651,0.288211019714239,0.301860235098163,0.315717379627974,0.329738580205849,0.343879179343049,0.358094561959302,0.372340965362862,0.386576239769857,0.400760530089382,0.414856854926179,0.171725556079028,0.181145191449444,0.191006615309133,0.201303544065432,0.212025680924074,0.223158569880899,0.23468354248968,0.246577769460339,0.258814425348122,0.271362969761511,0.28418954289432,0.297257467140229,0.310527840529114,0.323960202231795,0.337513245901079,0.351145553570388,0.364816321511821,0.378486049994945,0.392117171236836,0.405674593768945,0.169413413409598,0.179235227348984,0.18954202742824,0.200327273357785,0.211579584489431,0.223282532301168,0.235414554434314,0.247949008063607,0.260854374991816,0.27409462381995,0.287629726241179,0.30141631552952,0.315408466383812,0.329558567258352,0.343818249952659,0.358139337201119,0.372474767729666,0.386779459872275,0.401011079194761,0.415130682201017
