"B","psi1","psi2","psi3","psi4","Time"
1,15.3425201771077,-7.77407771351263,-23.2715165630997,23.0593771693159,0.0896718502044678
2,19.7236818761131,1.69826602557285,-25.2837344126273,22.2034926497488,0.16374397277832
3,24.9118233253048,-0.264225027642085,-25.3961462802539,24.3953541504052,0.203984022140503
4,23.9145939717448,1.46421641663304,-24.1163017470573,24.9749251607415,0.309213161468506
5,19.4476492055515,4.22692552289601,-25.2245446625879,24.4280097107689,0.342865228652954
6,17.999272387764,1.94876861860206,-22.6863579242818,23.5675081118153,0.422955989837646
7,14.0800936161425,2.29716929024674,-22.1433463627181,23.582708954003,0.470517873764038
8,15.4845007464164,1.02185477489309,-21.5564212409505,23.1362201819462,0.545943021774292
9,15.181310715728,-0.519963069282434,-20.0934765897891,22.2716485181249,0.63058614730835
10,15.2672255739353,1.10182579355808,-19.9289527279892,22.6159201610602,0.695451021194458
11,18.4280790290147,1.51317822403026,-20.532725052463,22.7992949826718,0.748207092285156
12,16.732465885104,0.12508853649022,-19.053364832957,23.168045650469,0.818780183792114
13,16.053902149455,-0.530942631367545,-18.6912615411369,22.7417457691155,0.942975997924805
14,14.5949391032319,-1.72716566864118,-18.6292965969973,22.8766617562819,1.06300020217896
15,13.6399656704757,-1.56603229155758,-18.9865488679522,23.0346677751318,1.18741798400879
16,15.3721031723785,-0.193053262117767,-19.6284122656732,22.8373056059129,1.25412797927856
17,15.6178875121916,0.058382588589759,-20.4970645816054,22.7773994628124,1.31595015525818
18,15.8506812784447,-0.184265302463721,-20.5775319470583,22.485286010874,1.38345503807068
19,16.610574949344,-0.224210935392467,-20.0299368655213,22.535950729806,1.45529890060425
20,17.2546942685923,0.490948510618901,-20.7787005768797,22.5372358897363,1.52627992630005
21,18.175776415253,0.812541851627165,-20.6369278139409,22.2953537155102,1.60353899002075
22,17.5477247150823,0.605813288185549,-20.4921380108059,22.3352997844654,1.71308398246765
23,16.5055595249745,0.648148576912261,-20.9922503046909,22.4109967583321,1.76875996589661
24,15.9973824608107,0.836527074576225,-21.2499583363652,22.4286739116395,2.04998683929443
25,16.6232309306057,1.56748518257872,-21.6254067438326,22.4325077489746,1.94319486618042
26,15.7228198690852,1.67772137545677,-21.7680788706036,22.546708685711,1.98411083221436
27,16.7051846145243,2.82880192173211,-22.3759617258619,22.7249637029805,2.22209715843201
28,17.5279187962971,3.10101598549316,-22.257804836251,22.7090710762946,2.11699795722961
29,18.8350198605918,3.40494262467483,-22.316686546885,22.7017783298032,2.25601887702942
30,18.5434494931604,2.87436389350908,-22.1824914535853,22.7242906429637,2.26224088668823
31,19.1396254291848,2.94800390634116,-21.6874478334175,22.6866476999269,2.39726209640503
32,19.0642676229368,2.94331437959136,-21.5525138520445,22.5870160476723,2.44697713851929
33,19.0487082757945,3.00072799218739,-21.6066239815288,22.3547181854091,2.94400405883789
34,19.2945170451366,2.85563576386695,-21.4558571588772,22.376216758783,2.60218000411987
35,19.5092536974914,2.59741291363989,-21.6648162123461,22.5089712771837,2.6637110710144
36,19.7198692081747,2.79061064028198,-22.214341980246,22.5439296829092,2.71000003814697
37,19.2070626124247,3.18585094246299,-22.5173948651106,22.5584317775184,2.85161685943604
38,18.8659001440398,3.11970006318159,-22.266320014353,22.6066234518109,2.91750907897949
39,19.2048141190331,2.93894923251821,-22.1507885655256,22.5592913368941,2.99079203605652
40,19.2659125078843,2.17302122513632,-21.8660006563369,22.4966762137756,3.04674410820007
41,19.3228921852717,2.25706664549667,-21.9899287281785,22.57268672587,3.14896297454834
42,19.6437064593648,2.65659635145965,-22.1032286258655,22.5862793186718,3.55393099784851
43,19.2954505154868,2.75231873245937,-22.2987739576781,22.440855857542,3.16471290588379
44,19.1302865539601,2.69114170487155,-22.6194107222131,22.4547882889233,3.44016003608704
45,19.0834505979818,2.38226002772793,-22.6552500907882,22.2982772767057,3.41694402694702
46,18.9310202079842,2.57003663709497,-22.4577055104599,22.2375285369796,3.92473483085632
47,18.8340897593246,2.79983116602379,-22.7331496720245,22.3135597829708,3.71457481384277
48,18.8639891918997,2.515197507974,-22.7007492219905,22.2946052579287,3.6128990650177
49,18.9520610115779,2.91176216598566,-22.615432185176,22.2055165754739,3.71281099319458
50,19.3876915776621,3.12997227781124,-22.7483439228963,22.2329409626706,3.93787693977356
51,19.1253851901158,2.98227576755816,-22.7377582828586,22.4394840107728,3.85104203224182
52,19.0631480263047,2.7897873912469,-22.5582100938459,22.3914687773306,3.97902297973633
53,18.8938855182458,2.78558658335578,-22.4041885166421,22.2991784219276,4.15226817131042
54,18.8405558615363,2.46479547892883,-22.3145644898053,22.4150735781449,4.20426511764526
55,19.1904015406738,2.29721420481328,-22.1101257411934,22.3685148886771,4.25507283210754
56,19.3720143975992,2.5663815365806,-22.0989543212287,22.3481151192389,4.23529696464539
57,19.2246152267094,2.61411253282219,-21.9447242280949,22.5264807176204,4.38199090957642
58,19.1859440760847,2.44936979030771,-21.6033984273949,22.5090035659561,4.4550302028656
59,19.2011665491055,2.46521712623034,-21.6833311531272,22.5841987507718,4.46948909759521
60,18.9192824601517,2.72663327701147,-21.704827122462,22.7166381377003,4.56371998786926
61,18.9301011058208,2.82330292642105,-21.8965008663634,22.7589142734862,4.7335569858551
62,19.2549818224029,3.07674649001092,-21.8112605538152,22.6874009313132,4.8606379032135
63,19.0059906662124,2.91121119356466,-21.6357077193657,22.7160144361814,4.8530170917511
64,19.0289620630806,3.05609390490791,-21.8027658056575,22.6169919295791,4.89544987678528
65,19.1309247316916,2.8695591037014,-21.7389820774906,22.581817244206,4.90969491004944
66,19.1408636069905,2.69877060074292,-21.7353882871085,22.5734002571309,4.99088788032532
67,19.4468681638327,2.47223651275631,-21.7554620567317,22.5949013243739,5.10626006126404
68,19.3241787258089,2.28291609863475,-21.603348015294,22.5474937162713,5.16264796257019
69,19.0041527025764,2.11378357713159,-21.4955733533808,22.6084036554743,5.27278995513916
70,19.0630167555809,2.01458532901243,-21.3324926717005,22.6032345856028,5.36299204826355
71,19.0744105138468,2.01711179824225,-21.097364123632,22.6334599488049,5.45194983482361
72,18.8133316829696,2.04936088944204,-21.138615893743,22.6853438614739,5.51529479026794
73,18.9333369533284,1.70512127442277,-21.1420706576005,22.6781898835144,5.69515895843506
74,19.1268193814925,1.80862830685546,-21.1392957561908,22.5834834573429,5.62959384918213
75,19.1316166575346,1.7122473196772,-21.0538897929853,22.5344354586066,5.66078615188599
76,19.4175007520471,1.70258876854279,-20.9568340175427,22.5686500554567,5.77106213569641
77,19.6035770101068,1.70261372532471,-20.8941126380124,22.5309748365728,5.86645579338074
78,19.2004196300275,1.83592287507774,-21.0189819317923,22.4586181934143,6.07703113555908
79,19.2606602347835,1.87314991751623,-21.0487865780727,22.4477259360156,6.04522514343262
80,18.9497001001416,1.56845954842501,-20.9878337848639,22.430817368885,6.06571102142334
81,19.0486628450313,1.63826882427175,-21.1159667323539,22.4067807685889,6.50803804397583
82,18.9533661141017,1.48331767527558,-20.7794536894484,22.4393895432085,6.33266496658325
83,18.6829632171564,1.48728105452353,-20.6421277330719,22.3993097188993,6.42369103431702
84,18.7629518411995,1.44523331222055,-20.5593119723406,22.452215864202,6.47521209716797
85,18.5771207210231,1.3694703997127,-20.5092554662666,22.413738430686,7.11472988128662
86,18.5987091026521,1.2446140662377,-20.4372212486376,22.3465033774078,6.5091860294342
87,18.5990626268997,1.19368671670957,-20.3793223646554,22.4265311531224,6.61417603492737
88,18.2665076755806,1.21569616983535,-20.299291793361,22.354112971813,6.60815596580505
89,18.2039788765459,1.16739563159264,-20.1088017617427,22.3817747622061,6.77697610855103
90,18.5080258468034,1.20839223735957,-20.1779377266495,22.3430517638411,7.01302695274353
91,18.4237432117622,1.06647618881529,-20.0028515172951,22.3141524561218,7.02581405639648
92,18.3684188087365,1.08405516077041,-19.8909833459025,22.2514559731795,6.95030188560486
93,18.4217817519485,1.02928045507222,-19.9683325159574,22.2580582259966,7.12775802612305
94,18.152401144934,1.00266963288547,-19.960890805062,22.2736950613167,7.11520504951477
95,18.0641082859499,1.19862148971914,-20.0684767468841,22.2714174183267,7.16816687583923
96,18.0730554517524,1.29811848749195,-20.1678917361571,22.2765308724161,7.91729998588562
97,18.3788970933038,1.19836637053467,-20.1355368656286,22.3185918903125,7.62173509597778
98,18.3721582651955,1.40421726383434,-20.1498071131684,22.4022623970519,7.37802600860596
99,18.5150446930236,1.28537137844288,-20.0451223573412,22.4300982798143,7.53583216667175
100,18.3113320176437,1.35938948897809,-19.8818043128491,22.5031096217174,7.6205050945282
