"B","psi1","psi2","psi3","psi4","psi5","psi6","Time"
71,-14.5396857042909,-83.7229425819107,-10.3605721614742,-13.9548537150782,-33.969526404183,-96.3404184403423,0.103844165802002
72,-14.5396857042909,-83.8401048089931,-10.3605721614742,-13.9548537150782,-33.9903476945223,-96.4671953954122,0.224607944488525
73,-14.5396857042909,-83.740912687154,-10.3605721614742,-13.9548537150782,-33.9839500108544,-96.3009231497152,0.11690092086792
74,-14.5396857042909,-83.678447672283,-10.3605721614742,-13.9548537150782,-34.0149744529432,-96.2932968019071,0.128101825714111
75,-14.5396857042909,-83.6492668444579,-10.3605721614742,-13.9548537150782,-33.9761378507063,-96.31433580015,0.129416942596436
76,-14.5396857042909,-83.6313486893425,-10.3605721614742,-13.9548537150782,-33.9550486023639,-96.3395543530852,0.295376062393188
77,-14.5396857042909,-83.683150444336,-10.3605721614742,-13.9548537150782,-33.9395433255847,-96.4134109763358,0.142772912979126
78,-14.5396857042909,-83.7903938432306,-10.3605721614742,-13.9548537150782,-33.9835338585731,-96.5636130436583,0.202399969100952
79,-14.5396857042909,-83.8061110383311,-10.3605721614742,-13.9548537150782,-33.9317516300794,-96.5479974954366,0.13499903678894
80,-14.5396857042909,-83.6776819054876,-10.3605721614742,-13.9548537150782,-33.9114334287693,-96.4036236481883,0.164458036422729
81,-14.5396857042909,-83.6321791765207,-10.3605721614742,-13.9548537150782,-33.9215720868789,-96.4099996252523,0.366837024688721
82,-14.5396857042909,-83.710645664755,-10.3605721614742,-13.9548537150782,-33.9292171995717,-96.5465021611164,0.31030011177063
83,-14.5396857042909,-83.8259968878069,-10.3605721614742,-13.9548537150782,-33.9584249460852,-96.6825314325188,0.195857048034668
84,-14.5396857042909,-83.9109192535614,-10.3605721614742,-13.9548537150782,-33.9545518883773,-96.7818078233606,0.311228036880493
85,-14.5396857042909,-84.0507951995436,-10.3605721614742,-13.9548537150782,-33.9492851065813,-96.9225244448374,0.280460119247437
86,-14.5396857042909,-84.1359478188482,-10.3605721614742,-13.9548537150782,-33.9834505947109,-97.0805071790943,0.280689001083374
87,-14.5396857042909,-84.1161655362022,-10.3605721614742,-13.9548537150782,-33.9665993328415,-97.1046929626923,0.31151294708252
88,-14.5396857042909,-84.0443182864583,-10.3605721614742,-13.9548537150782,-34.0202005350796,-96.9630443180815,0.357671022415161
89,-14.5396857042909,-84.0535182077086,-10.3605721614742,-13.9548537150782,-34.0268849484425,-97.034039161374,0.281358003616333
90,-14.5396857042909,-84.0480359547489,-10.3605721614742,-13.9548537150782,-34.0370527546173,-97.0141119194704,0.363204956054688
91,-14.5396857042909,-84.0749976421875,-10.3605721614742,-13.9548537150782,-34.0320410696141,-97.0073195982634,0.276524066925049
92,-14.5396857042909,-84.0135095760853,-10.3605721614742,-13.9548537150782,-34.020311723201,-96.9463054971438,0.314950942993164
93,-14.5396857042909,-84.0429330284528,-10.3605721614742,-13.9548537150782,-34.0380741327156,-96.953395254784,0.407141923904419
94,-14.5396857042909,-84.0187785241889,-10.3605721614742,-13.9548537150782,-34.0664500819961,-96.8860777416573,0.248523950576782
95,-14.5396857042909,-83.9215011527035,-10.3605721614742,-13.9548537150782,-34.0603639499414,-96.7374028941881,0.298705101013184
96,-14.5396857042909,-83.9505428104207,-10.3605721614742,-13.9548537150782,-34.0778545429625,-96.755816298996,0.293279886245728
97,-14.5396857042909,-83.9624806403984,-10.3605721614742,-13.9548537150782,-34.0850781062098,-96.7475701713065,0.265480041503906
98,-14.5396857042909,-83.9385639121194,-10.3605721614742,-13.9548537150782,-34.1071886264565,-96.7010864505332,0.312506198883057
99,-14.5396857042909,-83.8685933726575,-10.3605721614742,-13.9548537150782,-34.1020973817298,-96.6028888448346,0.235491991043091
100,-14.5396857042909,-83.8541504288636,-10.3605721614742,-13.9548537150782,-34.0972493991381,-96.6132051732136,0.335120916366577
