"n","rel","B","seed","a1","a2","a3","a4","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.CG.1","est.CG.2","est.CG.3","est.CG.4","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4"
800,0.5,80,9000001,-1,0,1,2,0.600376237317023,0.612513399838634,0.653636685067042,0.388773457364462,-0.209731634292517,0.79006332390267,0.485563452396579,1.63922164340917,0.0278604193031171,0.0161409443333255,0.0198274094673908,0.0642631528577457,0.618412339373072,0.0978661297038672,0.078877410580343,1.27500314000507,0.0279368695721525,0.0166899002672679,0.0211729379412837,0.0669346179918407,0.675337436726148,0.105161769609739,0.0809422703361678,1.339324902917
8000,0.5,80,9000001,-1,0,1,2,0.599927137870105,0.606414896246637,0.655526428405607,0.372661374262709,2.28633732214499,0.235314709435202,0.99592290969834,-3.25954704221696,0.0120163702405226,0.00566786804451512,0.00797518340021458,0.0279918275408952,1.61381580092909,0.333645534074136,0.325831511226388,2.53533195286114,0.0120115434690314,0.00578102541390828,0.00816234742818771,0.0280964667384766,2.75822330719986,0.610385861168377,0.593762547324863,4.43155255697164
800,0.555555555555556,80,9000001,-1,0,1,2,0.611877574558237,0.606582627577173,0.661408511076532,0.308527610920479,-0.908590983390935,0.909340328375643,0.38488099660173,2.89165547370962,0.0307767707304542,0.0161576504577199,0.0192864059351384,0.0723936552802521,1.15627928554129,0.201490569061613,0.174235911896305,2.68878586941617,0.0308140436078092,0.0168870868027628,0.0206957465970657,0.0762871530523647,1.01110951569334,0.158430804918749,0.126820162247393,3.12365452439603
8000,0.555555555555556,80,9000001,-1,0,1,2,0.614897558619492,0.598456453017644,0.665983261081977,0.288293422805317,1.77093234435661,0.372171441921371,0.867078592666507,-2.21557411768493,0.0139081897013129,0.00592774849958309,0.00822063325511346,0.0338684103186056,0.636517519582608,0.115600636979795,0.115470681878695,0.942164274400931,0.0139047639629114,0.00608996191397281,0.00845598667166302,0.034101500152428,0.857041376588395,0.168620777401911,0.167122925446589,1.29154255890302
800,0.611111111111111,80,9000001,-1,0,1,2,0.633170117226797,0.599068553783886,0.66990447804065,0.210654058661895,-4.69587728308172,1.56847081013491,-0.183546398124177,9.78478324604583,0.0352442680504703,0.0161063914665656,0.0185694672618432,0.0791678272159176,10.7999128535643,1.93562754548569,1.67350406264719,21.6010758005549,0.0356449963154151,0.0169270450321194,0.019901584489013,0.0840294058579295,15.9490116476933,2.81035869144906,2.43994092040136,40.3987064145262
8000,0.611111111111111,80,9000001,-1,0,1,2,0.641638496550448,0.588949463629234,0.676771127596022,0.185853101667444,1.57815690356919,0.423725864986036,0.818809093045982,-1.78756112968943,0.0163301875705189,0.0061602821267435,0.00830348487370919,0.0394652920906541,0.355234556761719,0.0586741385763274,0.0598139448670215,0.506916225490372,0.016387035292402,0.00637373578571317,0.0085842099092293,0.0398736380990824,0.43359595551875,0.077676649947644,0.0783058554205382,0.625325959709518
800,0.666666666666667,80,9000001,-1,0,1,2,0.667211792995813,0.589921037870032,0.679267443512843,0.0929275078585508,5.55602502537352,-0.224381278912992,1.37293713202502,-8.89027712804728,0.0413110601127027,0.0159935420884478,0.0177950875773656,0.0850609722928457,8.10128632149749,1.35468823521058,1.18809652224213,13.5056745179268,0.042239246792374,0.0167651738649564,0.0188909780350436,0.0903087736386539,25.8266149588942,4.42350407037689,3.83136437953565,42.6263058939279
8000,0.666666666666667,80,9000001,-1,0,1,2,0.682309466474958,0.57808628039075,0.687747022830777,0.0646697356033937,1.48000155998216,0.449901369312919,0.794450314377428,-1.54905360988654,0.0191798511457644,0.00631842677776032,0.00820040825387415,0.044166586816173,0.227878430098359,0.0350879928469627,0.0364045039203975,0.316817149337255,0.019368817099058,0.00658138587886874,0.00852116149652777,0.0447885423117982,0.264794338713005,0.0442061673372617,0.0452356827269106,0.370148420684458
800,0.722222222222222,80,9000001,-1,0,1,2,0.717437240156084,0.579095317700843,0.689669339828486,-0.0470945769955182,2.53105547941248,0.302305739964039,0.919500883523034,-3.37230832856856,0.0488936372654983,0.0158837882343858,0.0171138553451011,0.0913077565835873,1.0521792403722,0.160321080579328,0.147780566150001,1.62772464957869,0.0501404645184928,0.0164870784613963,0.0178659190640047,0.0963340886670776,2.91495775062856,0.488744673046804,0.43040235444061,4.48361483917336
8000,0.722222222222222,80,9000001,-1,0,1,2,0.738651908462535,0.566088780368353,0.698776117968651,-0.0754010638075156,1.42010275853078,0.465483162063736,0.780050060700468,-1.39368223351811,0.0221867550144232,0.00636097835534017,0.00790753361443333,0.0473259018394104,0.156091089641701,0.0228378475153355,0.0240472910929107,0.212710035164889,0.0225720945016641,0.00666747681644924,0.00826026818980036,0.0481841337319322,0.175646687957596,0.0277869659665826,0.0288069393166579,0.239953840149518
800,0.777777777777778,80,9000001,-1,0,1,2,0.787818868281995,0.566575350710056,0.701295791696402,-0.211912266977271,1.90048000675334,0.411074621332522,0.828332652990727,-2.21208395900845,0.0578244094697092,0.0158776975897482,0.0166762179143693,0.0993520166998968,0.408070248512391,0.0573772727162907,0.0567916580317537,0.636350614126919,0.0592118105750649,0.0163557076179053,0.0171616033356589,0.104384160485686,0.919106315384379,0.150400091305247,0.135068308519104,1.3791370623005
