"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.OI.5","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.NI.5","ghat.RI.1","ghat.RI.2","ghat.RI.3","ghat.RI.4","ghat.RI.5","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","ghat.CI.5","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.OI.5","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.NI.5","stde.RI.1","stde.RI.2","stde.RI.3","stde.RI.4","stde.RI.5","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","stde.CI.5","bste.OI.1","bste.OI.2","bste.OI.3","bste.OI.4","bste.OI.5","bste.NI.1","bste.NI.2","bste.NI.3","bste.NI.4","bste.NI.5","bste.RI.1","bste.RI.2","bste.RI.3","bste.RI.4","bste.RI.5","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4","bste.CI.5"
800,0.5,80,6000001,1.28979316162278,1.89230968431099,-1.24553421741439,1.22279505635186,-0.580045887476303,1.78686702866624,1.46555617556982,-0.852668613282983,0.739893776702534,-0.26643126976921,1.75889146060432,2.14960624691013,-1.23747117303659,1.33015810272546,-0.458756344652471,1.199831133224,2.60667669368938,-1.20388518396493,1.66908352257227,-0.500715514595789,0.372319722827375,0.176106315988815,0.203501121877405,0.098573485599245,0.117941193814516,0.358700555101185,0.184768902541828,0.182495646998652,0.0970195693921281,0.0786268839374593,0.38864552191109,0.274153792702953,0.249446821916063,0.176546185129168,0.146809572713476,0.677006010823333,0.444457762178698,0.39624246436695,0.315220748840721,0.29190473732461,0.380880210596861,0.178501250864025,0.207628253572711,0.105029327753512,0.122086856732033,0.362020122631597,0.186059879541548,0.183468051882254,0.0985087122100756,0.079592633169191,0.395441910258474,0.276269564710731,0.250531885137885,0.181423338050193,0.152341902240048,0.691758490084223,0.450175506428914,0.397383937885394,0.322125865733881,0.297079354189631
800,0.5,80,6000002,1.63058642528803,1.54434253062366,-1.66964121865009,1.18898692491238,-0.84988129166447,1.85096479689514,1.40450928348445,-1.05768343886439,0.619457252815704,-0.228483656974174,1.60885038894809,1.97499934364954,-1.69867725831939,1.39574080996847,-0.639453647560306,0.720513326485511,2.87603844527456,-3.45819146537452,1.87291848120197,-0.594907648935469,0.285599935147842,0.173285681378539,0.19681259556909,0.0628047223552099,0.0928286651768518,0.391924997937136,0.262972880410053,0.383126970980462,0.0883054421704596,0.148026679769206,0.495981078419471,0.477651018932756,0.572824193077925,0.159454504033602,0.174617536760162,1.57138606369806,1.06115606201518,1.32373599121634,0.778224793230561,0.68418760335115,0.287472183230541,0.174220951222788,0.197650709555756,0.0647956589686006,0.0937237388719836,0.394722031019719,0.266050186513116,0.392886293133621,0.0897104897389002,0.161601082074955,0.508281079898234,0.488615713861703,0.594142766327534,0.165867036881709,0.185320862674903,1.50249057675331,1.04238042599649,1.27732469933881,0.762794784513825,0.66881047021464
800,0.5,80,6000003,1.91223188349007,2.22185997398065,-0.889239014271222,1.13428925896013,-0.809539106815697,2.71180104412854,1.66801549751872,-0.364294371320405,0.423923804527296,-0.519918845580987,2.15200187095228,2.17362871276408,-0.651362795105053,0.937639793280191,-1.1820139132626,15.6148210366982,-2.4061908874147,-4.58466364793868,-4.58146597106616,-1.71986123498737,0.405977282449001,0.220760198546003,0.304769800097557,0.128139563931957,0.120143027067169,0.475861647061587,0.173884619170082,0.265368040220953,0.103302356915036,0.0805957638506583,0.352259727382483,0.250663785208166,0.267454662792644,0.202636842584301,0.156676044587902,25.2083971683612,21.9855033218486,4.34420608999871,17.5661796825682,5.9307593106861,0.417825130921107,0.222488994273909,0.31030903326786,0.13973877186849,0.121594561340181,0.561050377538481,0.164960713654633,0.27391308233642,0.127079282985093,0.119042308856017,0.47586542062915,0.29458642479627,0.257831480168051,0.242086660536719,0.322581660308623,36.6220221863839,31.3788839610178,5.44665067038235,25.7652513811992,8.35779149689572
800,0.5,80,6000004,1.80506527852507,1.47692988540279,-1.3956255017369,1.13763778187992,-0.935778141012911,2.25951116707919,0.850509303633077,-1.13787033829253,0.552677364494789,-0.441145553219334,1.49705621847906,1.26112908065421,-1.72241627434197,1.59935337388981,-0.84123716242415,-1.07196655760886,0.229370322882383,-1.3314075065191,3.21929513213283,-1.88961492186124,0.29632085652337,0.182730251204565,0.189772943054741,0.0790664133684575,0.0930810481345103,0.442557556803814,0.246006205906135,0.213876441528255,0.147201273310544,0.114755982966995,0.461892083008247,0.43584102000277,0.379037469689997,0.29372453412348,0.249311075155761,4.81375392480864,1.04636540967456,1.70463313407262,3.30282712511762,2.01660508317712,0.304640190104619,0.183181103652869,0.196372930182975,0.0848341623125264,0.10087457329265,0.494899111791914,0.241933537369622,0.216232584479528,0.177730049694517,0.121695964344934,0.549619190322706,0.450226503808833,0.388305563945668,0.384851514377226,0.261497446589127,5.43201657866034,0.874316117554157,1.74389776738842,3.85209365281543,2.1978169462336
800,0.5,80,6000005,1.43416270038021,1.62348006337639,-1.39539147469038,1.31694984260879,-0.88317218034763,1.79378558303341,1.48004293464457,-0.944368060291288,0.602926656453661,-0.25927776391009,1.27405990703503,2.2621242236619,-1.65348929066929,1.48343845593014,-0.49335765576174,-1.71653738457988,4.29744257033321,-0.0116996496342667,3.99317128586147,-0.498713873432682,0.335964147538585,0.218474491566234,0.395331198845725,0.144195915436568,0.162150320105379,0.34583023775329,0.259609798658006,0.209598116942109,0.114205140300892,0.104482121796872,0.387031474355741,0.418878220740437,0.3651581823262,0.233448824679589,0.223492825798645,5.46284401083565,3.12901072045307,2.09813983293202,4.46168713275469,0.629063029870607,0.339742488256739,0.220439200951129,0.409470389356011,0.15002035483605,0.167971551105614,0.350559632789527,0.264851909673313,0.211763324279662,0.119169812509649,0.108289019902286,0.39183480835238,0.433453817795326,0.375249171084524,0.244136445343743,0.233023439439494,5.07649151305281,3.05456659836709,1.99804771267469,4.15821209409151,0.659669051628362
800,0.5,80,6000006,2.08903690706521,1.57969999473089,-1.2247624946247,1.22201490727947,-1.09827200830221,1.6715412330462,1.54106218765326,-1.25335798478307,0.631635528219781,-0.201040442780214,1.25979713505555,2.00117340546854,-1.89525634137945,1.33647921840527,-0.277253671908023,1.00668851789864,2.76541177705639,-1.86196310616141,1.43096015283614,-0.22393159816143,0.360656340273306,0.233086396624405,0.252710739669634,0.0975002143646268,0.173609019226572,0.486249162433729,0.190096413071766,0.180452777143598,0.109560888542749,0.0855933773948504,0.427442705505325,0.311886136267831,0.319182967118599,0.182076167375949,0.154536323299987,0.488794574588317,0.366967744096809,0.231679226260607,0.228089295326474,0.181553831743381,0.456905906402383,0.236948641275924,0.229465923971369,0.108806544270704,0.280388225450635,0.503612785798358,0.188712944956129,0.180213138999868,0.120424284823186,0.0868860240762265,0.439723921362768,0.318143409539267,0.328072162337924,0.189542131432548,0.158843527143129,0.518680947705725,0.389464320674053,0.233312164931954,0.258429702103503,0.182829240756838
800,0.5,80,6000007,2.25201321447687,1.7770092120059,-1.71367940274345,0.901374756467237,-0.814427565284389,1.7707784835202,0.843391637155655,-1.63519022589623,0.450390819967229,-0.383620875296484,1.70042453131472,1.67258130136905,-2.24210472776273,1.00659346386173,-0.819390667530325,-2.61754730734157,3.41433490499997,-0.685520102727471,-0.618844563930254,3.2169589136398,0.391018294988056,0.224494063180046,0.282629521496059,0.124842741412246,0.143045103877259,0.825927166120091,0.302540933992331,0.276619718746621,0.145707027396151,0.126257098541616,0.65512618992763,0.395205897555759,0.305303307409046,0.200079598275299,0.168847728597684,8.69926048952668,2.64141443796073,2.34689235275888,2.35763082637771,7.26002386818869,0.399300489352605,0.226493734324691,0.286423490936053,0.127707456084792,0.149186436382311,0.87345876235318,0.307327180863372,0.277897426258656,0.161618288571541,0.130855364830478,0.670966910368213,0.424284207531149,0.306061522947334,0.20831569277316,0.171413937525851,14.4094725300234,5.36380167561508,5.0650883888794,3.56016027703742,11.5433606771398
800,0.5,80,6000008,1.46118197693505,1.69510373432789,-1.67042531754471,1.2883547709743,-0.617519136728356,1.62008239186616,1.04799115703891,-1.4199598385258,0.733985155476326,-0.445170618402587,1.06218980093091,1.484422906514,-2.04815335858261,1.60005587980117,-0.709809910866016,-0.417765942533881,2.04873576223758,-1.61019341084217,2.46486215194813,-0.853560400401569,0.487684218387317,0.233198446920068,0.33066180685778,0.121970044613773,0.148316942969379,0.384668835094241,0.192120339269626,0.280156068886243,0.129205267502723,0.107047347502537,0.521038856127296,0.33323879032747,0.383980497217253,0.253613127926068,0.206715992875685,2.08044062426664,0.993927991269007,1.81575745368915,1.62580236963493,0.663608340589816,0.509664281290681,0.235069881224127,0.340031037077281,0.126164900474392,0.15626766497132,0.412554127127381,0.193083191679809,0.285614553319079,0.154633328760325,0.110045373203149,0.551390691986506,0.349828313195121,0.392241541614478,0.309409456323101,0.224030816662805,2.05551998952895,1.02923414788434,1.74182300754969,1.63189427758245,0.653911011749543
800,0.5,80,6000009,2.91634349796406,0.892387537619241,-1.97094091837007,0.712321693550751,-0.775351707837576,3.1788861995097,0.650295616592594,-1.48703019377178,0.126823233072453,-0.409182136004697,2.30757512784387,0.643284652999266,-2.49835909573481,0.73807804440377,-0.553755391506154,4.37969191491825,0.382267762361632,-2.95652181717373,-0.0319593146737308,-1.14582715946754,0.604969215798935,0.265071067250189,0.282612832660544,0.149720657282935,0.152022853147388,0.426396632281464,0.187843177446408,0.229803022930839,0.09207506686399,0.114490437800124,0.426271584946785,0.230007835035773,0.337222134690497,0.166167724848005,0.126462945825412,1.1978500846371,0.881805272422179,0.834851601764274,0.237852916107871,0.578020131491438,0.608547574617189,0.288624072280791,0.291975680632285,0.162832588859558,0.157263544057062,0.851621232525424,0.420091886412214,0.242325393009318,0.335862715795066,0.138167863530612,0.519819979534802,0.264708629247133,0.380555490431754,0.230240239923631,0.130150774496006,1.35101323678441,0.828943195350488,0.685212843690858,0.274114759061418,0.559751337885331
800,0.5,80,6000010,1.27592144939983,1.52906931623241,-1.73917830808863,1.42817249016092,-0.67866249660473,0.934378411559943,1.35698889683248,-1.67339514806549,0.751487154745556,-0.154129334671096,0.94186490307122,1.72980282965693,-2.39931348429679,1.36519979593077,-0.466217296418325,4.54466409545717,2.65533069481774,-3.5586788284426,2.43133638024815,-4.85559106889182,0.4211280090555,0.296054706920498,0.379652908284014,0.157506082916678,0.223295519752344,0.483908174633562,0.278277293343366,0.295977597215602,0.112926030048479,0.169382105340447,0.621101759784451,0.559518753354706,0.579500219623177,0.194565678260118,0.266062388191757,45.4467859875468,3.20275019693355,17.0335824302316,11.6805164709304,55.1855442371698,0.450234460776149,0.299262754524508,0.400874771396646,0.163709910177425,0.26431801325627,0.52703874960534,0.281532865594165,0.298562211730782,0.115450247518535,0.208080554394609,0.645875816444724,0.570956417310888,0.599978963038254,0.201993397050517,0.29932619945755,47.7824210215687,3.10075579395316,17.9018449525468,12.2354586515798,57.6686229071002
