"n","B","vare","seed","ps","out","method","type","est","se"
400,30,0.16,9000001,0,0,"gfmla","naive",0.660624617664559,0.0311898198226986
400,30,0.16,9000001,0,0,"gfmla","oracle",0.715333377371639,0.0297823146267991
400,30,0.16,9000001,0,0,"gfmla","mccs",0.768925016368671,0.038186465049582
400,30,0.16,9000001,0,0,"ipw","naive",0.643530335849284,0.0458115913176716
400,30,0.16,9000001,0,0,"ipw","oracle",0.717970193345369,0.0435745593884257
400,30,0.16,9000001,0,0,"ipw","mccs",0.741713325069217,0.0563440517046334
400,30,0.16,9000001,0,0,"dr","naive",0.637495969066867,0.0320233861528682
400,30,0.16,9000001,0,0,"dr","oracle",0.713182256303456,0.0318976665892107
400,30,0.16,9000001,0,0,"dr","mccs",0.733078883948586,0.0419971478704761
400,30,0.16,9000001,1,0,"gfmla","naive",0.660624617664559,0.0311898198226986
400,30,0.16,9000001,1,0,"gfmla","oracle",0.715333377371639,0.0297823146267991
400,30,0.16,9000001,1,0,"gfmla","mccs",0.768925016368671,0.038186465049582
400,30,0.16,9000001,1,0,"ipw","naive",0.602611322493521,0.0330344071148157
400,30,0.16,9000001,1,0,"ipw","oracle",0.677155405036322,0.0329386438084931
400,30,0.16,9000001,1,0,"ipw","mccs",0.681308111767226,0.0390185543735711
400,30,0.16,9000001,1,0,"dr","naive",0.655251279031007,0.0304803776433456
400,30,0.16,9000001,1,0,"dr","oracle",0.713508764852734,0.0306132291969189
400,30,0.16,9000001,1,0,"dr","mccs",0.767408528389056,0.037534446081584
400,30,0.16,9000001,0,1,"gfmla","naive",0.581719279395855,0.0354632128058701
400,30,0.16,9000001,0,1,"gfmla","oracle",0.658355483229081,0.0353415220268881
400,30,0.16,9000001,0,1,"gfmla","mccs",0.653300227157908,0.0410627913795931
400,30,0.16,9000001,0,1,"ipw","naive",0.643530335905499,0.045811591329524
400,30,0.16,9000001,0,1,"ipw","oracle",0.717970193421193,0.043574559385883
400,30,0.16,9000001,0,1,"ipw","mccs",0.741713324575171,0.0563440517128004
400,30,0.16,9000001,0,1,"dr","naive",0.609085961832905,0.0438307614702016
400,30,0.16,9000001,0,1,"dr","oracle",0.705894230144781,0.0438411855103334
400,30,0.16,9000001,0,1,"dr","mccs",0.699433588263723,0.0539537672151076
400,30,0.16,9000001,1,1,"gfmla","naive",0.581719279395855,0.0354632128058701
400,30,0.16,9000001,1,1,"gfmla","oracle",0.658355483229081,0.0353415220268881
400,30,0.16,9000001,1,1,"gfmla","mccs",0.653300227157908,0.0410627913795931
400,30,0.16,9000001,1,1,"ipw","naive",0.602611322493521,0.0330344071148191
400,30,0.16,9000001,1,1,"ipw","oracle",0.677155404971938,0.0329386438089663
