"n","B","vare","seed","ps","out","method","type","est","se"
400,30,0.16,8000001,0,0,"gfmla","naive",0.652080601981373,0.0316074782475054
400,30,0.16,8000001,0,0,"gfmla","oracle",0.742257865602505,0.0297964896159789
400,30,0.16,8000001,0,0,"gfmla","mccs",0.755643033686968,0.0375901658816292
400,30,0.16,8000001,0,0,"ipw","naive",0.63131414985526,0.0679631413349335
400,30,0.16,8000001,0,0,"ipw","oracle",0.711617254570213,0.0777627032440581
400,30,0.16,8000001,0,0,"ipw","mccs",0.742056942712283,0.0840102479797574
400,30,0.16,8000001,0,0,"dr","naive",0.667196380154479,0.0352635528409404
400,30,0.16,8000001,0,0,"dr","oracle",0.74022395012996,0.0310457707360804
400,30,0.16,8000001,0,0,"dr","mccs",0.803659482654677,0.0443064844242143
400,30,0.16,8000001,1,0,"gfmla","naive",0.652080601981373,0.0316074782475054
400,30,0.16,8000001,1,0,"gfmla","oracle",0.742257865602505,0.0297964896159789
400,30,0.16,8000001,1,0,"gfmla","mccs",0.755643033686968,0.0375901658816292
400,30,0.16,8000001,1,0,"ipw","naive",0.571650241158915,0.0374746815574796
400,30,0.16,8000001,1,0,"ipw","oracle",0.653888140862252,0.0379414529716295
400,30,0.16,8000001,1,0,"ipw","mccs",0.6520981337003,0.0431045823576508
400,30,0.16,8000001,1,0,"dr","naive",0.664569110924,0.0325445998433176
400,30,0.16,8000001,1,0,"dr","oracle",0.758432182047497,0.0303219270893021
400,30,0.16,8000001,1,0,"dr","mccs",0.782475147802494,0.0397677715821314
400,30,0.16,8000001,0,1,"gfmla","naive",0.572157200279967,0.0362204034662208
400,30,0.16,8000001,0,1,"gfmla","oracle",0.645018283027988,0.0363558574894445
400,30,0.16,8000001,0,1,"gfmla","mccs",0.647849276386949,0.041445287013938
400,30,0.16,8000001,0,1,"ipw","naive",0.631314149819568,0.0679631413126723
400,30,0.16,8000001,0,1,"ipw","oracle",0.711617254570214,0.0777627032440689
400,30,0.16,8000001,0,1,"ipw","mccs",0.742056942712283,0.0840102479797574
400,30,0.16,8000001,0,1,"dr","naive",0.632499319874787,0.0529151581795797
400,30,0.16,8000001,0,1,"dr","oracle",0.696335532621676,0.0565578883357029
400,30,0.16,8000001,0,1,"dr","mccs",0.746872661595876,0.0680142416483236
400,30,0.16,8000001,1,1,"gfmla","naive",0.572157200279967,0.0362204034662208
400,30,0.16,8000001,1,1,"gfmla","oracle",0.645018283027988,0.0363558574894445
400,30,0.16,8000001,1,1,"gfmla","mccs",0.647849276386949,0.041445287013938
400,30,0.16,8000001,1,1,"ipw","naive",0.571650241002434,0.0374746815550486
400,30,0.16,8000001,1,1,"ipw","oracle",0.653888140862252,0.0379414529716295
400,30,0.16,8000001,1,1,"ipw","mccs",0.6520981337003,0.0431045823576508
400,30,0.16,8000001,1,1,"dr","naive",0.576089184059453,0.0352340947183611
400,30,0.16,8000001,1,1,"dr","oracle",0.644140234758826,0.0358788269575747
400,30,0.16,8000001,1,1,"dr","mccs",0.660729410977779,0.0419275004521363
2000,30,0.16,8000001,0,0,"gfmla","naive",0.655591442052355,0.0132823220928768
2000,30,0.16,8000001,0,0,"gfmla","oracle",0.750517773959349,0.0130354014206553
2000,30,0.16,8000001,0,0,"gfmla","mccs",0.7534141701469,0.0156603631750577
2000,30,0.16,8000001,0,0,"ipw","naive",0.656728232579813,0.0294227429121074
2000,30,0.16,8000001,0,0,"ipw","oracle",0.741136578263252,0.0302591248702425
2000,30,0.16,8000001,0,0,"ipw","mccs",0.754972413471536,0.0379663207415514
2000,30,0.16,8000001,0,0,"dr","naive",0.671559409309519,0.0166100126856094
2000,30,0.16,8000001,0,0,"dr","oracle",0.761152662395242,0.0158390322460312
2000,30,0.16,8000001,0,0,"dr","mccs",0.77301309780346,0.0197546524059883
2000,30,0.16,8000001,1,0,"gfmla","naive",0.655591442052355,0.0132823220928768
2000,30,0.16,8000001,1,0,"gfmla","oracle",0.750517773959349,0.0130354014206553
2000,30,0.16,8000001,1,0,"gfmla","mccs",0.7534141701469,0.0156603631750577
2000,30,0.16,8000001,1,0,"ipw","naive",0.616469690859231,0.0174771124046688
2000,30,0.16,8000001,1,0,"ipw","oracle",0.688444149067751,0.0178115002821163
2000,30,0.16,8000001,1,0,"ipw","mccs",0.694146953549801,0.0207463950158791
2000,30,0.16,8000001,1,0,"dr","naive",0.663302588454986,0.0142932363232868
2000,30,0.16,8000001,1,0,"dr","oracle",0.753496072700778,0.0142428949441316
2000,30,0.16,8000001,1,0,"dr","mccs",0.763652344129958,0.0174390648935594
2000,30,0.16,8000001,0,1,"gfmla","naive",0.603495229013502,0.015621778616509
2000,30,0.16,8000001,0,1,"gfmla","oracle",0.676876316468532,0.0160707503692617
2000,30,0.16,8000001,0,1,"gfmla","mccs",0.676488952078201,0.0175972127174235
2000,30,0.16,8000001,0,1,"ipw","naive",0.656728232579813,0.0294227429121074
2000,30,0.16,8000001,0,1,"ipw","oracle",0.741136578263252,0.0302591248702425
2000,30,0.16,8000001,0,1,"ipw","mccs",0.754972413471536,0.0379663207415514
2000,30,0.16,8000001,0,1,"dr","naive",0.663281826138397,0.0241635385907801
2000,30,0.16,8000001,0,1,"dr","oracle",0.751220086778677,0.0265711914074065
2000,30,0.16,8000001,0,1,"dr","mccs",0.766629100500871,0.0299390789321114
2000,30,0.16,8000001,1,1,"gfmla","naive",0.603495229013502,0.015621778616509
2000,30,0.16,8000001,1,1,"gfmla","oracle",0.676876316468532,0.0160707503692617
2000,30,0.16,8000001,1,1,"gfmla","mccs",0.676488952078201,0.0175972127174235
2000,30,0.16,8000001,1,1,"ipw","naive",0.616469690859231,0.0174771124046688
2000,30,0.16,8000001,1,1,"ipw","oracle",0.688444149067751,0.0178115002821163
2000,30,0.16,8000001,1,1,"ipw","mccs",0.694146953549801,0.0207463950158791
2000,30,0.16,8000001,1,1,"dr","naive",0.610445218300961,0.0157475698768354
2000,30,0.16,8000001,1,1,"dr","oracle",0.678753581168888,0.0163727411803854
2000,30,0.16,8000001,1,1,"dr","mccs",0.689349331766027,0.0185167086448596
400,30,0.16,8000002,0,0,"gfmla","naive",0.655045333444192,0.0325817565193082
400,30,0.16,8000002,0,0,"gfmla","oracle",0.711435163278342,0.0305268521255796
400,30,0.16,8000002,0,0,"gfmla","mccs",0.745937315573048,0.0378385004667729
400,30,0.16,8000002,0,0,"ipw","naive",0.616372913009055,0.0497497676010338
400,30,0.16,8000002,0,0,"ipw","oracle",0.70065721883867,0.0493029611409461
400,30,0.16,8000002,0,0,"ipw","mccs",0.697023176424332,0.0613621629976122
400,30,0.16,8000002,0,0,"dr","naive",0.622992388148964,0.0329288711006044
400,30,0.16,8000002,0,0,"dr","oracle",0.684163443580641,0.032104905527202
400,30,0.16,8000002,0,0,"dr","mccs",0.730745619165741,0.0402374313189352
400,30,0.16,8000002,1,0,"gfmla","naive",0.655045333444192,0.0325817565193082
400,30,0.16,8000002,1,0,"gfmla","oracle",0.711435163278342,0.0305268521255796
400,30,0.16,8000002,1,0,"gfmla","mccs",0.745937315573048,0.0378385004667729
400,30,0.16,8000002,1,0,"ipw","naive",0.565983976562427,0.0625562876288256
400,30,0.16,8000002,1,0,"ipw","oracle",0.647827355456441,0.0583026290664338
400,30,0.16,8000002,1,0,"ipw","mccs",0.628132474699704,0.0762322575126572
400,30,0.16,8000002,1,0,"dr","naive",0.635255926254329,0.0323452645318336
400,30,0.16,8000002,1,0,"dr","oracle",0.692853281328906,0.0323754436711936
400,30,0.16,8000002,1,0,"dr","mccs",0.729402997421172,0.0383596528218727
400,30,0.16,8000002,0,1,"gfmla","naive",0.618012642428649,0.0410402262635174
400,30,0.16,8000002,0,1,"gfmla","oracle",0.673295676220748,0.0398592485043392
400,30,0.16,8000002,0,1,"gfmla","mccs",0.693406018324325,0.046108599482456
400,30,0.16,8000002,0,1,"ipw","naive",0.616372912704829,0.0497497675939522
400,30,0.16,8000002,0,1,"ipw","oracle",0.70065721860527,0.0493029611351951
400,30,0.16,8000002,0,1,"ipw","mccs",0.697023176509673,0.0613621630042876
400,30,0.16,8000002,0,1,"dr","naive",0.624353643328353,0.0430517502516099
400,30,0.16,8000002,0,1,"dr","oracle",0.700010848403508,0.0433275295297118
400,30,0.16,8000002,0,1,"dr","mccs",0.718571368357889,0.0549324897704354
400,30,0.16,8000002,1,1,"gfmla","naive",0.618012642428649,0.0410402262635174
400,30,0.16,8000002,1,1,"gfmla","oracle",0.673295676220748,0.0398592485043392
400,30,0.16,8000002,1,1,"gfmla","mccs",0.693406018324325,0.046108599482456
400,30,0.16,8000002,1,1,"ipw","naive",0.565983976562427,0.0625562876288256
400,30,0.16,8000002,1,1,"ipw","oracle",0.647827355456441,0.0583026290664338
400,30,0.16,8000002,1,1,"ipw","mccs",0.628132474699704,0.0762322575126572
400,30,0.16,8000002,1,1,"dr","naive",0.614510261227788,0.038808982098989
400,30,0.16,8000002,1,1,"dr","oracle",0.669742549596439,0.0395706509055701
400,30,0.16,8000002,1,1,"dr","mccs",0.694378576319312,0.0468939100191787
2000,30,0.16,8000002,0,0,"gfmla","naive",0.666366326457589,0.0135008405693483
2000,30,0.16,8000002,0,0,"gfmla","oracle",0.764953837453954,0.0128341954816984
2000,30,0.16,8000002,0,0,"gfmla","mccs",0.759235043381619,0.0160076498111297
2000,30,0.16,8000002,0,0,"ipw","naive",0.684422527789645,0.0293503327099901
2000,30,0.16,8000002,0,0,"ipw","oracle",0.777909476822429,0.0331926353708935
2000,30,0.16,8000002,0,0,"ipw","mccs",0.776744750834815,0.0358851287606004
2000,30,0.16,8000002,0,0,"dr","naive",0.662148710882443,0.0156678716328055
2000,30,0.16,8000002,0,0,"dr","oracle",0.763852944524031,0.0149129040544976
2000,30,0.16,8000002,0,0,"dr","mccs",0.757469372686021,0.0181839272056188
2000,30,0.16,8000002,1,0,"gfmla","naive",0.666366326457589,0.0135008405693483
2000,30,0.16,8000002,1,0,"gfmla","oracle",0.764953837453954,0.0128341954816984
2000,30,0.16,8000002,1,0,"gfmla","mccs",0.759235043381619,0.0160076498111297
2000,30,0.16,8000002,1,0,"ipw","naive",0.634798039424065,0.0162976508634763
2000,30,0.16,8000002,1,0,"ipw","oracle",0.709236510046851,0.0167574640332133
2000,30,0.16,8000002,1,0,"ipw","mccs",0.712270448387194,0.0185397516925626
2000,30,0.16,8000002,1,0,"dr","naive",0.67098296755615,0.0141444804509908
2000,30,0.16,8000002,1,0,"dr","oracle",0.770584101669345,0.0134336196834119
2000,30,0.16,8000002,1,0,"dr","mccs",0.767056105338998,0.016912141896645
2000,30,0.16,8000002,0,1,"gfmla","naive",0.62172861318523,0.0158648927366006
2000,30,0.16,8000002,0,1,"gfmla","oracle",0.697833665130365,0.0163091752402129
2000,30,0.16,8000002,0,1,"gfmla","mccs",0.694867684409971,0.0180317841827331
2000,30,0.16,8000002,0,1,"ipw","naive",0.684422527789645,0.0293503327099901
2000,30,0.16,8000002,0,1,"ipw","oracle",0.777909476822429,0.0331926353708935
2000,30,0.16,8000002,0,1,"ipw","mccs",0.776744750834815,0.0358851287606004
2000,30,0.16,8000002,0,1,"dr","naive",0.675195155503609,0.0226826094491593
2000,30,0.16,8000002,0,1,"dr","oracle",0.772937833584975,0.0256009320998046
2000,30,0.16,8000002,0,1,"dr","mccs",0.774248290877391,0.0290739489675283
2000,30,0.16,8000002,1,1,"gfmla","naive",0.62172861318523,0.0158648927366006
2000,30,0.16,8000002,1,1,"gfmla","oracle",0.697833665130365,0.0163091752402129
2000,30,0.16,8000002,1,1,"gfmla","mccs",0.694867684409971,0.0180317841827331
