"n","vare","B","n.supp","k","seed","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,5,2,6000001,0.466250327875795,0.091387199089728,0.101716627060478,0.0619785565627109,0.0387442709879455,0.110769411580929,0.067091224995955,0.0723708766643153,0.0390766878098177,0.111722202712786,0.0677579161642608,0.07263369374881
800,0.05,80,5,6,6000001,0.686780048388794,-0.555421791587819,0.501584241074726,-0.297199474673097,0.225621237614731,0.819005015002601,0.963495917295608,0.350666835929453,0.367188454779482,0.942381710586614,1.25378589657231,0.383460905007812
800,0.05,80,5,10,6000001,0.485384075871044,0.082803315840916,0.159842462078296,0.0201983222390731,0.0478600197464177,0.126698140045638,0.113980629347168,0.07796450629299,0.0489658952168746,0.128031157907633,0.117261016339767,0.078228693073667
800,0.05,80,5,14,6000001,0.501067241583577,0.0217755227971412,0.164385617098085,-0.00745160944499464,0.0484091961513169,0.0958481959396358,0.141210623255809,0.0774640584970294,0.0499770283535822,0.096935727095684,0.145682920742409,0.0776408602445007
800,0.05,80,5,18,6000001,0.490656512065544,0.0721502400915611,0.172117583270845,0.0171574671565436,0.0443295928584419,0.111034152792246,0.11140511854467,0.0761150538689091,0.0453924821848964,0.111829470981047,0.115008008730363,0.0763463013178312
800,0.05,80,5,2,6000002,0.439972584434611,0.300602828901202,0.0894876221940109,0.221807908930418,0.0444856368190589,0.140613443025334,0.119747876027951,0.0755626613434997,0.0452101397085864,0.144929681385809,0.120946107993655,0.075828059646435
800,0.05,80,5,6,6000002,0.445111335383932,0.231316123650077,0.0690694905422362,0.201853932979475,0.043022403738706,0.137639302014318,0.0994625889310763,0.0752308366831598,0.0442725171431744,0.146786685060884,0.10117007985278,0.0753552953302678
800,0.05,80,5,10,6000002,0.445699978797541,0.273098106128268,0.0946886817245533,0.223672051614063,0.0416003102055746,0.136242790846811,0.0990292156170103,0.0729446073116833,0.0422754284618539,0.14039121875145,0.0996967905086304,0.0731767838289858
800,0.05,80,5,14,6000002,0.456942159696212,0.294414680602885,0.14287003737624,0.216337899976013,0.0426168502186941,0.119438189220002,0.113097505068483,0.0733432015473969,0.0433008903186178,0.123041242800832,0.114346251307769,0.0735988563484734
800,0.05,80,5,18,6000002,0.437328988763999,0.323236031241639,0.0859977658656885,0.222584937015393,0.0424735730520136,0.129208292868758,0.0996030588797894,0.0737699712841053,0.0430728322537126,0.132228277480387,0.100312612703418,0.0739818776761505
800,0.05,80,5,2,6000003,0.441967416544651,0.172376235435889,0.19818646712672,0.119362078758593,0.0374510343373031,0.0899669231414938,0.0821935366211214,0.0842242271405611,0.0379277035971822,0.0916789599495133,0.0827411599862589,0.0852492038495346
800,0.05,80,5,6,6000003,0.432094107789834,0.206238350305302,0.1890093345152,0.139505159969954,0.0487868201865511,0.135752539900849,0.0996557336361438,0.0979780559244263,0.0499509775378999,0.13948576338387,0.100992185321256,0.0996785130335968
800,0.05,80,5,10,6000003,0.436768515073254,0.205988566141522,0.217674547007804,0.131431294605263,0.0445684001277333,0.115415270674665,0.0995191065416256,0.0926869284907732,0.0452606703608178,0.117608954014047,0.100409092875766,0.0941952020243473
800,0.05,80,5,14,6000003,0.448081022620305,0.152124073733942,0.209615948849181,0.116399779135991,0.0417233366963827,0.0939803467349884,0.101997344603535,0.0829014932907728,0.0423624805414701,0.0958030484191748,0.102962656458553,0.0837081599436843
800,0.05,80,5,18,6000003,0.44552229636524,0.151164591151452,0.198751636710446,0.118993933946832,0.0462579304182908,0.10853498759355,0.112892597500629,0.084566201643179,0.0471298302110921,0.11077854808571,0.114272316648948,0.0853335367577433
800,0.05,80,5,2,6000004,0.384220841257756,0.232252421638085,0.0127213627733722,0.182504075842196,0.0568398599957505,0.106216577641807,0.144129877475824,0.0763542188501437,0.0580627322828033,0.10821217410479,0.146673348748082,0.0770897832250566
800,0.05,80,5,6,6000004,0.399229379115661,0.228280407412132,0.0380485106220917,0.163571206177662,0.0448835934316656,0.104189699122097,0.0904447036609223,0.0731879034856223,0.0458367520940921,0.105986947677612,0.092653742167208,0.0739157648490907
800,0.05,80,5,10,6000004,0.403759127915697,0.207951991791052,0.0445835636562223,0.168065931597764,0.044210884249101,0.0889839775663623,0.0944359517794811,0.0701583063545097,0.044901579204155,0.0901052655422987,0.0956612131460933,0.0706656064333452
800,0.05,80,5,14,6000004,0.400632483099424,0.228582351600152,0.0432702500458143,0.165141475593753,0.0538497650806817,0.121466877272561,0.104099787890746,0.0742617052305785,0.0551597551255029,0.124421371189339,0.105974547058378,0.0750094684395797
800,0.05,80,5,18,6000004,0.396250159185118,0.247171401540687,0.0565347344721396,0.166525026222432,0.0547825924275147,0.121758791365148,0.114277684639892,0.0781241824746507,0.0562181568494261,0.124360598804864,0.117005126850898,0.0792005358109874
800,0.05,80,5,2,6000005,0.365964561935866,0.363676612365714,0.0272568812929714,0.190283165122069,0.0643715652798898,0.171088361505252,0.12535479420621,0.0791410408170979,0.0679401198778077,0.182472141949498,0.132179613924193,0.0798636180563202
800,0.05,80,5,6,6000005,0.378694751499731,0.29025793563023,0.0571244355908934,0.242254445572443,0.0443184843643188,0.136254910351503,0.118626497454983,0.0758674724276649,0.0471817803227612,0.155158377848968,0.119322754777601,0.0759763061503262
800,0.05,80,5,10,6000005,0.390646684257564,0.256504878475403,0.0483136022797108,0.222916963839873,0.0394721823392196,0.113287595673358,0.0908193596062989,0.0705051072356175,0.0415400009907302,0.123245348798601,0.0933596557844164,0.0706800764446859
800,0.05,80,5,14,6000005,0.383752387460742,0.288068612049825,0.0149442468635156,0.240642896982587,0.0449176443543955,0.175747497529249,0.106026027227114,0.079374300728058,0.0509290916052098,0.214152973651223,0.103770225540577,0.0793732562172952
800,0.05,80,5,18,6000005,0.377288206671841,0.283787112807638,0.0226484696751149,0.24894804268084,0.0519623605408325,0.18885824729494,0.115788061180669,0.0810809747273328,0.0585633723615538,0.218646438064936,0.118236117064555,0.0812104822049131
800,0.05,80,5,2,6000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,0.05,80,5,6,6000006,0.43923393079545,0.296960628234128,0.145369812218578,0.0751283989094517,0.043008150643915,0.167435013591744,0.10593494589121,0.112432118514189,0.0447003163341762,0.180310836071821,0.109047997003475,0.11593466372962
800,0.05,80,5,10,6000006,0.442987795023068,0.278962196548201,0.124203718334528,0.0673302842593686,0.0443557355554752,0.152409805898294,0.115651370749334,0.109540673411196,0.0458075238016185,0.161713851512789,0.118017728363253,0.112282379339435
800,0.05,80,5,14,6000006,0.462628109371212,0.229354553911567,0.153993345034649,0.0818593743979517,0.0449162140594102,0.146104814333534,0.119351923318552,0.105244368083636,0.0463362829288403,0.155251731769713,0.12091394128502,0.107743829177797
800,0.05,80,5,18,6000006,0.445355099945369,0.245443139323635,0.0901892403767893,0.0631844881295704,0.0431697695969928,0.145116801674333,0.119321933123384,0.108003750415032,0.0444792833489066,0.15419030919057,0.122444939528091,0.110456468233271
800,0.05,80,5,2,6000007,0.451075900443823,0.0759402840109579,0.17006161577173,0.112372279056067,0.0277532097454338,0.0598327513278813,0.0625600791134078,0.0658469356591556,0.0278562160828238,0.0601890127968227,0.063027199812293,0.0660634985911326
800,0.05,80,5,6,6000007,0.458712688827465,0.0815840874817212,0.195796293165726,0.10523576349272,0.0338990210788432,0.0894341187280343,0.0804442894838293,0.0690363491823815,0.034145676032915,0.0906150519566872,0.0812022466730107,0.0692987460438384
800,0.05,80,5,10,6000007,0.456489006927325,0.0802554284518554,0.183470144613012,0.105402773023238,0.031755989786653,0.0798330045340969,0.0730224228843041,0.0677085166984918,0.0319354191166777,0.0806339467769867,0.0736356534679923,0.067950156915629
800,0.05,80,5,14,6000007,0.457723483700568,0.0792173627608779,0.216959793675806,0.120016384603566,0.0337295556832274,0.087732511817272,0.0860190181624702,0.0695786267512585,0.0339687997071836,0.0887610167726495,0.0868494642030617,0.0698544011713026
800,0.05,80,5,18,6000007,0.458092634350967,0.0772039705853073,0.20179581950827,0.11113580902877,0.0332515167533515,0.0838051655516155,0.082033776878582,0.0687478809873723,0.0334690348788465,0.0847728199723516,0.0828014973391372,0.0690031745836643
800,0.05,80,5,2,6000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,0.05,80,5,6,6000008,0.53917691613003,0.345327150111966,0.625479695180631,0.100213860125802,0.0397936785021047,0.122218699990299,0.166391641553233,0.113611013195892,0.0407522687973837,0.129586422904458,0.167957235493251,0.116827113354359
800,0.05,80,5,10,6000008,0.464047629085789,0.307743173176695,0.200833673808467,0.0324577273130416,0.0404658446895918,0.0998354656432914,0.102657444743086,0.0766220384870465,0.0410061236772823,0.101167392234862,0.104215003622958,0.0771135485791798
800,0.05,80,5,14,6000008,0.458051671986394,0.392508833091169,0.270058101316803,0.0111077140580391,0.0451680628130621,0.126037912445469,0.128922699464881,0.0854090920460162,0.0460871743971346,0.128841279488144,0.131309832628226,0.0862337422018415
800,0.05,80,5,18,6000008,0.461195940628853,0.34996548616559,0.210901336548543,0.00571529754592665,0.0513705929644847,0.125446988045575,0.129151999404625,0.083464471046767,0.052345919891478,0.127144893351191,0.131963202865355,0.083949750127611
800,0.05,80,5,2,6000009,0.521346996363262,0.386884915874194,0.651076159963696,-0.296353117224088,0.242936740554428,1.65945521899243,2.19328839701308,1.00465192577025,0.257598486517077,2.32293530275405,2.1941256032527,0.986522842372165
800,0.05,80,5,6,6000009,0.47680243921115,0.129479319783216,0.219213560968415,0.169382448265438,0.043224288130759,0.124421549575764,0.110832281566156,0.0816666429715487,0.0438494109145593,0.126318493108611,0.112769209545779,0.0822850257509481
800,0.05,80,5,10,6000009,0.488949623696159,0.0959571112500455,0.231143581449591,0.172643616096308,0.0398913132895559,0.113510968907946,0.11420743245185,0.0845402056829342,0.0405173015206033,0.115518258909029,0.116279113326935,0.0854535781295862
800,0.05,80,5,14,6000009,0.477482049217275,0.115312704289912,0.196990622827377,0.165034635151121,0.0390858386481729,0.106536999385156,0.106854286291125,0.082969453249039,0.0396010176906874,0.108304742210603,0.108873870501142,0.083792128015995
800,0.05,80,5,18,6000009,0.482097350004484,0.0918331372948172,0.193849754589983,0.157916544319698,0.0389555829440941,0.0991739376826337,0.111769973363968,0.0824564812524397,0.0394535760224052,0.100661633081559,0.11409423423325,0.0832356366637868
800,0.05,80,5,2,6000010,0.407330108818083,0.160305066368835,0.144031296715435,0.188935249670093,0.0490257179000662,0.0920751813765705,0.161087374283204,0.0743347327005649,0.050332584720503,0.0948285295287787,0.166120829566196,0.0748232386159537
800,0.05,80,5,6,6000010,0.397497054141296,0.187147920605687,0.200220388579164,0.261454258215919,0.0442336709463577,0.11344718040261,0.163691861912792,0.0869880819020251,0.0454929684192413,0.11708638941875,0.171350960452667,0.0883765130062547
800,0.05,80,5,10,6000010,0.402816115561838,0.180010082336533,0.210630788451149,0.256651295135914,0.0431317406572684,0.0994458998490064,0.162405959636327,0.0851047450324483,0.0443457890699824,0.102026351225055,0.170209750459781,0.0863220254887181
800,0.05,80,5,14,6000010,0.389389454487925,0.169609381411282,0.122716645847426,0.218337435729639,0.0386439234760514,0.121631868558222,0.1002356389874,0.0744250211127065,0.0399203645078578,0.130391578817556,0.102395350672207,0.0753099418210991
800,0.05,80,5,18,6000010,0.37414697722507,0.202061295792847,0.110740397012845,0.239394034418925,0.0373112825143462,0.122439697958718,0.115074147732428,0.0798363662315988,0.0379243530980624,0.126537306337992,0.117878930096036,0.0811195742911155
800,0.05,80,5,2,6000011,0.417835486965643,0.275536668375172,-0.0197653318673717,0.166193019183978,0.0965310088408721,0.207768082348691,0.307859215948982,0.0885025129212113,0.108209490498072,0.22613967028928,0.343030617118649,0.08864643742632
800,0.05,80,5,6,6000011,0.493918703124031,0.166828676865558,0.219025495410984,0.199514366596709,0.0342066027168421,0.105164551014251,0.0955522568709454,0.0672372114233987,0.0345711594406374,0.106679953216112,0.096990144357091,0.0674917692017345
