"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.OI.1","stde.OI.2","stde.OI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.OI.1","bste.OI.2","bste.OI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.2,80,1,0.0431801955334785,1.09757758334306,0.924908568168274,0.0540945733593292,0.951128632751178,0.725415691144069,0.0550825558792021,1.11995124759767,0.868015659910018,0.060993175952728,0.0426780725330915,0.0536398018729042,0.0748869722051062,0.0496952079438195,0.0539524703551211,0.0743748422037578,0.0631204853778965,0.0639585562473563,0.061260908942893,0.0431203328637497,0.0547391223456452,0.0754380791862961,0.050553616391661,0.0543476110693657,0.0749899923656312,0.0643520225628874,0.0646161911183569
8000,0.2,80,1,-0.0390598842204398,1.04818567360843,1.0929791919297,0.00838967908628587,1.02661368466734,1.04574801884376,-0.0271241491784383,1.27813603272134,1.19396835754883,0.113018997016184,0.0785847407224943,0.0877015297908459,0.079074323792609,0.0446600585738922,0.0518627303597743,0.0656475743724889,0.0765711316016384,0.0475275277933856,0.115171491803114,0.103705449662326,0.118466185842066,0.0784881863229749,0.0560126454467787,0.0747566028255609,0.0681943221556723,0.0902476719724154,0.0642732137005932
800,0.2,80,2,0.106961426556995,0.936718796832768,0.891581548686113,0.0998336168144726,0.710567955533287,0.592583071631556,0.117747871061606,0.837923879037408,0.67855096466133,0.107200273854794,0.0983520279307259,0.110996492716145,0.116312073777752,0.103892758013818,0.115764815645083,0.140225472311406,0.124710857404183,0.151737726974824,0.108144760562876,0.100845524050873,0.114687430729627,0.116796766372732,0.108100020186245,0.122984658520567,0.140987822392396,0.130442344207608,0.164794082217749
8000,0.2,80,2,0.024609680518171,1.07261033838485,0.956419379107235,0.000910054594662977,0.91077864730912,0.848386591591787,-0.0080064795707688,1.11792774928749,1.05440365654572,0.0549424523809262,0.0439486111109259,0.0324867706148141,0.0489993519951885,0.0243123745544976,0.0458668397004991,0.0607773572891882,0.0386906626870016,0.0657571129966762,0.0552876747565263,0.046593735468164,0.0336843875400885,0.0491894598126886,0.0246869584177978,0.0474187591817958,0.0612537476438542,0.0394835599829472,0.0675328878645165
800,0.2,80,3,-0.0471417562925074,1.10110013604703,0.929352667799859,-0.03493226589701,0.958712052025505,0.868049476781259,-0.0306533406368957,1.20978201201172,1.09008067685136,0.064249029280646,0.041636186783213,0.0449458110516835,0.105612933964788,0.047470495878789,0.0691292874024514,0.11434402355248,0.0822771266810333,0.100675379506988,0.064863711812956,0.0420036767408444,0.0452941331786908,0.107795340921561,0.0478020157625394,0.0698792037946892,0.117337477660017,0.0824926976373519,0.101290530962632
8000,0.2,80,3,0.127591310717625,1.0593154233707,0.917860580707088,0.0129238003245219,0.910610902077377,0.793008724193644,0.016283710399273,1.09515725651198,0.961012611796759,0.075570427577181,0.0703439721353666,0.0299696913817233,0.0392341729823858,0.0312958779699344,0.0349689609123948,0.0408636919650089,0.0411754470162587,0.042771256312589,0.0768711683493819,0.0774059626138341,0.0280433957307702,0.0393153603393049,0.0315193341224035,0.0352863307655253,0.0409581519974302,0.0414659566315557,0.0431791588007293
800,0.2,80,4,-0.0296354293394631,1.01656145229664,0.894736786173429,-0.0176344816237165,0.838432536787743,0.806479881402477,-0.0171150783512328,1.03596776874058,1.02240502829524,0.0559797713107026,0.0383097026268384,0.0403881105267562,0.0613367395934341,0.0484759477321961,0.0530863737243091,0.0664883453159553,0.0667131517678479,0.0797202209354105,0.0561613115717296,0.0386079791516397,0.0406621638139557,0.0614400605996998,0.0486252802831674,0.055412266256301,0.0665910724741038,0.0677688164485469,0.083600028346081
8000,0.2,80,4,0.057661109607519,0.975999514374289,0.97998622365704,-0.0333443294995087,0.824329387656598,0.807403510080329,-0.026555502752232,0.982645721551469,0.955011074900102,0.0619017659995566,0.0635642389686099,0.0435315718764734,0.0475316799425765,0.0419394574401835,0.0380128236847662,0.0507519312875345,0.0509256362302058,0.0440697867205217,0.0625006936514404,0.0667743189950369,0.0450686743381088,0.047682884220734,0.0424329210937985,0.0384921086491364,0.0508809286491078,0.0520536609296734,0.0444654267086417
800,0.2,80,5,0.087417193800166,1.0201012899206,0.991881468977575,-0.0105013547374153,0.640598166114619,0.841808600366871,-0.172789091698598,0.919850338557982,1.29775176604759,0.0647960579680163,0.0527787293762945,0.0561405438588572,0.0704464422795556,0.0535388658181461,0.0462727417286931,0.157304473841574,0.207727268337808,0.389855887984287,0.064436423242922,0.0564424531468532,0.0570046689020852,0.0651327180618643,0.147544314680622,0.0941217105813622,0.0936827287283809,0.115754783780549,0.18207881192557
8000,0.2,80,5,-0.00992984672918627,1.02902088847549,0.890386015588,0.0734459207405994,0.827216976782057,0.739444084065669,0.0761507715460502,1.00302866289874,0.856283875450909,0.0667868073384407,0.0409413982254219,0.0405973205413779,0.0584464780242161,0.0309357806904957,0.0329734604972225,0.0590011443691358,0.0472693301035121,0.0464106070095968,0.0672736440406155,0.0413044095500693,0.0411113867044437,0.0588121652822055,0.0312646289929349,0.0331927881624339,0.0593407092395452,0.0480621136649611,0.0469202380341191
