"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.OI.1","bste.OI.2","bste.OI.3","bste.OI.4","bste.NI.1","bste.NI.2","bste.NI.3","bste.NI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
400,0.05,80,1,0.394917790224101,0.222061018406644,0.0413854186974988,0.169648755471415,0.458962018074713,0.109808338876964,0.100298900266632,0.119271381071034,0.450171108127366,0.169626334566214,0.0973794056466131,0.122634878673205,0.0500285703862277,0.0914307112130896,0.113020674850654,0.0877651909680337,0.0343753943924555,0.0649423635532012,0.0675292133975968,0.0830696138482645,0.0428455197374624,0.107204008735086,0.105839516171992,0.0906702227009463,0.0518112556172842,0.0925872452180444,0.1177445701439,0.0884783802473757,0.0345773554697309,0.0652646462606407,0.0686956447527166,0.083612412812585,0.0434991619952772,0.108014368784772,0.109746848510779,0.0914860767689807
800,0.05,80,1,0.486591654223053,0.112694835738629,0.201395102740918,0.187582157826937,0.449136908521345,0.105559933941683,0.0925896163300692,0.213807997804658,0.450681678380678,0.163586203117893,0.151946813933058,0.16219225833543,0.0338887632179426,0.0722124243567077,0.0585485986376103,0.0633812458872633,0.0275928919645403,0.0532693047747034,0.0491362602287713,0.0600368698284748,0.0405635814637281,0.100147327804766,0.0901550831481639,0.0725810549686321,0.0341871799622697,0.0728660935888452,0.0589588391534094,0.0638886141274763,0.0276833847733596,0.0535701553983073,0.0493463534354135,0.0602937921493295,0.041209282398336,0.102504227844014,0.0914464889139984,0.0730228803595911
8000,0.05,80,1,0.445687678025212,0.232148519473707,0.158799619772277,0.157104066947114,0.456860605827135,0.134497873521221,0.102420607123901,0.15574749838843,0.454349515059233,0.201468511224292,0.153407247973209,0.1732538053093,0.0104745489304951,0.0226036428477,0.0257420282534222,0.0232254467081216,0.00848302193677999,0.016827204649173,0.0172971528321099,0.0211685045401587,0.0128426990008332,0.033012509826556,0.0340053928021491,0.0265841752164222,0.0104848744412442,0.0226210273625553,0.0259127955512659,0.0232353295322289,0.00848608645789421,0.0168388220699442,0.0173148576011933,0.0211803376833493,0.012872217929968,0.0331368922164505,0.034138917061593,0.0266317971930029
400,0.05,80,2,0.443382855709001,0.228679030842239,0.131013129984175,0.132770930019515,0.476254772878109,0.106988053144473,0.0847144785030566,0.130860320800269,0.460019831055972,0.193129543815146,0.128328939399936,0.146667991975062,0.0414611810158481,0.0831717293612782,0.095018994903841,0.0949692531995214,0.0370778735435198,0.0706753143401467,0.0693403408368417,0.0848116803574741,0.0532917653712842,0.130615071940478,0.109195448121347,0.0959716356656021,0.0417428280659185,0.0837633365339433,0.0968636149861064,0.095958565949189,0.0372196713680898,0.0710072387212988,0.071064532362854,0.0853549979358549,0.0540641157306288,0.131629247811882,0.115853869078732,0.096487023212225
800,0.05,80,2,0.513905406794826,0.149846974315939,0.239060278336456,0.113782577319405,0.533623395900023,0.0555182133742927,0.24561844642841,0.0969205494859657,0.574120336068043,0.056199940854886,0.429085972152073,0.123656274820278,0.0317674215622722,0.0903190023428272,0.0625441852167154,0.0802544968212944,0.027044164864096,0.055818729905757,0.0456009151645156,0.0656223987496438,0.0427466204569045,0.104983502266765,0.0812134394503997,0.0804646372274924,0.0320952299525194,0.0937349087766874,0.0631212672442893,0.0805744296757983,0.0271893107041341,0.0563671427737291,0.0457957490253591,0.0658192615720562,0.0440602137690756,0.108374065083799,0.0822383025595022,0.0810476281396187
8000,0.05,80,2,0.463860190954126,0.153556679125805,0.224098885943904,0.18233162639173,0.453774576627736,0.120985937085813,0.124833149340715,0.159278297955639,0.462557086104645,0.20395661580355,0.231721134508892,0.164149606418904,0.0122701036870384,0.0271556722948537,0.0277556495070666,0.024202447305883,0.00869828638245634,0.0177160516093587,0.0168342192048825,0.0202051085926118,0.0168872598458753,0.0408778058982613,0.0362524197038934,0.0248221040773869,0.0123701157654464,0.0273803283117586,0.0280123490182875,0.0242825478095419,0.00870294361526347,0.0177308053245637,0.0168445857463417,0.020213723091687,0.0170196211661837,0.0412263889876271,0.0363868729255957,0.0248711997603903
400,0.05,80,3,0.483997076570392,0.0966642951289965,0.116934859722367,0.218156012338231,0.433358758342457,0.13786784990112,-0.0250860225269593,0.134983818319665,0.424583403469654,0.116518919225107,0.00192595148637369,0.130727770807035,0.04320106352713,0.100058520321539,0.104615100816185,0.0918286949546711,0.0364735386536417,0.0891447511051223,0.079197698334474,0.0946853000994599,0.0521324100284811,0.19881288442564,0.151252273271992,0.129395367613067,0.0440412179093248,0.102054494021382,0.107550202225959,0.0920868129154424,0.0368103363433307,0.0922532325682435,0.0803920689064132,0.0954902085891761,0.0560714603980155,0.241052438652387,0.151501722729372,0.129804342953538
800,0.05,80,3,0.428702171465833,0.229664894377851,0.0887552631229536,0.158970001422754,0.461023636734468,0.0966245311519952,0.101905799549907,0.149033667368677,0.46993271233444,0.145444197910323,0.198169890863776,0.143632449973026,0.0324160199389964,0.0645621319691774,0.0775378444935331,0.0719782771945127,0.0270482058676938,0.0555785619354428,0.0520209376539317,0.0684797217481505,0.0396079488774039,0.106139930680684,0.0935119055837397,0.0797775135056164,0.0327173826149606,0.0652044530736215,0.0783652223149838,0.0723834803047948,0.0271563414888986,0.0559522696904417,0.0522882220027294,0.0687717677220333,0.0401513293131404,0.107891161986331,0.0945333614807917,0.0803607982638864
8000,0.05,80,3,0.443599006390282,0.188699522006124,0.129943078840923,0.166451474684151,0.435148097672608,0.149616653291832,0.06530512852524,0.179369791547961,0.413034864479101,0.246745387768914,0.0773575540403305,0.18194601757643,0.0104144452235657,0.022771038281788,0.0236494330631166,0.0231471475185371,0.00834475599224077,0.0166105612667018,0.016818005189731,0.0202479008469741,0.0123133211420096,0.0305365617909629,0.0316859729724796,0.0237963751477828,0.0104218035548333,0.0227900950141268,0.0236794003332977,0.0231831341902932,0.00834795704720868,0.0166249617772317,0.0168290992920945,0.0202561004816711,0.012341027338955,0.0306358804179414,0.0317653931270579,0.0238153590204424
400,0.05,80,4,0.461206925897926,0.285194981164093,0.104553216964178,0.10469027094583,0.474637113202368,0.217293215331063,0.0441701184249801,0.0122785491119081,0.41802963198766,0.444580765729216,-0.0364403966351628,-0.0841704461121534,0.0465011243505557,0.0904585741330575,0.115928105862469,0.125893856512758,0.0400352745671478,0.0700052921524458,0.0888998667578795,0.106473553529808,0.0578226184250894,0.118688949778365,0.157777315859289,0.126927474326495,0.0470038464434455,0.0924508108555106,0.117677815393713,0.128830401469531,0.0403427526708486,0.0705005105948083,0.0907528044822175,0.108464377546867,0.0592276543768331,0.120547805098414,0.163941009012313,0.132713610716138
