"n","vare","B","seed","a1","a2","a3","a4","a5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.OG.5","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.NG.5","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4","bcs.CG.5"
800,0.25,80,4000001,0,1,2,3,4,0.121831557982341,0.155783054768759,0.227293267074647,0.327623876139786,0.420413559849482,0.184290129839921,0.205991677626089,0.234999490735337,0.269915276736009,0.308352842766067,0.148877546148083,0.178979638564352,0.236053097631516,0.31310776682434,0.390558788416728,0.0422698634215563,0.0280697269173192,0.0166601117047151,0.0321636724152517,0.0502407376105221,0.0378021067555533,0.0243107591574062,0.0157583240115237,0.026235239288344,0.0448849791453342,0.063278075249386,0.0442481853128788,0.0172929697860203,0.0534034619573064,0.0911915274304169,0.0402943601380071,0.0276966473118116,0.0167311532845504,0.032859084006675,0.0510196393770714,0.0376904666510542,0.0243999267985002,0.0158104594907138,0.0266651445487731,0.0458273186607543,0.0634736431311697,0.0454869042362562,0.0178141120769201,0.055708196942335,0.0951657679679208
8000,0.25,80,4000001,0,1,2,3,4,0.0905325116037113,0.145455238362761,0.228821961346397,0.334229353357246,0.439936123536168,0.139617984214362,0.177848300757027,0.226297652248789,0.282954246314854,0.343368307755728,0.0956077360865385,0.142942677278006,0.222291361297714,0.327622896027286,0.432588870172778,0.00870877269867341,0.00729603197723648,0.00517197631721283,0.0105265717334839,0.017901544671816,0.00961795108425528,0.00705272097302095,0.00501356164361919,0.00816766899953388,0.0143184167753435,0.0120270382673618,0.00968039628518409,0.00568100473252421,0.0131973648569945,0.0237728056283816,0.00868325796000574,0.00728486965024437,0.00517126395332104,0.0105527688915436,0.0179090211846214,0.00960288110947226,0.00704521208850183,0.00501213650625908,0.00817692020205919,0.0143290460356358,0.0119959811631675,0.00967380904485593,0.00568199759868133,0.0132296163995629,0.0237839139802735
800,0.25,80,4000002,0,1,2,3,4,0.169588001334062,0.200933451442857,0.240472914365774,0.285876547682813,0.332253233748098,0.224098736777726,0.22835902477107,0.236637300691058,0.248697133744448,0.263529716751906,0.224218834750381,0.226175823409168,0.238765891858,0.261250392772099,0.287885027230312,0.0512810503272361,0.0307797456480786,0.0156701422162494,0.0340573679712349,0.0613094737167965,0.0403216246853537,0.0243631439181625,0.0154267312905515,0.0244134334271854,0.0411344139121152,0.0730439494471274,0.0398914057272466,0.0164365597959595,0.0374381177280795,0.0707383406673675,0.0512443440713392,0.0306798241190492,0.0156638020298787,0.0348427675498126,0.0620245145836078,0.0398422082344337,0.0240358189094342,0.0153787002677464,0.0245475642843685,0.0410434683581815,0.0705295391939755,0.0382946814425774,0.0160795518187493,0.0375458268746507,0.0686629915701632
8000,0.25,80,4000002,0,1,2,3,4,0.127206188218554,0.175541309172862,0.242022944645611,0.321060683932927,0.399809663703873,0.171109096161036,0.203907487345856,0.241656836053614,0.283173736200408,0.326574886764542,0.129719537988184,0.17718702925127,0.241450871136477,0.317456401671261,0.39383160195667,0.012026200089326,0.00848921196226653,0.00515775102405634,0.0102240003937019,0.017508157107839,0.0113023745278068,0.00760072528702862,0.00500870707722801,0.00815280985444827,0.0141594038274249,0.0159029973552508,0.0111809982360675,0.00545369151122302,0.0130223294936803,0.0236414428823175,0.0119838093653332,0.00847446331064704,0.00515799566838226,0.0102468646755368,0.0175292410755619,0.0112899714568366,0.00759458619509172,0.00500853132303311,0.00816289875638351,0.0141749835648839,0.0158713693675464,0.011175712839685,0.00545591938223255,0.0130616904962124,0.0236921324052451
800,0.25,80,4000003,0,1,2,3,4,0.1051252219765,0.151243164479941,0.230635456285414,0.335241608914671,0.436169080064812,0.143595845080521,0.181081164737886,0.233572202451244,0.297168512925334,0.362984090762543,0.104192030430013,0.146081730370814,0.228805687485231,0.342658418998691,0.446702627995053,0.0288052832064715,0.0241167408158868,0.0164765538981519,0.0318784310283662,0.0530130060017904,0.030373696804153,0.0229301917733394,0.0160906281178369,0.0243350896482499,0.041210623085775,0.0349152163753807,0.0284050732942072,0.0181626728904359,0.0356069791450687,0.0595442265701204,0.028647535053936,0.0242334739858922,0.0164733089368904,0.0327661172644615,0.0540210319691898,0.0300707622158251,0.0228460156560878,0.0160801222559351,0.0246538723094396,0.0416972217421326,0.034504617924358,0.0283861086481093,0.0183187254459049,0.0363392391375672,0.0599124246318563
8000,0.25,80,4000003,0,1,2,3,4,0.106902782218693,0.162836587432784,0.237885987006973,0.327380056883669,0.421124195647977,0.155806783727031,0.194533854022314,0.2389654989482,0.288129618317025,0.340497684849046,0.111913736130473,0.166805622735763,0.238559798119508,0.323431044328227,0.413579983941363,0.00910219411984276,0.00732073296345228,0.00514986809261588,0.010040026947047,0.0182340827276704,0.0098327020918722,0.00700582466775247,0.00502274678710037,0.00813935167330414,0.0143070238490667,0.0124950917771102,0.00944507661242204,0.00542547391610832,0.012461516889593,0.023950662836967,0.00909073653094358,0.0073102805920542,0.00514764265298233,0.010056590259586,0.0182178135552235,0.00982815214250374,0.0069993075837783,0.00502148773751406,0.00814832247641692,0.0143116719584692,0.0124971188688197,0.00944094191347983,0.00542465221049971,0.01248942850744,0.0239463803619796
800,0.25,80,4000004,0,1,2,3,4,0.0838811103487882,0.137985937416832,0.22286273239746,0.344307873943626,0.494219311407693,0.118202809231041,0.163629699790878,0.224127713973325,0.301095845121147,0.393001846431607,0.074941634684741,0.130607742367194,0.221662754420155,0.352709632693863,0.509994260997673,0.0235505750157057,0.0201117491243096,0.0159001452976705,0.0355151617764246,0.0725918721855429,0.0261186435502391,0.0201416130633738,0.0156638896768552,0.0279899818516413,0.0533992064546102,0.0293529072144053,0.0249009738845173,0.0168499348140238,0.0441707227397288,0.0864805593196472,0.0239187088957493,0.0203819884112388,0.0158523214003975,0.0360049128639436,0.0741446078495643,0.0264002657251951,0.0202856175051956,0.0155801758737851,0.0281592085262372,0.054002371240867,0.0301438744162667,0.025622999687864,0.0170520200466231,0.0451835287983886,0.0889731879186186
8000,0.25,80,4000004,0,1,2,3,4,0.0922106289690663,0.150890647630937,0.239250927328883,0.348832740431554,0.456284531622829,0.131235176808936,0.179256230764918,0.238436850388176,0.306793028105733,0.380381463340551,0.0746472163757176,0.13732850308408,0.235773874953682,0.363769771481877,0.498535688321197,0.00961519647809856,0.00781686653844096,0.0052275443329651,0.0108793758646018,0.0190043441754219,0.00959479768381878,0.00727696515709891,0.00509649043925501,0.00871978931861282,0.016159696708915,0.0113908737956138,0.0104160536127691,0.00591199545982249,0.0151707249235868,0.0317525564943239,0.00957125961896378,0.0077960017849757,0.00522508660041879,0.0109004483419516,0.018983372321312,0.00958212107395834,0.00726438985662715,0.00509278102316793,0.00872982578271351,0.0161547067260024,0.0114015216080084,0.0104211338069241,0.00591384568623527,0.0152120396037237,0.0317714803848425
800,0.25,80,4000005,0,1,2,3,4,0.187414351657112,0.211966459855411,0.263094032241326,0.329513095750696,0.39276287626547,0.293909124564634,0.267916012048073,0.258579878357546,0.263192224352186,0.2775516694108,0.590598367005259,0.535054808542544,0.272889086850718,0.302056918590132,0.335635532549198,0.061698937111388,0.0339750283461828,0.0167470678037785,0.0317784211954116,0.0461139394366652,0.0677477038605344,0.0326372640434524,0.0164216917043562,0.0274979321840571,0.0453574005927138,0.0197176973507711,0.0130346720997431,0.0108167938570765,0.0230108462926182,0.0340988849658208,0.0584155633111004,0.03326343135333,0.0168958735159115,0.0326038461190038,0.0473267952036075,0.066083791189634,0.0323945520650545,0.0165323809224063,0.0279025725307463,0.0463403719100216,1.06989964927895,0.529549983211,0.0663182307359503,0.899463512462603,1.73841299348135
8000,0.25,80,4000005,0,1,2,3,4,0.104397334324717,0.162545635315501,0.242933269374598,0.339711672090724,0.439083840428468,0.151563229037017,0.193076092028132,0.241667679733635,0.296042579636908,0.353984533003502,0.10311349924323,0.160822778086404,0.240154152072771,0.336313603801212,0.437360600227966,0.00938003983013719,0.00761213271520511,0.00515155202749437,0.0102141025481317,0.0181550121946506,0.0102111106445938,0.00735839170003534,0.00504312663624657,0.00823717830567891,0.014781342687595,0.0128630108585467,0.0102948606300352,0.00553688536491349,0.0126515855230202,0.0248093642965056,0.0093666545952275,0.00760341596430305,0.00515000241619377,0.0102362838550339,0.0181580454639745,0.0102044285912394,0.00735156452541556,0.00504181384446898,0.0082479067189588,0.0147904460786375,0.0128550343803224,0.0102878493246042,0.0055332550437131,0.0126823163841956,0.0248087740973058
