"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.OI.1","bste.OI.2","bste.OI.3","bste.OI.4","bste.NI.1","bste.NI.2","bste.NI.3","bste.NI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,9000001,0.409326447516645,0.311100784879144,0.212689338380118,0.240294503991093,0.41625485522282,0.22712162662327,0.123889289937497,0.251539726294909,0.411880589596016,0.427332778662518,0.17168917186573,0.277290632828035,0.0282572744602201,0.060715600396936,0.0659287300263059,0.0637296060857133,0.0243376593799714,0.0514384145087216,0.0575021706550453,0.0600396985408514,0.0411134475208767,0.141517680094435,0.118189578987902,0.0746885215931446,0.0283523535106492,0.0609568397270416,0.06622484133711,0.0640443614673655,0.0245583705842381,0.0519109342586795,0.0592904037538025,0.0602193406034199,0.0430618531339784,0.150402790667409,0.121655236275046,0.0745993720911906
8000,0.05,80,9000001,0.443815736544302,0.18093865809774,0.109784250194422,0.136681309289873,0.449476818163895,0.116103151591404,0.0578549630132917,0.146269262559997,0.44255077817747,0.156541322895641,0.0419807520591663,0.146529782212499,0.0105973567134896,0.0275398842231048,0.0266493996757794,0.0241495563265125,0.00868976334009099,0.0185822980030611,0.0219022568136628,0.0217371817832207,0.0150987295825666,0.0435134964644211,0.0582442708650327,0.0307221740886696,0.0106145917706481,0.0276570218072376,0.0267276964836025,0.0241744499493832,0.00869830326286905,0.0186099694787006,0.0220212452331705,0.0217550809735003,0.0154170628129798,0.0438992886405853,0.0604940652502182,0.0308140181528707
800,0.05,80,9000002,0.454720318273698,0.155286844719251,0.106529652780989,0.0748574550303542,0.471154830792129,0.092122389854523,0.0549815538650364,0.0578214877890201,0.461886877702822,0.149887954373563,0.0869319340355463,0.00250459953383891,0.031799076369961,0.0771210917958152,0.0715064422639358,0.0699857463753901,0.0261807182336396,0.0541590580784723,0.0624524729931298,0.0662122634968439,0.0394686718365432,0.102390693689702,0.126262156474751,0.0904312902184151,0.0320064705727791,0.0777812241105678,0.0720619006423524,0.0703130486362461,0.0263402701871156,0.0544426568513169,0.0640227297614742,0.0664030154406898,0.0416786719546829,0.103899261373024,0.140437313400724,0.0909736993456014
8000,0.05,80,9000002,0.483515149588859,0.192418483144155,0.161507568166331,0.118372328113866,0.488899900734414,0.115686663019063,0.12865580199953,0.118350809960882,0.497733357360569,0.161575116966399,0.194814617889912,0.101050705857595,0.010767349092516,0.0239756545946841,0.02594981422094,0.0237378217568801,0.00874603075685533,0.0181336645487204,0.019994629070311,0.0211381772206944,0.0148913914548533,0.0388634329336379,0.0467328753260337,0.032469556401751,0.0107828783406068,0.0240012571483974,0.026066736653206,0.0237643226724338,0.00875256313227826,0.018151593993444,0.0200627254356415,0.0211498028338078,0.0150998978546345,0.0390277420769993,0.0478647559825641,0.0326814011510259
800,0.05,80,9000003,0.501768939974336,0.0662831395286963,0.10924491065916,0.0825311444862806,0.462023838042827,0.126534377818782,0.0498433989576875,0.0800986402006027,0.458722124799412,0.209741214779303,0.0830986688407757,0.0413154065521577,0.0354733280587558,0.0787270912356087,0.0700308536896877,0.068875742983833,0.0271924992310143,0.052839773480647,0.0569900265199713,0.0654130438502242,0.0401947957890803,0.104111949214443,0.125426466008307,0.0780430398121328,0.0359720785814384,0.0797393976104982,0.0706758966967267,0.0690548640507946,0.0272996440450023,0.0531032343624202,0.0574442874697817,0.0656382905027066,0.0407598610027282,0.105196893896295,0.125472526025781,0.0783105903674495
8000,0.05,80,9000003,0.459209887476158,0.187871602218107,0.155715001595796,0.153186793684595,0.45547709030453,0.138832635621206,0.0749751411680972,0.153888099311666,0.433563114185328,0.228894084145942,-0.00720707766109824,0.121902772641923,0.010189712084527,0.0246153171732761,0.0229842347056648,0.0234369393126339,0.00901350427428458,0.0182852077733024,0.039326748880377,0.0232087206710948,0.0183672625973366,0.0414148851702303,0.12161961709045,0.0496949927697881,0.0102057113158384,0.024663930065779,0.0230330749980635,0.0234668565998006,0.00922034065207685,0.0182534227327016,0.0414138735096956,0.0231827294952906,0.0285124124172514,0.0401009947683307,0.15978109622092,0.046415745862901
800,0.05,80,9000004,0.464985577889178,0.128704581633984,0.195894301045329,0.0113898691452147,0.462923586037399,0.0739450634614221,0.146992031709172,0.0305676974111084,0.464940471685835,0.105096811889137,0.199128839838043,0.0265271103368778,0.0305917816972869,0.0685674896658862,0.0648790068720445,0.0684214723340281,0.025810559858649,0.0502901974924622,0.0466727731344889,0.0630903327980962,0.0346060937687201,0.0904525190977674,0.0739212519446304,0.068776291232599,0.0307384114054067,0.0692015955129929,0.0651307551396319,0.0686889438401092,0.0258671698192319,0.0505737247443576,0.0469771789791065,0.0632991475227855,0.0348749728151695,0.0920335283964054,0.0747481599491672,0.0690528317724852
8000,0.05,80,9000004,0.439898772913555,0.195715999691346,0.137442344610879,0.188196744885307,0.444880755911952,0.134412837149196,0.0954862372870252,0.191489844377268,0.428047464436458,0.233057805653658,0.102732150190676,0.215511391055082,0.00995880334171075,0.0241233091829421,0.0234327316094665,0.0219979916706697,0.00868479309803153,0.0178422557001389,0.0199938020468456,0.021201899756178,0.0165615024987265,0.0395260078088972,0.0512036004621229,0.0309361916473003,0.00996953882827142,0.0241628314858251,0.0234766488776307,0.0220113336835318,0.00869493519786615,0.0178569980286442,0.0200985082994262,0.0212140063621935,0.0169156989888645,0.0396359771852482,0.0533106621492361,0.0310006630605523
800,0.05,80,9000005,0.451423412584506,0.110097904383303,0.201971748737328,0.136218059513567,0.451576698442655,0.0767300367782958,0.150853094963999,0.202789268326358,0.477020046537035,0.119634218409328,0.299042143315555,0.221979506740789,0.0368204417097077,0.078062153558646,0.0840469684311756,0.0707151613523057,0.0264264063907881,0.0516593816441945,0.0546172311093838,0.0626987162034055,0.0378093195373313,0.0945605775245092,0.0813405898788952,0.07094152295836,0.0373784364955956,0.0789439115647534,0.0856304167217049,0.0710618787428004,0.0265827212160959,0.0518334215034359,0.0554692195063834,0.0628479404180877,0.0383898290954862,0.0952845882953725,0.0833411416030727,0.0710504490068195
8000,0.05,80,9000005,0.456775006895594,0.21791058661437,0.152149775443001,0.138111810223797,0.451749648401302,0.154969381017984,0.0608497369871271,0.124672911346856,0.42057765608733,0.270103974795284,0.00291306973940006,0.1011234421081,0.00977477963589815,0.0222688154044578,0.0219205992104161,0.0216581682743616,0.00839209454218491,0.0172224479462293,0.0193425167635523,0.0209869857004752,0.0180345328038022,0.0365403034593707,0.0722710218013772,0.0280238208472182,0.00978119822887864,0.02229552320129,0.0219378938290321,0.0216680526337002,0.00839769694457656,0.0172363826159943,0.0193972231828758,0.0209982314678748,0.0183921655050104,0.0366267443281288,0.0741201674528685,0.0280538221039926
800,0.05,80,9000006,0.425835007940295,0.196005058634631,0.145451682492828,0.107143325600762,0.443097440034686,0.117966807593177,0.136258052686454,0.127285172944542,0.430237152585752,0.165803137278181,0.171411715601145,0.114367087727345,0.029257895039581,0.0632465508066316,0.0634354175663323,0.0681597181219574,0.0253592073858562,0.0476353015290127,0.0381328820811175,0.0613097605456381,0.0360165723917678,0.0821397663469321,0.050621754892585,0.0694952072018604,0.0294209063648159,0.0637413105044045,0.0639584420383582,0.0684420065835963,0.025419005512647,0.0478378262739937,0.0382579890539569,0.061514315234072,0.0366666252763637,0.0831827337566694,0.0535821257262207,0.0700973230718335
8000,0.05,80,9000006,0.447197384433711,0.205738524855931,0.142352787490689,0.160786907863768,0.452826309861766,0.139015404345053,0.0906461156145802,0.156423544833876,0.435438746097651,0.248441324251232,0.120375601417123,0.178776599143715,0.0108714051388902,0.0257155110501397,0.0249348935205897,0.0225454683612094,0.00885774768057322,0.0178681988710449,0.0220193645861591,0.0207304615749633,0.0166849942477384,0.042303230034763,0.0547732968146281,0.0270169520862079,0.0108892179191476,0.0257778001131284,0.0249887193352079,0.0225591921308357,0.00887199489457634,0.0178837184515419,0.022186491072476,0.0207379319818391,0.0170364993517295,0.0425177251180814,0.0568735546808757,0.0270652840927482
