"n","vare","B","seed","ghat.OL.1","ghat.OL.2","ghat.OL.3","ghat.OL.4","ghat.NL.1","ghat.NL.2","ghat.NL.3","ghat.NL.4","ghat.CL.1","ghat.CL.2","ghat.CL.3","ghat.CL.4","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","se.OL.1","se.OL.2","se.OL.3","se.OL.4","se.NL.1","se.NL.2","se.NL.3","se.NL.4","se.CL.1","se.CL.2","se.CL.3","se.CL.4","se.OI.1","se.OI.2","se.OI.3","se.OI.4","se.NI.1","se.NI.2","se.NI.3","se.NI.4","se.CI.1","se.CI.2","se.CI.3","se.CI.4"
2000,0.05,50,6000013,0.42064659323873,0.0800124505101543,0.197108421147496,0.230162486905315,0.416652192045227,0.0155686258062451,0.0909474936781289,0.233853380546691,0.423592418376357,0.0243106992411849,0.129095002620968,0.237328201088668,0.463360114227578,0.201995285116783,0.22172646953006,0.11687285135304,0.450639656638248,0.152256863551861,0.0702754492153155,0.131846133618234,0.450649552108642,0.228549991361631,0.132027631387176,0.099888559820398,0.0285511481150176,0.0694333393112257,0.071363796550377,0.0711515983425741,0.0279261271368993,0.0586340477860508,0.0573645720771403,0.0714918170848314,0.0303662191991355,0.0915534241178658,0.0871867488241279,0.0715964319913197,0.0333355687551529,0.107670181521712,0.0871432355286282,0.0790898914079312,0.0220055979666511,0.0849559511651413,0.061093499815932,0.0605380902899289,0.0738759112189417,0.320580519359147,0.121177078822798,0.120578142908439
2000,0.05,50,6000014,0.411833081649245,0.0768618130599344,0.0317451993192618,0.0986806132758174,0.396114849666947,0.102278202206512,-0.0298875270246365,0.0938425537444106,0.39164107081127,0.159101180837111,-0.0335426380425689,0.0920777500141134,0.43620291261629,0.238904447421225,0.0661741806575444,0.113871056124147,0.452872900207909,0.154979345288124,0.0583433574574185,0.124573680917192,0.437295753186296,0.248896829714265,0.0780794913495434,0.116455951153235,0.0278698448354677,0.0685915018267185,0.0749186166102155,0.0697667914619946,0.0273472490929122,0.055549285079802,0.0592642226514076,0.0700627588043249,0.0293634978696791,0.0827885176066735,0.0924240252749128,0.0704072665947242,0.0213923428270512,0.055777519984887,0.0693935627301469,0.0684151574888758,0.0176199162806774,0.0457080034971649,0.0514156783097685,0.0566375923859054,0.0273750202361555,0.0808499568081296,0.12578443044332,0.0715970380627494
2000,0.05,50,6000015,0.343915640924671,0.0672830068628676,0.167714504746635,0.322323599660012,0.332259957470308,0.0930547150266188,0.0696264946883342,0.327435528568997,0.33304241151141,0.150260524823639,0.103005498228032,0.33119199920206,0.418161157135849,0.216265050325667,0.187430610243425,0.19134765141858,0.423836544700867,0.152040066319655,0.130901536182869,0.217308378201687,0.412632535012391,0.250763982994029,0.19846911545779,0.220825411760202,0.0268649498350356,0.0685978586881384,0.0706331772640704,0.0682897627118947,0.0260428313925592,0.0552676962714869,0.0578288871798172,0.0688780839852088,0.0273435321646755,0.0835421614794825,0.0897154807491761,0.0690487275182509,0.0235948154136551,0.0888208162452225,0.0797376256887772,0.0662284077730413,0.0170972867138493,0.047435663680335,0.0529283816077311,0.052297492651225,0.0291776366936813,0.0986180220240389,0.107619926995933,0.0709122665486625
2000,0.05,50,6000016,0.363754368395116,0.150726242184673,0.246025591439255,0.136862743956996,0.346843411144433,0.0637478091423192,0.142687426282627,0.140608251713699,0.3459923336399,0.0984354490826727,0.201873166061091,0.136726700205412,0.453279543713425,0.160998825639287,0.198977999531437,0.115390044385058,0.475251969528859,0.037796789455548,0.17268997331268,0.129297990909948,0.487028468025324,0.0490496623044202,0.288586949055211,0.144115716988186,0.02781217569245,0.0669728317266178,0.0682276620270855,0.0687621785160653,0.0270204772874089,0.0554879667751364,0.0526337116341201,0.0690160469721669,0.0286142860251534,0.0847717300223627,0.0770414701359357,0.0694542192132976,0.0206451449779074,0.0627020058633896,0.0756192533980549,0.058745791511144,0.0180627725710353,0.0480014154799123,0.0485693913480668,0.0549504248814775,0.0250930638665443,0.088365817018981,0.11927507105842,0.065849765807885
2000,0.05,50,6000017,0.385943559754889,0.272660149259955,0.202724194386752,0.313851294975066,0.383224985212996,0.240112344825696,0.125022923515479,0.304983495949832,0.379983727652189,0.36697756259472,0.202213140770733,0.312393183841622,0.465716020895292,0.185041082789728,0.208397216942119,0.20087141454391,0.474368380716136,0.130484030877126,0.147580244870668,0.173679561311497,0.490148971953429,0.202238607319759,0.261398992726243,0.198298017836721,0.0265637563858672,0.066186096217133,0.0703227191848528,0.0691482984147924,0.0258244073804077,0.0547201821283085,0.0580873619716623,0.0688963198875945,0.0280722520339576,0.0834858080400597,0.0921066803030886,0.0694046838410127,0.026335069201011,0.0859687505459944,0.124248544015524,0.114565470619013,0.018144882699857,0.055390976707014,0.0618016233289923,0.0565149158335885,0.0336954076223947,0.127772337219534,0.185965962725354,0.113659310802951
2000,0.05,50,6000018,0.368684103331247,0.106564124229065,0.228611102866113,0.350842644433383,0.357984021412691,0.105819477258805,0.14610147628611,0.360509897441794,0.364271413242676,0.17620494919972,0.229368371718681,0.363663154172493,0.435369221354472,0.182130305211435,0.143176256382469,0.169534567434347,0.451006792817282,0.0997846893659692,0.08919995719707,0.185603743998071,0.456594689819808,0.136343955804537,0.134928535124854,0.18514510442951,0.02756884031675,0.0698679895444135,0.0707415625410013,0.0734024068927373,0.0269881135014596,0.0569446346042464,0.0580368080640724,0.0735622169436498,0.0288438668337918,0.0886237501275608,0.0908507252806964,0.0739129606410501,0.0215274920425561,0.0585167575206377,0.112238076973946,0.0865901918010611,0.0171278096280958,0.0518572860499414,0.0507669888300607,0.054953911418017,0.0356529024812053,0.144453679327922,0.155651325650789,0.0743210044612967
2000,0.05,50,6000019,0.40256020790441,0.140740543125171,0.134612184613994,0.263770554721562,0.396572906305119,0.119927848432033,0.121343374963689,0.267681527478252,0.396047411880194,0.186428914411568,0.17865691123601,0.273250789532542,0.40269128409036,0.346852366853889,0.117188411339148,0.180763851290963,0.440148251989536,0.168066778019305,0.115618972716784,0.210298531543859,0.415905936304068,0.289642160180621,0.169643076217728,0.238293769834953,0.0263612816968123,0.069482267224536,0.0657899081806576,0.0713636982861802,0.0257975921712985,0.0546491763493344,0.0547966889637629,0.0713174887601934,0.0272340614596716,0.0820464207956092,0.0828401560454259,0.0712876886849213,0.0228183751442409,0.0683277989640084,0.0945690858855685,0.0840590462295311,0.0178348466031707,0.0474197300967935,0.0590786891945241,0.0560643662572455,0.0292638080866883,0.0852140821483429,0.144953255477118,0.0789663904013767
2000,0.05,50,6000020,0.359219899173035,0.237249219777197,0.247828863212973,0.299786531306248,0.361675474094568,0.127969604347362,0.179278705316525,0.297969766408732,0.36912745750876,0.203583858455821,0.276406638366009,0.297937417601218,0.419495953680214,0.266165029365185,0.127770021581601,0.222573146127071,0.426353483490038,0.184028902708888,0.0981925996299133,0.205479947720558,0.413266272634665,0.328225481564653,0.183135176391854,0.186463225686003,0.0266136524268562,0.0705657949723889,0.0684052542507434,0.0691025232861203,0.0262566997858209,0.0576249326656765,0.0561976925330706,0.0701514905085435,0.0283998473668069,0.0904849265010018,0.0880188166528876,0.0703501419974301,0.0262825667895683,0.0693263069487181,0.147693165795,0.0693248496081328,0.0185222165376285,0.0494862907044254,0.063146215978145,0.0590052272635591,0.0335661503326469,0.103759424147547,0.164624895330546,0.0839289957074675
2000,0.05,50,6000021,0.400214390383892,0.138615025278582,0.245612027213263,0.232359887604702,0.403933944063132,0.0357270677918545,0.239544883612915,0.221010390518666,0.416393116119655,0.0678032355723876,0.390661823502956,0.223756345980207,0.426829544040522,0.219798161723628,0.183450552957405,0.127029592444388,0.440316312983366,0.157524540182259,0.156638865249104,0.126715486818755,0.44567369357845,0.225763711835094,0.263558103158884,0.099872383434638,0.0272141417882512,0.0699709608309308,0.0721260927012961,0.06851290981531,0.0266412366168152,0.0550358392465234,0.059826088745354,0.0693220395421774,0.028705953752627,0.0831093556356807,0.0968735596438312,0.069961969215004,0.0214419806497372,0.0641060297323127,0.0814437866596783,0.0624989092664615,0.0194335590209546,0.0557075099712108,0.0566244238694904,0.0594870240526232,0.0367735434076014,0.127186681696435,0.122131741273542,0.0780148221756698
2000,0.05,50,6000022,0.380825922134144,0.193818852408814,0.160850094646079,0.252092501225987,0.371577982887984,0.174536625934651,0.0671190180847443,0.234508640909285,0.372546424427683,0.271477930872023,0.104150577635398,0.230328467478968,0.433428949882652,0.228240034084136,0.0864117401622498,0.157481037742768,0.460975403020171,0.162728118218117,0.0994126179521526,0.165297538922601,0.500391399526377,0.210849298916447,0.206243414335776,0.14041689781718,0.0267342906516781,0.0682408332948056,0.0683670267856323,0.0710679149033951,0.0256619681033756,0.0556230297947657,0.0552535632053676,0.0709284400894605,0.0274834023987283,0.0862037048881853,0.0851347794082135,0.0709890449835101,0.0228739831997232,0.0693236234052441,0.139259375927197,0.092418629230691,0.0197961586908562,0.0781838084716258,0.0669037943917868,0.0603728742088159,0.0668156277893031,0.334986811630283,0.257454181321303,0.137851664040111
