"n","vare","B","seed","a1","est.OG.1","est.NG.1","est.CG.1","ste.OG.1","ste.NG.1","ste.CG.1","bcs.OG.1","bcs.NG.1","bcs.CG.1"
800,0.6625,80,2000001,3,0.401133725379648,0.325499297770472,0.377272826061559,0.028027595669604,0.0217952780144586,0.0284815518850207,0.0283322529753122,0.0218856387183564,0.0291112534559645
8000,0.6625,80,2000001,3,0.330361274926681,0.283431357239471,0.334466809972697,0.0086721732955391,0.0067177930158396,0.0120173546439822,0.00868546182955989,0.00672200910860249,0.0120405345586371
800,0.53,80,2000001,3,0.401133725379648,0.332329587324606,0.915113074591513,0.028027595669604,0.0225725478946204,0.00292883668561231,0.0283322529753122,0.0226782258371635,0.00295655699427776
8000,0.53,80,2000001,3,0.330361274926681,0.288460037928696,0.333924745838526,0.0086721732955391,0.00693570634279717,0.0113716356420627,0.00868546182955989,0.00694072769148308,0.0113931140261913
800,0.421590909090909,80,2000001,3,0.401133725379648,0.339436629675993,0.398537199081855,0.028027595669604,0.0233662289705104,0.0322832759520972,0.0283322529753122,0.0234877928931578,0.113638110489189
8000,0.421590909090909,80,2000001,3,0.330361274926681,0.293556925694426,0.333470148387602,0.0086721732955391,0.00715262385434354,0.01078371697119,0.00868546182955989,0.0071585048357158,0.0108031338780278
800,0.33125,80,2000001,3,0.401133725379648,0.346845008155686,0.388971925919249,0.028027595669604,0.0241691464431987,0.0355415104766464,0.0283322529753122,0.0243077141128554,0.0359088031977469
8000,0.33125,80,2000001,3,0.330361274926681,0.298723515279947,0.333092546152599,0.0086721732955391,0.00736857888736729,0.0103071171078541,0.00868546182955989,0.00737537135602664,0.0103249416936686
800,0.254807692307692,80,2000001,3,0.401133725379648,0.354581892649103,0.390217402494459,0.028027595669604,0.024972275136444,0.033189158328625,0.0283322529753122,0.0251296622983493,0.0335161078101825
8000,0.254807692307692,80,2000001,3,0.330361274926681,0.303960352082422,0.332760612282186,0.0086721732955391,0.00758370418177371,0.00991498685345008,0.00868546182955989,0.00759145740611061,0.00993158473493292
800,0.189285714285714,80,2000001,3,0.401133725379648,0.362679160398582,0.391966073176519,0.028027595669604,0.0257642391098454,0.0319190200028289,0.0283322529753122,0.0259429666158422,0.0322293499156814
8000,0.189285714285714,80,2000001,3,0.330361274926681,0.309266154580137,0.332450060453668,0.0086721732955391,0.00779823144915705,0.00958514537717733,0.00868546182955989,0.00780699193642939,0.0096007707313143
800,0.1325,80,2000001,3,0.401133725379648,0.371178617100393,0.393797146813351,0.028027595669604,0.0265299101289066,0.0308926354406783,0.0283322529753122,0.0267331005715008,0.0311940897239579
8000,0.1325,80,2000001,3,0.330361274926681,0.314635769948838,0.332140229402234,0.0086721732955391,0.00801251792261881,0.00930318982851234,0.00868546182955989,0.00802232917979995,0.00931802664724059
800,0.0828125,80,2000001,3,0.401133725379648,0.380146153561297,0.395703089541557,0.028027595669604,0.0272463479228528,0.0300035657307184,0.0283322529753122,0.0274776205160559,0.030301322577828
8000,0.0828125,80,2000001,3,0.330361274926681,0.32005461260312,0.331805732252048,0.0086721732955391,0.00822717013474311,0.0090596061925584,0.00868546182955989,0.0082380728608396,0.00907379447414583
800,0.0389705882352941,80,2000001,3,0.401133725379648,0.389723535975647,0.39777407079339,0.028027595669604,0.0278665859541028,0.0291714952935795,0.0283322529753122,0.0281302465416714,0.0294697023640591
8000,0.0389705882352941,80,2000001,3,0.330361274926681,0.325476938793567,0.331393520505652,0.0086721732955391,0.0084435892146686,0.00884822192836566,0.00868546182955989,0.00845562501380065,0.00886187631185686
800,0,80,2000001,3,0.401133725379648,0.401133725379648,0.401133725379648,0.028027595669604,0.028027595669604,0.0280275956696177,0.0283322529753122,0.0283322529753122,0.0283322529753281
8000,0,80,2000001,3,0.330361274926681,0.330361274926681,0.330361274926681,0.0086721732955391,0.0086721732955391,0.00867217329554119,0.00868546182955989,0.00868546182955989,0.00868546182956207
800,0.6625,80,2000002,3,0.303033348083015,0.26951950334298,0.416420996575515,0.0262184886255587,0.0212622292124081,0.0118843871353474,0.026564027571593,0.0213210101540745,0.0126789674190734
8000,0.6625,80,2000002,3,0.321281741565921,0.273317935342487,0.310199571717161,0.00837385991721682,0.00661148757317751,0.0107088799155706,0.00838536870961121,0.00661499187010901,0.0107241387049008
