"n","vare","B","seed","a1","est.OG.1","est.NG.1","est.CG.1","ste.OG.1","ste.NG.1","ste.CG.1","bcs.OG.1","bcs.NG.1","bcs.CG.1"
8000,1,80,9000001,3,0.32080368495824,0.269776879113469,0.337586868248002,0.00853267976287062,0.00632590706721644,0.00934718412117822,0.00854472570917397,0.00632869950607675,0.00940838738329503
800,0.01,80,9000002,3,0.315659749215721,0.317971339328005,0.319329546047457,0.0257396135090772,0.0257506226412676,0.0260303861002139,0.0260146748831777,0.0260489568946011,0.0263385359507355
8000,0.01,80,9000002,3,0.331659604789752,0.330122857815335,0.33184983759374,0.00863845174275159,0.00858372027356986,0.00869441745683488,0.00865410420870614,0.00859886762434437,0.00871010903177899
800,0.12,80,9000002,3,0.315659749215721,0.313710290168225,0.330291295557265,0.0257396135090772,0.0248459840875854,0.0284195463634885,0.0260146748831777,0.0251257010086211,0.0288319844732403
8000,0.12,80,9000002,3,0.331659604789752,0.314971294832211,0.332583266741162,0.00863845174275159,0.00803929649514335,0.00928008963392037,0.00865410420870614,0.00805086749292143,0.00929708491434206
800,0.23,80,9000002,3,0.315659749215721,0.307058111931517,0.336746598269976,0.0257396135090772,0.0237948746983213,0.0302992776874405,0.0260146748831777,0.0240305287420788,0.0307670621112131
8000,0.23,80,9000002,3,0.331659604789752,0.303885246657882,0.333227803667712,0.00863845174275159,0.00762116482499971,0.00989984594916086,0.00865410420870614,0.0076303780465585,0.00991829598235612
800,0.34,80,9000002,3,0.315659749215721,0.301117968253457,0.340909306513924,0.0257396135090772,0.0228708321487729,0.0310132651602738,0.0260146748831777,0.0230673684683553,0.0314604135949766
8000,0.34,80,9000002,3,0.331659604789752,0.295488939109305,0.333928750635016,0.00863845174275159,0.0072907419689096,0.0105742047623116,0.00865410420870614,0.00729826372961047,0.0105941607372229
800,0.45,80,9000002,3,0.315659749215721,0.29607589403115,0.342507221462479,0.0257396135090772,0.0221000342887139,0.0295306074550451,0.0260146748831777,0.0222648323541512,0.0298411288817324
8000,0.45,80,9000002,3,0.331659604789752,0.288926894357307,0.334724712814309,0.00863845174275159,0.00702469741281931,0.0112938866002673,0.00865410420870614,0.007030963939052,0.011315193769344
800,0.56,80,9000002,3,0.315659749215721,0.291822348966677,0.341997416014143,0.0257396135090772,0.0214621789609429,0.0275370034450195,0.0260146748831777,0.0216017236684541,0.0277551303394299
8000,0.56,80,9000002,3,0.331659604789752,0.283665413146842,0.335300141898495,0.00863845174275159,0.00680690520089279,0.0112483190558712,0.00865410420870614,0.00681221525105444,0.0112700445013355
800,0.67,80,9000002,3,0.315659749215721,0.288215008202857,0.340774051819349,0.0257396135090772,0.0209312414716884,0.0259982476726039,0.0260146748831777,0.021050669144121,0.0261843293863006
8000,0.67,80,9000002,3,0.331659604789752,0.279356868477207,0.333471333769337,0.00863845174275159,0.0066258875386254,0.00960451355384931,0.00865410420870614,0.0066304519865608,0.00964052519542035
800,0.78,80,9000002,3,0.315659749215721,0.285129373631463,0.419621472889573,0.0257396135090772,0.0204847996737066,0.0158771484944644,0.0260146748831777,0.0205880645856253,0.0160023750337912
8000,0.78,80,9000002,3,0.331659604789752,0.275766099520112,0.330329027349035,0.00863845174275159,0.00647335881070557,0.00959082290418337,0.00865410420870614,0.00647733043839888,0.00971899354246144
800,0.89,80,9000002,3,0.315659749215721,0.282465575851447,0.356753730944062,0.0257396135090772,0.020105248067728,0.0166134114245088,0.0260146748831777,0.0201953832604221,0.0206204910854597
8000,0.89,80,9000002,3,0.331659604789752,0.27272878417476,NA,0.00863845174275159,0.00634325263765102,NA,0.00865410420870614,0.00634674474717501,NA
800,1,80,9000002,3,0.315659749215721,0.280145368644117,0.374804173029394,0.0257396135090772,0.019779109396314,0.0145032068091867,0.0260146748831777,0.0198584551376232,0.0145007727117666
8000,1,80,9000002,3,0.331659604789752,0.270126853211394,0.33201198514889,0.00863845174275159,0.00623105959295634,0.0094488338819062,0.00865410420870614,0.00623415796617451,0.0115118358654101
