"n","vare","B","seed","a1","a2","a3","a4","a5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.OG.5","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.NG.5","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4","bcs.CG.5"
800,0.25,80,2000001,0,1,2,3,4,0.126087447886141,0.179316381227489,0.287025984214091,0.420376492457489,0.516687019155405,0.203497549089429,0.23566422749865,0.291956950168647,0.362026825076582,0.428650014872619,0.183154881030221,0.197291910690652,0.291489133112538,0.42741134510378,0.513100173415947,0.0347358443833376,0.0262482191537194,0.0177284239911832,0.0325047509662286,0.0401731408446818,0.0405988245539892,0.0270784905108989,0.0173748779855949,0.026687259572948,0.0383135432521578,0.0801427026598677,0.0470059922569436,0.0241304734786392,0.057460637654182,0.0530017486417453,0.0340076485021636,0.0262248176394706,0.0178696164288142,0.0330850074168021,0.0406012990522661,0.0402828121500878,0.027085918114227,0.0174235224317042,0.0269798702746726,0.0387695921067438,0.089690459133896,0.0483325348752966,0.027224774926393,0.0641704144865086,0.0562293019640455
8000,0.25,80,2000001,0,1,2,3,4,0.109022793322284,0.161651486049331,0.236633146318738,0.327636933617026,0.418361133255402,0.147588935864155,0.188256510439826,0.236255645137068,0.29009917379866,0.347173193613494,0.102571723954361,0.158737451527462,0.236280703146832,0.330112754760489,0.427506721851746,0.0100264345510408,0.00765132215289059,0.00518279913268249,0.0104213142782589,0.0176323455936819,0.00971868173015175,0.0069597255895939,0.00499106979995668,0.00833593295043223,0.0146252996730401,0.0124518348827864,0.0094759313234554,0.00545789103909711,0.0134227370228042,0.0253479325128541,0.00999963726622283,0.0076406931267711,0.00518329329322344,0.010444298648509,0.017648306837048,0.00970792676027496,0.00695220756447295,0.00499067056831208,0.00834503923853711,0.0146322369147486,0.0124291027371614,0.00946021834799287,0.00546110043267564,0.0134553131527144,0.0253447620133407
800,0.25,80,2000002,0,1,2,3,4,0.120058589255619,0.168596693769361,0.229696225692008,0.300631598482252,0.376011090275066,0.153373677416734,0.188515758076684,0.229606918563582,0.274987252524612,0.322011849446716,0.110869340698995,0.159931630539827,0.229851116813139,0.31328660971211,0.393871505947285,0.0319757606166076,0.0234463883516085,0.0152199258864329,0.0316103241192361,0.0582859866212565,0.035873419164085,0.0237529286964876,0.0151450226226682,0.0262429835457377,0.0458332117457195,0.0565587925639147,0.0397436567925279,0.0157585551338655,0.0486394029613658,0.0859099885245382,0.0320336824242793,0.0233006421336818,0.0151884631934508,0.0323911189120341,0.0586965783189379,0.0347191145008887,0.0232133965262744,0.0151171450675669,0.0263747344493851,0.0457528024119176,0.0525672418678719,0.0384715234888904,0.0156029288685161,0.049408088721473,0.0854930556852134
8000,0.25,80,2000002,0,1,2,3,4,0.10591777627238,0.158539127222492,0.238446113748016,0.337904624558352,0.434452563156098,0.151750994370742,0.19099053364291,0.238002406628702,0.291111293100423,0.347257251837615,0.110819902397622,0.163098216436635,0.23667384997652,0.326441968422127,0.418778084402003,0.00988712691336133,0.00761701645327192,0.00525101551571882,0.010181554108922,0.0168109185010709,0.00995552578283125,0.00709916560933247,0.00509068302755488,0.00830600392369591,0.0143986318053377,0.0127557581106646,0.00940686705202771,0.00560613465220749,0.0125583977587156,0.0232623190093869,0.00985580676520783,0.00760586946668692,0.00525147691914503,0.0102033655443418,0.0168229363947395,0.00994411905001703,0.00709190497495176,0.00509022282465039,0.00831512069071184,0.014407659688755,0.0127274196546621,0.00939000269892653,0.00560876745684141,0.0125830685757107,0.0232603054967597
800,0.25,80,2000003,0,1,2,3,4,0.105779855710321,0.157534442053373,0.226780345790641,0.309384106815286,0.395819585754545,0.17450920315419,0.197488837848775,0.223477495356066,0.251987633994194,0.282314776970456,0.149373782595048,0.181385061936327,0.221240909322418,0.267378282195663,0.316977261738962,0.0309788752045365,0.0241371600318182,0.0164533374014689,0.0323590495824299,0.0597825111506796,0.0306683229777604,0.021269582017748,0.0153766400536821,0.0225467842864013,0.0378904652168799,0.0396378909547406,0.0269511142751187,0.0163197009579349,0.0308801433394492,0.0573144478628328,0.0294177014797755,0.0230129689045769,0.0162446640482412,0.0328466642055498,0.0584270163888753,0.0304961734066604,0.0211143371953051,0.0153266014482515,0.0227459661846327,0.0381834789439787,0.0395347885274571,0.0268167617930959,0.016236166571069,0.0314818799263447,0.0580611047860665
8000,0.25,80,2000003,0,1,2,3,4,0.0996699441535847,0.156426775231476,0.236328591520354,0.333876358219352,0.434755485782956,0.141678103172258,0.184356794701662,0.236245017257934,0.295226667396657,0.35734138103399,0.0922908181718509,0.148301486017165,0.234764498381532,0.343766309786894,0.450908196197833,0.00967805409339162,0.00787016407306225,0.00527625510222021,0.0106601435431418,0.0195979066852036,0.00979479642768351,0.00717236065996696,0.00505743116434444,0.00838722722132496,0.0146977669671164,0.0120059578317044,0.0100813550312672,0.00567105724558017,0.013576994116931,0.0242296134208929,0.00964903693711945,0.00785111731922453,0.0052714868330575,0.0106813229845448,0.0195811354884292,0.00978127818756307,0.00716410072257803,0.00505592594945092,0.00839786916662074,0.0147082454948235,0.0119807462775501,0.0100772004366192,0.00567092022046932,0.01361378030337,0.0242445317539281
800,0.25,80,2000004,0,1,2,3,4,0.0853307818027902,0.143489149560494,0.232669926876682,0.346465647534942,0.461989755092467,0.183127205973951,0.210710809727091,0.244579957985616,0.283438380407472,0.324286136612669,0.162992675982511,0.177163207259097,0.253932148625653,0.385813027588608,0.448191076058402,0.0304240571583657,0.0268376154557009,0.0173795982617948,0.0340116988702782,0.0627833734434945,0.0419353477281773,0.0268041713409516,0.015579280625117,0.027104790100492,0.0487715981928599,0.0788596335089275,0.0456272026491998,0.015761081973235,0.0391062808163544,0.0706609703646132,0.0300765026628118,0.0266942900225137,0.0174059318033682,0.0348680546362089,0.0629578991114577,0.0414211488216853,0.0266262402284599,0.0156233449365068,0.0277265840815942,0.049702957880161,0.704642813281441,0.400384305048632,0.0593475127123705,0.303757934632592,0.605234970324278
8000,0.25,80,2000004,0,1,2,3,4,0.123243975538446,0.177519048127554,0.249534687467489,0.333275420333517,0.416711623817103,0.173578640181321,0.207828955117935,0.248659101983585,0.294139374032253,0.341164639486758,0.137970325594798,0.183472872645605,0.248544486468082,0.326332531653545,0.401993211085472,0.0106614212426994,0.00790258485874559,0.00522268786178632,0.0102479961190212,0.0174563282960376,0.0108322484406803,0.00724338298280005,0.00506625876185758,0.00815740475512424,0.0135157964699094,0.0152519619702037,0.00992889343198169,0.00543158693765831,0.0120638770604199,0.020439425705553,0.0106364723417859,0.00789209156287935,0.00522324332628516,0.0102665608058163,0.017463764187242,0.0108160384710178,0.00723787036552142,0.00506725388805178,0.00816522502656013,0.0135275692650669,0.0151927082150595,0.00991241062235234,0.005437265809996,0.012084561889187,0.0204553987082538
800,0.25,80,2000005,0,1,2,3,4,0.147275504296817,0.201728134915688,0.277203676456243,0.363770309151771,0.444972909398185,0.203791960860296,0.234437435619296,0.271851914001224,0.313720341808298,0.356419732146745,0.177068880134477,0.218439908976629,0.277732870906639,0.346562919557625,0.411548138310496,0.0405522520933808,0.0274839129204806,0.0171044747384265,0.0352644066073217,0.0567758573024599,0.0347576338100876,0.0226394391741023,0.0163762058384944,0.0260472972741628,0.0414658214510619,0.0538501542044796,0.0324560308308845,0.017195897680903,0.0376095204629639,0.0621981873059354,0.03982481903617,0.0272487867513392,0.0171078835627546,0.0359239747533827,0.0573862316609024,0.0346349259675641,0.022596119792167,0.0163873690857045,0.0263298565472452,0.0419715167271231,0.0533703401607441,0.0324606002219672,0.0172043607402635,0.0384199249601864,0.0634823749123726
8000,0.25,80,2000005,0,1,2,3,4,0.115918918084792,0.168997645332272,0.241137503669143,0.326235397165318,0.411073547717076,0.171479916488813,0.203897116877984,0.24154886842896,0.283057152059852,0.326271216195444,0.134588536761181,0.180581872511124,0.242558916217181,0.315194883655938,0.38754087238905,0.0102934396265743,0.00780619297318855,0.00514166227276211,0.0101511922600554,0.0171724279027072,0.0112345923318784,0.00742931739914214,0.00501628242789573,0.00823059345994455,0.013934101030833,0.0160345674972127,0.0105557204091347,0.00543184060981352,0.0126853865982616,0.0221333813685789,0.0102658225503462,0.00779483995509223,0.00514189686832843,0.0101750913432216,0.0171905271296681,0.0112121057231744,0.00741980709094029,0.00501678677359093,0.00823947092813795,0.0139466895522443,0.0159562643869523,0.0105277201794661,0.00543641248405448,0.0127156292619715,0.0221616934130514
