"n","vare","B","n.supp","k","seed","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,5,2,1,0.445264512844241,0.120027914621253,0.0893004657110664,0.234216561460155,0.0455886446346565,0.0997332248108217,0.0891054143486702,0.0640513248197413,0.0460696484295223,0.101239127184112,0.0899656368213146,0.0644694502894767
8000,0.05,80,5,2,1,0.449762741328597,0.165283274311381,0.0980458766569442,0.155472274143167,0.00953166568143406,0.0226546803107075,0.0185294496885544,0.0218127916822901,0.0095371716805345,0.0226816741034225,0.018550268325883,0.0218261299601223
800,0.05,80,5,6,1,0.444391158570736,0.186994699055067,0.142979675161337,0.12595072997768,0.0538573667583221,0.172171752425508,0.107051500172383,0.0897600020290181,0.0559524915834063,0.180505772642677,0.109203841211375,0.0903636448296828
8000,0.05,80,5,6,1,0.439931278605275,0.245589229207813,0.123357978816864,0.164617084449672,0.0152846207244194,0.0459587283662183,0.0324741786006693,0.0262170775630274,0.0153468280527771,0.046256757194573,0.0325959474917548,0.0262504321762873
800,0.05,80,5,10,1,0.447945614836187,0.170892479381041,0.146599785356757,0.158560746348727,0.041736585560011,0.108418874684333,0.0896128572285244,0.074433133905573,0.0424728329883713,0.111240334087154,0.0909280257580753,0.0748960600267852
8000,0.05,80,5,10,1,0.450914369990559,0.213896354391632,0.150135633195437,0.18147481376502,0.0133083976748826,0.0373348162611823,0.0363818179267892,0.0274294302921579,0.0133644184991424,0.0375607294588084,0.0365822356321679,0.0274844995265762
800,0.05,80,5,14,1,0.452223265132711,0.176315989568698,0.174197500493667,0.151915057538975,0.0380191224596669,0.0915180931660501,0.0950760829637336,0.0734590141845275,0.0384992111039154,0.092807271431819,0.0968549833421062,0.0739091081582994
8000,0.05,80,5,14,1,0.451475727873701,0.192372202266209,0.125486206025545,0.160827389464412,0.01260700595505,0.0310644698074695,0.0301938847242304,0.0246002713731803,0.0126281513991693,0.0311400303509761,0.0302786852968506,0.024629200275771
800,0.05,80,5,18,1,0.447031004931452,0.168923465827309,0.140674999052945,0.164765658344004,0.0387324775250969,0.0970239448927792,0.083282615040288,0.0721201280828203,0.039213677189273,0.0988960020227,0.08421619159829,0.0725756871726799
8000,0.05,80,5,18,1,0.450412083745911,0.212459530831334,0.147714838111957,0.174825390956613,0.0129016682596445,0.0359690205545741,0.032345357840502,0.0266272697685932,0.0129336853865846,0.0361351112712232,0.0324752562632825,0.0266746434204662
800,0.05,80,5,2,2,0.538153738267498,0.0637535275552862,0.275040465143247,0.100919982819785,0.0285158835220988,0.0608502284427846,0.0498040268411237,0.0669659911290612,0.028732901019232,0.0615849598194775,0.0500441075757624,0.067189065261175
8000,0.05,80,5,2,2,0.081183045083304,0.0642113547774125,0.0409496687220182,1.13315559710357,0.205302070716031,0.23857264832925,0.457740269370726,0.433275723246068,0.260404021642116,0.263169367716126,0.461137929306728,0.66761403599344
800,0.05,80,5,6,2,0.568705445810496,0.0839311265704585,0.444837616778232,0.124910661379222,0.0384528521282602,0.0892107141865045,0.0787786874680263,0.0757615710356275,0.0395618354919744,0.0917129096626394,0.080023009881136,0.0762895382141567
8000,0.05,80,5,6,2,0.43891840161722,0.198016744655504,0.129001618946842,0.163815186195664,0.0141777340973061,0.0363584727829612,0.0306628308435019,0.0227870737549185,0.0142046537152281,0.0364347432727142,0.0307149503632031,0.0228031875003639
800,0.05,80,5,10,2,0.56290002799455,0.113864718315876,0.449811800730408,0.130189905136475,0.0419349168412566,0.100787880839496,0.0828257162089122,0.0797849464689424,0.0432529692126683,0.104121074493393,0.0835942751270456,0.08044272107446
8000,0.05,80,5,10,2,0.461877760835295,0.209030952522284,0.233665340740245,0.166585293890246,0.0186288388406716,0.0447342947221316,0.0416925539501324,0.0254984761542652,0.0187855944618892,0.0451283946414936,0.0418825243546935,0.0255600706358923
800,0.05,80,5,14,2,0.562772309485128,0.0682646909275478,0.386753828986163,0.112698895409827,0.0364239529660821,0.08690078417953,0.0688661036923213,0.0736014735484035,0.0372054932095316,0.0888374085218923,0.0696646664401238,0.0739932305359564
8000,0.05,80,5,14,2,0.457795322065661,0.264355072885252,0.257248035764729,0.165728181845572,0.024331711443026,0.062299520914747,0.0468061034189466,0.0272784270894484,0.024770280088896,0.063455858121991,0.0471978709309253,0.0273877455551898
800,0.05,80,5,18,2,0.560170187051381,0.0805842057267519,0.391027227324634,0.120329507996823,0.0402613262621968,0.100412796453436,0.0729718038670439,0.0791584777844947,0.0413275841064888,0.103484212388305,0.0736817925801251,0.0796765329041263
8000,0.05,80,5,18,2,0.4693129388569,0.196493721885805,0.25483927225673,0.165878757869244,0.0182217796261032,0.042412990664011,0.0411398436976933,0.0257844038606282,0.0183912755750737,0.0428304136393729,0.0413342208593329,0.0258485068791831
800,0.05,80,5,2,3,0.992357270606613,-0.100363128532985,-0.00704404662061327,0.0558958729639149,0.248366580777382,0.33593056327955,0.844050237135857,2.07976882403164,0.300135659449202,0.310033159480187,0.886727798437978,2.20479323857316
8000,0.05,80,5,2,3,0.423148468352114,0.201280435892383,0.0692193404528843,0.180467396220532,0.0102336088624061,0.0240205968736837,0.023454838246177,0.0217339538406344,0.0102439225692908,0.0240687856751015,0.0234840754878219,0.021745860754521
800,0.05,80,5,6,3,0.463751009710071,0.147923043079347,0.170410625773866,0.148731255493979,0.0376156315930092,0.104362735394065,0.0822378353778108,0.0772236399374694,0.0381158728688257,0.106117630838803,0.083054589670589,0.0777271386312747
8000,0.05,80,5,6,3,0.399050488029779,0.2986230137035,0.0538688978673466,0.179983952110956,0.0133953268985462,0.0424191753026703,0.0280995251711409,0.0239216474461466,0.0134363504730405,0.0426813796289016,0.0281517655524574,0.0239403723969339
800,0.05,80,5,10,3,0.482729463819276,0.177637907350652,0.306206701511281,0.147452725991982,0.0393835992791007,0.106358094583098,0.114781182985876,0.0864575672347194,0.0399078004366623,0.108039008513859,0.116312352129412,0.0873333826854851
8000,0.05,80,5,10,3,0.406483788769732,0.280567681783391,0.0865320697306384,0.183401893544201,0.0138193274301067,0.0348510390896822,0.0378562095362269,0.0255347574702365,0.0138683072281666,0.03501085266796,0.037984638132491,0.0255600805303227
800,0.05,80,5,14,3,0.47581351760762,0.18374852727642,0.280495974434358,0.152423332144478,0.0381322745889581,0.107605228426015,0.105544540093676,0.0844829724049244,0.0386575066844167,0.109497539389689,0.106953411729992,0.08530188815105
8000,0.05,80,5,14,3,0.418924649706093,0.22360344020634,0.0789779959757244,0.181860003676308,0.0116556035446846,0.0270402992183858,0.0298715563325065,0.0231090787618798,0.0116765805405846,0.027106047295265,0.0299352017505035,0.0231258473268016
800,0.05,80,5,18,3,0.465607634430583,0.1437606416071,0.175106110305799,0.145404744024973,0.0393634710701433,0.106355459571882,0.0880377228161173,0.0785050095955811,0.0399126256372082,0.108085338844886,0.0889466721339839,0.0790564702470486
8000,0.05,80,5,18,3,0.417063867577282,0.223348787058635,0.0709499402677371,0.181938992144814,0.0120898908976575,0.027534167445617,0.0308310332391214,0.0230284690239534,0.0121131918196261,0.0276002884762598,0.0308999868764757,0.0230448972719144
800,0.05,80,5,2,4,0.450297479764302,0.102407349603299,0.21913772859747,0.206735182405281,0.0309479851381051,0.077184967928054,0.0670475201507238,0.0840959973458746,0.0308802722365426,0.0817835037894168,0.0677844696354699,0.0850104975714509
8000,0.05,80,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,0.05,80,5,6,4,0.510594640728415,0.0178134971154267,0.433778775211429,0.226744135036829,0.0494546062733851,0.113930768682495,0.125231524189965,0.0795773485821308,0.0506423558412289,0.12135939644587,0.127681550092224,0.079382558004604
8000,0.05,80,5,6,4,0.454450694254535,0.126951504938131,0.0866761715068543,0.0972757416470814,0.0182513065778377,0.07761735563135,0.0565621223410548,0.0396647480395017,0.0189869030019705,0.0842796917552771,0.0573178815224577,0.0399195399798531
800,0.05,80,5,10,4,0.446528729074189,0.0952893736639947,0.259235706111748,0.222479138551038,0.0447995346013683,0.138753814666293,0.106473589394243,0.110763018180016,0.0449567722587655,0.160709723716169,0.10946371357802,0.110830200587171
8000,0.05,80,5,10,4,0.464788787581285,0.0772300428917987,0.0980133416819252,0.056575108816532,0.0297441072628658,0.140961608971656,0.041950958285002,0.0528867936704102,0.0364076951375,0.177035277375898,0.0414362388220601,0.0516398777740922
800,0.05,80,5,14,4,0.461031650141331,0.0912608323122787,0.308391546729764,0.238824499173728,0.0428448912246123,0.120162715108098,0.096021698907139,0.0953440141186881,0.04348860598864,0.135204998284755,0.0966680366954194,0.094874002992341
8000,0.05,80,5,14,4,0.4578439928956,0.100017409644544,0.0765840442165491,0.0707710552107392,0.0200399156219909,0.112605854953089,0.0435294876780787,0.0469080894708417,0.0225895799833176,0.131782771898974,0.046971803554199,0.0467309182685846
800,0.05,80,5,18,4,0.446813105403906,0.0997844682743481,0.265581610743164,0.249753792289634,0.0417030459984323,0.126685550435072,0.0846944844762855,0.0980102474981969,0.0424914735788944,0.145909297020919,0.0851360580753692,0.0969181301084684
8000,0.05,80,5,18,4,0.464953087283863,0.0358021147386563,0.0493187276728419,0.0430386747458159,0.0241945694518136,0.162845310391185,0.0610676387343173,0.0546861103618213,0.0310885560274263,0.220371982813128,0.0832327857922285,0.0514500663387513
800,0.05,80,5,2,5,0.409689140220858,0.27435796253007,0.0505793005610012,0.301977087388224,0.0471587459024328,0.139827238413583,0.0915922857804877,0.0758626516051286,0.0494455091809066,0.147764807317162,0.0967660659731927,0.0762371697250047
8000,0.05,80,5,2,5,0.432787085717003,0.231796368163807,0.0756280656875409,0.162383081886373,0.0129130809568941,0.0347668709787125,0.0275002374282529,0.0231119334959807,0.0129759584592699,0.035006666282486,0.0276414371221197,0.0231316008169354
800,0.05,80,5,6,5,0.389033425166291,0.415518773001076,0.0341507721592937,0.319846580864151,0.0376800867297994,0.129481252923738,0.0874341363505402,0.0802420941428048,0.047134485498357,0.146132432490883,0.102062948195176,0.0808462103728625
8000,0.05,80,5,6,5,0.426083807557232,0.457424118092946,0.191265457498724,0.162790045860903,0.0224290220276179,0.146048828270562,0.0423721076785864,0.0286627785431512,0.0278539832443898,0.182282056422346,0.0499088732802367,0.0295470474116671
800,0.05,80,5,10,5,0.389593836367008,0.405625594964955,0.0289577204584164,0.316132741740079,0.036114979050344,0.11707559560869,0.0881402244266483,0.0789224829393137,0.0454601180834515,0.145197189372599,0.0942965174062824,0.0794838915472708
8000,0.05,80,5,10,5,0.417395723343237,0.332190089656975,0.0861243444559788,0.171979459593371,0.0201179445335079,0.0685422244680087,0.0447418692567912,0.0272931310321011,0.0209697095777638,0.0711789781813273,0.0462833343331827,0.0273640643749706
800,0.05,80,5,14,5,0.389284639478983,0.409839841344085,0.0334294489988139,0.314688495829815,0.0371833802775654,0.112730152555203,0.0934608672001837,0.0790469995933494,0.0473556194368231,0.137776748048818,0.105351846911354,0.0794383363699697
8000,0.05,80,5,14,5,0.447455595694749,0.231459558583327,0.13251802717924,0.161224324222759,0.0138998811045153,0.0429892952557909,0.038075122127385,0.0232446701064321,0.0143664043637373,0.0451079451151155,0.0385804666468053,0.0232804400893552
800,0.05,80,5,18,5,0.395941627787826,0.366600844272336,0.0315789483363629,0.309500035767657,0.0388048248363331,0.113017858652026,0.0964812155358226,0.0765071054508904,0.0475313436191349,0.134254079335424,0.111097555763988,0.077104236050213
8000,0.05,80,5,18,5,0.437940741605622,0.280057527831428,0.12129551541824,0.161724446421724,0.0158173166947567,0.057275472059387,0.0411533227004711,0.0238072681970947,0.0169143434534225,0.0614977349607835,0.0422933874977571,0.0238763947760291
800,0.05,80,5,2,6,0.350080626940094,0.574227460732454,0.524076047182569,0.32400120147547,0.089640995489185,0.724001509352966,0.4952787351303,0.167722753031262,0.0943348042066849,0.839209969386621,0.602845836135271,0.182898563122497
8000,0.05,80,5,2,6,0.44945340241988,0.102043054765743,0.105199176137359,0.200334181718506,0.02404758321087,0.0794319874444721,0.0450578286903578,0.0306125390162887,0.0242687157732978,0.0802916012664157,0.0454367030331819,0.0306967427643559
800,0.05,80,5,6,6,0.394677174698365,0.209019728253831,0.108572321479232,0.211549025406813,0.0305263616317433,0.081629254047992,0.0680204898609788,0.0689703619501485,0.0311124543668698,0.08431788776255,0.0698636705323944,0.0693957068509766
8000,0.05,80,5,6,6,0.466930003358897,0.155930081787288,0.187896436116216,0.167588372878222,0.0243531197034524,0.090496353899397,0.0780141840443415,0.0456516999366851,0.02470379058705,0.0953180715850196,0.0796468029741885,0.0460246880925042
800,0.05,80,5,10,6,0.398595895999596,0.215252227334548,0.15714803502767,0.209031220208107,0.0321707144423165,0.0907497104011087,0.0825724852837452,0.0717858745403306,0.0331478287734351,0.0947298342485219,0.0866021444391513,0.0722532645182877
8000,0.05,80,5,10,6,0.467035725802145,0.129780608238829,0.173327820517052,0.174083590356699,0.0199510043540735,0.0551619954526596,0.0513843685079591,0.0362765971711442,0.0201038274891557,0.0561488665959466,0.0515787956785672,0.036475566728978
800,0.05,80,5,14,6,0.401483672027011,0.207596144031066,0.163780353262548,0.205768482348096,0.0329149854603356,0.0925761863879783,0.0861298639234167,0.0724537775615624,0.0341106550171257,0.0967034590290413,0.0907030492018771,0.0729607035333363
8000,0.05,80,5,14,6,0.459592174211137,0.115591520973618,0.134898737361243,0.180243221349525,0.0166708674477967,0.0467281718172921,0.0399965972026574,0.0299054717947614,0.0167609395640868,0.0471670504494381,0.0401778688166501,0.0299912109867493
800,0.05,80,5,18,6,0.395720585676456,0.23036130612237,0.152267756596742,0.211341669354506,0.0339953093927784,0.0949570154716671,0.0856215576079991,0.0722229453838533,0.0352302301821353,0.098635241823093,0.089997332401129,0.0727338165105564
8000,0.05,80,5,18,6,0.463869117944746,0.118450119145998,0.154838157337352,0.17793253357889,0.0162745998642835,0.0448476442324336,0.0389239371468292,0.0307395408962919,0.0163593971188983,0.0453289718801605,0.0390268253349122,0.0308377948361366
800,0.05,80,5,2,7,0.43835081203783,0.0671553918401804,0.104615912385791,0.290902889136247,0.149206791011847,0.426553902676108,0.290329564623224,0.10024524198934,0.180706095611478,0.519719238420929,0.349307039270141,0.102995598495173
8000,0.05,80,5,2,7,0.465472127249017,0.199390782358643,0.209685880263126,0.137490045430765,0.0106156384629933,0.0319361213506188,0.0259844575373074,0.0250875062319447,0.0106294466292203,0.0322187952407776,0.0260359844792211,0.0251478710723364
800,0.05,80,5,6,7,0.447344698688973,0.209965367727582,0.262194072531617,0.405056548663747,0.0510568306076398,0.113261277811615,0.150714827095492,0.081298358364655,0.05197286855749,0.114971587493991,0.153254607685966,0.0821776365614222
8000,0.05,80,5,6,7,0.46413249547721,0.176707671584373,0.186536142984235,0.135501434493259,0.0115601532848865,0.0319512272029377,0.0282003695121719,0.0233212727441268,0.0115834634964751,0.0321737966876808,0.0282418758690516,0.0233464996158494
800,0.05,80,5,10,7,0.451994310047779,0.123185732169375,0.146428526249604,0.327281442350555,0.039212390673803,0.0843595288162038,0.0838291580797844,0.0704527400162223,0.03962883050189,0.0852735905439286,0.0849659106582006,0.070802751477187
