"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.OI.1","bste.OI.2","bste.OI.3","bste.OI.4","bste.NI.1","bste.NI.2","bste.NI.3","bste.NI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,1,0.433230505198369,0.21313143693672,0.155200198156497,0.152704061778628,0.433306238347883,0.146781906341618,0.103513629068252,0.104113078987549,0.412887025083675,0.224027185308168,0.144539175921768,0.103430258536048,0.0307205509035437,0.0678352810016955,0.0645193964937126,0.0587005313300836,0.0246343289218257,0.051792842383177,0.0499282183543033,0.0580525912359339,0.0340861915640235,0.100708997599559,0.090402142907805,0.0656780441739801,0.0309004137057542,0.0683367003766754,0.0650711451510181,0.059444151209128,0.0247206282245142,0.0522125654704325,0.0502377889482678,0.0582572582715333,0.0347916265984451,0.104074722634185,0.091761110538187,0.0659776454544693
8000,0.05,80,1,0.454597971272927,0.201913997835465,0.178559909174682,0.20065667844353,0.458445684497707,0.120408826356432,0.153530407517654,0.199433708967022,0.457560036010831,0.215969384551304,0.252379056550805,0.21280266119824,0.0104607850768102,0.0233507528207103,0.0330843693586867,0.0250603805248072,0.00830976164465402,0.0168029507736636,0.0167345233579834,0.0206217302321797,0.0125554912065111,0.0341237144221769,0.0291478488368899,0.0252485494498348,0.0104781034354564,0.023364830956094,0.0335702876729619,0.0250596704335545,0.008317994591752,0.0168140395603752,0.0168186485262307,0.0206312861061748,0.0128814773203969,0.0342387406654333,0.0319989903634981,0.0252991347237282
800,0.05,80,2,0.472433595385236,0.183649375676262,0.159648598234862,0.0885070958384934,0.442928228986424,0.0973981846938206,0.0253271119650675,0.11414170003734,0.406054976377804,0.100792409835638,-0.129959214558653,0.124424756705559,0.0413442950864324,0.105245390964037,0.077307070344333,0.0769119323422307,0.0344361823673159,0.0558837205208433,0.0920131318322811,0.0661754182656344,0.063914076538298,0.113831636824542,0.165610989649567,0.0799672685842956,0.0421509106391453,0.108999175198462,0.0783386910935352,0.0772529580395291,0.0351332407075831,0.0562705932820609,0.0965337358944953,0.066162636965331,0.0641726580271662,0.118496260960034,0.172014913259192,0.0788350552304475
8000,0.05,80,2,0.466471053247952,0.161285976250684,0.190245529815025,0.140004809445653,0.45782369773927,0.125379470044492,0.111161632060863,0.131464388817336,0.464298827521279,0.170115692833864,0.175896155233563,0.12691105946947,0.0133529978047085,0.0294807218055808,0.0307813669611325,0.025779110698877,0.00877981777514066,0.0177596336897233,0.0188470629409215,0.020782070985131,0.0202588979066996,0.0485605398626463,0.0438058939793481,0.0258695062127186,0.0134792888875555,0.0297650300036567,0.0311022470962301,0.0258799290441738,0.00878711614216955,0.0177763639540445,0.0188898838225284,0.0207913551640688,0.0205787580664726,0.0492967120184765,0.0442201081824784,0.0259182291509331
800,0.05,80,3,0.427590750695125,0.268215669456206,0.256765062699685,0.252878779939479,0.429171391249256,0.180214387165218,0.159129515252013,0.214784115545467,0.411493163177591,0.326231613554886,0.198114406329866,0.221691264307543,0.0300225164834925,0.062400537631076,0.065981603885133,0.0625803984600755,0.0249981113234951,0.0489231565972668,0.0544923810193525,0.0605892194222284,0.0367196496220987,0.087420469239294,0.105949366006616,0.0679323261400151,0.0302353136820722,0.0630385496328822,0.0665179793892125,0.0628421612682629,0.0250724101591995,0.0491179209393189,0.0550527232345219,0.0607511783281013,0.0376765361936988,0.0883152546153781,0.110913952108607,0.0682444469519075
8000,0.05,80,3,0.448318545538504,0.197879464911983,0.112818487632831,0.148844283696729,0.452134388103101,0.137277505018231,0.0543854974234595,0.150036559119738,0.438572442593879,0.219037749672891,0.0595520156892249,0.136622471624664,0.0103955736029943,0.022327270504982,0.0240313745165737,0.0227620595811755,0.00870437151673582,0.0169023286491602,0.0238075759263156,0.0208320195072722,0.0146944770502915,0.034676011172944,0.0584889383995388,0.030912419514938,0.0104027025592645,0.0223449824127821,0.0240618097586951,0.0227960145879972,0.00872177483391829,0.0169139357489527,0.0239932234886833,0.0208410740655746,0.0150412446389715,0.0347907127887231,0.0604121220165751,0.0309722251266137
800,0.05,80,4,0.372959618310956,0.157318705426919,0.147975726562106,0.228152928649765,0.381449822673462,0.149257131610306,0.0464278567521451,0.181248526738792,0.348573043707379,0.191685100259724,0.0279966652953706,0.196088010083128,0.0292003575671353,0.0767885067319076,0.0665352462997607,0.0816348251858047,0.0253258442962469,0.060386430850937,0.0557107145608889,0.0760822771061284,0.0372958540872372,0.127942565953038,0.12529620158144,0.102818237134303,0.0292123528264552,0.0809176123899774,0.0668759851667644,0.0824475823022332,0.0253394162229559,0.0619481195073623,0.0561810389276245,0.0767256687826884,0.0376783949112337,0.139493245659795,0.131469890310418,0.103834631933863
8000,0.05,80,4,0.499818421093313,0.0816829609365454,0.198894194901696,0.0979720221793246,0.481362643007676,0.0799889591193135,0.130400763533883,0.10782312705238,0.507877583862162,-0.0174700814881442,0.185761437402879,0.0961057137571511,0.0166883952609491,0.059699290259209,0.0315698835510388,0.0348944339356178,0.0101335248965747,0.0301550772609129,0.0212744750673509,0.024128466476282,0.0246992287064121,0.106090045191159,0.055314168439779,0.0460265590975609,0.0175883446613647,0.0645050610429997,0.0314070510056418,0.0351910905478848,0.0103014068850858,0.0311692576235211,0.02132649784128,0.0241938821152595,0.0297210775902872,0.131635899990931,0.055541306877457,0.0455746267244225
800,0.05,80,5,0.380204387581045,0.293323570173912,0.0164373351697767,0.264445280983187,0.407151090959725,0.227324712080244,0.0327428578241747,0.269948099209857,0.371474606614046,0.426046965545665,0.000791253004535265,0.316809631770449,0.0283789882516767,0.0648082054587475,0.0751304257314246,0.0628984751155564,0.0236547413451671,0.0477002543526328,0.0519261188409863,0.0586732291550927,0.0300517472168269,0.0796750624839646,0.122536171862311,0.0646501488775601,0.0285867128423565,0.0656800691234177,0.0762034776635983,0.0631425259090545,0.0237009929360259,0.0478741048643716,0.0520850651584197,0.0588486502206078,0.0300340600380705,0.0801369105737494,0.12026833964877,0.0649938529006924
8000,0.05,80,5,0.467105282759294,0.146807434309007,0.185588515780522,0.083508590374741,0.463877401022208,0.127828233179784,0.138398553814899,0.0938888684159455,0.473069231752095,0.182063330190218,0.255579000766122,0.07612129440224,0.0123737436807617,0.0468558364153981,0.0286481406866683,0.0220057089192771,0.00821960764863795,0.0172198455918063,0.0168498082088772,0.0201654608051569,0.0123855008742214,0.035609498888116,0.0299193809704208,0.0250590815441277,0.0128173474478485,0.0494660393064803,0.0287429405967212,0.0220290108237116,0.00822533038736347,0.0172361613754295,0.0168991208450257,0.0201735750001219,0.0125062373016986,0.0358910185355875,0.0305831428097528,0.025087611987275
