"n","vare","B","seed","ghat.OL.1","ghat.OL.2","ghat.OL.3","ghat.OL.4","ghat.NL.1","ghat.NL.2","ghat.NL.3","ghat.NL.4","ghat.CL.1","ghat.CL.2","ghat.CL.3","ghat.CL.4","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OL.1","stde.OL.2","stde.OL.3","stde.OL.4","stde.NL.1","stde.NL.2","stde.NL.3","stde.NL.4","stde.CL.1","stde.CL.2","stde.CL.3","stde.CL.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4"
400,0.05,80,6000001,0.559294872026981,0.149635178126669,-0.255149290540596,0.13970032611822,0.544069613128839,0.078320594124255,-0.23748373755652,-0.0291086931945839,0.611068131654422,0.492115331182478,-0.448975233490013,0.371065631588105,0.421556338623257,0.311996538138056,0.12784248095122,0.288188480891488,0.422213002778637,0.220567227181443,0.112368397903566,0.344907794055165,0.413295790958699,0.328629159170304,0.192182622958218,0.352628943975418,0.0613698594845941,0.161799899994307,0.132846344081307,0.154790407234424,0.0597631599892875,0.125672368014509,0.117047128906452,0.121919019558524,0.0928489100976986,0.470449122333544,0.319968353020689,0.380813524264565,0.0363971967171055,0.0893261507685018,0.0902328801620104,0.0856294510136996,0.0313207650439741,0.0663686453926165,0.0652343477253916,0.0763777493713985,0.0395588116613198,0.114545149548492,0.109760030407908,0.0847199682000201
800,0.05,80,6000001,0.401283360049584,-0.00732718965358042,0.0948766609336688,0.219299581233482,0.371955312773057,0.0391965928955706,0.188943963379835,0.0862239967894176,0.424409500556566,-0.0555782308425209,0.075019665438715,0.427613867247303,0.436817599354811,0.171427214317992,0.125764114238176,0.0908625370757563,0.4729565857027,0.0486948364677989,0.106163367049007,0.0682200402930369,0.493324972283587,0.0555135938536838,0.168515187683224,0.00931665836929439,0.0438343611452756,0.104380306662963,0.0932538711250524,0.106950334048972,0.0422492160177821,0.0841957976468139,0.0861207803875154,0.0885568666592696,0.0543775532676659,0.210158845056036,0.138587835812694,0.233620974814403,0.0330573037320481,0.0681646370461969,0.0702126642129049,0.0716110561130336,0.0274812310617161,0.0522865210223853,0.0566871541193638,0.0654241180748104,0.0436947820398555,0.094454036948678,0.118888774459554,0.0750579916973429
8000,0.05,80,6000001,0.412949290001484,0.117664271864575,0.0982218317953396,0.169613530475813,0.412602454826916,0.0616224590184376,0.107537425918959,0.127432918474152,0.424917637704223,0.2787167939085,0.0535541722287857,0.364108333915023,0.47717998140688,0.170521305227982,0.180211906427448,0.138649008554002,0.470969454712555,0.115864362480447,0.121965993734373,0.141489108889167,0.48147919016654,0.178861571724945,0.207168507745429,0.119465549334575,0.0136887130472005,0.0342232841445856,0.0287948453030131,0.0351132317856737,0.0134154547742442,0.0283398023974611,0.02652250034002,0.028474321316615,0.0162954161501752,0.0734458697937255,0.0444181262660132,0.0780366930704395,0.0114470188694103,0.0297553034085042,0.0365481233238628,0.0271743829264197,0.00860309070757371,0.0181307483255913,0.0177415051489396,0.0209354145096149,0.0152915239559551,0.04225965163213,0.0399897225143559,0.0284570771891536
400,0.05,80,6000002,0.40366959727615,0.08457355742097,-0.0189141446127342,0.181748705889707,0.415017477574341,-0.0500832739453131,-0.0503573382086952,0.0296251431973002,0.395816724341461,0.381177960499309,-0.0284881951769111,0.437505961586108,0.398114598512136,0.188776194224934,0.27481870752505,0.109810975173398,0.407644446861806,0.106298348249963,0.179841684943459,0.078951205004568,0.423681730510035,0.168361300721177,0.372993950872801,0.0704373910935285,0.0596471140383638,0.163498553116383,0.126479485643618,0.147616825713797,0.0589122885220369,0.129582901815937,0.118549615436612,0.113603966719512,0.0778384471588007,0.509992036043757,0.195614530911938,0.343517464653637,0.0341497706668518,0.0824882679506489,0.0879964272607932,0.0835810728222911,0.0347184713063774,0.0732131724786008,0.0777269779177141,0.0817518866627774,0.0374997576429905,0.138089746393404,0.110499155433602,0.0901929891391401
800,0.05,80,6000002,0.42146530778571,0.215451351940183,0.0489919306454246,0.160855101454863,0.410950638121586,0.0844073767893448,0.0948380164231117,0.047594124376714,0.443285881809075,0.446738510664436,-0.0725111862107406,0.315304895065887,0.495832160515162,0.0891724791418786,0.224316303723118,0.111904611357351,0.467839014505565,0.174720260549356,0.0870982022651219,0.17261754016283,0.45568309165054,0.257044871820621,0.115953550339258,0.208606869978762,0.0434077235548317,0.107724208263636,0.0903889679288175,0.111417236361349,0.0428282454414706,0.0943375317777426,0.0838483463258445,0.0874536168484846,0.0522664247893356,0.247193323629505,0.145652797268944,0.259706860343253,0.0346899452087663,0.14629649846595,0.0776143025031664,0.064845952221059,0.0270411094671323,0.0563679442627263,0.0523431758877853,0.0614289113527426,0.038947229200884,0.109115741839237,0.0957400858964181,0.070375241843728
8000,0.05,80,6000002,0.396841746347717,0.176553852643292,0.106542133805195,0.141104900822617,0.394919919004484,0.119333412738829,0.121772018014404,0.0945490112329058,0.398892249084071,0.387448100764684,0.0548960961094984,0.290498065865639,0.447200967564494,0.243333892754885,0.155508545613644,0.162762325869889,0.455532989355208,0.168830142127656,0.109868395200289,0.169819042501403,0.451523938672866,0.271032303196396,0.17954431775948,0.1652321731994,0.0132804677373195,0.0338725309155984,0.0278328288819009,0.0345624895301478,0.013137962446754,0.0279201389498044,0.0259774771742356,0.0290799189250813,0.0155639037179403,0.0735379240291404,0.0429856640502189,0.0747940337068629,0.0103429879196379,0.0225892550375788,0.025235417811965,0.0225876875625079,0.00871934339454617,0.0172521829909872,0.0179737107438454,0.0207497649186312,0.014264168920792,0.0336686941494598,0.0387435258963102,0.0269979551807498
400,0.05,80,6000003,0.485558998475694,0.0870653850839321,-0.087214581640843,-0.00233492065098205,0.483521067308817,0.00431617490584619,-0.0625863035890467,-0.045012675006144,0.492166695948477,0.26800056255574,-0.179583602813848,0.0028027257292521,0.451614842323944,0.211544659425172,-0.0758917309618702,-0.0323015913642418,0.448017124269542,0.101591486300569,-0.0924024748066034,0.103010091207853,0.441227244175479,0.0440160937365948,-0.188622695508474,0.0230706755651441,0.0617186559166031,0.158486588263732,0.136090919455506,0.148180826701162,0.0590804043743854,0.126924958612848,0.116702715655469,0.130394783513323,0.0750608088838908,0.37244402417605,0.236077327701167,0.289391084728498,0.0444974539283683,0.10694366424821,0.134267399827017,0.136016032457775,0.0359848619952139,0.0809109518611821,0.0784493506462392,0.110981577382441,0.0501356959278711,0.168742397256807,0.150896460108434,0.141193432298421
800,0.05,80,6000003,0.400227737465727,0.194424349265178,-0.0224588103404495,0.0834633831108978,0.406085210150165,0.0858577841727806,0.0277883761330084,0.161723598409417,0.402080928387363,0.53094605060505,-0.165867819703057,0.140189335554571,0.427017472275974,0.157687675950205,0.196050834991579,0.187848414288415,0.432424590399909,0.127681421993049,0.0939517480997179,0.0963677126017247,0.443372930152514,0.145264610338148,0.180100736905256,0.117747703744368,0.0403777823532052,0.106583546556337,0.0857498392078745,0.105771761876337,0.0405352735510855,0.0867690084880844,0.0813923956726656,0.0924024765584437,0.047845573937395,0.253097991751591,0.131374909199679,0.221179587711216,0.0433804082695233,0.0916947392511893,0.0936687737276408,0.0819412342081275,0.0278511398555262,0.0547870017999195,0.0560405722436427,0.0682512493135534,0.0464998687993904,0.110788407785067,0.112245306388609,0.0849180777579953
8000,0.05,80,6000003,0.381339513713999,0.164294230499041,0.134677423962355,0.156281920006395,0.378744546855231,0.108571920969941,0.144981200978679,0.0782550466857519,0.385465765425606,0.371509839670941,0.0958221679156952,0.330262476418609,0.457218584327357,0.223518724552587,0.170189488128877,0.140531126031038,0.456589033099883,0.15616152017108,0.0909765567071754,0.136761844672244,0.452755740385268,0.265337497299908,0.135058020134942,0.121959885037451,0.0134303663635846,0.0337810078542424,0.0279877512642805,0.0342379235287173,0.0131754960770689,0.0280593746937991,0.0261246280227348,0.0283148690919507,0.0158727902505495,0.0707109121440643,0.042829627863746,0.0712415610933683,0.0103245129040563,0.0257125232647733,0.0230842567901612,0.0213710698399128,0.00855431095144766,0.0185928306808135,0.0168291650372139,0.020610559794368,0.0144906868290639,0.0430306602929811,0.0332611315364305,0.0252227041104633
400,0.05,80,6000004,0.508809738440014,-0.0414619746697683,-0.260487356412792,0.073245807843561,0.479131225441574,-0.0668232128353859,-0.102305537463515,0.0139050864744817,0.604796813298014,-0.178353209990429,-0.74889649799468,0.0803769283620064,0.380512364540246,0.205587159127046,-0.117009808525882,0.023205851842714,0.440994417199334,0.0761573865930799,-0.0186571270698352,0.0149846268053596,0.425390648597776,0.131149290864104,-0.0253790583925151,0.0422330957436369,0.0684669917044373,0.161286120925361,0.14387103699701,0.151603275263868,0.0676009084349035,0.129914029686565,0.130852982699296,0.127214677194095,0.0972641126724303,0.360427850228714,0.299709035542591,0.297825781503012,0.0401675753985882,0.0850491934559977,0.0889587087468592,0.0936389708752361,0.0373691118796777,0.0683868007862546,0.0700415727810133,0.0914357744408272,0.0480852000503743,0.109320358372736,0.118854129474775,0.0999960745247385
