"n","rel","n.supp","k","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.5,5,10,80,1000001,0.0632192209399586,0.449118250179681,0.527808922011024,0.288354344643503,0.49879217662815,0.856926605805322,0.0716197488362559,0.0853107763341584,0.0361761982444883,0.294121200477303,0.330882260895855,0.427522849041599,0.0720447285721816,0.087530820246148,0.0364685954491038,0.29629936821977,0.348960998956317,0.426261313871821
800,0.555555555555556,5,10,80,1000001,0.0549299889744875,0.527871675934791,0.569654123392831,0.182119040641342,0.70148658464486,0.84600657896458,0.0666359357314006,0.0727899751516791,0.0364835931265185,0.188961781869007,0.388465575832035,0.310505859679419,0.0669432827749839,0.0740704713951286,0.0367320785397307,0.190058589304308,0.388255172078065,0.309332458460312
800,0.611111111111111,5,10,80,1000001,0.044925783152586,0.606250213956754,0.611071578644105,0.110812287336099,0.83114026724034,0.851732391491251,0.0610356193919608,0.0603155713078825,0.036976670365715,0.128152041040058,0.374848788263742,0.225111397564705,0.0612335108093631,0.0610386126861064,0.0372012425188997,0.128358715943393,0.372287611328977,0.224305888528137
800,0.666666666666667,5,10,80,1000001,0.0344398263697621,0.681810844356683,0.652809992023331,0.0654477287654268,0.914426176019288,0.863553885858124,0.0556517403457984,0.0505320942177119,0.0375850524317084,0.0897731532369058,0.292795849024576,0.155039804352581,0.0557710052949264,0.051024643885742,0.0377942290743577,0.0897251544169221,0.290543427385361,0.154561813368806
800,0.722222222222222,5,10,80,1000001,0.0245162276503606,0.753152164261805,0.695397933754937,0.037021262095673,0.969290353763136,0.876771024715146,0.0511295448974334,0.0446462405854096,0.0380936498060231,0.0663445324076872,0.200585433089946,0.102743394556,0.0512036781326148,0.0450633121000159,0.0382857944230798,0.0662980092253939,0.19906824000963,0.102525953695995
800,0.777777777777778,5,10,80,1000001,0.0158614266356147,0.820031508778594,0.739136488285059,0.0193329620709398,1.00627725697059,0.88951080967422,0.0477166402304305,0.0418006523733175,0.038295739567489,0.053496441403778,0.124906338632915,0.0685374215493927,0.0477694588322258,0.0421559495417578,0.0384661788809074,0.0534938408082016,0.124079819594918,0.0685141084063585
800,0.833333333333333,5,10,80,1000001,0.00880752345226396,0.883206442908624,0.784177718983177,0.00847755190421131,1.03151104434753,0.901155723437357,0.0452877789140329,0.0402008498088657,0.0380820185516087,0.0471136524594929,0.073650109162211,0.0499352882242691,0.0453322627385671,0.0404739217369305,0.0382273664779477,0.0471366312042846,0.0733760940779923,0.0500280971626108
800,0.888888888888889,5,10,80,1000001,0.00334973843081541,0.944184776663896,0.830676217235255,0.0019902786466677,1.04874066047559,0.911654697228985,0.0435442851187551,0.0385901133073624,0.03744005985908,0.0438822461809362,0.0470811244078883,0.0418534078679738,0.0435870620242562,0.0387805387179916,0.037559337720464,0.0439160142398434,0.0471654090595114,0.041976082485163
800,0.944444444444444,5,10,80,1000001,-0.000856958852660212,1.00517944583083,0.879101640126619,-0.00185650121509071,1.06064777123875,0.921348406434128,0.0421994904169003,0.0365256105573525,0.0364374720467609,0.0419598783933774,0.0382344793734549,0.0381835939780485,0.042244871762067,0.0366545236142057,0.0365325488678365,0.0420015982396596,0.0383910168437379,0.0382866058405496
800,1,5,10,80,1000001,-0.00697738336500987,1.0731297837956,0.934324857830828,-0.00699507983253157,1.07329827773882,0.934306271272373,0.0409344534762374,0.0337786349207157,0.0360284296876532,0.0405197960674717,0.0336416609283467,0.0359178941935721,0.0409820174516689,0.0339127051421775,0.0361107995562151,0.0405663958217578,0.0337539971611262,0.0360004992091438
800,0.5,5,10,80,1000002,0.070220620634238,0.421294714048681,0.495334253299704,0.0878844729125623,0.726873023194398,0.681745645895085,0.0541696025636197,0.0423170357834485,0.0414715199676695,0.0821301608308577,0.862582420624216,1.47591290144155,0.054202505147019,0.0425341560231111,0.0421511186028255,0.0799872387484224,0.857419449277007,1.46341326206776
