"n","rel","n.supp","k","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.5,100,5,80,9000001,-0.0958887613404192,0.474251517308302,0.491239134922789,-0.125531965037717,0.568156234012452,0.789172744626468,0.0573923527676381,0.0463860125719031,0.0601295673755495,0.186618691805392,0.55777717423748,0.662956241140123,0.0575097537861543,0.0466514009412182,0.0617192860499476,0.186754565465351,0.555873805189238,0.65922245690971
800,0.555555555555556,100,5,80,9000001,-0.0956943206317966,0.533470266380207,0.541875491772147,-0.144837735678295,0.724186321296476,0.752546813954347,0.0560057508321885,0.0440397228378672,0.0619726877694373,0.162153632083685,0.385809632533577,0.51321705623288,0.0561414459269716,0.0442854855272896,0.0637920112093145,0.162149239778719,0.384290080173287,0.511511646655226
800,0.611111111111111,100,5,80,9000001,-0.0949672570102292,0.591151162017053,0.592411162128415,-0.142225199548247,0.824050340982868,0.76605536528976,0.0546344952650576,0.0427700628752162,0.063621488379341,0.133471386973442,0.253038154784079,0.390680849635119,0.0547878534270158,0.0430137552440782,0.0656035739186877,0.133697486960483,0.25198231811078,0.3914949105177
800,0.666666666666667,100,5,80,9000001,-0.0937001665646629,0.647392065229156,0.643330741926146,-0.131157281588208,0.884992272754163,0.800950192945259,0.0532340939555231,0.0423053181150876,0.064797164616088,0.106381773570061,0.16140157079771,0.287993042487448,0.0534004727711582,0.0425511919447251,0.0668369268800249,0.10683043080052,0.16084485889808,0.290661395955384
800,0.722222222222222,100,5,80,9000001,-0.0918810466366576,0.702371570523363,0.695209901349884,-0.117931212810459,0.921522358612476,0.842267722064588,0.0517321700948184,0.0422788519996776,0.0651175311097708,0.0845098352369792,0.103571594137321,0.205545221739057,0.051902501761836,0.0425229943794866,0.0670818228310368,0.0850376941227758,0.103421132348816,0.209062865732304
800,0.777777777777778,100,5,80,9000001,-0.0894968694569041,0.756318881802759,0.748695866564628,-0.105293107661728,0.943024574165283,0.882752774000999,0.0500349026666195,0.0423399011184593,0.0641428445270221,0.0683682717841443,0.0709328094532982,0.14361427270084,0.0501963509081022,0.0425755147026105,0.0658863276958741,0.0688292325501334,0.0710582544078837,0.147029833454346
800,0.833333333333333,100,5,80,9000001,-0.0865464343988848,0.809495068939059,0.804475431570274,-0.0943978525583401,0.955315895056761,0.918987629297512,0.0480380229241409,0.0421865590762288,0.0614106507760655,0.0570045177975615,0.0547819527318998,0.100424363706779,0.0481761157644031,0.0424068035835767,0.0627973388489222,0.0573201749423842,0.0550311854602584,0.103034592913926
800,0.888888888888889,100,5,80,9000001,-0.0830704567300761,0.862192310359293,0.863221053915201,-0.0856854501968719,0.962020035967644,0.949495860651235,0.0456435564893271,0.0415339399783374,0.0564729666727308,0.0490705820438064,0.0469975302933702,0.0720324857173983,0.0457460414016954,0.0417318013207763,0.0574048727871149,0.0492419338435703,0.0472452034146058,0.0735400947641621
800,0.944444444444444,100,5,80,9000001,-0.0792351563394865,0.914796915278439,0.925493873931115,-0.0793361117321481,0.965543876490416,0.973758194874383,0.0427760872269525,0.0400105602496676,0.048971506955791,0.0433896800013312,0.0419332318112732,0.0530722239388501,0.0428382630038506,0.040175531736339,0.049427180483479,0.0434639146674896,0.0421199204384533,0.0536477638696942
800,1,100,5,80,9000001,-0.0764223308662445,0.969771878766262,0.991818578452036,-0.0765231399394528,0.96973301046828,0.991753410757803,0.0389112475478412,0.0362362623513127,0.0378969651341904,0.0386522699493143,0.0360959096889396,0.037745510651807,0.0389393008387706,0.0363324169592795,0.037984533460768,0.038680121028523,0.0361904907743937,0.0378316830848512
