"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.OI.1","bste.OI.2","bste.OI.3","bste.OI.4","bste.NI.1","bste.NI.2","bste.NI.3","bste.NI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,1000001,0.451921919874621,0.158272025068188,0.181415388690112,0.107450767046645,0.468311211874459,0.0773424047523837,0.16990307636978,0.118085111713018,0.461870783300604,0.177303329867531,0.264667642557495,0.081407886533587,0.0334306811996777,0.0893731618169253,0.0680918798315056,0.0720630538156684,0.027652803964261,0.0610708524794751,0.0402181260246471,0.0626699120121795,0.039497345460111,0.122330570139846,0.0471632605464536,0.0679778792062617,0.0336911615909675,0.0916938941769038,0.0684458182711075,0.0727675804961646,0.0277590937211552,0.0616054311154224,0.0415198647895766,0.0628736159449235,0.0399276618256746,0.124472513873939,0.0468155766029557,0.0686100963558983
8000,0.05,80,1000001,0.46918655983607,0.163513276108809,0.192605822919282,0.182696960598631,0.463881664486241,0.12051205494255,0.107984540818929,0.167724290623096,0.46201873155482,0.193692680867852,0.133221147220864,0.16673124124323,0.0176808410089108,0.0319540461841847,0.03853522377648,0.0227047582859457,0.00860523366669379,0.0169378944934519,0.0190320624727364,0.0203675664207225,0.0151352834082035,0.0363982877407528,0.0582137932304591,0.0260814537150858,0.0179655525688168,0.0321862138052223,0.0392229212950847,0.0226922567224236,0.00861219181851946,0.0169521298317635,0.0190904660867024,0.0203764608768156,0.0153478326790366,0.0366764182921715,0.0595056329936536,0.0261156073435443
800,0.05,80,1000002,0.430407766285596,0.28156534280781,0.173714945950501,0.167958417464834,0.443482320419501,0.201981067792832,0.124963281690127,0.162109088229906,0.400049099455479,0.367890297739468,0.0605580131045034,0.193568952398081,0.0288251095906666,0.0640071734716534,0.0665135119086366,0.064632933871724,0.0280995392598989,0.0499550188675647,0.0677497709486734,0.0630386058640574,0.086257739493578,0.147922170776201,0.289182338528238,0.0718254861896748,0.0289299802681551,0.0643165124753271,0.0669177981348813,0.06491026395852,0.0281149673944109,0.0500902671296396,0.0677976022700476,0.0632449226176869,0.0839256542228709,0.14846930691292,0.280288853291627,0.0720068320264326
8000,0.05,80,1000002,0.466563025362858,0.181029778659637,0.170414246002083,0.166174915125289,0.466640340532708,0.122087289545309,0.132378279034981,0.172433038299045,0.467879952160844,0.186153292908812,0.194800827346948,0.198236419555097,0.0108591255050006,0.0254989010201073,0.0247687074584138,0.0225841726445303,0.00845397546279689,0.0185633129138434,0.0188642492961932,0.0212005781247735,0.0133435408239416,0.0447611072331072,0.0377040430180564,0.0292535661037123,0.0108742211573066,0.0255603725845825,0.0248125005792372,0.0225999535957494,0.0084612902300349,0.0185910690046848,0.0189308245498619,0.0212175063294325,0.0134916379138408,0.0450821091270581,0.0384254691127516,0.0293196137831894
800,0.05,80,1000003,0.431931191517426,0.109203203844212,0.147969837751797,0.101415423491403,0.424611874952425,0.0856504545816988,0.144123511433099,0.126137254565571,0.424897141063922,0.158288510212813,0.214560535200974,0.092205509946517,0.0350891740920092,0.0775857714400202,0.064336768118491,0.0740214833735344,0.0274107450541906,0.0558262699862421,0.0431169864715964,0.0683710162409757,0.0403088674975653,0.109222342658128,0.070927882417244,0.0798731151333545,0.035359546298963,0.078397891495119,0.0646805493216832,0.074443618562236,0.0275203432413791,0.056233364293679,0.0433102154566834,0.0690018305603956,0.0411452697570239,0.112959280878859,0.0717945079466001,0.080601732279653
8000,0.05,80,1000003,0.457573549685154,0.188942782410635,0.183861213884074,0.173497455767372,0.463632463541252,0.119826652534426,0.129531276287532,0.163532446026131,0.459138460271473,0.192557436118621,0.188894757427082,0.144247009080884,0.0107012301155322,0.0254409624292383,0.0237757215581236,0.0230978554331697,0.0086364116471124,0.02051353252132,0.0214247296067322,0.022174136954775,0.0151593061255728,0.0665639592298451,0.0548020609481884,0.0436735204442923,0.0107153963842729,0.0255113321063077,0.023801855407339,0.0231292521526843,0.00865769582732389,0.0205840203331648,0.021639732140066,0.0221892324659449,0.0156889494526922,0.0683871022191561,0.057449503216669,0.043846562252274
800,0.05,80,1000004,0.483064060890936,0.218290600821144,0.182884253498627,-0.0462564766710704,0.4706925129594,0.218704491225085,0.0642659856782956,-0.0103433507002623,0.429690280036686,0.398804296422195,0.0375071726648384,-0.0590387356698969,0.0305036852699828,0.0668063111080889,0.0694618426783622,0.0749692380089549,0.0260419083681662,0.0506937753848338,0.0560627981208004,0.0655313487777417,0.0377266674382088,0.0961054426401058,0.117218282835175,0.0773718168885269,0.0307281216652666,0.0672592156653814,0.0700458636521536,0.0757549472878541,0.0261336429903507,0.0509656376978636,0.0565804211667657,0.065859074073078,0.0382968694443884,0.0973776694867716,0.120475919485068,0.0778843141127512
8000,0.05,80,1000004,0.45718703540544,0.174892101806729,0.162121484363704,0.168673550330223,0.463035221595147,0.124122964642046,0.127153579912381,0.157020813261435,0.447505845031109,0.225651593254376,0.18391179142948,0.142064272178623,0.0100957867388883,0.0230435568558251,0.0225343887486611,0.0218594910391454,0.00901340050081831,0.0180010745384107,0.0198019280995132,0.0212611849341162,0.01381438030259,0.0488863839898627,0.0232961707358867,0.0322897472887608,0.0101044922056363,0.0230732052356015,0.0225612371004072,0.021870119824167,0.00903443029340263,0.0180255772668255,0.0200390261523753,0.0212722729433691,0.0140391439141063,0.0499017562871484,0.0244823875594493,0.032312074352519
800,0.05,80,1000005,0.479464272346844,0.137964491657836,0.249169733975854,0.174043118054686,0.484325752017306,0.112492590061382,0.194540175896494,0.159464095491436,0.506558924005026,0.138299328316909,0.309021213963684,0.139661952914641,0.0293817285005053,0.0670079805890629,0.0640828354998438,0.0635548216421782,0.0258504815468183,0.0500508254769342,0.0511693269022575,0.0608144240225978,0.036667504166661,0.0946654634761858,0.0789921296240324,0.0679870978643727,0.0294899928827653,0.0675217225328038,0.0643624907841484,0.0638223534101393,0.0259434811162309,0.0502385343141197,0.0520003935161393,0.0609881942332904,0.0373762957399539,0.0955077788529568,0.0839023501243113,0.0682062134918488
8000,0.05,80,1000005,0.451121485255832,0.166710789411034,0.126835481733254,0.157522350229189,0.457996395958894,0.107272298341646,0.101748670352036,0.155796073440374,0.456676071603022,0.129338610612306,0.144684606944729,0.144601597581917,0.0125941587274169,0.0288009365986467,0.0256018262066656,0.0239816733408689,0.0093378780013687,0.0197092809005488,0.0211968745878455,0.0221161032517543,0.017614878694748,0.0478491543716019,0.0427332715250219,0.0325854744748864,0.0126253460184248,0.0288790963688798,0.0256459776243727,0.0240037951424979,0.00934963536677906,0.0197434385615579,0.0212788227518237,0.0221296654610722,0.0177810829918617,0.0482648052789737,0.0435109299496461,0.0326590027003536
800,0.05,80,1000006,0.464815477375355,0.0892724137392215,0.149819893494097,0.222175556054566,0.454953199719638,0.0507493493593066,-0.00726021520408739,0.151719899970683,0.444748927225709,0.00704369841826103,-0.0941444881290297,0.160996805203562,0.0438148687140052,0.10662582869498,0.0718401853315575,0.07382626433573,0.0289170542466034,0.0608187608821315,0.0733567687024833,0.0712120148309059,0.0426096918014898,0.111199645583858,0.147727698100465,0.0866486690625295,0.0453645132290044,0.111365483911631,0.0724711624556523,0.0736960434425475,0.029318785918146,0.0617197687416528,0.078640723913277,0.0714862630236945,0.0481427048978709,0.114121285384839,0.176684595322863,0.0868475122338037
8000,0.05,80,1000006,0.465501101288258,0.189377883478768,0.211139706682683,0.159272959438938,0.454206149918792,0.133575836916062,0.082684261018192,0.141083053193629,0.438286574872444,0.213354221061988,0.0353774615265755,0.130371446579533,0.0176893570996838,0.0382227546223661,0.0338991203249567,0.026139153566862,0.00885226039529812,0.0193473087147233,0.0273327584320559,0.0221909762499972,0.015580719769755,0.058513292893201,0.0871960870432064,0.040522090198284,0.0179102073700575,0.0386372626786445,0.0341512775410334,0.0261875051376925,0.00886843739703171,0.0193845682402906,0.0277554757458036,0.0222158914706143,0.0160077895728148,0.0592284159099788,0.0922190546382407,0.041024859395428
800,0.05,80,1000007,0.458313488473254,0.152999022367665,0.177362888661883,0.115463204257432,0.465776583246682,0.0926270212525927,0.132467276444693,0.151630342780425,0.49594344625037,0.0836344504884656,0.213111103283183,0.176492381176405,0.0377708369014661,0.0863577183528855,0.081075330702227,0.0717316439611244,0.0281192441507646,0.0603693435539537,0.0561210219969684,0.0691186905267482,0.0455318370783253,0.121761455118421,0.105013664493409,0.0816982023949023,0.0382467997936985,0.0875209643689968,0.0819231264323422,0.0720196475912207,0.0282496197244137,0.060839700909545,0.0566105186173692,0.0695983906467114,0.046456343008123,0.124208660358667,0.107726841225825,0.0826824679145888
8000,0.05,80,1000007,0.436705430493157,0.178479728078438,0.1037992516875,0.189074264530705,0.438591904558242,0.0997437565146531,0.0371484914364775,0.179704927129884,0.429456000775918,0.0917054358409948,-0.0445201462028131,0.223330735763681,0.011655600516691,0.0330291754182788,0.0247121453518311,0.0262851192322132,0.011369747344094,0.0328326019517931,0.0255880572957118,0.0277195162168383,0.0284725691474238,0.109578405642724,0.071873321603359,0.0629487701342563,0.0116906468093293,0.0332436536821051,0.0247520613746392,0.0263518899456066,0.0114998066963396,0.0335346325764756,0.0259714936926811,0.0278008910754856,0.0311706933843606,0.120152547356208,0.0788086529242373,0.0631762288426178
800,0.05,80,1000008,0.438154309247165,0.201878018568045,0.170952740855886,0.143700459523874,0.429463994725486,0.188606760785552,0.0821154320141989,0.161605526010312,0.401053393091269,0.331615352354158,0.0981777413091775,0.175650311845451,0.0284047826591216,0.0737195547342826,0.0647179115119224,0.0631767331791758,0.0241670716667478,0.0485089665055689,0.0482739687388471,0.0605607095462383,0.0317114868841703,0.0819443178240849,0.0815143433840445,0.066134088054416,0.0285671177606225,0.0750154401221642,0.065045893359014,0.0633290408228732,0.0242330050831222,0.0488222641994548,0.0485792227443548,0.060732819500175,0.0320523417818579,0.0836636838091604,0.0830584022828535,0.0663202580481393
8000,0.05,80,1000008,0.466404481000818,0.18045590836682,0.20206689775844,0.129014695921084,0.452209087867432,0.148314066461167,0.127100291858395,0.127881851726193,0.445428255985249,0.241794488146839,0.200601048960218,0.0912622699449245,0.0113137247579395,0.0253949914947195,0.0256523806017243,0.0255512864023674,0.00889674620193448,0.018729275180499,0.02155881722071,0.0227913072386706,0.0157807581112587,0.0466092311741357,0.0399771185473444,0.0391432029126221,0.0113254588182288,0.0254308051149298,0.0256968167387301,0.0256494022350545,0.00891486267678758,0.0187527613730457,0.0217950717584757,0.0228614039287349,0.0161446263184926,0.046966957381538,0.0429034794376734,0.0401981407561156
800,0.05,80,1000009,0.428681907574334,0.104161726886737,0.135841774693818,0.132044700216145,0.419334722662742,0.0719526379108873,0.0161195772083187,0.142084379325313,0.415853472760956,0.0584099721285563,-0.0359177836084635,0.110006134154404,0.0448359758336311,0.097520570246347,0.0798600237969209,0.0754008813396753,0.0269926619373709,0.052053255497921,0.0741635930657934,0.0623060249264493,0.0414927557345007,0.103342394236518,0.159214616030309,0.0730071622900456,0.0455843337436305,0.099341160649629,0.0805372810850689,0.0759813037707935,0.0273509893947132,0.0522566082806362,0.0785170015855977,0.0624906860286498,0.0453233789780764,0.10387804139698,0.18001956852227,0.0732217816231947
8000,0.05,80,1000009,0.468411654484658,0.172764067329984,0.167471547942608,0.130062862378257,0.46994074700493,0.121207516832775,0.112211145893198,0.116117894955807,0.456253513320772,0.197809623261294,0.130651609042635,0.106918438253484,0.00977037293460574,0.023159782839977,0.0230410970350304,0.0226216982741398,0.00842430332815353,0.0174244838842903,0.0198791442279882,0.0210181243162875,0.014862575648788,0.0370123837029603,0.0576559381828741,0.0285275933537761,0.00977709406650217,0.0231907606440693,0.0230794645048019,0.022641413010766,0.00842977261543988,0.0174367946327268,0.0199505128182573,0.0210273678627444,0.0152819381753428,0.0370441315963829,0.060188527798113,0.0284748133465261
800,0.05,80,1000010,0.458007813630398,0.188514778259542,0.169734368007299,0.12019152333577,0.441836602092043,0.174420170240753,0.0862665873853475,0.127065727919429,0.425350066394804,0.28617171792051,0.114035588561139,0.0999667471599947,0.0302144183571828,0.0682885113962347,0.0639789610194467,0.0691752517632214,0.0271871737450339,0.051583632316261,0.0508682697036286,0.065631330537162,0.0383730762611303,0.0936839254527542,0.0749398115282867,0.0738836028836186,0.0303556770692988,0.0687193576688662,0.0643055949729532,0.0694162239040123,0.0272952082631099,0.051813078089665,0.0514772767860331,0.0658996085330922,0.0387614256414009,0.0945939670910141,0.0769422909193987,0.0743853847955057
8000,0.05,80,1000010,0.449597176774809,0.199143724292241,0.115306683123306,0.142061812126445,0.46162592117982,0.124258572987688,0.076481742601974,0.1301058144032,0.431777035313569,0.222348111887743,0.0277757409505481,0.128628122447223,0.0104630976356404,0.0250215080409437,0.0254062368922354,0.0230729939712085,0.00853690185793822,0.0175118651987087,0.0197865257672074,0.0211657967279063,0.0151154827669157,0.0369692016184689,0.0522629644504643,0.0304313935802775,0.0104781799390604,0.0250767345546875,0.0254659161464285,0.0230894900414014,0.00854309601424345,0.0175284500104294,0.019843600923456,0.0211748067606647,0.0153608017223788,0.0370964424742446,0.053580042842803,0.0305078782716807
