"n","vare","B","seed","a1","est.OG.1","est.NG.1","est.CG.1","ste.OG.1","ste.NG.1","ste.CG.1","bcs.OG.1","bcs.NG.1","bcs.CG.1"
800,0.6625,80,9000001,3,0.316490457235507,0.281283900516872,0.331551861323744,0.0260382380785974,0.020309860158536,0.0230955089803185,0.026306917144489,0.0204321462341928,0.0236412843560248
8000,0.6625,80,9000001,3,0.32080368495824,0.277778726180024,0.326972811274232,0.00853267976287062,0.00672425360184183,0.0128918760601297,0.00854472570917397,0.00672833515925844,0.0129196233266491
800,0.53,80,9000001,3,0.316490457235507,0.285878859101737,0.336835252309888,0.0260382380785974,0.0209162558276409,0.0299879939353526,0.026306917144489,0.0210571000267069,0.0302168138779919
8000,0.53,80,9000001,3,0.32080368495824,0.28226305352213,0.325321819258814,0.00853267976287062,0.00693887834744817,0.0117797599684923,0.00854472570917397,0.00694373629524438,0.0118036920206854
800,0.421590909090909,80,9000001,3,0.316490457235507,0.290461953594772,0.336641330429814,0.0260382380785974,0.021531616884008,0.0367656088779071,0.026306917144489,0.0216906771646755,0.0372787558257766
8000,0.421590909090909,80,9000001,3,0.32080368495824,0.286818604639363,0.324120145214803,0.00853267976287062,0.00715005128504386,0.0109920710389818,0.00854472570917397,0.00715572922248147,0.0110132090114405
800,0.33125,80,9000001,3,0.316490457235507,0.295036309404787,0.333835662681828,0.0260382380785974,0.0221586688219456,0.0328862313842651,0.026306917144489,0.0223354791515864,0.0332593969676338
8000,0.33125,80,9000001,3,0.32080368495824,0.291443470461458,0.323232436588692,0.00853267976287062,0.00735706975655564,0.0103982050304392,0.00854472570917397,0.00736360584518397,0.0104171827066682
800,0.254807692307692,80,9000001,3,0.316490457235507,0.299594203986017,0.3316226452833,0.0260382380785974,0.0227994984736069,0.0306579008434047,0.026306917144489,0.0229935457068925,0.0309606056118009
8000,0.254807692307692,80,9000001,3,0.32080368495824,0.296136527154695,0.322557394855966,0.00853267976287062,0.0075593956441815,0.00993035515422065,0.00854472570917397,0.00756682226386319,0.00994759674104417
800,0.189285714285714,80,9000001,3,0.316490457235507,0.304110614403212,0.32958654830287,0.0260382380785974,0.0234547579782049,0.0292748731172194,0.026306917144489,0.0236655548156433,0.0295521872539338
8000,0.189285714285714,80,9000001,3,0.32080368495824,0.300898064881376,0.32203042800391,0.00853267976287062,0.00775674130957608,0.00954812714967277,0.00854472570917397,0.00776508460796102,0.00956394890835639
800,0.1325,80,9000001,3,0.316490457235507,0.308529273238598,0.32751782994368,0.0260382380785974,0.0241224749495358,0.0282445090266753,0.026306917144489,0.0243496134243042,0.0285138707561806
8000,0.1325,80,9000001,3,0.32080368495824,0.30573078420347,0.3216111733135,0.00853267976287062,0.00794921852208022,0.00922759299701761,0.00854472570917397,0.00795849778266374,0.00924224103083123
800,0.0828125,80,9000001,3,0.316490457235507,0.312727244071443,0.325263139193643,0.0260382380785974,0.0247960319675383,0.0274071822499954,0.026306917144489,0.0250391850700584,0.0276762010265802
8000,0.0828125,80,9000001,3,0.32080368495824,0.310641678940426,0.321273997231366,0.00853267976287062,0.00813767164590168,0.0089540894909907,0.00854472570917397,0.00814789822800645,0.00896775705350185
800,0.0389705882352941,80,9000001,3,0.316490457235507,0.3163862869849,0.322541921335743,0.0260382380785974,0.0254596736745175,0.0266967316624694,0.026306917144489,0.0257183937804877,0.0269680588136631
8000,0.0389705882352941,80,9000001,3,0.32080368495824,0.315646796589369,0.321003253453836,0.00853267976287062,0.00832477934150258,0.00871895521492853,0.00854472570917397,0.00833595359831983,0.00873179039802758
800,0,80,9000001,3,0.316490457235507,0.316490457235507,0.316490457235507,0.0260382380785974,0.0260382380785974,0.0260382380785619,0.026306917144489,0.026306917144489,0.026306917144451
8000,0,80,9000001,3,0.32080368495824,0.32080368495824,0.32080368495824,0.00853267976287062,0.00853267976287062,0.00853267976287492,0.00854472570917397,0.00854472570917397,0.00854472570917823
800,0.6625,80,9000002,3,0.315659749215721,0.28844311905875,0.340889716241197,0.0257396135090772,0.0209645310164949,0.0262044182929104,0.0260146748831777,0.0210851927586577,0.0264015928579952
8000,0.6625,80,9000002,3,0.331659604789752,0.279625629095808,0.333673220179203,0.00863845174275159,0.00663724486052689,0.00965582142979649,0.00865410420870614,0.00664185475524351,0.00968998743382964
800,0.53,80,9000002,3,0.315659749215721,0.292912508215778,0.342244576264349,0.0257396135090772,0.0216244786511129,0.0279550195615349,0.0260146748831777,0.0217703455930238,0.0281821919421668
8000,0.53,80,9000002,3,0.331659604789752,0.284993725277996,0.335254800229075,0.00863845174275159,0.00686224088489991,0.0115356293426885,0.00865410420870614,0.00686778784332152,0.0115570417417914
800,0.421590909090909,80,9000002,3,0.315659749215721,0.297296804186989,0.342351612204393,0.0257396135090772,0.0222853135890614,0.0301088124367642,0.0260146748831777,0.0224576342099802,0.0304607439756265
8000,0.421590909090909,80,9000002,3,0.331659604789752,0.290479659432419,0.334511604120079,0.00863845174275159,0.00708823334088352,0.0111110711932571,0.00865410420870614,0.00709479098993903,0.0111320867527181
800,0.33125,80,9000002,3,0.315659749215721,0.301556905255696,0.340666427727592,0.0257396135090772,0.0229385902642443,0.0310268417776986,0.0260146748831777,0.0231379655310092,0.0314800166091727
8000,0.33125,80,9000002,3,0.331659604789752,0.296080917981363,0.333869621388428,0.00863845174275159,0.00731441630905746,0.0105181215195535,0.00865410420870614,0.00732205437277023,0.0105379573473681
800,0.254807692307692,80,9000002,3,0.315659749215721,0.305639742217141,0.337886801973574,0.0257396135090772,0.0235729826889741,0.0305986406378785,0.0260146748831777,0.0237991887788553,0.0310706773683642
8000,0.254807692307692,80,9000002,3,0.331659604789752,0.301794098572529,0.333378804484377,0.00863845174275159,0.0075399679722464,0.0100463635393327,0.00865410420870614,0.00754875186837272,0.010065150116299
800,0.189285714285714,80,9000002,3,0.315659749215721,0.309472126718145,0.334631890138622,0.0257396135090772,0.0241740441523149,0.029690909214679,0.0260146748831777,0.0244258256391239,0.0301440256663699
8000,0.189285714285714,80,9000002,3,0.331659604789752,0.307614871930446,0.332986086740589,0.00863845174275159,0.00776413801612762,0.00966528438750711,0.00865410420870614,0.00777412921448878,0.00968318817677395
800,0.1325,80,9000002,3,0.315659749215721,0.312947540904729,0.331151554676789,0.0257396135090772,0.0247240588042634,0.0286654391630425,0.0260146748831777,0.0249988376873257,0.0290863735044296
8000,0.1325,80,9000002,3,0.331659604789752,0.313537713738614,0.332655884934903,0.00863845174275159,0.00798636749195875,0.00934845023230231,0.00865410420870614,0.00799762572983028,0.00936560702066838
800,0.0828125,80,9000002,3,0.315659749215721,0.3158905863812,0.327472884268129,0.0257396135090772,0.0252014697588436,0.0276565945957253,0.0260146748831777,0.0254947730771287,0.0280410924911908
8000,0.0828125,80,9000002,3,0.331659604789752,0.319554693286173,0.3323640003454,0.00863845174275159,0.00820645590679169,0.00907927421555458,0.00865410420870614,0.00821904558847699,0.00909579789629824
800,0.0389705882352941,80,9000002,3,0.315659749215721,0.317918944610592,0.323361154381552,0.0257396135090772,0.0255769943507274,0.0267052796661555,0.0260146748831777,0.0258806785152587,0.0270502796167147
8000,0.0389705882352941,80,9000002,3,0.331659604789752,0.32564943611032,0.332085422430331,0.00863845174275159,0.00842476969537142,0.00884676776280716,0.00865410420870614,0.00843877719597015,0.00886276367078164
800,0,80,9000002,3,0.315659749215721,0.315659749215721,0.315659749215721,0.0257396135090772,0.0257396135090772,0.0257396135090723,0.0260146748831777,0.0260146748831777,0.0260146748831722
8000,0,80,9000002,3,0.331659604789752,0.331659604789752,0.331659604789752,0.00863845174275159,0.00863845174275159,0.00863845174275493,0.00865410420870614,0.00865410420870614,0.00865410420870951
800,0.6625,80,9000003,3,0.309286556889429,0.279640137069967,0.312674389651016,0.0264273262226028,0.0214401498911091,0.0396666299689147,0.0268245841808172,0.0215645767221817,0.0407317093996691
8000,0.6625,80,9000003,3,0.337972098067496,0.287768015520908,0.340798157187821,0.00864596980546981,0.00679726246130437,0.00980468151859861,0.00865976389182908,0.0068024912249616,0.00981222932629667
