"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.RI.1","ghat.RI.2","ghat.RI.3","ghat.SI.1","ghat.SI.2","ghat.SI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.OI.1","stde.OI.2","stde.OI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.RI.1","stde.RI.2","stde.RI.3","stde.SI.1","stde.SI.2","stde.SI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.OI.1","bste.OI.2","bste.OI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.RI.1","bste.RI.2","bste.RI.3","bste.SI.1","bste.SI.2","bste.SI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.2,80,6000039,0.0017110812244543,0.945046223032179,1.05375842361556,0.0318401328349683,0.735844345833856,0.873135857455185,0.0206155407906442,0.837263310214524,1.01282367911808,0.190524153336738,0.793367819485755,0.907450685719217,0.0383143884635805,0.871408782427506,1.04276526954509,0.0380211007555942,0.0346235436970376,0.0332374572447538,0.0432302366110447,0.0379478147156498,0.0372027060708111,0.044122879303075,0.0459770305167874,0.0444324465168139,NA,NA,NA,0.0442420333284045,0.047348363326846,0.0465773127028541,0.0380480673698557,0.0347036925870224,0.0332921811397908,0.0432601034461822,0.0380317309582151,0.0372700934976161,0.0441521079223851,0.0460819343189105,0.0445111623895328,NA,NA,NA,0.0442720901536798,0.0474765082017958,0.0466827424925971
8000,0.2,80,6000039,0.00657619854219422,0.988606353790629,1.0088378415219,0.00272462947897596,0.819575411981738,0.82914043931093,-0.000319791149491191,0.937582770956496,0.957015931776787,0.178940296831113,0.871521876043359,0.877751840239603,0.000514732696800097,0.984606281723304,0.998226490635366,0.0124081575981146,0.0115152673238276,0.0118868904287702,0.014062673494814,0.0121333581070759,0.0121940554628941,0.0141917962123127,0.0145898441306737,0.0147945308783825,NA,NA,NA,0.014630171726511,0.0152067620628173,0.0154199244061697,0.0124091342863467,0.0115182418078386,0.0118902173215944,0.0140637355449675,0.0121361413246242,0.0121970234521562,0.0141927537960847,0.0145932206826061,0.0147979076237583,NA,NA,NA,0.0146314405543479,0.0152112770675467,0.0154252084989426
400,0.2,80,6000040,-0.017322915299488,1.06624340745826,1.02248751741122,-0.0337065313553283,0.916562355918502,0.863455388103347,-0.0182023853631956,1.0020927602457,0.986952073992641,0.137546087479225,0.978621694650449,0.91509152155716,-0.0150417861039279,1.07887193622801,1.03870416951361,0.0502233648772177,0.0414773093832159,0.0430563320408935,0.0614699170501515,0.0473990803520221,0.0517732439401223,0.0619074076539184,0.0555565390034589,0.0655589229819718,NA,NA,NA,0.0641411169003827,0.0590747223147336,0.0617395187740202,0.0503124600787575,0.0416835081751645,0.0433718079434194,0.0615948603753122,0.0478348727653451,0.0519957357982125,0.0620084770443446,0.0560545978805262,0.0658909883479767,NA,NA,NA,0.0642784057328221,0.0596133753008171,0.0620439759794049
800,0.2,80,6000040,-0.0190287250900078,0.967135596815727,0.958075421774619,-0.0197884321856775,0.776649263947328,0.846491716067515,-0.0433290312820192,0.868338981667891,0.999232819069342,0.168428994827875,0.842644132445283,0.892858205535627,-0.0303958470236898,0.92066496548227,1.02728156017387,0.0372574084172624,0.034232705077132,0.0352259367010761,0.0436168494856827,0.0391888792684626,0.0422665438200385,0.0436046083435561,0.0450348686587862,0.0507130050904822,NA,NA,NA,0.0458253077784462,0.0493065812386987,0.0554411685702857,0.0372862450443421,0.0342981276699657,0.0353472049992119,0.0436506844213536,0.0393077862594478,0.0423925834174115,0.0436331630405768,0.0451546882000634,0.0508603973091072,NA,NA,NA,0.0458665532021572,0.0495047360443196,0.0556610953274564
8000,0.2,80,6000040,-0.0290733268762467,0.984803639939645,1.01523336153697,-0.00534180768464618,0.808967710017277,0.852099992341758,-0.0139968297247398,0.931796226988212,0.984488000183266,0.172052967606334,0.872993100956866,0.903148383726465,0.00632818939246966,0.956731849105851,1.0346262971135,0.0183219958944413,0.0172975943712603,0.0201569572645745,0.0186904756494923,0.0197717899995975,0.0174841188329452,0.0168503003187097,0.0248179992115822,0.0204807091132427,NA,NA,NA,0.0269059588135773,0.034002931478842,0.0291139587213753,0.0183544424448046,0.0173522384939025,0.0202226844989408,0.0187215676491366,0.0198709709013266,0.0175247009938737,0.0168607131218632,0.024970091862075,0.0205218923865114,NA,NA,NA,0.0270291573296274,0.0343970500572692,0.0292284530309806
400,0.2,80,6000041,-0.0774655391824821,1.01975705942545,0.984785162819325,-0.0324618012049116,0.841934328965421,0.794494397681866,-0.0229434037244962,0.933038889938702,0.882425058336158,0.126178530889084,0.845368588711959,0.821397104837478,-0.0527388600123923,1.04128708216149,0.957329056891052,0.0602426856026784,0.0591986482257907,0.0619908313692439,0.064567718393454,0.0637068962549266,0.0617871647672955,0.0685906758987778,0.0812474971221984,0.0763278987001829,NA,NA,NA,0.0683547437375968,0.0834835633758116,0.0793061807317329,0.0605820771751464,0.0594682660173798,0.0635897122025366,0.0646721097774935,0.063975908743464,0.0623255419402264,0.0686988859434268,0.0815999843149434,0.0770209399495533,NA,NA,NA,0.0685434930477952,0.0838797034023379,0.0801745487686559
800,0.2,80,6000041,0.00297934395618976,0.996454452918746,1.02962504715005,-0.00584081325859314,0.838076820725076,0.848071064524449,-0.00699756379923262,0.896981920717921,0.95130792880628,0.185989307225723,0.901942272578155,0.915217850304139,-0.00954913574675747,1.00638857175541,1.01115009381969,0.0385496111669216,0.0378894823585242,0.0373947813981687,0.0431962032494674,0.0399548682295815,0.0394199202621392,0.0455487298443353,0.049587129827589,0.049798103579069,NA,NA,NA,0.0451682068184237,0.0495154795963719,0.0487970978735129,0.038591757808523,0.0379902530861053,0.0375621957060746,0.0432261739322119,0.0400576394205897,0.0395205617324472,0.0455792528933397,0.049721913960446,0.0499283446245982,NA,NA,NA,0.0452120890679832,0.0496704861950369,0.0489553466004203
8000,0.2,80,6000041,0.020218963967112,0.991771442701726,1.00540171658207,0.0177621347391033,0.826734392593591,0.841183926147531,0.0129881265897266,0.955435929983218,0.96594446080988,0.195948437670637,0.882897739099563,0.893711099837871,0.0204565713003597,0.998592093031061,1.0132835613572,0.0131409141070343,0.0116444481890719,0.0119200043722849,0.0180904531745059,0.0138179376378293,0.014767605644942,0.0159039371276775,0.0156405033924078,0.0171731610498364,NA,NA,NA,0.0220853330933504,0.0168562414117728,0.0208824634338054,0.0131433043768319,0.0116476378923159,0.0119239517061891,0.0181175541539142,0.0138271808442228,0.014787148012034,0.0159139060384597,0.015645832573814,0.017198752349618,NA,NA,NA,0.0221545930273076,0.0168668396117525,0.0209240318465918
400,0.2,80,6000042,-0.145425090569865,0.988252921495798,0.91333081809852,-0.151393516532343,0.826337590823053,0.762687382325407,-0.122837410914379,0.941664895800218,0.851574060262305,-0.00224302253382392,0.87146855244484,0.814620012166674,-0.122931261051627,0.987033523228224,0.920810377576518,0.0544255764498247,0.0519819888087854,0.0535451842555317,0.0605146277833277,0.0495508938377773,0.0589411577687164,0.0628427666020232,0.064225175082407,0.073660819811571,NA,NA,NA,0.0616789717416653,0.0623152544068587,0.0737406158611837,0.0544983862364126,0.0521755577244852,0.0538115794303792,0.0605924528946666,0.0497215970997722,0.0592417129742326,0.0629281228757179,0.0644758076656175,0.0740288876448668,NA,NA,NA,0.0617707904488021,0.0625653941584089,0.0742245065737512
800,0.2,80,6000042,0.0322148172823064,0.950435350776357,1.06927261318136,0.015981958982743,0.774691007327525,0.897539062876961,-0.0105650119943379,0.911342528077171,1.03221618994132,0.212682701150547,0.824301038933971,0.944055954404204,-0.00695369008786029,0.955405162228032,1.08347294355124,0.0388770965345642,0.0384999781197595,0.0356425103728188,0.0447138919646833,0.0393221895333325,0.0373616828882939,0.0458925187051359,0.0485786011852752,0.0453021060655011,NA,NA,NA,0.0463738553063555,0.0484348282105212,0.0474129039247041,0.0389030222209926,0.0385896683652127,0.0357169898526623,0.044742197872413,0.0393898918631824,0.0374328807763499,0.0459214547491617,0.0486666072387473,0.0453949903932545,NA,NA,NA,0.0464014476079778,0.0485596080660702,0.0475293249099351
