"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.RI.1","ghat.RI.2","ghat.RI.3","ghat.SI.1","ghat.SI.2","ghat.SI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.OI.1","stde.OI.2","stde.OI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.RI.1","stde.RI.2","stde.RI.3","stde.SI.1","stde.SI.2","stde.SI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.OI.1","bste.OI.2","bste.OI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.RI.1","bste.RI.2","bste.RI.3","bste.SI.1","bste.SI.2","bste.SI.3","bste.CI.1","bste.CI.2","bste.CI.3"
200,0.09,80,9000001,2.02820541893702,1.43147457104289,-1.67769743918494,2.09167263114232,1.16316780858961,-1.40352798966507,2.44335240347512,1.31054510588529,-1.80019142714656,2.05681784635797,0.824379715711507,-1.25376686631056,1.99816743802483,1.55847973079267,-1.83771431396047,0.0882884685227931,0.160807571994972,0.167381824032217,0.0929961531764532,0.144077719550844,0.130594967052979,0.0979927906176931,0.17243400995693,0.168953660029931,NA,NA,NA,0.09707633565646,0.23642987084387,0.227303883966936,0.0884677355752464,0.162495294218068,0.172662678960167,0.0931216667569665,0.146914389376983,0.131988018819099,0.0982503899086767,0.174860588992608,0.170862817914261,NA,NA,NA,0.0971363980914605,0.243920575314401,0.232276803951388
800,0.09,80,9000001,1.9186890839822,1.39116077820658,-1.57608652386195,1.99404512586063,1.0121460441273,-1.15444205015369,2.25028414715587,1.32150752224775,-1.45412296182246,1.94881955515,0.686138537169525,-1.0140275412312,1.8868194165569,1.3817441665411,-1.60352821847472,0.0466699401543191,0.0821476133002966,0.0880445981039217,0.0537344560252422,0.0771796383719527,0.0887386870328263,0.051945505341558,0.0989290106458959,0.111283559208132,NA,NA,NA,0.0567659739294583,0.121448746377788,0.135516393258832,0.0467242910666106,0.0824648096391072,0.0883289812721946,0.05389181718588,0.0774397629372807,0.089293617370694,0.0520435844270355,0.0992603838760992,0.112120233600041,NA,NA,NA,0.0569001467620515,0.12215243189369,0.137178727224719
8000,0.09,80,9000001,2.02751291420466,1.47573397291488,-1.47289287974902,2.13437405824276,1.06876097322976,-1.11971423945073,2.4068464406281,1.37961750558782,-1.4307400783981,2.18391382348752,0.815343363747936,-0.893938150546104,2.03445905821627,1.44263020088845,-1.51353227442274,0.018762770432654,0.0334713329475631,0.0290258986632883,0.0176627717709239,0.027380530967063,0.0287757316217248,0.0170452158652374,0.0341640171088707,0.0363759861576785,NA,NA,NA,0.0200313123058583,0.0427746648336072,0.0464739712081057,0.018773214977678,0.0335112549743871,0.0290485560780424,0.017665625345284,0.0273927584934739,0.0288005211290942,0.0170472937946567,0.0341780978892952,0.0364018056107757,NA,NA,NA,0.0200408810291941,0.0428182811993132,0.0466023769671869
200,0.09,80,9000002,2.14162959076964,1.50906099456031,-1.34257325637314,2.21863367715658,1.01017546666484,-0.953489923794257,2.51338025528285,1.28704961847418,-1.32567595636841,2.27007569461274,0.775086715784215,-0.776023345048201,2.01467523547202,1.53959977395575,-1.46549588469866,0.0867686128703566,0.169834248451397,0.173910930229953,0.104119522218081,0.126301335637765,0.158646032970546,0.0922861558380123,0.159203861579569,0.180109045896844,NA,NA,NA,0.107331976780518,0.232288605884367,0.241754399513149,0.0871381984943291,0.171607021473368,0.176139403615313,0.105817875968258,0.127718656445631,0.162540714778748,0.0931209821102981,0.160801529401138,0.182308324242092,NA,NA,NA,0.108076290006374,0.237655068619671,0.245245674169318
800,0.09,80,9000002,2.02109998664225,1.41184871671406,-1.53223851252818,2.08913069087329,1.01366732115522,-1.16779612648819,2.36164984718757,1.312482362393,-1.44951053870426,2.06086058540993,0.748237380431683,-1.03566927669858,2.02736561546821,1.29178654232189,-1.44961772538227,0.0439108059502812,0.0933473959156909,0.0844047536421196,0.0498214408517114,0.0800416029518211,0.0854172000395241,0.0475010626379008,0.098839730515199,0.107036629123829,NA,NA,NA,0.0650114498350923,0.125936307876043,0.156835103529477,0.0439592215653709,0.0939585398490274,0.0848617859652926,0.049920255295774,0.0804108269433688,0.0862603703714973,0.0475463376208576,0.0992584937619173,0.108177114541696,NA,NA,NA,0.0654987917260574,0.126708329092036,0.161334510948386
8000,0.09,80,9000002,1.96797141628389,1.55388508929974,-1.54647857187069,2.08167215910161,1.12719886822725,-1.14101336681453,2.35363775483273,1.44431840118397,-1.4665033366492,2.10740388904655,0.845562198123627,-0.929789945983693,1.97980878261165,1.54751921010544,-1.55001324009764,0.0192530317119695,0.0353752268885116,0.0316995262755467,0.0236250861264564,0.031467872248153,0.0339875245937054,0.0206314746418373,0.038055796018666,0.0451036295527612,NA,NA,NA,0.0307885726249593,0.0494688788909172,0.0524218492266194,0.0192647439101642,0.0354342977245239,0.0317394410389707,0.0236496937024335,0.0314873582086401,0.0340231908226135,0.0206436991573777,0.0380746421896958,0.0451676593159142,NA,NA,NA,0.0308536865841767,0.0495366415221729,0.0524957708655119
200,0.09,80,9000003,2.01059040731622,1.36913391403818,-1.53341807316547,2.08570143836527,0.92916899874252,-0.963887320000518,2.28433311498852,1.21780067796,-1.09274173213053,2.09056602833084,0.746267216854879,-0.838205556228439,2.02282581789892,1.16473450225504,-1.14420935358656,0.0863192324479773,0.183353848516917,0.166853020645722,0.0909694995896655,0.120471544374955,0.148892334998748,0.0920380626064573,0.146228778171244,0.186785027610478,NA,NA,NA,0.0950706322496367,0.166905551577229,0.235819126699994,0.086713472885818,0.187612566024884,0.16924229984177,0.0912371138064742,0.121364855290595,0.151728120824945,0.0922453245173742,0.147393490758321,0.191996624871264,NA,NA,NA,0.0952795144250887,0.167981627112309,0.248452801984774
800,0.09,80,9000003,1.93963712848066,1.55645506033309,-1.46790191812821,2.02311681244753,1.23002486260739,-1.14989022820732,2.31717352430823,1.5694859657069,-1.5102555402367,2.04148689007277,0.924428093263491,-0.953894158170642,1.91917925395971,1.66126781121145,-1.56673715492038,0.0457994681898365,0.0832631905507116,0.087019440205456,0.0452609366414252,0.073719208027399,0.0715982723940566,0.0461961382525181,0.0939403012284476,0.0929400430518733,NA,NA,NA,0.0496908392978569,0.108687399956488,0.110976525828842,0.0459052819778021,0.0835551411098713,0.0878103702782585,0.0452955235389023,0.0738967852713484,0.0719078085361798,0.0462282101774499,0.0941574001656563,0.0932679233353746,NA,NA,NA,0.0497626707925538,0.109220880363661,0.11192931694533
8000,0.09,80,9000003,2.0792636259216,1.26548150197128,-1.28800293254011,2.15297068742896,0.923383301942869,-0.908165434496598,2.37909179188685,1.25408176261906,-1.20801773364282,2.13332541293478,0.798518039388265,-0.815025722103167,2.30093590498233,0.61412270945594,-0.814789200848027,0.070333882669129,0.189111846352951,0.110942386726092,0.0614815717557983,0.149062031846349,0.11450774202802,0.0258054849788963,0.139861921574344,0.129328224936823,NA,NA,NA,0.103320080914333,0.28062439241818,0.185550401275359,0.0721976216397451,0.202140779082842,0.111301332986184,0.0632307672365188,0.159589567066036,0.117520179384249,0.0257784908337814,0.145834810283678,0.133840981406019,NA,NA,NA,0.102541149172527,0.406805984789377,0.142801421938451
200,0.09,80,9000004,2.0101348148211,1.52664852682057,-1.41243535288332,2.13719389638963,1.14740502220902,-1.05349132722641,2.36310925233979,1.4514234526415,-1.42347574633348,2.18903514194775,0.916294080376868,-0.808567420870444,2.08629646692801,1.58125665653568,-1.43943380288694,0.109308512128428,0.155400031810053,0.205192666490231,0.101247438327158,0.142602771218528,0.144069004363304,0.100311177958882,0.179168126320094,0.18460227669856,NA,NA,NA,0.108991776975751,0.215241034109493,0.207503267109897,0.110491047843976,0.157072852451037,0.211797419246648,0.101555496569419,0.144265073976902,0.145540636611642,0.100598421064212,0.181128328677605,0.18649701491185,NA,NA,NA,0.109392871651097,0.218473634476251,0.211562604452728
