"n","vare","B","seed","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.RI.1","ghat.RI.2","ghat.RI.3","ghat.RI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.RI.1","stde.RI.2","stde.RI.3","stde.RI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.OI.1","bste.OI.2","bste.OI.3","bste.OI.4","bste.NI.1","bste.NI.2","bste.NI.3","bste.NI.4","bste.RI.1","bste.RI.2","bste.RI.3","bste.RI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
400,0.05,80,1000001,0.454384845815642,0.211256996738723,0.137859932043721,-0.0810170681599481,0.479250117820084,0.0747164933226513,0.109741495943211,-0.0495076696489764,0.460661151414489,0.0235622919878066,0.231587396044031,-0.0187849205294249,0.485738509315512,0.0815390658583095,0.18892635779365,-0.0113922493827485,0.0394643183333666,0.0899663733360657,0.0895481135972194,0.0833276357840739,0.0361072247305677,0.0691290252026326,0.0692952322123641,0.0811930145977968,0.0321156963482849,0.092418109231677,0.0871803506473042,0.0786380620948939,0.0464817859730996,0.111077535878021,0.107330752079736,0.0876120809439159,0.039730033269072,0.0908518484428075,0.0909114153728202,0.0837782360199228,0.0362765790559677,0.0697315057495802,0.0705246054297787,0.0815354547215126,0.0322510525348259,0.0931459953782817,0.0877497501448977,0.0790616932984182,0.0472094783461964,0.112732857980255,0.112416346572792,0.088221343145921
800,0.05,80,1000001,0.459440456495756,0.106934558277411,0.155136868220775,0.0231024802114631,0.428340210654797,0.204741489424167,0.0443103073595943,0.0315099977293656,0.433004459100562,0.281316767427939,0.193767212050901,0.0759915800324284,0.401994503409889,0.326439352027511,0.0600402153070705,0.0534602612959592,0.034213919236313,0.0943567118975716,0.0703297648843957,0.0762555509017836,0.0273126725406278,0.0591915275857053,0.0534996963549934,0.0660988012841358,0.0279813126123905,0.10782220976427,0.0930274065090797,0.0989978522064316,0.0467902216564834,0.130282704581242,0.106137694240807,0.0914743016048148,0.0344966511194176,0.0968300789660682,0.0708127086487111,0.0771457645402601,0.027388228750458,0.0596130309674471,0.0537304774786864,0.0664978628582407,0.0280524481456706,0.109912789851529,0.0947685934872717,0.102007480512647,0.0472746652666625,0.132470267593613,0.107227548316394,0.0935452896690501
8000,0.05,80,1000001,0.465876588970929,0.156102161925297,0.197499376860896,0.18848583110433,0.452520052121583,0.119906418746218,0.0765193057860015,0.169844052407214,0.461729345869871,0.153009620401585,0.152389449862002,0.147079570920315,0.438877738837983,0.208424354479587,0.0976911123418278,0.175989036496966,0.0175146931264468,0.0313906102610344,0.0379409319964237,0.0221793236527281,0.00867878025650132,0.0167620764283202,0.0175728787760103,0.020103651742945,0.00776910788474723,0.0266737144279762,0.0255470640102937,0.0209732185967948,0.0138867667019817,0.0327647526918682,0.0360529285687209,0.0240036386421097,0.0177955183754865,0.0316198781829777,0.038619619169047,0.0221658189880055,0.00868295261556138,0.0167718498554895,0.0175911161908786,0.0201117758483628,0.00777265977573162,0.0267127986811401,0.0255913201176371,0.0209840339324143,0.0139314684412052,0.0328472398985187,0.0362163034789184,0.0240252029904913
400,0.05,80,1000002,0.443384264489772,0.320013268181,0.0864380040908988,-0.00909772480549918,0.455613287557982,0.247683003442863,0.0638464494964886,0.0171470447515928,0.456870472554984,0.295976284492421,0.00766855318112917,-0.0603512780664695,0.421848812707681,0.441915442450544,0.0674342355464596,-0.0546570116130846,0.046654813578967,0.105009712456763,0.105914259233203,0.0908049361810226,0.0406368374221639,0.0810497895958548,0.0774287667093316,0.0868298799992834,0.0335009665072717,0.112591192559297,0.113091365482282,0.0884102087043026,0.0554928275181634,0.165877557546912,0.168599037549474,0.0953678702604885,0.047699799562162,0.107033027867574,0.108637490941579,0.0915845808325972,0.0411467214444698,0.0823652013649862,0.0783086787932595,0.0873891074421018,0.0338137153391767,0.121196323211965,0.112919030693806,0.0891615757536998,0.0579252968100395,0.170833106399527,0.17234431820497,0.0957654613326337
800,0.05,80,1000002,0.481703947666542,0.039437946997991,0.208575357109499,0.143705887576787,0.483164260295063,0.0251410617401796,0.139649400624984,0.135512057076808,0.45421053940602,0.107097700116473,0.137921908150675,0.180098676925071,0.491103542257273,0.0228231109976583,0.219005741391891,0.176348549574886,0.0290442769642166,0.064094551497871,0.063538512266956,0.0632843342568457,0.0263063363437278,0.0511421227258741,0.0525366777354543,0.0629108382982601,0.0234635194993937,0.0791714040640201,0.0878032744059316,0.0639754694254954,0.0374350872631662,0.0901011142353819,0.0972183719923165,0.0675610271197699,0.0291426700846818,0.0643529075707271,0.0638322675782879,0.0635475416159318,0.0263719718520895,0.0513377507258394,0.0527188589248189,0.0631138204016048,0.0234907341496149,0.0795598955671209,0.0889406510895154,0.0644202591589551,0.0377587897735216,0.0910992214838866,0.0979334748056905,0.067815780594686
8000,0.05,80,1000002,0.457238015331647,0.193749650304744,0.154987649706928,0.14606731401092,0.461389430966317,0.124233745895632,0.0938369906322618,0.132526720939862,0.465552775717152,0.19924433637681,0.152742371035742,0.162093716278484,0.462923922380276,0.177004659897144,0.154275430595084,0.133735241775362,0.0108520617783714,0.0247646370082693,0.024540338438936,0.0226985832692467,0.0086253912381227,0.0177951901918836,0.0173904030178747,0.0209295017539701,0.00821608852929927,0.0281884685272888,0.0296174839798568,0.0222089474602459,0.0134660247520574,0.0381790311821356,0.0345064713776452,0.0263797614353551,0.0108670738449265,0.0248212661813034,0.0245845581267919,0.0227147851608059,0.00862906331955263,0.0178124066827239,0.0174052066359567,0.0209394173695396,0.00822295930632309,0.0282436676978059,0.0297165585154645,0.0222357197483644,0.013535734882656,0.0385379442738956,0.0346155436819142,0.0264232574255511
400,0.05,80,1000003,0.459014834824636,0.215775459190716,0.211199607207589,0.178481687481905,0.423557806730372,0.177781522781955,-0.025913055577342,0.179644356931239,0.471224712658163,0.237023367176961,0.0525252738944627,0.142610391551248,0.393473530896256,0.308594641774491,-0.0595891097169157,0.179697942046163,0.0484886375028583,0.0804463806044868,0.10730871498506,0.105008041952607,0.0354107446212717,0.0675601112004966,0.0722331540072425,0.0845830606037634,0.0298892552894834,0.0975728137802961,0.100442779313305,0.0795756910018157,0.0472332570686816,0.112343377896798,0.125939963048538,0.0918462451600732,0.0491951499349016,0.0812778896787194,0.108834753029714,0.107241127343422,0.0355751669905427,0.0679845007791459,0.0728354735809368,0.085103799050668,0.0299756222485948,0.0983813306001356,0.101192155116195,0.0800507775625471,0.0479115599840771,0.113897394611155,0.129170885843458,0.0926819251628138
800,0.05,80,1000003,0.46421338892133,0.238818923993215,0.135190168596861,0.077659706305844,0.470524137975149,0.141897392141226,0.106987273875933,0.123316300963661,0.459920010835117,0.206074347984583,0.19267344286872,0.174939590205486,0.456979071899459,0.253244929876281,0.137335473512008,0.106910345256401,0.0348193297998374,0.0771459585700076,0.0627792544218167,0.0710290748650173,0.028745111587259,0.0590717600620366,0.0518452163095444,0.0719189103136843,0.0219785486297492,0.0823218997027907,0.0679481451750314,0.062067391886994,0.0436700623072587,0.112273119280453,0.0974228975650706,0.0974824837207715,0.035085569589413,0.0779566094081545,0.0630992220703056,0.0714208936282185,0.0288410887635999,0.0595037080229786,0.0520842522423562,0.0730120102498528,0.0220343024067318,0.083210273568046,0.0684280911634106,0.0624843249807317,0.0444848609883073,0.116128700528313,0.098259459143332,0.100404213098914
8000,0.05,80,1000003,0.454544210538435,0.214256967982056,0.159697810767949,0.133497116774351,0.46340959021403,0.111922754805543,0.0976003620260723,0.143025181917745,0.467902966121824,0.150951775982224,0.16622336863341,0.142230525179262,0.464689216160974,0.163911282850362,0.16095565437373,0.129187734328698,0.0113547420889921,0.025509874793575,0.0239734674876379,0.0246246769062752,0.00916435394936119,0.0187890976838824,0.0180029169384272,0.0218807603493411,0.00758287383990635,0.025507166994537,0.0261229880761939,0.0212170270852531,0.0204549406298035,0.0449380333690536,0.0427335341108802,0.0336797292884083,0.0113707242395017,0.0255709866503542,0.023998592173896,0.0246657243830599,0.00917164746261576,0.0188218817041528,0.0180200985175408,0.0218959790015098,0.00758578283364982,0.0255370658196529,0.026157057764917,0.0212372094108184,0.0206091234138459,0.0453324690223167,0.0429460038182885,0.0338079959326405
400,0.05,80,1000004,0.40761225430912,0.106499994792604,0.178109262311326,0.290771071253,0.437277883470399,0.0491184305610721,0.16167717585622,0.204662103186972,0.417593775855079,0.117075934979852,0.257673911227376,0.213345392977988,0.449426889885533,0.055434135043234,0.255965970186301,0.243770593033127,0.040159597084518,0.0999056059725576,0.0952132057834523,0.0836694436448538,0.0360317126148408,0.0716636632412769,0.062223818926149,0.0742492934727939,0.0308809817965395,0.096671348694639,0.0870441609192105,0.073055289730919,0.0519319434436361,0.134061681028118,0.0984161672454471,0.0763344889100313,0.0417096948624824,0.10823842355657,0.098540604948916,0.0835655270131423,0.0362226034972628,0.0723162768502786,0.0626730661885137,0.0746558053302734,0.0309630877124321,0.097449442459035,0.0882841733707916,0.0736646153952476,0.0526454339239181,0.136386371504399,0.0995794262840406,0.0767668388268942
800,0.05,80,1000004,0.404248238880307,0.244365435342696,0.029551069549395,0.0659254100881679,0.407220144723149,0.189123084949418,-0.0454162189216075,0.0906571272619728,0.445137033492856,0.253165362282233,0.0371018254876593,0.0648891070822172,0.355890501912255,0.278982357521792,-0.16186985822851,0.0591600211393028,0.0292596500084178,0.0671569540050128,0.073117857234036,0.0783350953892787,0.026335037652793,0.0532507295288475,0.0608932227231502,0.0731795063448152,0.0278550533266406,0.0770998503678177,0.110009109547556,0.0834816165340744,0.0353710799797035,0.0992440423399007,0.109772106572999,0.097367963925193,0.0295552733029,0.0677213688466071,0.073952720095266,0.079304926020101,0.026407416395369,0.0535867755424027,0.0622738496521394,0.0737190135149138,0.0281315480428329,0.0782139736272737,0.113173762431444,0.085363984375461,0.0357431366380512,0.101180894030898,0.116581037542354,0.098576119132017
8000,0.05,80,1000004,0.438564771633714,0.266933890769364,0.129075937667858,0.163540726776056,0.451255119979802,0.176989062601872,0.0856393589189817,0.161135106125255,0.475374255604097,0.22690647924463,0.173069433851866,0.168905733969227,0.439098655833925,0.283758435372812,0.120146824399327,0.152714001576124,0.0101707513627155,0.0216762381887837,0.0230823900199995,0.0216363186998039,0.00881490083875233,0.0170999374092113,0.0170063937010766,0.0207028739415896,0.00803324697632323,0.0281614704564485,0.0249656541679289,0.0210887414708958,0.0137752268249876,0.0336797185608148,0.0326152035095573,0.025894723089359,0.0101793373124862,0.0216972795696128,0.0231160607238496,0.0216459252283674,0.00881917084167028,0.0171133236158665,0.0170186144662503,0.020710552039601,0.00804076699469101,0.0282619887545564,0.0249985978554387,0.0211070222750379,0.0138121800314023,0.0338176286298428,0.0326935034503991,0.0259204592576346
400,0.05,80,1000005,0.362431142753053,0.427202496540284,0.0317534986401818,0.132217260864733,0.391156354759884,0.248830152913423,-0.0400664129080919,0.0703661227413126,0.439836416776098,0.311217028837441,-0.00718359278971868,0.139806488121722,0.332506876141516,0.430371331829444,-0.161391446041172,0.0735004887857304,0.0433617912232678,0.0942492570358279,0.104443581719448,0.0862007620673259,0.0353062577744065,0.0709407433417222,0.073630046826845,0.0795168701628536,0.0312279403063951,0.0957673832420184,0.103410595996838,0.0806207038909353,0.0553199671837897,0.133513649153511,0.147114141363679,0.0865358545126422,0.0438858761865085,0.0962017465956534,0.105598025887502,0.0868585568742391,0.035480448692103,0.071660044602186,0.0743157510692799,0.0798750076463234,0.0313482917193133,0.096390921541487,0.104398351671381,0.08138928444756,0.0562726919624855,0.136307061064884,0.151581298399744,0.08678832672292
800,0.05,80,1000005,0.436979097037098,0.226223286237682,0.128973528578536,0.0554213145221217,0.455749037530696,0.142887220221713,0.108278082241625,0.0979568813776745,0.465427846530991,0.0989351338706624,0.190977381847444,0.0841753261742468,0.458434185150438,0.229224222876055,0.183755215116162,0.0901311173080904,0.0294449087350833,0.0656675251028295,0.0658580626324877,0.0699341478489126,0.0263442333951464,0.0507335225828504,0.0547979115120986,0.0622417598774869,0.0232261571049293,0.0736319403029523,0.0807743148855281,0.0630293807088216,0.0390200188862504,0.0913538924044995,0.113490920723229,0.069615143497061,0.0295503190171989,0.0661664484479446,0.0661364472321106,0.0703494181856653,0.0264244006789505,0.0509327849267477,0.0551282640581927,0.0624044625478591,0.0233320486178097,0.0739679537759109,0.082180578411247,0.0631760628968202,0.0396432975379392,0.0920964915818944,0.117586760494135,0.0697860463881936
8000,0.05,80,1000005,0.46094101046395,0.172954725076055,0.161229580835979,0.133263332118593,0.463420437702485,0.120957366381657,0.111843533178341,0.117542215131858,0.463118504920445,0.162350537315879,0.156452298291,0.152399984644567,0.473098787201097,0.176936293492348,0.208925522504991,0.13244018781651,0.0125040970468491,0.0266020974527997,0.0258287980950509,0.0235945182900882,0.0100393896930711,0.0208654989945423,0.0202963263418995,0.0221095047234507,0.00894323988846524,0.0299975125617767,0.0341102843582937,0.024130040040875,0.0223474758386788,0.0561564327400787,0.0621674601436937,0.031889470003191,0.0125355245890584,0.0266566520864528,0.0258797041903779,0.023615548411059,0.0100623652019533,0.0209171546802126,0.0204283986610283,0.0221233637807997,0.00896111388903353,0.0300296520734044,0.0344222554576407,0.0241515599843117,0.0231233710420539,0.0570355152832901,0.0690439299952661,0.0320125515971302
