"n","rel","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.5,80,1000001,-0.0405403247064087,0.520056205946243,0.488660569294869,-0.0884403823533056,1.15574758629177,0.886229057456277,0.0560905340655738,0.0427874748289155,0.0385346346728518,0.0743150061112507,0.149657946868362,0.113275081063867,0.056131784492979,0.04291852618568,0.0386362233115774,0.0744730002036062,0.150461053270027,0.114609465757766
800,0.555555555555556,80,1000001,-0.0405040193193776,0.586143746595033,0.54018505951748,-0.0792926927244837,1.15022933983443,0.906042594662469,0.0545893940835144,0.0434713995785348,0.0397082543988173,0.0675202690931679,0.120669882518835,0.0939145463733549,0.0546298338091388,0.0436178620354315,0.0398111199192435,0.0676484489992822,0.121226153029952,0.0947052374172575
800,0.611111111111111,80,1000001,-0.0400559362412055,0.652241578440495,0.591429503026112,-0.0707035711730967,1.14373017214761,0.919238409563873,0.0529872244887351,0.0436589243735556,0.0406024918983055,0.0619013429719146,0.0995546225634387,0.0813428924424372,0.0530265224848832,0.0438217710384727,0.0407054171755294,0.0620051101038522,0.0999677537445304,0.0818437456429315
800,0.666666666666667,80,1000001,-0.0391288976278944,0.717996767359027,0.642377557921702,-0.0626322260924843,1.13629396267825,0.928022358454401,0.0512881447463614,0.0433648956980086,0.0412152996203212,0.0570992959752581,0.0832133775557687,0.0718134217423548,0.0513259420927686,0.0435441853422307,0.0413173454759424,0.0571820599778919,0.0835328075383449,0.0721544967193723
800,0.722222222222222,80,1000001,-0.0376466698711992,0.783048066583931,0.693004544271734,-0.0550231656175176,1.12828751260453,0.933750246325951,0.0494994554266253,0.0426083848777301,0.0415334315739575,0.0529524473634994,0.0701284155560944,0.0640095855073245,0.0495354292806467,0.0428023552379741,0.0416339535263284,0.0530176485767783,0.0703807007210947,0.0642572129184148
800,0.777777777777778,80,1000001,-0.0355097141969367,0.847011004103135,0.743273247299243,-0.0477457357395332,1.11998167284308,0.937317282704599,0.047633042544746,0.0414128095003136,0.0415310030171446,0.0493554536311217,0.0594772533028278,0.0573585499417766,0.0476670069943663,0.0416167665889201,0.041629644427776,0.049406697438758,0.0596788592048339,0.0575480069676984
800,0.833333333333333,80,1000001,-0.0325618799762784,0.909444365258569,0.793122594182322,-0.0405670972702142,1.11143247807208,0.939318737260396,0.0457085252873004,0.0398089984638755,0.0411649957267522,0.0462294104606251,0.0507357182132155,0.0515358913369644,0.0457405836157627,0.0400143344150083,0.0412616379600312,0.0462702264950797,0.0508988907998246,0.0516869467603834
800,0.888888888888889,80,1000001,-0.0285005289936316,0.969760040670281,0.842432589074116,-0.0330861742451135,1.10241351518379,0.94010650026077,0.0437627960358157,0.0378467977947082,0.0403624317221559,0.0435331821685437,0.0435328408984441,0.0463022205009172,0.0437936081020287,0.0380409941881054,0.0404570404459946,0.0435670710094813,0.0436682534046487,0.0464264552222802
800,0.944444444444444,80,1000001,-0.0225392362343441,1.02688703896661,0.890872103364584,-0.024433927966124,1.09213979988771,0.939698160658709,0.041889501369113,0.035634113459831,0.0389746062696644,0.0413158204001383,0.0376497183522922,0.0414139833179709,0.0419210667702822,0.0358035226598388,0.0390667085103563,0.0413471747858339,0.037767715047455,0.0415181085789048
800,1,80,1000001,-0.00697738336500987,1.0731297837956,0.934324857830828,-0.00699507983253157,1.07329827773882,0.934306271272373,0.0409344534762374,0.0337786349207157,0.0360284296876532,0.0405197960674717,0.0336416609283467,0.0359178941935721,0.0409820174516689,0.0339127051421775,0.0361107995562151,0.0405663958217578,0.0337539971611262,0.0360004992091438
