"n","rel","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.5,80,8000001,0.004665698731433,0.475114443142783,0.496514636614927,0.0253090401425382,1.00469969640955,1.01443372477895,0.0565382131186663,0.0365010607541416,0.0377478033652473,0.0841034588724369,0.113648708202393,0.0990968611687919,0.0565864667827487,0.0365721122602076,0.0378320565800294,0.0842881236436244,0.114222745473819,0.0995437638449354
800,0.555555555555556,80,8000001,0.00290439348396593,0.535245881708439,0.555071691169493,0.0151100920386926,1.01382395018284,1.01107295866316,0.0549336282489918,0.0369680382502131,0.0386302505900341,0.0741858232863998,0.0929516875902897,0.0869182063713406,0.0549822457717879,0.0370380782307575,0.0387172517930928,0.074322062218977,0.09337176931475,0.0872609930984083
800,0.611111111111111,80,8000001,0.000506903368744024,0.596062094389777,0.613635574964948,0.00673300589130326,1.01978719568061,1.0094754102304,0.0531964645399789,0.0371731015962944,0.0391787628203572,0.0662449360939888,0.0781840907541824,0.0765559949201196,0.0532454786666229,0.0372419218798076,0.0392672905316006,0.0663495981818742,0.0785032710548726,0.0768218919099626
800,0.666666666666667,80,8000001,-0.00255894323464859,0.657444774289835,0.672123673786732,-0.000516045461745344,1.02371747418193,1.00894816541467,0.0513279224785706,0.0371517109755488,0.0393939803960334,0.0597613856481341,0.0670656209535951,0.0676375553884336,0.0513772687329224,0.0372194576426407,0.0394827214939257,0.059844832152958,0.0673149097629208,0.0678475404492814
800,0.722222222222222,80,8000001,-0.00634763695454465,0.719282631384978,0.730462454576194,-0.00709785264239296,1.02633140629615,1.00915943939107,0.04932866298971,0.0369334345517393,0.0392736602390552,0.0543874411076724,0.0583668266222057,0.0599163510320706,0.0493781630361537,0.0370006478629939,0.0393613893290842,0.054456311352739,0.0585657935854521,0.0600860066849017
800,0.777777777777778,80,8000001,-0.0109516751109697,0.781476921535968,0.788592553349529,-0.013364133085774,1.028100884416,1.00995143224675,0.0471981837992405,0.0365394449549829,0.0388144950311502,0.0498662477768666,0.0513612797168195,0.0531940033316091,0.0472475232502222,0.0366070795959795,0.0389004071340899,0.0499248868063268,0.0515228520470492,0.0533352495019293
800,0.833333333333333,80,8000001,-0.0165369171476897,0.84395248743232,0.846483108693078,-0.0196468101512169,1.02936439056761,1.01127650603531,0.0449332831077763,0.0359774026218825,0.0380145585877888,0.0459991059348357,0.0455834795532823,0.0473056715719042,0.0449819776532741,0.0360467668864691,0.0380989126356851,0.046050360406748,0.0457163959655239,0.0474281720788516
800,0.888888888888889,80,8000001,-0.023438645132226,0.906685539713761,0.90417334638161,-0.0263791132808896,1.03041341220197,1.0132004106213,0.0425235949059763,0.0352299018209574,0.0368777248781985,0.0426247730143447,0.04070522136539,0.042113467277344,0.0425709316176103,0.0353023843336923,0.0369631552224869,0.0426704610972467,0.0408153632450572,0.0422257717494504
800,0.944444444444444,80,8000001,-0.032535929514209,0.969810622202125,0.961933877310464,-0.0344704466034928,1.03163808014744,1.01603468044327,0.0399322657914237,0.0342180722378683,0.0354215926147076,0.0395914407525465,0.0364483429400448,0.0374941431426803,0.0399771589294178,0.034294280211042,0.0355160868858497,0.0396326057079991,0.0365392971992735,0.0376051222740336
800,1,80,8000001,-0.0530272167175141,1.03602375853653,1.02340759256003,-0.0529821482624218,1.0359992447683,1.02340507931268,0.036625013211842,0.032251672174068,0.0335306447197078,0.0363682190537193,0.0320506022847081,0.0330565730569944,0.0366637875768093,0.0323246479886342,0.0336645248579228,0.0364041016621263,0.0321197805751929,0.0331882326851263
800,0.5,80,8000002,-0.0759424955846194,0.463235987027143,0.476634758757824,-0.0642142054263617,0.831571084905064,0.95775574150323,0.0521468135109789,0.0337951538997852,0.0346470026569607,0.0651264358984983,0.082463401880201,0.104622382982274,0.0521816929324345,0.0339158601627377,0.0347139139960074,0.0651947635810861,0.0830176885409896,0.10510073659325
800,0.555555555555556,80,8000002,-0.0702256816588889,0.51488243643796,0.528344692910956,-0.0561101860270332,0.852743361185088,0.951997177899406,0.0510443585268629,0.0347670867181448,0.0355812943069326,0.0606926279523131,0.0715170451314497,0.0889616998666078,0.0510789873679493,0.0348942669971331,0.03564956140754,0.0607519969358174,0.0719967055205809,0.0892884486551481
800,0.611111111111111,80,8000002,-0.064212853745663,0.567395956050136,0.579579201964447,-0.0491515438531627,0.872509119720952,0.94632269469894,0.0499141018869821,0.0355816240453242,0.0362512306408177,0.0570408055329451,0.0640458094046047,0.0766244636495758,0.049948508519927,0.0357136510471891,0.0363201785772815,0.0570942149675542,0.0644593520371427,0.0768610328779125
