"n","rel","B","seed","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.CI.1","ghat.CI.2","ghat.CI.3","stde.NI.1","stde.NI.2","stde.NI.3","stde.CI.1","stde.CI.2","stde.CI.3","bste.NI.1","bste.NI.2","bste.NI.3","bste.CI.1","bste.CI.2","bste.CI.3"
800,0.5,80,6000001,2.23761419151102,0.740279739176291,-0.714253319240185,1.97064918335311,1.77561726622142,-1.81939472910062,0.054471502869779,0.0631435927360689,0.0651845678583643,0.0767497640634763,0.239746256253275,0.259647097778963,0.0545185450449944,0.06328849383935,0.0653221877904749,0.0773162413951248,0.243571779253328,0.261171935122435
800,0.555555555555556,80,6000001,2.21381033346437,0.833528704717269,-0.796565692584981,1.99218417614318,1.70871927586529,-1.74899565418146,0.053718061689722,0.0654411501513225,0.0681198322890151,0.0717549269984637,0.195337413355299,0.209359637695488,0.0537675982007852,0.0656030583666587,0.0682674906222526,0.072359527615743,0.199585820561782,0.210434791546657
800,0.611111111111111,80,6000001,2.19102248804813,0.925057382819946,-0.878241047306833,2.00962058585785,1.6532766840434,-1.68764035474772,0.053086099177475,0.0679585517350063,0.0705356454896932,0.0685314970919218,0.168665703304617,0.172856789857329,0.0531412248905411,0.0681623248097835,0.0706921897214803,0.069162708061788,0.173420565474963,0.173639280313965
800,0.666666666666667,80,6000001,2.16946704429742,1.0139634981453,-0.958944196407489,2.02397822785889,1.60744670102832,-1.63316221774021,0.052625406275918,0.0709853733182827,0.0724513264929757,0.0662347447805159,0.152345311665667,0.145890250943336,0.0526916128936638,0.071278154474163,0.0726151173065048,0.066881129582745,0.157363736919628,0.14647712390874
800,0.722222222222222,80,6000001,2.14928434557436,1.09956706133142,-1.0382927386011,2.03580528670315,1.57007211097102,-1.5840768580983,0.0523792451236037,0.0747899151294048,0.0739536540145986,0.0644047843331793,0.141608944933998,0.125841482021155,0.0524654499663837,0.0752450559788572,0.074122289636916,0.0650536731114183,0.146582981537249,0.126288344081574
800,0.777777777777778,80,6000001,2.13050563742409,1.18153491016458,-1.11578044742102,2.04539292009524,1.54041107775527,-1.53927998254425,0.0523787086823879,0.0795126097714128,0.0752168736813803,0.0627348554110943,0.133395831912466,0.111016988460601,0.0524978776138905,0.0802212224372823,0.075387126939615,0.0633703167739906,0.138041508560159,0.111356287702822
800,0.833333333333333,80,6000001,2.11299974417361,1.26007595824713,-1.19065611399711,2.0528662953613,1.51801562438252,-1.49784538619377,0.0526227545091746,0.0849864914407827,0.076502306610627,0.0609848767740889,0.125741549119903,0.100217740997194,0.0527907869239907,0.0860261479576376,0.0766710466677127,0.0615858606884541,0.129812955819012,0.100475406209057
800,0.888888888888889,80,6000001,2.096360988174,1.33630828982849,-1.26169825820522,2.05818263016806,1.50278185759276,-1.45881460871563,0.0530161579864708,0.0904484553588408,0.0781110644843517,0.0589068386431652,0.117227690753869,0.0924931901927509,0.0532461143258122,0.0918178394568361,0.0782787891810981,0.0594446526060399,0.120504912241373,0.092700551015926
800,0.944444444444444,80,6000001,2.0795738264576,1.41321268403987,-1.32653904023758,2.06095204602537,1.49540212498864,-1.42062249616631,0.0531515247989294,0.093845329159644,0.0802372249778069,0.0560831137543204,0.106240464452395,0.0869655381835798,0.0534353330413937,0.0953413235304218,0.08041698627375,0.0565148993062465,0.108501190395999,0.0871637758595085
800,1,80,6000001,2.0568273406289,1.50601707257033,-1.36838561359375,2.0568273406289,1.50601707257033,-1.36838561359375,0.049358076835028,0.0829293948165696,0.0819136873066375,0.0493580768350239,0.0829293948165441,0.0819136873066573,0.0495347199935962,0.0835558989152824,0.0821612374842519,0.0495347199935921,0.0835558989152562,0.0821612374842713
