"n","vare","B","seed","pi.cc","ghat.N.1","ghat.O.1","ghat.C.1","stde.N.1","stde.O.1","stde.C.1","bste.N.1","bste.O.1","bste.C.1"
2000,0.01,80,6000001,0.05,-0.106061474274574,0.0238764689630728,-0.151386941072848,0.160457013371288,0.185276063021793,0.211741447384862,0.163004906533462,0.188635948201911,0.215531050592289
2000,0.01,80,6000001,0.1,0.214984246777348,0.278140562965362,0.258764794050284,0.109118095120891,0.124247199217737,0.128455534991875,0.109818735202042,0.125644727489069,0.129431770127786
2000,0.01,80,6000001,0.25,0.303421397625386,0.317694169282276,0.357708504987983,0.0768142535357468,0.0917184507659405,0.0942864205330365,0.0769813037087736,0.0921143890889689,0.0945286747976884
2000,0.01,80,6000001,0.5,0.229846565780286,0.261346467793563,0.277801059570462,0.0585479297842286,0.0667772007104433,0.072684106903575,0.058632512326025,0.0669126997435736,0.0728199711501526
2000,0.01,80,6000002,0.05,0.13091184679582,0.168989383464143,0.19602471077825,0.157030770235543,0.168925537353371,0.217204892293321,0.158580207826027,0.171105041120377,0.219700915654938
2000,0.01,80,6000002,0.1,0.159215850832289,0.207896050332571,0.220016179126211,0.116642288836534,0.124804928738808,0.157150213147606,0.117161525740149,0.125574217210585,0.157771268881457
2000,0.01,80,6000002,0.25,0.199013131626394,0.275384261275615,0.239846025710938,0.0838818208434322,0.08969799451117,0.106768176146303,0.0839495839499567,0.0898581125353591,0.10645025510429
2000,0.01,80,6000002,0.5,0.249394288422098,0.306713344041504,0.308736615472038,0.0642726528123088,0.070382217609512,0.0849833543367933,0.0643772157426231,0.0706353118428329,0.0851269509003613
2000,0.01,80,6000003,0.05,0.182770576366101,0.113589659241139,0.249012388531663,0.136312243940996,0.163987619354317,0.206566184628316,0.137193841740045,0.165454605518791,0.208067357904034
2000,0.01,80,6000003,0.1,0.123271878882701,0.115068687245059,0.173332489150585,0.107888391504966,0.132396134457554,0.141651568764822,0.108624998163789,0.13319836897057,0.1428713707621
2000,0.01,80,6000003,0.25,0.119541383649688,0.11832617545666,0.149802742018147,0.0793217230592807,0.0907077006371129,0.103503165078131,0.079598379601317,0.0909906025202144,0.104051850902157
2000,0.01,80,6000003,0.5,0.125950016440486,0.176626325586078,0.155038557691802,0.063273649946405,0.0723185225310831,0.0823751691770034,0.0633807048027879,0.0724236211216372,0.0825812901631269
2000,0.01,80,6000004,0.05,0.574877329371437,0.334709279893528,0.775728770595776,0.155808167771204,0.195988585971876,0.226425132377541,0.157684877650326,0.194470027906535,0.230348021684691
2000,0.01,80,6000004,0.1,0.516096106133038,0.435875588171881,0.701238295236592,0.101687148035355,0.145332270131026,0.141027226303935,0.10218133229224,0.145106058064712,0.141820576902466
2000,0.01,80,6000004,0.25,0.342045567522289,0.379331504093099,0.441484628179345,0.0745173053683072,0.0855958013107762,0.0976364017103929,0.0746664270942035,0.085800509844039,0.0978936190792082
2000,0.01,80,6000004,0.5,0.265601715092054,0.323842134720479,0.343962100787437,0.0603670578864622,0.0674723449823928,0.0773021067062615,0.0604500716960541,0.0675650813598852,0.0774391550733741
2000,0.01,80,6000005,0.05,0.101878584417252,0.195624903374606,0.176428699263987,0.167679910566403,0.183076164085318,0.222425002114071,0.177030191403267,0.190606429158517,0.242470987001477
2000,0.01,80,6000005,0.1,0.120476441367088,0.186098587823801,0.192106004789321,0.118671996027569,0.138392972538721,0.167640588812531,0.120780865459751,0.142471525227807,0.172943244814102
2000,0.01,80,6000005,0.25,0.136238984672548,0.211632278994318,0.181157542430543,0.0842115081448975,0.0936374644960081,0.11815898838143,0.0845504978743233,0.0941504470325064,0.118830506088284
2000,0.01,80,6000005,0.5,0.0701470270724985,0.116898092103608,0.0924501165888624,0.0672037614888629,0.0723535990756294,0.0914537017842263,0.0673284319898591,0.0725312317832059,0.0916806087196703
2000,0.01,80,6000006,0.05,0.166039437354465,0.215355127389709,0.217935428601512,0.18697439529656,0.221586842713256,0.265381961508447,0.19188331581418,0.227124736124455,0.273341461501965
2000,0.01,80,6000006,0.1,0.0710906641489575,0.0931520929941322,0.0995860951589114,0.133661890953544,0.145005164473643,0.178169277791047,0.135954611373016,0.146193509326186,0.18336321768528
2000,0.01,80,6000006,0.25,0.11335658843155,0.175160988020362,0.140164696778,0.0889323842073269,0.0985949813583242,0.119788004801123,0.0892201487065485,0.0989678946066904,0.120233437565944
2000,0.01,80,6000006,0.5,0.133551083919579,0.156541381005752,0.156151161530669,0.06458931610879,0.0789204234430866,0.0805290261496767,0.0646318674928253,0.0791698610679093,0.0804281022281601
2000,0.01,80,6000007,0.05,0.261657059796136,0.353455209344291,0.341070579105255,0.119172855161023,0.141414719186945,0.169969356050844,0.120083281557394,0.142610494591868,0.17139840384376
2000,0.01,80,6000007,0.1,0.312887025566268,0.358616939444361,0.402836609540823,0.0924336731988992,0.114496965110799,0.123308434518208,0.0930384029340227,0.115584006625831,0.124283100351093
2000,0.01,80,6000007,0.25,0.255676673910208,0.324887121293632,0.322967325994943,0.067922751068846,0.0791386565532503,0.0864738906030501,0.0681688536509685,0.0795214940809397,0.0869293259701668
2000,0.01,80,6000007,0.5,0.252235625728783,0.28134850631112,0.309944654774594,0.0565901206801131,0.0643846135296874,0.0715478232659994,0.0567338966249357,0.0648456848744028,0.0718281127882777
2000,0.01,80,6000008,0.05,-0.0311496430315643,-0.0123212855065088,-0.0548385872618036,0.134813894167035,0.153513204601366,0.185099050321438,0.135471824975998,0.155035879901788,0.185891740935384
