"n","vare","B","seed","a1","a2","a3","a4","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.RG.1","est.RG.2","est.RG.3","est.RG.4","est.CG.1","est.CG.2","est.CG.3","est.CG.4","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.RG.1","ste.RG.2","ste.RG.3","ste.RG.4","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.RG.1","bcs.RG.2","bcs.RG.3","bcs.RG.4","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4"
800,0.09,80,5000001,-1,0,1,2,1.3045854783311,0.505043113443512,0.744811895581093,-0.951396929846941,0.813749672280746,0.554904511036024,0.711511635471752,-0.138209937046959,1.34971721929465,0.533030528858697,0.690745514836727,-1.06406914894144,1.2023122495425,0.503022294777709,0.749777385043008,-1.27453196638374,0.0394973625686173,0.013539586752205,0.0128917536632643,0.0373432018193395,0.0603599727478074,0.015595464114922,0.015691330706095,0.080073243491479,0.135512798496035,0.0162205474599296,0.0169001312717369,0.145414936467665,0.319921284023374,0.0340038630255003,0.0321015167832959,0.296645128112457,0.0405270636158435,0.0136346938983098,0.0129574817050299,0.0396873438699271,0.063370540243568,0.016324478174638,0.0165542015471903,0.0853146944245311,0.147138144558211,0.0172960826586075,0.0176872700350052,0.163281276672063,0.360868191196261,0.0417659502011978,0.0372761743128416,0.367328469921611
8000,0.09,80,5000001,-1,0,1,2,1.2633131090769,0.500560469843155,0.755548618622656,-0.986845350971284,0.830014400674681,0.561281187083183,0.705589051804479,-0.132578275445817,1.40798497053507,0.539663685710539,0.685963336887478,-1.10351391967606,1.38004038905891,0.493350342353616,0.75964763701015,-1.00387527103091,0.0116478153219543,0.00441307850907957,0.00438600884720996,0.0125410365857111,0.0253445897211056,0.00542162796371159,0.00558700168449238,0.0349439042084798,0.0560460922649205,0.00586673204737642,0.00631279782547083,0.0717196458881778,0.0885044307780159,0.0117078405281493,0.0120662884428228,0.120135856914866,0.0117029320669956,0.00441862777361388,0.00439173134593901,0.0126627476053902,0.0254609536647122,0.00547381247003881,0.00563953276015959,0.0351760039359286,0.0569257354589244,0.00598544362541877,0.00637230153707177,0.0730372260665302,0.0935384315272176,0.0129990091769749,0.0131909708457881,0.126519317202144
800,0.09,80,5000002,-1,0,1,2,1.26089193888099,0.476877901989383,0.72430292446557,-0.993222634394124,0.81725732422346,0.529485776763665,0.677918085124606,-0.069084420099971,1.35940470317144,0.510358736550415,0.664395022937628,-1.00229219349476,1.30574126019001,0.437189542759733,0.771196068455957,-0.988383798273681,0.0302045344909844,0.0135302962452721,0.01348860034793,0.0446171790040175,0.0627621897039605,0.0181262965055938,0.0187783488705478,0.0951134551902752,0.128229406860728,0.0184844885123024,0.0196683416803786,0.191830660198688,0.187548499080158,0.0370125456599222,0.0431480495068467,0.351413520638742,0.030948136751168,0.013654402169733,0.0135846261724746,0.047644689466986,0.0674266084527536,0.0208018366491538,0.0219062642408599,0.105679910896782,0.157446569975946,0.0230475451886505,0.023201195931829,0.240025692344426,0.319072924974054,0.0799652959653276,0.0871445872761452,0.571834678743733
8000,0.09,80,5000002,-1,0,1,2,1.24358650731016,0.495510225438817,0.743763852629469,-1.0155736299054,0.777482695009748,0.550637549092184,0.6963364192674,-0.164399595929212,1.34203123744482,0.524952112107405,0.673489425463997,-1.20790284825306,1.30380985744971,0.492452414819761,0.736774381007616,-1.07613195898739,0.0146984312031757,0.00442744260143436,0.00445070005005064,0.0134706319253933,0.0240227825217352,0.00610880857652924,0.00678845538103777,0.0455468154557481,0.0602082154704725,0.00684303216804504,0.00701536689166397,0.0999887678639508,0.0897664970311719,0.0139704202695198,0.0147246776424766,0.171764212171232,0.0147677517402905,0.00443221478550293,0.00445537457575801,0.0135870455532971,0.0247699022006305,0.00641021998914854,0.00710662390521127,0.046639269488197,0.0650009731419298,0.00739225847240548,0.00742534373638626,0.105417655170844,0.111236596534488,0.0176332548881431,0.0180204316386079,0.190607431134067
800,0.09,80,5000003,-1,0,1,2,1.25912927642246,0.502756326143467,0.757579634650324,-1.01378519188045,0.734960305544269,0.546514103401934,0.714012197148264,-0.337746803744747,1.32259948627751,0.513144616208034,0.696927576289336,-1.38348125852313,1.02805309705033,0.522971486404666,0.717765633653887,-0.80579382844741,0.0450883345033433,0.0140318071102302,0.0141939910826854,0.0227277283631964,0.0663097440531923,0.0159793321232207,0.0200579768698704,0.0665660175494144,0.149605528135989,0.0171278598238854,0.0238100255494358,0.123528703798352,0.149815128424584,0.0240633924975419,0.0280095949353912,0.15026560042597,0.0510005006801031,0.0145431849390374,0.0144890790692479,0.0241029470844047,0.0887177203213377,0.0230143453879264,0.0245819247849706,0.0668325205710878,0.24291066237693,0.0265909301097791,0.0317475571706314,0.153954247041881,0.520758828643216,0.0851619491947401,0.069493628149188,0.151970273785608
8000,0.09,80,5000003,-1,0,1,2,1.26349930522128,0.50161005939393,0.753402160290278,-1.00997967495259,0.850306565574521,0.552435163095018,0.710777218842141,-0.194068409842567,1.50268557568125,0.528904608986448,0.689634034180711,-1.28346203114304,1.43002500433382,0.480331153353828,0.767995585813752,-1.21157178245038,0.0132731477189204,0.00440121264017309,0.00438660098560647,0.0127336318756767,0.0328370139367839,0.00662581349547423,0.0066946170056878,0.0417204499798795,0.0790015110688166,0.0068583086557767,0.00727466626893569,0.0910341281796335,0.105643259566037,0.0124695497433918,0.0128497561451713,0.120941124482951,0.0133758731500531,0.00441116648220691,0.00439592304113706,0.0129080347342662,0.0332251025787653,0.00676678693795218,0.00683907608071563,0.0422566283456796,0.080792813006608,0.00708795395033424,0.00742700193259531,0.093569882069335,0.108495452584342,0.0130915547620211,0.0133522616327641,0.125329379237446
800,0.09,80,5000004,-1,0,1,2,1.26914388376806,0.505602666844541,0.743698341082549,-1.0506411246008,0.93808830114935,0.541057285244573,0.723939772332124,-0.392301187729966,1.78534130217014,0.51630759172311,0.690052944051011,-1.79613266496141,2.08360423840953,0.408885736744625,0.831747223257191,-2.47996459891945,0.0354441453189803,0.0141418309399146,0.0137005970809254,0.0267835603388842,0.0974326703007042,0.026693299158727,0.0315475613401108,0.317793760081363,0.322968390914713,0.0339602973633471,0.0242353160140004,0.715120985761708,0.456817196562705,0.0571670573129525,0.0602952086978607,0.736520625621736,0.0360224808880451,0.0141664376739901,0.0137397491192446,0.0271699875748509,0.158228859389508,0.0450147969432419,0.049383622662942,0.393069794635483,0.701358248216924,0.0686671027000745,0.053737898756963,1.09125795290961,0.791803030463653,0.111026348025809,0.107113100094814,1.19783055407196
8000,0.09,80,5000004,-1,0,1,2,1.25952002692883,0.509008564386179,0.756475169901301,-1.01369391796744,0.81436599956402,0.567025304283827,0.711762021105951,-0.124010779757999,1.39418081109732,0.543133834692158,0.693559580723838,-1.11772158584956,1.43917909235098,0.505160739823504,0.768248558886831,-0.98961438919384,0.013790020060843,0.00445528305631694,0.00440897189589426,0.0132737414219066,0.024834107541235,0.00554564467979772,0.00583101334484258,0.0331645706174273,0.0577985953928256,0.006124873742173,0.00654371317874956,0.0762464360049428,0.11510267268089,0.0126337777623491,0.0142993389921677,0.122650365455632,0.0140146763416024,0.00447313633646955,0.00442863342385378,0.013602745525303,0.0252904416187858,0.00567549057627637,0.00596974144737202,0.0335758995464435,0.0616044778797458,0.00645691990414887,0.00683548574900774,0.0795851751199202,0.145387783982079,0.0172864506299415,0.0187541320167357,0.143600550211791
800,0.09,80,5000005,-1,0,1,2,1.23338174001714,0.488780523371154,0.731998974283321,-0.995758612196644,0.741133364249403,0.514889155205667,0.719959316673323,-0.443453723226116,1.30187156915812,0.477229842136638,0.696055047845853,-1.63623962474112,1.2445438455541,0.41257195590811,0.813846370019524,-1.54668120002153,0.0324397161532966,0.0137952713976831,0.0132570610425824,0.0230009841723989,0.0621780407991658,0.0234422925630321,0.0323485653422182,0.22854619945592,0.172459651419215,0.0308509603685015,0.0298575647270643,0.466453459809313,0.234682304199114,0.0470885956248406,0.0568716845903624,0.483712764192469,0.0333540944072479,0.01390440956201,0.0132967779234694,0.023504342624409,0.0795404492438303,0.0359959674983913,0.0457976139557835,0.260187816793362,0.314635863213585,0.0557777207409497,0.0536355375879688,0.62139037177679,0.361646906025709,0.0889132677913296,0.0979635541801086,0.663311684376268
8000,0.09,80,5000005,-1,0,1,2,1.25991183177901,0.499730714689723,0.755192780772234,-1.01223645633036,0.841826495759869,0.555694059174276,0.709718818208154,-0.168875139307948,1.44845319117225,0.534049653983451,0.687757656729531,-1.19002392717239,1.36533388851144,0.493475259855475,0.761587891459173,-1.04823104396858,0.0129729273728801,0.00435730782448018,0.00435535879795258,0.0126455120534596,0.0340648909441521,0.00658063906561843,0.00684020307534376,0.0408959752933566,0.0787450843347673,0.00695638896926208,0.00738478052868666,0.0904075907292034,0.105472926619863,0.0156544177367035,0.0171731110814881,0.154092155650655,0.0130586826636026,0.00436771647432229,0.00436541339096186,0.0128382442161232,0.034434045737641,0.00676361374577424,0.00703680108646731,0.0415126443438399,0.0810011425071697,0.00730340788160455,0.00764088833790251,0.0935727451817109,0.120194970814868,0.0190259344994625,0.0203877548240065,0.170069477059935
800,0.09,80,5000006,-1,0,1,2,1.24191308394006,0.492386645706422,0.737272617761126,-0.964928545525533,0.78985665033658,0.548845281212201,0.675571528113294,0.0216083086316463,1.29713781234875,0.526962139397671,0.669184464736205,-0.759298928811587,1.01904430349058,0.500623136036249,0.725000684988807,-0.522451668588441,0.0298149624641458,0.013601549350028,0.0138920503794696,0.0484145992098109,0.107989048830748,0.0194805757446528,0.0182780729363029,0.0731104912767045,0.208708663809502,0.018730352619149,0.020085557223368,0.154786425937219,0.237449333480452,0.0296755851899635,0.0315358594242934,0.196841247087105,0.0311651133116907,0.0137942203492949,0.0141056245490342,0.0523188524493058,0.112826253601316,0.0209188423123988,0.0195958304608131,0.0767811968739503,0.222636968596926,0.0210103178747515,0.021814782305663,0.175792935113831,0.260210730805958,0.0387921985127813,0.0406838404483237,0.238045977165325
8000,0.09,80,5000006,-1,0,1,2,1.25060475781183,0.500384563824165,0.752870305988878,-1.00230620388295,0.808231959978944,0.557407736236287,0.710370591652729,-0.160986754736621,1.39791969403045,0.53294358162839,0.689544729670704,-1.17244239427577,1.40414577086733,0.469512085735314,0.790019553546595,-1.48666268519212,0.0124007063743647,0.00435370245911661,0.00438551182151125,0.0126302386785656,0.0276928662258992,0.00556018997117799,0.00568204827356559,0.0386322931843987,0.0600082651944489,0.00585265561612263,0.00632237342199171,0.0791980927792833,0.147220762856392,0.0187559070858021,0.0194642423113497,0.190589777074089,0.0124361684712425,0.00435726982480358,0.00438872189848411,0.012724197102955,0.0278051626198302,0.00560211707371201,0.00572888811200332,0.0389218140428516,0.0607084855110712,0.00594733749893637,0.00636264787211613,0.0805991879468797,0.155255611880268,0.0207359592699008,0.0213890045474058,0.205743289284542
800,0.09,80,5000007,-1,0,1,2,1.25669889657624,0.519170892549999,0.748959701815516,-1.00896954332719,0.74311387119284,0.574851330095968,0.697106428320061,-0.0942594148503977,1.26358337459384,0.545886450776485,0.682407240191054,-0.997769582046114,1.45528349357909,0.506607654256003,0.758927733038882,-1.22798972842457,0.0648132212142272,0.0152392710989446,0.0141768969968027,0.0460425601392568,0.0598224794736145,0.0160745809971321,0.0171185086838533,0.0839356170918275,0.13573852585435,0.0169674906759887,0.0181979767872786,0.16837369221533,0.28086329371039,0.0333509319670398,0.0372170332959369,0.40935042527034,0.0688802333550767,0.0154955386250773,0.0143820827937462,0.0514019453417082,0.0695962947247339,0.0180826803352623,0.0188866297907406,0.0944841231079423,0.206640117168522,0.021522324726411,0.0218440757902496,0.230657025004398,0.909568915022405,0.104029338391226,0.101474432417981,0.891766057791373
8000,0.09,80,5000007,-1,0,1,2,1.25647308975179,0.505678986528155,0.746416872395011,-1.00793761603174,0.852453950927501,0.557459379813168,0.702974533669084,-0.0958950773250989,1.4425149642917,0.538565472011929,0.683886334898809,-1.0714786131877,1.56249608891109,0.46850849488476,0.781532582560572,-1.19093793160254,0.011964208338184,0.00432233055427792,0.00437803569129818,0.0132629214589337,0.0300042189012496,0.00598165319835173,0.00618309657556383,0.0394944922244583,0.0675822867682996,0.00619359594125599,0.00647527438347257,0.0845022944215994,0.085830721854499,0.0123547673521567,0.0130934827767977,0.135404436573684,0.0120255234710675,0.00432725953418509,0.00438318156296211,0.013393677395609,0.0302319819080535,0.00607868356016638,0.00629663285148794,0.0399920016352983,0.0689209154728118,0.00637549993040515,0.00658639725749042,0.0867833341029708,0.0924892792920115,0.0137593776734211,0.0143586278775255,0.144606206827746
800,0.09,80,5000008,-1,0,1,2,1.29774785553183,0.514157976714789,0.767338146455891,-0.982090656115513,0.918036683347723,0.581885063202638,0.710899393838539,-0.0887085636971589,1.60794818263652,0.563571667895055,0.699463854569206,-1.04732355754956,1.61154858205207,0.469102108406768,0.817520609243444,-1.51651755527941,0.027536757101288,0.0140597572273974,0.0136679424387751,0.0403217977857201,0.0769433126212379,0.0171618898930813,0.0166170080415521,0.111629164954484,0.16580547095785,0.0197366699702267,0.0176563581834352,0.219837205645545,0.364764786428639,0.0471788779162503,0.0500737289652241,0.53319071797055,0.0287914098128677,0.0142323731841145,0.0138361587285706,0.0441545139828203,0.079452905360063,0.0182399246103329,0.0179040976600731,0.119159431918059,0.186904760199404,0.022600068694306,0.0192954291497492,0.255685934343348,0.482736849306676,0.0820999171792311,0.0809616756033175,0.778477639070323
8000,0.09,80,5000008,-1,0,1,2,1.24889515374514,0.506621616922609,0.753151280833502,-0.987139937127616,0.83204022381008,0.566029577539226,0.704976753710761,-0.102473788152011,1.44061540880361,0.542832826251878,0.686183672845932,-1.12058643282829,1.2892165508815,0.50919648529161,0.754796114063229,-0.938974589419009,0.0120874568218505,0.00434551260250309,0.00443326600997344,0.0147516089630775,0.0325796682548863,0.00642586225201604,0.00695840231162173,0.0428958241715826,0.0761379812691169,0.00682769472524858,0.00751261541752401,0.0931840798417569,0.15132382919571,0.0158024185573483,0.0164193635591107,0.115142538799094,0.0122884516438176,0.00436670574835259,0.00445903517675665,0.0151871876924224,0.0330615979838813,0.00661248987697104,0.00716670161236326,0.0435527222707991,0.0787623707708649,0.00717087149379332,0.00777668610230551,0.0967573614951974,0.156034110485592,0.016600765189226,0.0171582334297156,0.119230800441903
800,0.09,80,5000009,-1,0,1,2,1.27950993663416,0.479772594758335,0.745168994695674,-1.04883959859479,0.805490928326483,0.547207796404693,0.677825160591452,0.0474567539462605,1.3117903987083,0.529033011944232,0.668752120338106,-0.777114240832246,1.41087488084325,0.48040586796078,0.731469394474044,-0.624211278312215,0.0405127511904523,0.0145684115759123,0.0144820880482657,0.0650645394803753,0.0759781789398997,0.017155637318916,0.0171673042966704,0.0934979707992552,0.163743261541243,0.0182281254058517,0.0193555729876008,0.192993292189468,0.253982634319876,0.0379724801993418,0.0359940494521546,0.399775908984914,0.0435958364362148,0.0149049496214414,0.0148046325578104,0.0722419246802654,0.0863194179964703,0.0217237614322892,0.0214489646412343,0.108331635098636,0.25375153356765,0.0290803480068284,0.02816500674713,0.291248937348287,0.87724274328908,0.143368579449829,0.134384798712009,0.842033151815088
8000,0.09,80,5000009,-1,0,1,2,1.24921781284043,0.502121784567628,0.752397652470834,-1.00924020942661,0.765111666425375,0.559888775316301,0.713593629039032,-0.18628219978303,1.34038642271213,0.530959748208227,0.693059092077103,-1.19917795968034,1.12206407576469,0.500505370023533,0.763210405148981,-1.03316386431639,0.013684119267323,0.00440538304087116,0.00441033416630342,0.0132627882163459,0.0249710338621341,0.00569710689753467,0.00605221342371825,0.0358467431362076,0.0518819439685513,0.0060894806184819,0.00636295107609858,0.0756798719222427,0.108943943545777,0.0128319171846109,0.0133832575719699,0.0939610491788632,0.0137686634919294,0.00441387149710681,0.00441861015134935,0.0134232680404495,0.0252032313522153,0.00579076096342434,0.00615389502202402,0.0361645836979992,0.0532687310834103,0.00627085326495873,0.0064901151081395,0.0774626654689191,0.111816025309089,0.0134768812135879,0.0139433492001231,0.0969807750213262
800,0.09,80,5000010,-1,0,1,2,1.28425482081162,0.510056764187768,0.782462536194444,-0.996854954806348,0.968103392794251,0.54865639442582,0.752102709819773,-0.253820321932154,1.70642274579889,0.523367428932643,0.735597472397273,-1.36270598268882,1.75686335694678,0.447002936211143,0.827372823370379,-1.42194050470406,0.0264985700152466,0.0137896496038517,0.0128389700463698,0.0334240620051447,0.120560155088283,0.0221667641339045,0.0221930132055461,0.118279595867847,0.265152051178733,0.0247243700191829,0.0240456357975386,0.282118635103764,0.403972232767074,0.057570973139847,0.0541358840740015,0.487512793454907,0.0268006442903569,0.0138171087140152,0.0128793927944142,0.0345135897804375,0.157983281436401,0.0435777513523192,0.0416170044420639,0.176274468380439,0.48682314366548,0.0631153487466653,0.0554421336573798,0.54063823842729,0.988421791842619,0.191225982665179,0.162531569782658,1.0861441437235
8000,0.09,80,5000010,-1,0,1,2,1.25566841745752,0.506808503945545,0.754280904321703,-1.00283231664359,0.851677322071116,0.551433636665771,0.714664089959027,-0.267089405329252,1.53764574153574,0.525272876399672,0.690257541729678,-1.43885897783671,1.26151686219814,0.496547426397539,0.75871496556957,-1.33280607359875,0.0108582967775674,0.00433313341060607,0.00435450099464176,0.0109826363364924,0.0365938809156786,0.00818948667566835,0.00823174490789553,0.0537025214823509,0.0927071141109704,0.00866926980171064,0.00884496333554766,0.115902814713262,0.111114250182842,0.0142952946520933,0.0149535479168351,0.140740687679092,0.0109316922866923,0.00433937346206212,0.00436235786022631,0.0111123087978402,0.0377500578777321,0.00855622373575359,0.00855920643202549,0.0545704193423157,0.0964981315820429,0.0090996206057209,0.00919156243863345,0.119703011869065,0.117906020074523,0.0156520330538155,0.016161882491478,0.147477375403081
800,0.09,80,5000011,-1,0,1,2,1.23828259705047,0.512646074715721,0.752984273194371,-0.983541189325001,0.820032681015048,0.576674482661705,0.710987794460794,-0.0596954549281034,1.34567412470661,0.555368566991574,0.69136446570553,-0.983548066350072,1.35875152741527,0.517816821070639,0.755444043483775,-0.83992461413117,0.0364248971785116,0.0139686576413109,0.0150465412887118,0.0382818087726962,0.0757967497391554,0.0184820411504131,0.0202680726073969,0.117836562520824,0.168542240701457,0.0198959615052785,0.021192830636845,0.265964438368501,0.276629263190149,0.0467785778810747,0.0497576039460213,0.52714126848808,0.0375657388128398,0.0140867159001965,0.015130985281908,0.0412928096731632,0.125076659651843,0.0360654731000766,0.0368941061586939,0.166834968271628,0.433803229826836,0.0508399235961298,0.0487316859515293,0.520966501338846,1.20269615950313,0.195617083772559,0.187559759687438,1.20445500877594
8000,0.09,80,5000011,-1,0,1,2,1.24416177822866,0.497591532485583,0.748411881219662,-0.996121779567805,0.825105122786758,0.553624075295663,0.704471206777068,-0.207889138835797,1.42571255142054,0.529034444708634,0.682673814971689,-1.27687844371916,1.36445319546131,0.47595375568378,0.769613133192973,-1.17147493108622,0.0125296698067249,0.00434143778175507,0.00442759684955841,0.0120231024078968,0.0242967686610619,0.00544674711254355,0.00579700656703049,0.0370570116083822,0.0532864944811847,0.00584205868585247,0.00627849435299853,0.0774998717395652,0.107599243834975,0.014489533910269,0.0150274569923894,0.126362549307027,0.0125856838065545,0.00434817251406172,0.00443374851963512,0.0121526579047265,0.0244216199199372,0.00550961245448646,0.00586831745063863,0.0373534209487812,0.0541708948756741,0.00597207865501401,0.00634629921353821,0.0789919871076376,0.111370256225266,0.0154962508552432,0.015949355071667,0.132230735085411
800,0.09,80,5000012,-1,0,1,2,1.24429793430386,0.514146752992391,0.739580954447625,-1.00183535905586,0.765535632881683,0.562269355948135,0.709013596534654,-0.140082146780252,1.24751250373894,0.539852798502572,0.681490293811607,-1.10478122017202,1.11372060709457,0.512109561814162,0.728243124197984,-0.666571585539667,0.0470431910179876,0.014010960598996,0.0141040526416241,0.0336407895970603,0.0503424131055442,0.0149530831897939,0.0157412150472393,0.0620746692535842,0.103934028818323,0.0157207767338782,0.018393059475252,0.113988852749475,0.149442632220215,0.0315038059461011,0.0297884964848931,0.226490350293635,0.0537891603914984,0.0149908218101941,0.0146288049746084,0.0429489135590526,0.0540346059090575,0.0165503334180213,0.0172722601574137,0.0661239796151057,0.11724333616413,0.0172256378027368,0.0194782218603215,0.128652023927161,0.470249240547709,0.110662349810511,0.0911128564689983,0.415516524306942
