"n","vare","B","seed","a1","a2","a3","a4","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.CG.1","est.CG.2","est.CG.3","est.CG.4","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4"
800,0.09,80,1000001,-1,0,1,2,1.27637336061697,0.526549960344027,0.773841331103142,-0.955793140171055,0.749252980673011,0.585318855825966,0.713432694805517,-0.0922119426234411,1.15238826270489,0.484533967313074,0.798178556419306,-1.07004349600352,0.051643051963067,0.0145647609211256,0.0132772828940479,0.031112484719829,0.0667126066924766,0.0171466917717604,0.0175456775990848,0.108316069467152,0.23264090530903,0.0405016080536312,0.0395466104358518,0.334028355422898,0.0542214122254712,0.0147167116874268,0.013476624247913,0.0336607546552559,0.0685696172948918,0.0192031310004349,0.0194889375003634,0.11505317928396,0.28311875041121,0.0597246523684311,0.0546883179045377,0.425427035064564
8000,0.09,80,1000001,-1,0,1,2,1.25700179293139,0.510418085515157,0.756273572840705,-1.00041517431714,0.839050892896479,0.564662030016189,0.717881912204942,-0.189240952649535,1.19213451516788,0.522914235234477,0.746585134439574,-1.02055115769108,0.0109462154549898,0.00440766094434584,0.00431114878406134,0.0120794977008502,0.0231498051716464,0.00513374498742975,0.00538981614484105,0.0347489878017016,0.117959777757782,0.0170787713048517,0.0173831598359594,0.15203088832492,0.0110017707619128,0.00441382115979389,0.00431794098201453,0.0122202038267059,0.0232375328978871,0.00517249701795371,0.00543528695379112,0.0349614648517135,0.133393535223478,0.0219158903583161,0.0220601399934438,0.176749716109845
800,0.09,80,1000002,-1,0,1,2,1.3184766771889,0.504634465424117,0.740823965282331,-0.97732065130703,0.904691546690068,0.553228529564136,0.695611914760553,-0.202268705356805,1.10945068715578,0.503702382006044,0.717213366259652,-0.993167407555375,0.0324458557585724,0.0139155866164653,0.0136582908379835,0.0445601584321861,0.054216358057472,0.0158582133351168,0.0157276295989718,0.116605128309112,0.132444748162109,0.0259955714906568,0.0264365255813409,0.307382834658189,0.0332769665336259,0.0140773327159725,0.0138470423752872,0.0487420802031604,0.0548248292498667,0.0163523731727089,0.0162664723016554,0.122499645423455,0.140324262428122,0.0353972735680733,0.0319717266906837,0.377867737744607
8000,0.09,80,1000002,-1,0,1,2,1.27238426173443,0.498928728195833,0.750443786027994,-1.01458556474697,0.813478924922253,0.561793632301449,0.698212003342938,-0.132104494155717,1.23256110043426,0.507790539858116,0.740449929747185,-0.914551059207398,0.0144609574907355,0.00439598784059092,0.0043996721536415,0.0123906129408236,0.023470702111438,0.00575918874862896,0.00655152502026282,0.0426072300947467,0.0686886953544072,0.0107433974058689,0.0120124710247475,0.126349627632723,0.0145645042101593,0.00440713974411499,0.00440976161536001,0.0125746763951284,0.0238346381539073,0.00594949533239645,0.00676494180470131,0.0432475516439663,0.0743100113215322,0.0121862164557653,0.0133369894308726,0.133223098784155
800,0.09,80,1000003,-1,0,1,2,1.23184593193641,0.48390612570235,0.750297079739524,-0.934761307307381,0.664189832744496,0.570654550369026,0.694511855765164,-0.0431385855413168,0.706733407257239,0.552443093920115,0.70429066097952,-0.636072314738883,0.0511815815590283,0.0139336122974439,0.0137764503731227,0.0336149668667677,0.122583240199253,0.0223334096300338,0.0258761015697325,0.175616865125188,0.285903528094106,0.0304408340433993,0.0348538814296048,0.262022461742339,0.0528107816427293,0.0140453194639257,0.0138344388283537,0.0342476068550018,0.134438491989264,0.0293886011272631,0.0350685049694679,0.203065722169004,0.336481534318978,0.0429443943298469,0.0476139625344035,0.318471958759158
8000,0.09,80,1000003,-1,0,1,2,1.26536616371008,0.499146456330405,0.746197697066555,-1.00758101528079,0.836231183629159,0.55763301202002,0.701900887180472,-0.128584904722469,1.28277840932243,0.505250945803835,0.741109121732833,-0.881332525987286,0.0126119206488054,0.00442475428046555,0.00442742901940463,0.0148913452688615,0.0269127968596811,0.00583707689302943,0.00635797159494899,0.038967087637287,0.0847063814516812,0.0124903209367978,0.0133459796950807,0.125506302613384,0.0127459281978913,0.00444229124011054,0.00444303334922368,0.0151942822921725,0.0272588028398107,0.00603766477418571,0.00658339000475539,0.0396154274463216,0.0935025434603588,0.0147783495386317,0.0155139287108369,0.13568922522299
800,0.09,80,1000004,-1,0,1,2,1.26293754096684,0.496727128314972,0.746527217245371,-1.00487267120836,0.865396235501378,0.559578002779442,0.702203361174154,-0.265794673911449,2.61224956382599,0.400196995637117,0.862756767685087,-1.89551756990499,0.0468758673696323,0.0140387458315446,0.0140645458405248,0.0361746645288887,0.0872166699069321,0.0183610693104822,0.0204880131574008,0.137504281628061,0.738608324347502,0.0608957105054137,0.0646625771495929,0.491009533574442,0.0499058766851688,0.0144433401918418,0.0143609317268611,0.0409478904154692,0.114149213856109,0.0246612233718874,0.0266097692281184,0.156336984068859,1.5098385900753,0.151261337694429,0.150196747446427,1.03012278317878
8000,0.09,80,1000004,-1,0,1,2,1.25407330810781,0.500425448308733,0.753617696611896,-0.993270960438054,0.786584247998037,0.566318376253951,0.700540215249792,-0.114632507517823,1.17202483458546,0.516520196796241,0.736243598097569,-0.90083576689741,0.0127792456396628,0.00457995664203499,0.0043673987784385,0.0131237132770948,0.0317123318159623,0.0063157083742528,0.00640555591751425,0.0371666628719035,0.108494062867216,0.012521507709883,0.0122338067531848,0.106179081939913,0.0128576686216868,0.00458774529204703,0.0043740532482319,0.0132744000087577,0.0320315679733525,0.00646593105675369,0.00656633600777196,0.0377106930039763,0.111613913660788,0.0132891236830249,0.0129089066584694,0.110779800142951
800,0.09,80,1000005,-1,0,1,2,1.21158310075734,0.526865916255168,0.754233702238974,-0.952076846345267,0.695589594122653,0.584153576600735,0.70807417573174,-0.150877300881441,0.9901720034296,0.535419573587219,0.73985011086463,-0.731046000374451,0.0517793732054202,0.0141428978051592,0.0139865525714183,0.0399710413880782,0.0507264067677547,0.018154341957055,0.0200129609128007,0.108179659641978,0.122817129982211,0.0263493544111971,0.0283866446147258,0.239120245179767,0.0692077777972906,0.015539142418706,0.0156340844246489,0.0496743856164291,0.0816216590642346,0.0276523193288663,0.0280815174707994,0.118573892549375,0.372451277916815,0.0728597944107812,0.0675330364178566,0.331650749117571
8000,0.09,80,1000005,-1,0,1,2,1.26023041572897,0.508306111995001,0.753668621653167,-0.995137303065123,0.806327955622217,0.566967636443125,0.71191318793224,-0.122137328948474,1.19310180289386,0.512567837616366,0.756770355231335,-0.869235458717737,0.0115262059501567,0.00430728009648189,0.00435266417121872,0.011364713076524,0.0259100123184609,0.00609950996428317,0.0071711530193695,0.0455697693664965,0.0787545669014729,0.0107642962374944,0.0118727303121474,0.110228555427698,0.0115936743708139,0.00431472291510186,0.00436078822048416,0.0115151159323147,0.0263838327776618,0.00641472473609131,0.0075248255514578,0.0464300326347018,0.081738047488723,0.0117478611887532,0.0128174022681713,0.114870886373109
